disability,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Both,51-65,-94.0984170461449,43.363378583583646,146.45886660473252,E,-61.057252493511136,A,D,C,B,E,-3.607139610747736,A,1
No,65+,99.70633382603026,-117.0021791148582,107.70571926740034,E,28.78180052472975,C,E,A,D,E,-85.82394719964637,D,0
Mental,65+,110.00128818229346,106.1751445738105,137.6604286589525,D,-36.06255036507001,D,D,A,A,A,-90.6918202887477,A,0
Yes,65+,-136.53000692005085,-29.791439416053656,70.86315255003484,D,150.19091296265935,B,E,C,D,B,117.0841813969408,E,0
Physical,65+,123.60207926991636,49.031685170272716,-81.59212570923778,D,104.11875124334668,B,D,D,C,C,129.28196721939332,A,0
Both,36-50,96.32611560004027,57.28406066529672,-6.83360938976829,E,43.86853933462962,B,C,A,A,D,139.81053145269607,A,0
Physical,18-25,12.26757156107197,-123.15361860506219,-76.9313876332946,D,-129.20547253331975,E,A,B,A,C,-8.583844416772205,D,0
No,36-50,-26.594317978842763,-39.47171803945084,186.64447820631526,A,86.07029257630579,A,E,B,B,B,82.87222942773681,B,0
Mental,18-25,-119.34274305776577,-45.59711289434782,-152.5633981582647,A,5.5182250001363755,B,E,C,A,D,19.022291068975825,E,1
None,36-50,62.18524566489813,-41.96920228580353,53.918648265202066,C,56.95043491902973,A,A,C,B,A,-158.13841161792254,B,0
Both,51-65,-7.37730681222374,-18.151047077219317,-148.30317408877892,B,130.39543205975457,D,E,C,A,E,55.38198619953063,A,1
Mental,36-50,161.91666495072914,-64.52264650465325,2.5963985653389865,D,-68.38359214238555,E,A,B,C,A,117.95362763228158,A,1
Mental,65+,7.019558402438636,-10.481750738877464,81.94993899199292,C,-166.97652072961674,E,E,A,C,A,-126.73966460578019,D,0
Mental,26-35,70.69584068823242,-72.72007439010349,-64.75195953664694,C,46.9447748031229,B,B,E,A,B,-47.46137614962034,D,1
None,36-50,-51.462263789004005,-44.371105383254275,-143.6705230736934,E,-31.495634135376065,E,E,C,D,D,-6.738412682367528,D,1
Mental,36-50,107.51051407748908,-85.6668311062537,-83.89751898429714,D,67.94897122762671,D,C,E,C,B,62.44511946788338,A,1
Mental,65+,60.036321339909406,1.8984353093569777,161.18679756112488,A,136.32393139555123,C,D,C,A,E,-56.96631965583919,C,0
Both,36-50,-70.31006901486136,85.96835644701353,-119.5547028036036,C,61.9474216826121,C,B,E,D,E,80.52621381006665,A,1
Yes,36-50,65.596274249967,-14.720351538004413,-39.19161311112191,C,39.24232729105337,A,E,B,B,E,-104.64643802307583,C,0
No,36-50,-95.26436429716529,14.031392553220881,-37.93830543253412,B,-134.43196297191824,C,B,A,D,D,-91.13737785831708,D,0
Both,51-65,-45.30232688108601,31.678992843101877,-96.62853164191446,B,-163.44328496980057,A,C,E,D,D,-56.64789553578302,B,1
No,18-25,46.72025072208693,7.958978906573471,122.63663113987168,A,-40.58313278758271,C,A,B,E,A,-52.50149430016854,E,0
Yes,18-25,158.49605809191846,-6.504929342798466,103.39282938491627,E,17.824416506480294,C,B,A,A,C,-12.50626859484672,E,0
Yes,18-25,-87.51095174375739,-79.94828048597772,-56.153489661474,E,-157.31873497500973,B,A,C,D,B,96.52520524031509,D,1
Both,26-35,93.6768939828601,47.055637384296965,-139.76287900688112,C,33.44085608354829,D,B,D,A,A,21.14035394369748,A,0
Mental,51-65,183.3345631768401,-101.19523965909265,23.32684463378752,E,-23.94678545541558,D,C,E,B,D,-64.87516908495766,E,0
Yes,26-35,22.47815017613686,-14.15500442729593,4.126896595899732,E,-45.07390706895498,D,A,C,D,D,-18.73802870313588,E,0
Yes,51-65,-4.672268541996465,62.37602977575539,72.40517680185717,E,68.5918880235189,B,C,C,B,D,-102.83027517500518,D,0
Yes,51-65,-11.77283630423703,58.76698651537588,168.43755946301167,B,39.70893237638935,D,C,D,A,B,186.48117401468127,B,1
Yes,65+,13.365082469601164,112.4766218878817,192.85655343500179,D,-100.36529821279964,B,E,E,B,D,-14.188369119889863,D,0
None,51-65,159.31245045244168,29.59629799975247,-146.91368379900285,B,-72.63332620604444,B,B,E,E,B,30.21909540844535,E,1
Mental,18-25,-68.8681680840475,6.656421743831899,43.14250558877536,D,48.48212389276836,E,A,D,D,A,-166.46114246584528,D,1
Mental,36-50,61.11598900306865,-24.047100291874244,-109.95397911092846,D,8.555110671521694,A,D,B,A,B,-6.159910192414954,E,1
Physical,65+,-4.410560438058844,56.24212960244226,-16.867345012074388,B,52.66033199939828,A,B,B,C,B,-125.20679978296573,E,1
Both,51-65,19.951185909528064,44.24188468305411,74.32516267085308,D,110.27029481102142,D,D,D,D,E,-58.52347412937577,A,1
Both,18-25,99.3117734612499,73.54549155266689,-130.87819866970423,D,68.39155145151223,C,A,E,D,B,34.68163200933335,D,0
None,36-50,-109.23630977527982,232.94109632124383,163.92438761633838,C,-24.11176258589716,C,C,D,A,B,-45.64572190609173,B,1
Mental,18-25,96.4273974030544,154.3668978484338,100.17565634541832,C,-275.0210817754893,A,E,A,E,D,218.9249601663172,D,1
Physical,36-50,-57.558727389901755,53.48162210511095,-223.33798453456106,A,-44.776043643006716,E,D,C,D,D,-5.381951858553589,E,1
Both,65+,16.03328260371308,-63.17473086519878,195.28592490778522,E,-27.887648090219567,D,D,A,A,C,126.54688245650956,C,1
Physical,18-25,-56.66411279991254,94.44903054492279,-99.00751476709068,C,-175.6832741938295,C,A,D,A,E,-54.0809027544004,E,0
Yes,65+,-114.47753688801359,-115.57613778962225,-82.62271879654146,D,-41.75736779994994,B,D,D,E,A,-67.9003744892564,B,0
No,36-50,82.999492302929,-12.766928387477764,10.010756519398232,D,21.03545424945386,E,E,D,C,E,-116.13663225563853,D,1
Both,51-65,-144.17456378545776,-110.49449511598104,-175.87383044411357,D,40.61481188098056,A,D,A,A,E,36.624084733209344,D,0
Mental,18-25,16.452344230379595,10.00354627038213,-55.04686726574849,B,106.83329263306605,E,B,C,B,E,38.98692241176641,A,0
No,51-65,145.19869732657193,-106.249717063439,68.23129393952708,D,3.7362928392431485,D,C,D,E,B,107.35988103215686,A,0
Yes,65+,115.0361749459541,30.865348736631766,43.264311030621975,D,-214.430478562883,D,A,E,D,E,128.9927296943922,D,1
