married,sexuality,RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Widowed,Heterosexual,Hispanic,-132.53567918330242,-128.1397209764541,C,D,179.62623494401663,A,B,A,C,-1.8133198721665862,-8.351223964843566,0
Single,Heterosexual,Other,-28.62120577572967,77.09532029347497,E,C,-33.69814871801749,C,B,C,E,126.153780284672,155.92866329582108,1
Widowed,Other,Hispanic,-103.9754099164264,31.19715619344227,B,B,-66.94910185581355,E,E,C,C,-203.25166069869888,86.84249805799783,0
Single,Bisexual,White,9.479499469711444,40.086351872372624,A,B,-76.45459846758081,E,C,B,E,55.21043212639264,-90.8381570814339,0
Single,Bisexual,White,95.61324863548751,166.52804175025636,B,A,-2.3269565679579753,B,C,B,D,-68.65343061589189,-5.1282586915586625,1
Married,Bisexual,Other,-164.07867749005354,-168.17978786238464,B,E,-100.3255999826941,C,D,C,A,36.53766073912827,82.28780970409963,1
Widowed,Bisexual,African American,24.940676119979212,-90.2126536221207,B,E,-18.49921683350147,C,A,A,D,-135.86789838463454,105.31048999026036,1
Single,Heterosexual,White,63.65096187925657,130.59993884503885,E,D,167.1492339226219,B,A,E,A,-81.84391545972062,-149.93851360635176,1
Married,Other,White,15.674818323797199,-42.97102489425394,A,E,-160.39672395262852,B,E,C,C,-40.92650885536134,47.23160698331169,1
Widowed,Other,African American,0.6410690316875606,-69.82701506724797,D,B,-11.367893050683897,B,C,D,B,137.17459382718303,13.641094217798946,0
Married,Bisexual,White,75.53335393734486,2.5090740780675667,C,D,-3.2392239627838095,C,C,B,D,213.91214846861658,-181.70678418511326,0
Married,Heterosexual,Other,7.929143057042394,89.5674582246296,C,D,-19.013666310670953,A,E,E,A,118.83491660418319,-137.47878440268866,0
Married,Heterosexual,African American,-207.17170986096707,57.07298886619993,D,B,-99.84571098191026,A,E,B,B,178.20335131411392,103.97270899776785,0
Divorced,Bisexual,Other,-74.94833264190378,34.700265929093725,A,E,-100.12167339510836,E,E,A,E,-100.27787257956966,21.207012222318635,0
Widowed,Other,Asian,86.08704294331395,183.18475683122847,D,A,-32.46156609513986,D,C,E,A,130.0736466883156,-64.5161645169538,1
Married,Bisexual,African American,-70.642135950698,71.90688031808976,E,E,104.76950419801763,A,C,D,A,41.498604193542484,-160.52521238923993,0
Single,Homosexual,Other,-162.78320422713074,-63.20591917050206,C,D,-77.96155931303662,A,E,C,A,-158.46155583159785,123.31345652181011,1
Widowed,Other,Other,150.5137880533274,-60.696685277715254,D,D,3.290035076042593,C,A,E,A,111.46583685554366,18.463365013560242,0
Divorced,Other,Black,-68.43605712874384,-54.89626130886095,B,E,-103.12535227035069,D,A,D,A,-39.70349380835939,-3.4628153560302786,0
Married,Bisexual,Other,77.50535377607886,66.88195185534168,C,E,31.740833145210296,B,A,D,B,-73.52510391622938,-6.396099957242718,0
Widowed,Heterosexual,Other,67.30548667328927,-63.69655087583656,A,E,4.1579857773342415,D,D,C,B,21.62375882373667,-25.12580872141611,0
