religious_affiliation,disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Christian,Physical,20.167787737422476,E,B,E,75.08949946278524,D,D,E,0
Hindu,No,15.342455264214308,B,B,B,153.6242851646208,D,D,C,1
Hindu,Physical,-64.98037675466108,B,C,D,65.50613165865829,E,E,B,1
Hindu,Physical,-11.212977220030632,B,B,A,195.8395333513548,B,A,D,1
Christian,Physical,-65.49809515932557,B,B,E,-26.930473659495764,B,D,A,0
Jewish,None,-169.59946659270003,E,C,E,-20.20697590686222,D,B,E,0
Christian,None,80.68575617019049,A,D,E,-177.71496419854373,B,A,A,1
Jewish,None,42.05404614779292,C,A,E,-37.08088206108822,D,A,B,0
Other,Yes,-55.95047665893112,D,C,D,84.68372906599926,E,E,B,1
Hindu,Yes,67.71131015606868,B,B,C,-121.87288841811426,D,D,E,0
Muslim,Both,76.16130611158837,D,A,B,-180.10937601497244,E,A,B,1
Other,Both,114.54867878149277,B,D,B,-55.8121661101903,A,D,C,0
Buddhist,Yes,237.10211154999743,A,A,A,32.174092149917215,A,B,B,1
Christian,None,65.1372334085563,D,B,C,-34.266300489721814,E,C,C,0
Buddhist,Mental,-120.17058979129433,E,B,B,75.25393098795008,A,D,A,1
Jewish,No,-13.378056714099515,D,D,D,-88.28918347796989,D,C,E,1
Hindu,Both,63.562626710121265,E,C,D,-86.8118089572609,C,C,E,1
Buddhist,No,-66.06190017595753,A,B,C,115.64530853172614,C,C,B,1
Muslim,Mental,-82.96812317186587,E,C,C,-106.54757865921329,D,A,D,0
Other,No,-1.8435517435870366,D,E,C,64.15208473687888,A,A,E,1
Other,No,-39.95342061043926,C,D,A,-9.715182803965028,E,D,D,0
Buddhist,None,20.067424344763996,D,D,B,-134.32678087414348,C,C,A,0
Buddhist,No,-62.08582861996518,A,E,B,92.02620298261871,A,D,C,0
Buddhist,Physical,-189.6428677107322,C,D,D,-61.72584948679967,C,C,E,1
Jewish,None,43.3675308884599,D,C,B,80.4206311312289,D,D,A,0
Christian,Physical,72.5505228710935,A,C,D,-2.894651463564658,E,E,A,0
None,Physical,-9.373202014675705,D,D,A,-13.713497609288636,E,A,B,1
None,Yes,-81.78233498294112,A,C,C,-238.06681403703575,A,B,B,0
Hindu,None,-95.84097518322037,A,E,C,-93.2942130332229,B,B,E,0
Muslim,Both,63.5764383855218,D,A,A,12.690907305841748,C,A,E,1
Muslim,None,6.208251453336517,C,E,D,-53.98407588852021,D,A,B,1
None,Physical,144.28304899575264,A,C,B,131.4446502461926,B,D,D,0
Jewish,Physical,87.32929341341364,A,E,D,-180.43518563920657,B,A,A,1
Jewish,Physical,-117.71332931840834,A,E,E,-56.69474733251756,C,A,A,0
None,Yes,25.995965395625692,C,A,D,75.9849329465225,C,C,D,0
Muslim,Mental,-8.362376771013452,D,A,C,29.060066590092738,D,D,B,1
Muslim,Physical,-89.32919675965194,B,A,C,-35.25893462516342,C,D,D,1
Buddhist,None,30.051769482951475,C,A,A,-105.57106028186011,D,B,E,1
Other,Mental,47.44581910329923,C,C,D,-11.878994343809488,D,D,E,1
Buddhist,Both,6.848292183459391,C,E,B,21.730856198931207,D,D,A,1
Other,Both,-45.061617716831556,E,E,C,27.754317225001902,A,E,A,1
Buddhist,Mental,-172.56345028606654,E,C,C,-116.3088355096928,C,B,C,0
Buddhist,Both,-30.16312544044315,A,D,A,-125.35683068265662,B,D,C,0
Muslim,None,74.55091254952981,A,A,C,-1.1459482392232667,C,A,C,1
Buddhist,Yes,-41.78285849535251,C,B,A,49.81846351659289,B,D,E,0
Jewish,Both,-5.4902638331953115,A,A,D,40.19320727141953,D,C,D,1
Other,No,-105.25933398335994,A,E,C,-51.235228350893095,C,B,D,0
