nation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Mexico,A,B,A,D,C,E,E,D,-112.66693853362595,-51.67731414171672,D,0
China,D,D,A,E,B,C,A,E,16.488593278867768,129.03886198837242,A,1
US,A,A,C,B,B,D,E,E,176.24495491538232,15.403975825923425,E,1
UK,D,C,E,A,E,D,E,A,-171.9835409506905,-3.8453291573781927,D,0
Brazil,E,D,E,A,C,E,D,A,81.46447908998165,-34.801533214686266,C,1
US,B,A,B,C,A,C,B,C,110.84160195857744,135.9907824221011,B,0
US,E,E,E,B,D,C,E,E,204.4586231535737,-65.29624080812212,A,1
US,D,B,D,E,D,C,B,D,106.81622932123406,-55.669796001938685,B,1
India,A,B,E,A,B,A,C,D,-11.825272087126153,-89.81706760676299,C,0
Germany,C,D,A,C,C,B,B,C,37.682076992284884,-84.05314390543306,E,0
Other,B,D,C,E,B,B,B,E,-52.21290341849454,-253.72052008193776,B,0
US,C,B,C,E,A,B,C,A,-5.615303867322438,88.8225723240679,B,0
Mexico,A,D,E,E,A,C,D,A,-121.88147391127654,38.60726819012441,A,1
Other,D,B,C,D,D,B,D,E,-6.47563397682328,-87.3983018572513,E,1
Brazil,A,C,D,B,E,A,D,C,-164.9842635403594,10.393435254862919,A,0
India,E,C,B,A,C,E,A,E,-37.83717619019964,-129.50475109748638,A,1
Germany,A,E,E,B,E,B,A,B,27.766690492069294,-15.420849159249642,A,0
China,D,E,C,D,D,B,B,C,-54.47494574246995,19.24036343470899,E,0
Other,E,A,A,B,D,B,B,E,-15.5220780248292,23.056563042224944,A,1
Mexico,E,D,D,A,A,A,B,C,-78.9801398079276,-25.61185798929039,D,0
UK,C,A,B,A,C,B,D,B,25.72326476532175,88.8220684223379,D,1
US,C,D,B,D,B,E,C,E,-25.38649229205093,-40.98865240735281,D,1
US,E,B,B,C,A,D,A,A,79.40440354361213,-12.143826340171657,B,1
Other,D,A,B,C,C,D,D,D,116.02498686835297,-42.69623869956783,D,1
UK,A,E,D,D,D,A,D,E,27.17948417392753,-65.73106217279826,B,1
UK,D,A,A,B,E,C,B,B,197.95519503166034,-96.73306108965593,B,1
Germany,C,D,B,D,B,B,E,D,31.712255158382654,5.375941007902751,C,0
Other,E,C,C,B,C,C,E,D,-8.740428173501945,-55.284384189793116,A,1
Mexico,D,E,B,A,B,A,A,C,99.96981240584553,-79.25193211834683,C,1
Brazil,B,E,B,D,B,B,C,E,-5.765332737313003,76.7640812210666,C,1
Germany,C,A,B,D,D,D,A,B,-29.57073546715915,55.953481011801586,A,1
UK,A,A,A,A,B,B,A,B,-87.40059751448331,126.18089080104487,C,1
US,C,D,B,A,B,D,A,A,99.19501999624065,110.68630529996054,A,1
US,E,D,A,C,B,A,E,A,67.75028096682144,192.50746045096014,A,1
India,A,D,C,E,D,A,A,D,63.24085081737577,107.66563101281787,C,0
China,D,D,E,B,C,E,D,E,79.66083538024836,-182.0403227727106,A,0
Mexico,B,E,B,E,B,E,E,A,-85.46877090958742,268.3979795101981,C,1
India,E,E,A,C,A,C,D,C,-45.262052433775466,143.5534797050862,C,1
Germany,A,D,A,A,E,C,B,A,-31.391199757895183,-154.25200158098394,E,1
Germany,C,C,C,E,A,D,E,C,-83.32351969121999,32.69093371241357,D,0
Germany,B,A,E,B,B,A,D,B,-30.436500152110035,-7.888032368787407,C,1
US,D,B,B,E,C,E,A,E,36.20544178211636,-86.10865821643682,E,1
Germany,E,B,C,E,B,E,D,A,-32.07496854140652,-15.976206358157945,B,1
UK,D,B,A,B,B,D,B,A,-159.43461806394913,116.87750334259086,D,0
Germany,C,E,D,E,C,D,E,B,23.22283782459422,-78.89004134037249,A,0
UK,C,A,E,C,B,E,C,D,-118.6530024518885,162.9976388368359,B,1
US,B,E,E,B,B,A,A,C,167.14920006648478,-25.471586491202668,D,0
Brazil,A,D,E,C,D,B,B,A,35.006058939602234,-114.7138190506323,A,0
Mexico,D,B,A,C,B,B,C,A,31.96772622578789,178.79193262362546,D,0
Germany,D,B,A,B,E,B,E,D,-117.65394160924684,2.2878867781192227,E,1
China,A,D,A,C,E,C,A,D,125.36024283334694,123.88195532184186,D,1
UK,B,C,B,B,C,D,D,C,-47.26101611205733,-59.38520657740902,C,1
China,A,C,E,B,C,E,B,C,34.96634549819045,207.6097484829123,E,0
India,C,B,E,B,D,D,C,D,-67.90809259707514,-50.658428602890574,E,1
Brazil,C,B,E,C,C,B,E,B,-66.50337039573422,112.594644754216,E,0
US,C,A,B,A,E,C,A,D,13.643980965360585,-25.116141323221523,D,1
China,E,E,A,D,D,D,C,B,-200.61605142517664,-43.12275636102471,C,1
Brazil,E,C,C,D,A,D,D,D,-77.96241486956848,-54.40001714959156,D,0
India,A,B,C,C,D,A,A,E,48.31109232558558,89.98726400907377,E,1
Germany,E,B,E,E,D,E,E,D,-103.15080774639036,-123.75532325081227,D,0
Germany,A,E,C,C,B,C,A,E,194.08718028967965,93.75916463213007,C,1
Brazil,C,E,C,E,E,D,A,C,-83.58315168598303,36.4770016309712,E,1
UK,C,D,E,C,E,E,D,B,40.025873285083215,98.39208472929582,E,1
Brazil,B,D,A,B,C,D,B,A,-37.92553238646071,189.33321671618205,C,0
China,E,A,C,B,A,B,A,C,85.15603119170093,32.61746669964409,B,1
India,E,A,A,D,A,B,C,B,29.692306435390748,-120.75733329270501,D,0
Mexico,B,D,B,C,E,C,D,A,-85.271735806081,126.31947004553601,A,0
Mexico,E,E,A,E,A,D,D,D,-183.280646546104,-102.55423098261976,B,1
Mexico,A,C,E,A,D,D,A,C,28.476949755683133,-56.84574225407461,D,0
India,B,A,D,E,E,C,D,B,-10.100733358126742,35.729820859993175,C,1
Mexico,A,C,E,A,E,A,C,A,-97.2077125928998,183.29934033873693,E,1
Mexico,B,D,B,E,C,E,D,A,40.94062705387203,24.024411880158773,C,0
Brazil,D,A,D,A,A,A,D,A,61.60912839055423,-94.11900637754627,E,1
Germany,E,D,B,D,A,D,B,D,-48.92684025685804,-72.53127510123869,B,0
UK,B,B,D,C,B,E,D,E,-111.15415283488146,-126.3417389098434,D,0
Germany,A,A,A,D,E,C,A,B,-66.7555047396336,89.0789210389731,A,0
India,A,C,D,D,E,B,D,A,83.2109153628869,177.08821910968132,B,0
India,C,D,B,C,A,D,A,A,177.4124686568229,-80.28712570002423,C,0
Brazil,E,B,E,D,E,D,A,A,3.2529960882501943,13.360580119803561,B,1
US,B,E,D,C,C,D,C,A,56.171634130870295,61.6144179171258,A,0
India,E,A,E,A,B,A,E,C,90.43897214325408,-88.8010958407346,D,0
Germany,C,B,E,B,B,C,E,E,16.856402015269314,42.46826179427007,D,0
UK,B,C,C,E,A,C,C,A,-452.0493457278595,129.65699723255528,A,0
US,D,C,E,A,B,C,C,C,75.20411006115484,107.64284795019098,A,0
Germany,B,C,A,C,B,C,D,A,-115.79743438914755,142.50959117344092,A,0
Other,A,D,A,D,C,E,D,D,43.74190167030452,37.66804854326302,E,0
India,B,A,A,E,B,D,D,D,137.32775694770933,-186.6120481515757,C,1
Mexico,C,A,C,B,E,B,C,E,15.412498510033295,128.2299599881313,D,1
US,E,A,C,E,A,B,D,B,-112.64136780350782,60.609139341555064,A,0
Germany,C,B,D,D,D,A,B,C,-176.24861423223018,-66.17257894127334,A,1
Germany,D,C,D,A,E,A,A,A,9.66490805516014,-8.415099861466482,A,0
Brazil,B,B,B,A,C,C,E,C,-50.768524085653056,-99.11439149804876,E,0
Germany,E,A,C,B,A,D,A,A,-17.19283033962603,83.17232714668155,E,1
UK,D,A,D,C,B,B,D,A,-111.32591980480125,-112.52717703432005,E,1
Mexico,B,D,D,C,E,A,E,E,27.202211631568296,38.853971454852775,E,0
Brazil,C,C,C,B,A,E,E,B,-236.96311322737523,47.435554958718484,E,1
UK,C,A,C,B,E,E,D,C,-33.84858974946797,93.10431691652218,B,1
US,A,C,B,B,A,C,E,A,-144.16800898913255,-117.36846593243489,E,0
India,C,E,E,B,C,B,D,C,-23.913780062670053,-61.65717285028239,B,1
Mexico,B,E,D,D,C,A,E,E,188.2525438768994,4.864058862226864,D,0
Germany,E,C,B,A,A,B,E,E,-22.129879943923996,-86.48974527771446,C,1
Mexico,D,D,D,B,C,A,E,D,74.37275964472592,-48.10229052587419,D,0
Mexico,B,D,B,E,A,E,E,A,-95.52157144944753,-102.94815815606826,E,1
Germany,B,B,C,A,D,D,B,C,-3.4452183537968257,-72.817123278387,B,1
India,E,A,C,D,D,B,A,A,1.898772279715706,55.921095545565116,C,0
Other,B,E,E,D,D,A,B,E,-154.87839291711074,160.85481519295664,D,0
Germany,B,B,E,B,A,A,D,E,16.10699173592177,-60.87816678614205,A,1
China,A,A,B,E,C,D,A,C,-44.300769821505206,174.54561181847535,A,1
India,E,D,B,B,C,A,D,C,-1.7150427405893165,-18.62152425066649,E,1
India,C,C,B,B,B,A,C,D,-19.22830208098846,-60.159107151580734,D,0
Brazil,A,A,A,B,B,C,B,D,-167.39758170408837,153.1212458563553,E,1
