religious_affiliation,married,ethnic_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Muslim,Widowed,Asian,44.051981536416896,C,-48.52423902424937,A,-52.90054108827238,C,C,A,18.411585392388435,E,D,A,-151.84695272351127,-76.95873125588199,0
Christian,Divorced,Hispanic,123.54315504085602,B,41.070411095962264,A,65.59506695113627,B,C,B,81.56680711832546,B,A,B,-0.5553577964236406,-76.55482867526293,1
None,Single,Asian,-76.06751002365284,E,130.0955461575095,D,16.694969407904534,D,A,B,83.44646316898186,D,C,B,113.44207049924637,-89.22402556833423,0
Other,Single,Black,67.64650551505389,C,-159.09584763318372,E,-71.54484944624612,D,A,E,-70.47440440768203,E,B,C,36.61641335854917,-143.65858103595224,0
Jewish,Married,Other,-2.0450649987442726,D,-36.02261532029018,D,-82.4954775361401,B,E,B,-51.60937808415805,B,E,B,-4.0663167878840305,34.01527874779059,1
Buddhist,Widowed,Hispanic,-83.23328640145986,E,-17.076924544786564,D,-30.484492516044487,D,C,E,76.91734067420039,C,A,E,-59.836845528951486,0.13908693358540827,1
Other,Married,Black,198.25451757228626,E,-7.047710501860806,C,86.81884127688822,D,E,A,-62.5364570264608,D,C,E,70.02870290879325,161.44820182928927,0
Buddhist,Divorced,White,-44.35021710659225,C,-33.67103065606003,D,17.386011883664352,B,D,A,108.98344970361997,D,D,B,-110.15077868060905,111.24847645042331,1
Other,Divorced,African American,8.684585450301942,A,8.868379569954834,D,96.93385465772272,A,A,A,80.13758540706436,D,E,D,-100.3949577643583,-54.924448312942864,1
None,Married,Hispanic,8.205986271567307,C,110.38036107508273,C,170.97709526401948,D,A,D,-44.962416954846965,A,E,E,-14.470653004035135,43.70770142626005,0
Christian,Married,White,11.669582533201037,B,15.109057269469245,C,31.50287550704251,D,C,B,106.52677330198901,D,C,C,56.843519109252505,14.876684001504492,0
Muslim,Single,Asian,-121.73419893836446,D,-117.65423958695405,A,-0.8102053701575702,D,C,C,-85.36035674326305,A,D,A,-184.94622679652096,-89.01355338607945,1
Jewish,Divorced,Hispanic,-55.69103837985519,A,-97.93927890226689,D,-51.36326208250803,A,D,D,200.53042497675898,C,C,E,-47.277835171483,-110.51613914262106,1
Other,Single,Other,151.96988078294103,A,144.07128157390397,E,-43.609420940575426,E,C,C,-13.291592607791092,A,C,E,47.52876336903438,16.5645437588116,0
None,Widowed,African American,-63.11759547570972,D,101.35226893295646,C,135.7774096036254,D,C,C,-15.254466366581665,A,B,C,-1.8336171829758183,2.2950302925620876,0
Other,Widowed,African American,44.351073663025254,B,60.96679233040704,C,-106.75318756385963,B,B,A,-22.721051407700347,C,A,D,8.1278370357695,-17.803922013738276,1
Buddhist,Widowed,White,152.00426646819025,B,-25.806081661923912,D,74.01151184199814,A,D,A,-98.51934003787741,A,E,E,-156.6048032138042,51.91004578880091,0
Hindu,Married,African American,86.23251855734128,C,-79.86244886908688,D,33.33203024473475,B,C,C,18.195880697155914,A,B,B,198.8587175831496,-41.128346176336535,1
Christian,Married,African American,-70.78965611944797,C,97.02536119676851,B,105.58834235632939,B,C,A,91.0403470125166,E,E,E,-36.66527509209123,-174.8549581190037,0
Christian,Widowed,Other,63.05723582024857,C,63.29496523498022,E,159.94772809445962,B,D,B,-167.875963675863,A,D,C,-152.78838607493122,62.64132619800665,0
Muslim,Widowed,Black,166.87546712589344,A,64.58330136094406,A,44.245656048371075,B,E,C,69.64366322046851,A,B,E,-116.81642802700276,158.5437244415247,0
Hindu,Widowed,Hispanic,-92.34068305236883,A,18.794527961819583,C,57.35881432821992,A,C,C,-24.65759431950765,D,D,E,33.46889930693633,139.28613363628045,0
Muslim,Single,Asian,-3.011237484167985,A,-34.84235967667651,E,-43.157200669843576,B,E,C,-48.91193749792337,A,A,E,10.005391181687449,82.06995097456365,1
Muslim,Single,Asian,-78.10967001944587,E,144.15119360394476,A,56.86066143274869,C,A,B,70.20825510213021,C,A,D,97.18860522988028,140.7808656419085,0
None,Widowed,Other,106.33925648561944,B,-210.28485622645871,B,116.36472759393244,B,C,D,-107.86152100519502,E,A,B,34.9887759078465,49.08923423202608,1
Buddhist,Widowed,Asian,87.91205913980004,A,4.093169228067463,C,72.94147156425365,D,A,B,-112.79998147631038,B,A,C,-34.75274285778923,-61.698025605736674,1
Hindu,Widowed,Black,-24.816067205319897,D,110.79591822514855,D,157.4733430285932,E,C,D,-101.7575713505153,C,E,E,-5.828666466774716,-26.60560923011343,1
Muslim,Single,Black,9.614940375109622,E,54.54759210338654,D,41.69594296458287,A,E,B,-114.25051035044544,C,C,D,-114.04172994347441,56.15920332483615,0
Muslim,Married,Asian,-101.11257230344803,B,53.64563520919576,D,161.84083218240278,A,C,B,9.313721753725435,C,C,C,23.135144967961118,105.04963931205535,1
Hindu,Single,Other,132.66348308780624,B,-68.51900743789261,A,-287.28812383259975,C,D,D,-21.131047874451873,B,C,A,150.79566202857873,-64.10180647198607,0
Jewish,Divorced,Other,36.11792876760796,D,-24.82275714450644,B,96.70275400065908,C,B,A,-129.40418897528812,A,D,B,17.160677815214267,-190.75911488938033,0
