Disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Physical,174.07179865597337,A,D,A,E,25.88052962347018,109.77098621099238,C,-27.883103359734157,C,-122.18018436044528,A,E,E,77.68660921063135,99.51596423409342,1
None,22.620195724421333,B,B,A,B,-21.270359680225567,176.83120847891306,C,-79.57084714762492,E,60.45251644551877,A,D,C,-16.83044112762774,182.87293443837504,0
Mental,144.89596452273037,A,C,D,C,113.75833369955734,-45.647365243209805,A,-89.23146023584543,B,-18.07607580458352,C,D,E,-16.945820436493843,-35.601791995355484,1
Physical,87.69201993414788,C,B,C,A,-10.654519399484165,2.9734020724015324,C,78.84763021586176,D,-47.53390681949122,D,B,C,-57.13177225891659,84.21641704255592,1
No,-255.19179339275246,D,D,B,E,-74.48659995220031,18.87361740817602,A,-67.78550289302315,A,146.19978177269243,D,C,D,174.20826693480515,-60.324083150313555,1
Both,105.62938034494229,D,E,B,B,117.44824618871978,51.17469159196796,B,-137.10522089276398,E,-125.01172147716255,E,D,E,106.63441285772033,-164.92349442286482,0
Yes,-93.68784120932018,A,D,A,D,-22.716073893076075,151.28612898960918,E,-8.88211985542509,A,54.18915876974075,B,D,D,-9.67056155531017,-198.65595550949263,0
Physical,32.42693414293474,A,A,A,B,217.4010853890573,-38.360297053270045,B,18.954018502520636,E,-99.23753684644855,D,B,D,-166.3448702407557,33.814417221397626,0
Mental,-104.4895385240191,D,B,E,B,-108.16808843805173,-24.940550789315424,D,-118.12382561675592,E,79.80977139591556,D,C,C,-16.45137545526005,-41.358949470811076,1
Both,32.33348571469517,C,E,C,E,-95.74244808113477,-28.46535714526913,E,-95.16692495034668,B,10.9585035539582,C,D,B,-295.5299282325144,-6.932370228273782,1
Mental,-7.164443209660626,C,D,E,E,84.80280123022604,-8.24757801827744,C,38.6328477550116,E,151.42513497863376,E,C,B,129.34397851239484,-34.95611784979398,0
Physical,80.6766719212246,D,A,E,A,-60.805879256000594,-83.2292818550479,C,47.05436110210427,B,-44.754151184800804,B,A,D,98.17354561565334,-89.24741023530757,0
Both,-75.88751295742362,D,C,A,E,140.05828210562126,-59.920734465604205,A,-74.63058003776113,D,-10.925919460496637,D,C,D,14.990668156590726,158.38034221604914,0
Mental,-68.06613535669763,A,C,E,A,-174.3362600732465,121.86771375162981,A,-9.389169493221646,C,-22.27408058838478,A,C,C,53.49552624075613,-275.0462274625654,0
None,-118.18528597121009,D,D,A,A,-103.29765923309175,-168.4098501673987,D,84.18099139211311,B,-131.3661211972749,E,B,D,-17.839661636047403,-91.30775575604571,0
Physical,-77.88492024112026,C,C,B,D,-35.0227281485652,122.88698564309266,A,24.238859282455916,D,109.72899034902322,B,A,E,-61.34097955538551,-1.0483654649961918,0
Both,-50.57748438528501,B,E,B,A,109.7848873225272,-126.46769155993485,A,-42.822149430515424,A,62.45736664717395,B,C,B,26.477290163759438,114.67153952327563,1
No,59.92597362843474,E,C,A,D,1.6536277789608915,101.39974562409908,E,90.69654089572342,A,-127.36403075492709,E,A,A,-136.59317945027956,-50.62887065470443,1
Physical,-98.62144702816083,B,A,A,D,14.60745738376024,93.27193870636958,B,-23.102395309175094,C,243.7155143307532,E,B,C,-70.62131996371409,-115.13742295350085,0
No,-140.6650885332944,C,B,E,A,-113.56006272974297,51.47164890129488,D,-8.30467399882438,A,56.66059665946504,A,A,C,-122.67182288730811,-208.70418856428154,0
No,187.36393701210153,C,D,D,B,-145.61579070452478,-1.8366599782172013,A,111.6029923421016,C,42.0307981543609,E,A,B,52.48387364499045,-124.26221372877603,0
Physical,-114.1591298802673,C,A,E,A,192.49165335908168,19.038052643359794,B,-11.353763213521539,B,22.943295147813803,C,E,B,-124.34877660870862,-40.63366514666708,0
Yes,-78.54575263640041,B,A,C,A,-46.474274988854,5.646285706175778,E,32.51552992776443,A,-40.8450903349085,A,D,A,27.14584811518639,73.07367083838182,1
Physical,94.54597496719074,A,B,B,B,44.44819196284337,90.78041060478506,B,-134.12396477910994,D,-137.3172926325818,C,D,E,-46.804148179398794,3.602847394410131,1
Both,60.509723861880595,C,E,D,E,-136.7420307526735,-30.154733008998864,C,-165.14464738966564,B,-8.17371971150822,A,C,B,-80.66937418966064,45.710535511205386,0
Yes,14.800216903451298,E,E,A,E,140.6992545139585,79.63647763585651,A,-101.12632032110069,E,-73.81543126664756,B,A,A,-42.438700717599275,-195.68219389480626,0
Both,-48.37094489068244,C,C,D,D,-27.295403571282222,215.41898357356519,C,118.58762516058341,E,-101.91564171977154,B,D,B,-154.04871406872104,-62.44107117934992,1
Physical,38.86893767081288,E,B,D,C,133.47898996185194,-36.21993858118277,A,-21.93626065010264,A,-28.198962117345012,B,C,E,152.01064615870038,-62.63107176128503,0
