country,sexuality,Race,anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Brazil,Heterosexual,Hispanic,25,141.9320719807815,D,92.16271053936028,-162.60840361747498,B,D,B,B,D,A,C,187.43929190980143,0
Germany,Heterosexual,White,69,89.99475586766587,A,182.2878284342295,10.489631000269505,C,D,E,D,D,C,E,78.05407207752273,1
Germany,Other,African American,60,-190.91612283407486,E,97.74530413988624,-74.57984915029905,B,B,A,E,A,B,D,40.45063385080461,0
Mexico,Bisexual,Other,52,4.86163502582272,C,110.63055758265521,99.53276399804582,B,E,D,D,D,A,B,-128.83073328541522,0
UK,Other,Other,76,-63.586612577292414,D,36.143003663612156,-13.685947458773162,D,D,E,E,C,E,C,180.28239738671914,1
Other,Other,African American,39,35.10868525563645,E,0.7419437349642048,-19.9276751769008,A,D,C,E,D,D,C,-85.58818553182785,0
UK,Heterosexual,Asian,81,-225.1306322808541,D,-242.69030511364403,93.45613244461882,D,E,E,C,B,E,A,75.96857225406133,1
India,Heterosexual,Hispanic,29,-26.025318523520962,D,51.351486754584826,90.86643157406769,A,E,D,D,D,B,C,-114.39284061060577,0
Brazil,Other,Other,44,126.92450601846659,C,-45.89604209679902,51.644545871464395,D,E,C,B,E,C,B,-180.18314730929063,0
Mexico,Heterosexual,Black,91,52.76553436429842,A,40.27269526715676,13.12856775828215,D,B,B,D,A,C,C,-58.915090228359524,0
Brazil,Bisexual,Hispanic,55,-85.75335517783168,E,18.089646334485423,103.87068340215464,E,C,B,A,A,D,E,35.082692378723486,0
China,Other,Hispanic,71,61.66456352073011,D,-67.51905875465931,100.35950456821054,B,E,E,A,C,C,A,47.18120836499226,1
US,Heterosexual,Asian,40,43.71388278812042,C,-3.101650789263022,-133.45045458806263,C,A,D,C,A,A,C,-59.4087309720857,1
China,Homosexual,African American,42,24.772582316915265,C,6.5341679184671975,-69.47570765719104,C,C,A,C,A,D,C,-131.12199430648516,0
China,Other,Hispanic,82,-155.4484915849434,A,-270.09422107623806,-92.39629850287005,D,C,C,D,C,B,A,110.56651377233553,0
Germany,Bisexual,African American,27,14.085313286035738,A,-36.27736304843719,4.253749371674668,C,E,A,D,D,D,D,60.298462280657894,0
China,Homosexual,Other,45,-84.58585440167465,D,-2.1313911915587016,198.47298592903547,C,E,A,A,D,C,D,-23.004667609418703,0
UK,Other,African American,45,181.89834071695483,A,-24.402870901806537,-139.06203228728432,E,E,D,E,C,E,A,-74.22145082584275,0
Mexico,Bisexual,Hispanic,38,-88.79537683505146,C,-47.68193496048662,-44.73466865235682,D,C,D,D,E,D,A,-82.6424128348193,0
Brazil,Heterosexual,Hispanic,39,-57.827020186313014,D,62.93038631457266,-211.24708528818857,D,B,E,E,A,C,C,-42.47657147480815,0
Other,Heterosexual,African American,68,-78.26766101398242,A,-146.29489794589347,-32.51777569109794,E,A,E,B,E,D,C,63.80861704879316,0
China,Bisexual,Asian,76,-80.20403423641649,C,-49.123017463045684,271.63539225420897,D,A,B,D,E,B,A,18.817291205784535,0
China,Homosexual,White,21,79.28475461773839,D,-7.38631297767909,-117.31821965405429,E,A,E,A,B,A,E,51.91939574780229,1
China,Bisexual,Asian,97,-121.61802985770318,A,83.31685934281016,51.87312765363761,D,C,E,C,D,E,A,-39.22142509349216,0
UK,Other,Black,23,-82.92633631151922,C,14.312412106672534,-45.52091286138078,B,B,D,A,D,E,D,-44.38746449531182,0
Other,Homosexual,Asian,83,89.98365126290422,A,-42.177178522637995,94.86225213544846,A,D,B,E,E,C,D,-0.480955912004155,0
Brazil,Homosexual,White,98,114.07044296552667,A,-118.2525646630624,-112.32007087189093,D,A,C,C,E,A,A,-114.84205022899462,1
Brazil,Homosexual,Hispanic,46,26.489740354316638,A,-177.36770305947803,206.92744743691276,D,C,C,D,A,A,E,262.8950469457768,0
Other,Bisexual,Other,98,-56.18832090805239,E,-127.11787252878509,158.01102878025085,D,D,C,E,E,B,D,46.86270523688386,0
US,Homosexual,Hispanic,27,42.49172342269966,C,-156.65311495036718,114.2543288202455,E,C,D,A,D,C,E,-202.47793467371045,0
US,Bisexual,Black,34,-63.095436332755526,E,46.658104763057004,207.4086958734136,E,B,B,C,B,A,D,-89.60960709304162,1
US,Heterosexual,Hispanic,87,-132.0099744580151,C,104.7801837937166,7.137086280796096,D,A,A,A,B,D,A,206.39693916592628,1
Brazil,Homosexual,Asian,63,-17.868281798350914,A,-5.886604426241061,4.60902869821931,E,E,C,E,D,C,B,-35.00034273580012,0
US,Homosexual,Asian,60,140.5908866701926,D,30.510818186733957,-9.070680510885905,D,B,B,A,E,A,D,35.95753057577585,1
US,Other,Asian,66,-96.88389761360028,A,52.09622071633289,-57.201926177819175,B,B,B,B,E,E,C,-19.45113030183133,1
US,Homosexual,Hispanic,19,126.61671191523492,D,55.69222491341361,50.64633695145623,B,B,C,E,B,B,B,16.509222318399445,0
Brazil,Heterosexual,Asian,28,-33.18097602018828,C,-151.14967690535,131.2910300508835,B,D,E,B,E,C,C,-95.88983971645825,1
US,Heterosexual,Asian,51,-93.15809591804147,A,-16.10952551324903,-74.98340320743762,B,D,E,E,E,C,D,-39.52566940805933,0
India,Bisexual,Asian,40,-77.74604135422885,D,5.363457466453041,-50.7708623322227,E,D,A,D,A,C,A,121.04269677491901,1
China,Bisexual,Asian,59,43.67970287377177,B,-37.6084866825459,175.90439264498804,A,E,D,B,D,B,C,-115.19743664326232,1
Brazil,Heterosexual,African American,64,-6.676252991061925,D,-175.92473879360838,145.03313479354605,E,C,B,D,A,D,A,-129.86521930187504,1
