age_group,feature_0,feature_1,feature_2,feature_3,feature_4,target
18-25,-34.331125815294094,-89.2154154650739,-122.84042702501483,-64.16137216228492,D,0
51-65,-62.191360398214854,-121.34921940709988,30.019772230750597,-54.25956232076318,D,0
26-35,-24.553298562028804,-126.09318675371901,156.80595371696782,10.712623384781534,D,0
65+,-79.89714519669569,-17.94068745080609,-59.36123160259525,-85.53146445487933,A,1
36-50,63.18250754125827,149.37284788398998,-43.10184109465337,13.20155131709809,A,0
51-65,-80.91479582664198,91.14215850860643,-74.26300240537198,52.18557935055479,E,1
36-50,21.22120729656323,-25.182290347833508,72.49760904246257,21.835489969232516,A,1
18-25,-294.77521517360225,-40.81324724557203,-86.69195307984845,-157.9447063014419,E,0
36-50,-124.83704734490644,67.65058946944661,74.97274155446719,-72.91937308544153,A,0
18-25,89.58809091682596,-23.825913879821485,146.04508626677625,20.863905094520415,C,1
26-35,77.82251281018854,-65.2662771771571,101.83922883625804,-43.50943627924055,D,0
18-25,-8.524181102716188,-162.33245993515953,14.963571218592236,5.895515607393047,E,0
36-50,62.24505521407797,70.69344220417216,-140.74923470308264,131.22415593595497,B,0
26-35,-59.220663890338855,-51.57539644552273,-118.94164703659729,100.68306345917821,E,1
65+,43.75364309535215,-168.88535874789042,-40.88960469495115,137.8392047749159,C,1
26-35,-115.10201659047685,-73.65901838823675,-30.205504756972296,171.41085563049506,C,0
36-50,-106.49203163664338,30.577249477741397,-231.66030380805148,317.2098943087155,D,1
65+,-46.80789057750928,-155.24133625444415,-161.863217493837,-19.889527728735263,E,1
36-50,94.02279923215477,23.811662639543627,11.046231027705064,-50.1265345564032,E,0
18-25,154.72349170849978,9.506404111523885,-81.01256529184944,-63.4675490803806,A,1
36-50,-83.45166042264074,61.55376600682392,129.77449839792254,80.46754264052102,E,0
65+,114.15364045347962,8.239844968681034,-15.971896470352572,-34.86436806193227,C,1
65+,-20.67562908157479,-23.550559490664224,63.72636993325103,-244.6722890716287,D,1
26-35,-14.651890695114233,-126.23318319190653,-151.45178547682713,38.171248267988865,C,0
51-65,68.27518336245055,132.77216336656605,-82.27082010277161,-58.35253614783829,C,1
51-65,-93.26012623957483,15.541713637209797,102.74654087538178,41.44365498065143,E,1
26-35,81.85113520389069,75.19336053221548,-76.35495250705765,61.70470213494569,A,0
26-35,58.48120735194748,196.53237242437686,-107.49692505378405,-68.61463868120902,B,1
26-35,-174.82476826098923,-19.356022166280393,-168.764667536592,2.770801887129895,C,1
26-35,88.87741167803385,205.61762940148336,85.92327102134084,48.00700223859645,A,1
65+,94.848246911789,1.940163455760188,45.8370141788893,112.72664012132412,E,1
65+,93.46675614620672,103.91455974110411,-74.74210990594341,-161.29883021375127,D,0
26-35,-1.4590133723493044,-38.530624859881485,82.04242537133895,116.23711295067784,A,1
18-25,-5.550875875994655,-11.10293881157281,15.541748284654973,111.2800336495434,B,0
65+,-7.831842329073623,-67.62976329826063,-128.55768145714265,105.74509524263864,B,1
51-65,-11.257735916665109,-145.50934514610898,96.35784854732186,86.62710250123413,B,1
18-25,-14.576375800433276,8.696287267205511,-101.86831564706279,-4.051908443322592,C,1
51-65,-34.53245011858961,-104.93903270815335,99.76804842218631,50.33127817453503,A,0
18-25,-290.77768540732916,-164.9559192071734,-121.5362467353137,100.63851957476109,C,1
26-35,-23.188401618091845,-29.010340541668455,-53.962092565928444,73.15914925055075,E,0
51-65,89.81766017191337,39.07288998895127,4.975005582301905,-56.35826888873313,D,0
65+,-32.025759327160195,-16.44048655762666,8.129784006100078,-96.61505251863662,D,0
65+,10.54960145841259,-34.81016388659267,82.59957713389028,-120.15109152581556,C,0
18-25,19.40162465747266,28.120968991498557,2.708886453325179,-31.25998640733403,E,1
18-25,140.38475307458293,-81.89790500658023,-50.314581270108995,62.14228166402381,A,0
18-25,-28.97769847607517,-104.16385119737434,67.42786820298903,193.477360743961,B,0
26-35,216.96501893536998,17.994346436946184,121.28105225151087,41.2048954346114,B,1
36-50,73.61152949457521,-122.53148813094063,-58.61696582865905,33.24893468532444,D,0
65+,105.54367758551113,4.813128132095869,156.57669989345018,-40.11151884519612,E,1
51-65,114.90083603194286,-26.870337137103935,-120.93417722051886,192.35054025762784,C,1
65+,-64.21202053924485,100.888511629754,57.990975211082265,-69.260935594305,A,0
51-65,-104.72782784164096,-12.665661358985872,-19.373459094663414,63.86282022201291,E,1
65+,10.115038173654115,40.85407820101015,52.07456062548824,136.1095782815974,E,1
36-50,-29.817398233874325,155.80386540807822,151.18544413618076,-59.97977260410159,C,0
65+,-36.90794269353283,-35.962749219321246,46.884444513038325,-34.732365706099365,E,0
65+,-62.098735861790544,-56.83181414409151,-30.500789121148188,87.13014598456995,A,1
26-35,85.28579869182197,189.23843132660184,49.7236515454799,135.27240075620128,C,1
51-65,-55.559065243433146,69.19316780413965,57.19159743791713,-294.57067078088016,A,0
18-25,-88.23201025572213,1.6744126342856454,-97.09755203384074,98.14599945904523,E,1
51-65,13.903109504138857,-149.1609411854719,131.78031671234197,104.00805332711238,D,1
65+,43.735379568258345,28.29484468289366,-45.803467791755146,139.8701759923901,B,1
18-25,-49.011152341959175,95.88168173849569,-37.97122627601915,-151.19200549188844,A,0
26-35,-3.5279335193744275,-100.13789321056498,29.781860949375126,-270.1113135518446,B,1
65+,40.939985012663236,-48.465509697973616,-107.7491712776339,68.025562207078,E,0
65+,6.784253622402227,-146.10079174140958,-40.93006929296191,-135.68610159250073,B,0
65+,-97.21520772505185,-34.57228375189235,-111.70449764636128,182.24177522628176,C,0
26-35,-162.06541370372435,137.94635327881116,8.3648124153777,-105.65252084016905,A,1
36-50,-119.40034963365098,-63.93780243113564,37.720464498855485,-36.27350037234944,A,1
18-25,0.6459800372103738,151.965772475962,-217.67989705183678,103.26359910719299,D,1
18-25,190.67692572179058,61.55249963820694,37.0944013799127,-135.02301509526234,C,0
51-65,57.38786156550454,11.509977418558092,44.92577086369802,-200.93582197738837,D,1
65+,49.22556907292243,-108.30480380697676,32.57884020034404,-73.38288848501999,A,0
18-25,-40.67711344309422,-112.60220819175215,103.38619320451747,41.84704463103558,E,0
51-65,-140.8362325345506,32.68985370016927,30.523714811877234,104.9945733076252,C,1
18-25,-16.00329296156298,11.615495237019356,-158.93205763872226,-1.3064955116720047,D,0
65+,-106.79781481691357,4.884872155657088,42.57044940813531,68.64544367413433,A,1
65+,166.43212558672974,35.216897241334124,53.55562925945918,11.256688754547298,E,1
51-65,7.555531303087075,-68.37107875894934,-30.56308995496943,-85.61939639787775,D,1
51-65,84.29524619241467,-85.80141702880523,199.73572381781077,81.9628043624775,A,1
26-35,-55.968314191985826,-227.6228917792937,24.589017709103832,87.81962345542331,B,0
18-25,47.58334690733519,107.02622710834875,166.0291419667624,-105.99739453501189,C,1
65+,80.90038384495492,-2.985168762390419,-89.37201100437025,-13.812919287775738,E,0
36-50,-306.2682972152495,-16.659094147117955,-54.59450428320236,-89.74505561062125,C,1
36-50,-72.98758269865394,68.20710915036635,-7.160245031015537,-56.51398658926043,B,0
26-35,-195.86809904576305,118.54603850603114,-3.4857481010573212,61.04516223105344,A,1
65+,47.99200459127048,94.43372281810576,-203.89383481687662,35.27483773096477,E,0
65+,-145.21407238565294,42.62461244386817,37.530404652934024,-229.81392364054122,B,0
36-50,-90.92457535363152,-82.75540454242923,-55.87282676654637,-42.80670275511495,A,1
51-65,-4.549302207496702,7.4895995774645225,50.49931514986492,137.98549457738508,A,1
36-50,-247.57055823166664,-49.64140101641028,-59.69007148524111,-90.34280912875555,B,0
26-35,32.863568014018966,-144.8292290497123,3.6676485708455857,78.86385312898369,E,0
36-50,-156.0190284000135,147.8698251520105,28.404702358240403,116.82110911554253,C,0
26-35,-52.70761895748609,-86.98110223606133,-197.90628636807057,-13.234337533457893,A,0
26-35,-117.2718956411472,105.06516157953641,116.70341378875706,33.75564744138458,E,0
51-65,-62.987175679372,-38.75393156963749,108.27653173540772,-83.39341738578206,C,0
18-25,-24.3111238042008,-147.36259449566361,78.12523902763843,-48.24701046306643,E,0
26-35,-111.64219739070553,-16.011294366804538,70.69611733454379,137.84387953039624,B,1
18-25,-51.17337577837849,-85.62028111859622,-130.31751358898177,98.55016811891382,D,0
18-25,-97.48851888147807,-26.816856266813883,-50.89265119934161,13.618632365550335,E,0
26-35,225.99212576490805,6.724457581154235,-126.26514732665125,18.195165957321468,A,0
51-65,-147.00993414025157,-8.326630020525892,95.36215731351709,89.83200699965555,C,1
51-65,140.5792698503551,18.545961878387743,39.43761958545788,-187.53036395635914,A,0
65+,-39.274214393048766,76.01009570020047,-208.54335513241972,-62.38761608123284,E,1
26-35,6.493877029415495,111.62734457596044,69.94152453347452,16.08812037099107,B,0
26-35,28.506545596038656,-226.05658754433117,46.36763425766679,83.00658323857807,E,1
36-50,87.35327848623695,-45.429097149529554,115.5376602425219,-46.73816113480896,A,0
51-65,35.01927625173582,-18.94667871808919,29.696199371156656,5.5947482293739315,B,0
36-50,-134.16176671861038,-126.75611895167853,186.9295479482683,-54.896589916295525,A,1
18-25,-64.44587111643368,35.95569072558942,26.41000955069885,95.5377731232433,B,0
65+,-124.86803094346104,16.01725808229098,-48.20962188756485,-160.40627572937004,E,0
65+,-48.14568959455323,-49.69416928115984,-180.97616518069125,83.11587230492633,B,1
65+,202.68112415085332,-88.07209605476226,-62.25267012130066,8.540417942573336,C,0
65+,-4.441727954882109,-19.859017213241756,-150.8800300281328,100.17709912280783,C,1
51-65,120.1135585969287,90.48861884971944,155.19675264650837,-29.187828004812538,A,0
36-50,122.30160303261852,126.22215248779017,99.49809271862216,33.26085623811199,E,0
36-50,-6.319316221490628,109.8097464524223,175.61355217555626,-166.35076382854737,A,0
26-35,6.931960279891013,16.247429577969736,19.74452978535651,36.50011886481646,A,1
51-65,-53.161445541005016,1.6512649729092062,-13.976190858546259,-101.18929616464534,A,0
26-35,97.72096222855147,-257.24414691381867,-45.107726107652006,-66.98209482721025,C,0
36-50,121.22636754677896,7.761204270961304,-50.902944465550945,-12.765937475685638,B,0
36-50,113.03646434814195,-206.70814089637352,-75.05924423256184,32.14289096531375,B,1
26-35,-17.81254469164336,-65.67541911477646,38.919863232025115,-148.3428253538427,C,0
65+,-25.242675830929755,-119.87731704170888,51.39513835699664,89.7502773202257,A,1
18-25,-43.27721521850359,158.17167714903456,49.19355049692351,-36.2697813553996,D,0
36-50,5.063391208662742,218.5257570517542,261.42642326351626,-78.48469091970904,D,1
36-50,-4.93675351054939,-66.03759415638235,-92.81632065995343,-24.144880371350645,E,0
65+,-60.9852680254851,-185.0245488859302,177.39669083790756,40.90368932342919,D,1
51-65,-161.5833853367602,-3.5360067690849992,-183.84114606400567,-74.55855306033037,D,0
51-65,-106.77259718752241,30.946450249579716,38.81957535246898,-5.408649741791259,B,1
26-35,133.58813687794,-38.151123495586575,76.46994647298875,24.166645852404383,E,0
51-65,-91.44619716277485,69.36105800413404,241.11567116481103,-31.050486006198074,D,0
65+,107.66821086794849,4.618571229017369,326.46164464208726,-36.852946432539916,A,1
26-35,161.33378170256742,-92.57222934383643,-24.264507516180252,-29.92804447129928,A,1
51-65,-153.1488164195988,82.2492776301024,15.619963539205898,21.284476753447837,B,0
26-35,84.68335423405173,-41.66812220683788,18.167511448155132,-110.51360357542666,A,0
26-35,59.808390244986,-22.454267988357493,25.860760513044728,-162.39436112986226,A,1
36-50,-128.05093337251978,26.06731722344752,79.75977448548332,151.49359136220514,C,1
26-35,-46.226675670342445,45.237009048142966,-20.940437979481,-200.30965969827434,D,0
36-50,117.26143309537478,26.792631810914948,11.735352289121275,15.559823809061921,C,1
51-65,73.47536400553916,-49.047551151843585,-117.36416738531838,40.23734450576853,C,0
36-50,-132.74840654795247,-56.09134120951016,-54.71133587681304,138.12115466038307,B,1
18-25,-114.36379899329823,143.58691820851354,53.16407972182612,30.647308450702436,E,0
26-35,-22.29685455113782,107.28946492711917,136.07493649786983,165.00340678108276,A,1
65+,35.900301467769594,134.21863885164143,-10.210229436660079,-29.45993595705863,C,0
51-65,149.76130059833002,111.54205840115148,-21.755628722071048,7.514037346361922,A,1
26-35,33.77001839076575,30.763122032768344,134.54085100665841,-32.01576068655781,C,0
65+,142.60224375814275,43.49421708640482,-65.30197795612332,-3.3036910470608665,E,1
65+,-65.57417326255391,71.23574437112595,23.520165993511675,92.25742239890936,D,1
51-65,80.95797811352293,-197.18080796629116,-103.7508755703967,-58.1620172083164,A,1
65+,116.00742924465575,7.51610182305009,15.223086869047275,-193.47218331960573,B,0
51-65,-86.21420431470156,-14.197381099103671,21.1583451247833,43.67222184535082,B,0
36-50,-123.8444916717931,-17.357206595701243,-28.874415886230647,-230.96397229872557,B,0
36-50,-10.932229249774478,-166.6226330394718,-23.436248045286355,-134.2726314189926,A,1
26-35,-31.28161326428175,-166.83955493989814,162.7348160623393,52.60570292035658,C,0
18-25,-104.16363537883365,-62.66838022968939,167.51839473916027,4.128514044942936,E,1
51-65,66.09327506163855,-137.05383995286175,97.78113470707316,68.79948283761881,E,1
36-50,-27.586212957317528,-19.77077201852991,128.65229966355457,-120.1281857319398,C,0
65+,-22.365006174812432,-27.84714194782959,-282.93469205547154,-24.460476337977774,B,0
65+,-131.85498624432736,203.0721106866964,142.93395581618879,3.3880603307601334,D,0
18-25,82.09560274238146,-80.33909469300765,41.24677708157856,95.43954677414489,C,1
18-25,135.98600008070943,181.64341657147904,100.11257762960848,-47.125184090037756,B,1
26-35,17.3622332938827,-79.50808146554805,103.30369854397028,123.27313575753487,B,0
26-35,-48.372032041551265,98.91236976345577,3.3649395449548507,2.2063503125712223,A,0
18-25,-42.229642474630424,55.60509651375207,-73.62462628641406,-110.27879520185131,C,0
51-65,39.711163133487574,-71.62986513831103,94.5456529107248,45.41167658712699,E,0
65+,-171.19626413936214,73.74190119727292,-45.76383814306971,-4.24120930068264,B,1
26-35,-49.107401001721065,45.533133223806935,-53.76747179410047,17.174867085529947,C,0
18-25,33.12298998004616,-80.61835416079266,-158.59745695034826,-84.6848229087119,E,1
18-25,-29.64269190343994,29.143411442001256,37.55556737417828,1.4923645371950995,D,1
26-35,72.91422586697479,-106.73422943620265,46.24844002768905,40.55889620205868,E,1
36-50,46.513977492203225,29.91657095421,-67.93906869170777,-145.75962960549543,C,1
51-65,117.0453597188818,143.1196112351818,-111.2967359716279,75.51103628173566,C,1
36-50,149.4279611224911,83.72167755746494,-84.55012364941604,-62.053662731579465,B,1
65+,26.755659420643696,-5.73828827683431,149.09126284000342,52.06281188996649,C,1
36-50,-40.846549989887095,-69.22762008495789,27.54233927653069,-152.74429226791358,C,1
18-25,-46.59156587019714,5.540588605006932,-124.97712315383967,23.80644957719454,E,0
65+,-61.26848379478671,114.89907561697017,32.296106158965536,-0.5408226411657918,D,1
51-65,-117.18407561867063,-20.72906901513098,-27.57249752448133,-11.566152913143496,B,1
51-65,156.07281255045936,70.7944050914861,55.44416968781207,-97.68161084136221,B,1
65+,106.48536014186136,65.60914670083235,72.18682805330717,32.191694595031954,E,0
65+,18.577258420300595,4.902346958272108,120.94736170728022,11.498102730371038,A,0
65+,172.54588491393537,-116.6058169669903,132.42313904057622,10.317932974419424,E,0
26-35,13.26449247062667,115.09327026749001,-224.038862329922,-58.09870196031157,C,1
26-35,32.231806726538856,109.15462550857606,15.334912623420289,-60.694297427582825,D,1
36-50,-63.66451335056593,-57.62814854545678,296.7541143696422,11.776979640017757,B,0
65+,4.344306425700873,-54.24786843925713,99.68885432333876,127.37823031518816,C,1
65+,9.088680280815986,-49.643253834644085,-36.14862445280593,60.71352186991936,D,0
51-65,154.55750609505188,0.9545682780946585,-20.04711976945481,3.005097420430132,A,1
65+,112.95200650767411,-8.982251373281084,46.14638086407869,-13.216385528137382,A,0
51-65,48.34111868424197,121.14475146848214,71.23003153681672,-105.09554769464233,A,1
36-50,-71.3180732052811,-0.3718423457264169,-145.65360383880937,-71.08089260382837,A,1
18-25,-97.42854252930984,59.35280607657916,0.1591506635854156,91.66914107592842,C,0
51-65,-42.325945582564884,33.142996800928266,60.32147496127822,-84.12850124746812,A,0
36-50,-73.44557408115507,124.89710557289983,-9.175974035706783,-20.583412175796685,D,1
65+,16.805989950514935,69.4527347227678,91.65122572397138,2.3343443630180354,A,0
51-65,-8.658675013861513,-13.018840481546103,29.05257392141114,-53.261113800828,A,1
18-25,-2.2376831655245724,-48.30836445014009,49.52230460934307,-192.1421162322561,C,0
18-25,-31.075798744312944,-10.859202738412202,4.884392161272697,-109.42360769430577,B,1
51-65,-83.54606298204901,108.45271303017425,-62.29350382469273,-175.33384599062663,D,1
