gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
Female,62.32290194702345,64.43492704541912,-42.77895753222513,E,A,-121.8188528208114,-158.9074351916418,A,-20.530173436324517,-159.94759036217297,D,-140.22857569543342,-119.61764836818594,-50.44308674262704,-106.18567736303137,78.60636184852693,D,E,1
Other,47.74899956496187,34.351540313192665,-9.929982769478508,B,B,213.75888018599193,-51.10043424865809,C,-67.6724423814059,97.65079312878345,C,-111.37810733281246,12.37803518699367,29.07312881603233,86.75398207080546,154.1026204480212,D,A,0
Other,63.424375150659564,-227.11676685491798,0.37436935200080446,D,B,-108.40707792026514,53.389579951954126,A,18.39356282547419,-0.7094081659349675,A,-145.66166346356357,-151.94816917853493,-128.29011291700988,94.14289883781996,26.479148652524167,B,D,1
F,175.4040435278549,-116.18634597091209,29.73685341567221,A,D,-128.7495594715532,20.620628235600346,E,200.51142084665275,91.78629324554376,A,-132.13052681043695,-23.032938852113062,67.80286420069912,196.82045439577428,127.85083955643788,C,D,1
M,-39.941095744001395,-200.67743593594471,-0.08362616112632232,B,E,-18.46286254419035,-11.992898006914983,A,-159.30499765592018,-29.171826750597603,B,-96.26093617612594,74.81467694788459,13.66899339334838,-9.270657523375752,-44.74326920446336,A,E,1
F,340.5088273820398,-15.785707158723048,57.133774555521,C,A,-142.69343909807105,-129.1057807591281,D,-29.97891770374209,38.809646846526796,E,94.69338448654202,-122.88381331394447,66.6895430584903,149.60450907748552,-30.160324298085133,D,C,1
Male,19.238912113701993,-80.71054115543257,171.6535763031336,A,E,-51.43968940764493,-92.09892912616286,C,-8.316139508734672,38.66789027396434,B,-94.80405340336902,-93.96650370712905,-98.94538905028662,-205.48766635820388,-39.81513694985043,B,C,1
Non-binary,-69.78726728056554,-53.15055828829767,-1.0115728003067777,E,C,19.57572309849234,77.87977014167835,B,-68.27383132902658,-137.6292316409446,C,15.954283485811144,170.75105256940427,80.99320452350234,-303.6577514315361,216.48229986378405,B,B,0
Male,-137.93367119854568,60.72552026376913,-84.12171054629182,E,A,31.07498993031264,32.91102568787612,D,80.45899950251577,-30.38614752310901,C,-137.2899970114409,77.50702174818584,-119.6135541591621,-84.50268619401469,99.05014731769317,C,E,0
F,1.1249880105981354,-59.780036634987454,162.2901137813995,E,A,-111.88164697653913,76.05353941903887,C,225.8964338087079,-114.9850071775689,C,123.32528697247523,3.9585249384874963,-38.171795954386376,-113.23789810333966,-50.71704896703992,C,D,1
Non-binary,20.480107743335743,-67.51622679070799,20.155430977762567,D,E,159.6665458121442,-112.71773108305688,D,234.8221109856437,-100.39045043874938,E,-101.98549577698553,7.961950999962282,75.19144306183276,89.14651243101424,36.97118926976202,D,E,1
Non-binary,82.1420378706769,185.44570613947508,-63.71229810943942,A,B,48.94801412262232,82.03513092164198,C,5.176791429376818,-81.38883400961717,D,35.97432807841204,93.35189420155886,-90.51496408305334,-106.26791685068126,140.3934874639041,D,E,0
Non-binary,114.31295191157045,16.86464960801858,8.742867716514628,D,A,95.56268118813823,43.899747613207204,B,49.90569354663984,216.04533078753096,C,-127.01322868535148,-50.446121192130974,-39.4281316473433,-127.63611880135555,-93.46074518674415,D,D,1
