age,disability,gender,feature_0,feature_1,feature_2,feature_3,feature_4,target
26,Mental,Male,B,-29.771684815733433,A,C,B,0
50,Both,Male,D,-153.7036625337457,A,E,C,0
23,Yes,Male,E,-157.62017427216745,B,B,A,0
23,None,Male,C,-85.9062805447256,D,C,B,1
34,None,Male,C,-42.1725641195168,B,C,C,0
75,No,M,E,-65.24637442504851,B,E,A,0
65,No,Non-binary,E,-150.73400302558457,D,A,C,1
77,Yes,Female,E,222.22111887079205,E,E,A,0
26,No,Other,A,184.72254022985265,E,A,C,1
63,Physical,M,A,66.32696283355511,C,D,A,1
58,Physical,Other,D,-82.1930083890035,A,E,B,1
61,Yes,Other,B,-125.32215495555432,A,E,C,1
35,None,Male,D,196.05246808293384,D,A,E,0
27,Yes,Female,E,-63.383033808989396,A,B,E,1
68,None,Other,B,-5.0162681422286575,C,D,C,0
52,No,M,C,-71.82383140263877,B,A,D,0
76,Both,Female,B,130.4745100726243,B,E,D,1
70,Mental,Other,C,51.15572777476155,A,A,E,0
79,No,M,D,163.37881579525845,E,D,D,1
63,None,Male,C,192.1824118951982,A,E,B,0
74,Both,F,D,-46.21601006704754,D,C,E,1
50,Physical,M,B,-92.54464774223335,E,E,E,1
51,Mental,F,B,181.49552877855567,E,A,B,0
68,Mental,Non-binary,A,-71.157337030042,C,D,E,0
43,Yes,M,C,-222.18274468271298,E,D,D,1
62,No,Female,C,-81.21531740961139,B,B,D,0
42,None,Male,E,41.38582432713447,D,E,B,0
73,Yes,M,E,140.36649940302635,C,B,C,0
55,Yes,Female,D,-19.916349421352553,D,D,B,1
64,Physical,M,B,-64.71643638389746,E,B,E,0
67,Physical,Female,A,81.45716057660755,C,B,C,1
79,Yes,M,B,-15.646534566767867,E,E,E,1
76,No,Other,B,-70.94146102266565,C,C,A,0
79,None,Other,B,129.6612035805354,B,E,D,0
28,None,M,B,-63.072930509736395,B,C,D,1
44,Physical,F,B,-98.29397324688024,E,C,E,1
36,Mental,Other,C,-131.11165340056075,B,C,D,1
42,None,F,B,-93.3843163381265,E,A,E,0
23,Yes,F,A,-140.5002490749513,C,E,C,0
46,Yes,F,A,-18.309525994552796,C,B,C,1
61,Physical,Female,D,78.06094759226497,C,E,C,1
34,Both,Other,B,68.84894256288105,D,B,E,0
49,None,Male,D,-73.53285387421408,A,D,C,1
65,Physical,F,C,76.25675429888514,A,E,C,1
75,None,Male,B,95.40843434910289,C,B,B,1
64,Physical,M,C,-24.318242172055694,E,B,D,0
34,Yes,Female,E,47.04536439707477,B,E,C,0
34,Mental,Non-binary,E,8.924891114209574,B,C,B,0
21,None,Male,E,-34.7294459281813,B,E,C,0
51,None,F,C,47.892178179158925,B,A,E,0
67,No,Other,D,-64.82544354529632,E,A,A,1
30,None,F,E,-19.480844623616814,C,C,A,1
59,Mental,Non-binary,C,-2.265386617521614,B,A,A,1
31,None,F,C,68.87267364745495,D,D,C,1
19,Yes,M,C,-140.7498844183643,E,E,A,1
18,None,M,E,100.65281202597352,D,D,B,0
55,Both,Non-binary,C,-85.53869222128677,D,B,C,0
45,Physical,M,D,84.56856457802563,C,D,B,0
36,Physical,Other,D,-1.0595988294846017,E,C,E,1
61,Mental,M,A,-118.67937711469393,E,E,C,1
78,Mental,M,B,-13.121401725623638,E,E,C,0
31,Mental,Other,B,-61.77623279211611,E,A,B,1
57,Both,Other,E,-62.35104868975042,D,C,D,0
35,Physical,Non-binary,B,103.37067326876961,B,B,C,1
42,Physical,F,A,-39.87900225333248,B,C,C,1
50,Mental,Female,C,-5.322981108282831,E,E,A,0
50,None,Male,B,-13.985630921914924,B,E,C,0
35,Yes,Male,E,-45.7052107494252,A,A,A,0
37,Both,Other,D,-0.04195853288040499,B,C,C,1
44,Both,Female,B,-129.95316805771688,C,A,D,0
45,Yes,F,C,17.346963716410666,C,C,A,0
35,Mental,Male,D,134.6550020213149,B,C,B,0
75,Both,Female,E,-51.181571384108416,E,B,B,0
55,None,F,C,-6.16800337300683,A,D,E,0
27,Both,Other,A,-126.37556691035716,D,B,E,1
64,Yes,Other,E,29.500098062196635,B,E,A,1
49,No,F,E,46.407711709265634,B,C,E,0
75,Yes,Non-binary,B,79.10737306675209,E,D,B,1
63,No,Male,A,13.413918028729174,A,B,D,0
29,Yes,Other,C,86.89000170641359,B,D,A,1
78,Mental,Female,D,-177.82860362095286,B,A,D,0
35,Yes,F,B,74.66145252355247,E,A,D,1
