veteran,country,RACE,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Yes,Mexico,Other,Other,E,-55.07611168255996,A,155.32479254261708,D,110.22194270023829,-50.69086911439293,12.773506776444075,-7.851163563318647,D,A,-52.15015014583961,B,C,E,D,-5.262466557130574,1
Non-Veteran,India,Other,Heterosexual,E,-95.316525049042,B,-131.89540492332966,C,32.0798775885515,-233.899641917239,90.02247729998237,130.39152837739195,C,A,-24.366073200394027,D,A,D,D,-156.37348511046423,0
No,UK,White,Other,A,-44.84551958923686,D,-155.36229056804703,D,-99.68151852470373,-105.87362227264924,-126.62629952528799,3.301999146551214,D,E,36.37084258749257,C,C,E,E,-157.51781887046653,0
Non-Veteran,UK,Hispanic,Bisexual,A,14.688546485104666,A,46.46874056471296,D,-23.899583822555996,131.07582384175745,-9.193406694909607,100.19296216160025,C,E,-49.1081507516313,E,B,E,A,91.13840052751866,0
Non-Veteran,India,Asian,Other,D,-234.63888640164788,E,-70.01838996344183,A,4.2915795579749085,-103.69920104378653,28.853976197130283,-103.27279483464812,D,B,-210.4740965437295,A,D,E,D,40.23500911908451,1
Yes,Mexico,African American,Bisexual,B,221.89712425819624,C,100.24683961391933,A,130.8491858692314,-4.5897648565369025,-44.30092545183291,-2.1801368096011227,B,D,86.91347197736611,A,C,D,C,85.53516347590504,1
No,US,Hispanic,Heterosexual,A,-11.820638917214623,D,27.394065868689506,E,-175.533078747156,-131.53562388256725,-26.552139470299203,41.77913410695434,C,C,107.93486764845622,E,B,B,A,-38.80559179588137,1
Yes,India,Asian,Bisexual,D,19.8813409346016,A,-26.229754213651436,B,30.71444527145552,66.33058316072456,158.48818896114614,14.545031584553236,D,C,-19.167082880642656,E,E,D,E,-122.48169213867467,0
Non-Veteran,India,African American,Bisexual,D,36.82553314368434,E,-114.98261537069803,B,-114.90968333137081,35.67014110345504,159.17027725208277,-126.440156108523,C,A,-44.53758359548941,E,A,D,B,-62.47243449370941,0
Veteran,India,Other,Other,A,-52.89149068016994,A,78.02289761921128,D,-12.563579908697225,17.35680445407365,-253.37547097465105,121.32644422906489,B,D,-95.89382678912234,B,A,A,C,-7.157553972902752,1
