age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
18-25,E,-133.97644596294373,-323.9712348672011,44.304370228590315,31.768963323297474,B,A,A,20.335066698280265,E,24.026715605487077,E,D,E,D,0
51-65,E,-1.8864838036896072,41.90144500845792,-47.077348936953314,103.49164751653694,B,B,A,-8.92730498362949,D,-16.4917431947923,E,C,A,A,1
65+,B,5.956976774332261,88.01094416692828,-42.518794288594684,103.43275554805508,E,C,B,-57.01576330353447,A,-1.7397706391782322,D,D,A,E,1
51-65,C,-139.2800839261473,-79.28848404828337,150.02921705601636,114.11167711262242,C,D,B,-79.86929485316678,D,-91.30822853174875,E,C,E,D,1
51-65,A,3.296586578989972,-12.003323178903361,-99.4645245450216,71.19066191464935,D,E,D,-102.98647225911061,B,-93.2060176778526,A,B,E,B,1
26-35,E,-2.4744334638706946,-129.0867913755102,15.28037009351505,187.01796739136475,C,D,D,106.19571146197113,E,4.101490549122645,B,E,B,B,0
18-25,B,-131.6205207807419,-3.469970758865567,-18.366738298596772,138.61109373663632,D,D,E,71.08539952107512,D,0.2734285910497749,E,D,C,C,0
51-65,B,-58.778002804712095,-46.37262726051309,124.66627668561621,127.43753311800374,D,C,A,92.41107022330215,B,5.259311414111746,E,D,E,D,0
51-65,B,18.709384116185824,153.6065390266397,-91.43571799802976,141.33686608779465,E,D,A,-66.62848167159204,B,117.65533753034012,A,D,A,D,0
18-25,B,-72.26086321071483,-21.453894314668936,-33.8826730836471,-134.0403730264597,E,D,E,-91.91594334216005,B,-42.58014333648501,B,A,B,D,0
36-50,D,-109.53081295172358,-34.91560330506196,-103.36537162798179,1.7039411877780593,C,A,D,44.59340701441576,A,-211.39693337528666,A,D,E,C,1
51-65,D,72.50806461048141,-60.432672442044876,62.161162172754814,-112.69662414702752,D,C,E,123.68611951287134,A,6.41749156160154,A,D,B,B,1
51-65,C,96.87287847215512,-68.49354318653378,-222.8589909405364,-73.00628566148139,C,D,D,66.78845344037173,E,5.493787655089179,A,D,E,E,0
26-35,E,159.83926181418224,-95.51622235510551,67.40175204582471,159.14636239725473,E,B,B,-89.95712669730374,B,-26.081301129591743,D,A,B,E,0
51-65,A,-26.306706690184505,-39.7833629701229,6.2698718415012555,-23.642961766615837,D,B,D,39.36371176880111,E,85.3200468142587,B,A,E,E,1
36-50,A,-76.46918577491101,142.53072483445126,-129.13316077443605,-85.1397616641553,C,B,E,95.30772713243827,A,-140.58889619346567,D,E,A,D,0
26-35,E,-73.74824237824555,-50.586523931212966,-54.13020809909461,5.424976746185728,B,E,E,-63.0490250397777,D,114.52790634220966,E,B,A,B,1
65+,D,95.89513938155459,-100.51218162081132,-30.32361686112758,78.74612148458935,D,C,C,-226.23868559129417,D,-48.02079484059768,B,C,A,E,1
36-50,B,-112.05077966430159,13.133742379078376,-83.85182526162303,70.72146244905092,A,B,C,96.4868192623273,C,8.593854412242429,D,E,D,C,0
65+,C,-151.18742871525254,102.42437794794319,-63.57994544339542,-24.982825611028577,A,B,B,-70.02036069819178,C,93.72774049023911,C,D,E,E,0
26-35,C,124.28189322641758,-61.940718788640694,45.777271451711876,84.4307981111447,C,A,A,128.58567752473843,C,137.17031191589882,C,B,C,A,0
