birth_year,Veteran,disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
38,Yes,Yes,C,106.19724713899012,A,B,35.07187194018282,52.08900442393873,-11.291048938677289,-128.82006216950577,C,A,B,C,E,-12.25152984950008,70.00882803111791,152.11334946538742,130.32136974875044,1
54,Veteran,No,B,-31.687658293391763,C,A,-18.12425640611898,-11.61865417287057,-93.65111953560906,34.77830526143729,A,C,B,C,D,-154.52253074356636,-64.21726100828214,79.86125787244728,-36.75179725268631,0
59,No,No,E,45.87554107040223,A,D,213.61020689861746,-102.94237840839008,-33.57070873395481,77.29313163480175,B,E,D,A,A,-122.9418330642541,146.48444262485592,5.743088216758329,77.79118160177518,0
66,Non-Veteran,Yes,E,-89.85492452292833,E,A,117.9468562492463,-1.1339896367088806,-76.5970439035443,-48.138345366460776,A,A,E,E,D,-51.40428669158609,-97.37256870200196,195.5407167907495,58.276346670998805,1
49,Non-Veteran,Physical,E,-6.768853924067053,C,A,97.78072283795105,178.45565914987128,-198.150538652201,140.18411961021343,A,A,D,A,E,121.45187683844823,58.95851101686377,137.24573908349208,46.04081071144553,0
40,Yes,Physical,B,-58.19113879533672,E,E,-8.746369723727527,-141.027594935943,33.66483382051355,-144.3901339194892,E,B,C,B,A,53.34554318018904,23.48735846649592,15.415605209636743,-93.4234954827686,1
75,Veteran,No,D,-4.6110349857978195,B,D,-111.32769984065123,-74.95074741222678,42.383421353578335,5.678795316297377,D,B,A,D,D,212.27604031185575,-182.54988418705793,130.32888497446064,-95.69550353240321,0
22,Yes,Both,D,35.56972672670452,D,A,-47.35939896083217,-193.9763055644292,15.828465542370232,21.94354998881512,C,C,E,D,B,-7.967529018962635,-147.8318086202199,152.184415125643,21.305517018940687,0
75,Yes,None,D,60.395172064099526,C,D,-1.4619870914293054,8.17688484700028,-98.55426045447697,-48.21002463529837,E,B,C,D,A,78.96915309020179,-67.6412822133373,-55.83273017608262,-46.1608859875226,0
53,Yes,None,E,-47.452733610779234,A,D,7.639097493863744,-19.69310988989844,119.07800075873976,-174.6029227305623,A,D,C,E,A,-101.31233475184978,136.34687213072658,-100.74220678690978,-168.57801480776743,1
60,No,None,B,-130.55006925599386,E,B,62.66801371304441,-283.57683308988794,43.3142951714259,5.4117042181194615,B,E,C,B,B,12.678776843987416,-17.14056583252325,-37.10370278685418,-80.68015018880263,1
18,Non-Veteran,None,A,-40.99307656047914,D,D,117.5043312316025,65.69268677666618,-208.05313800154624,83.17438150573942,D,A,A,B,D,28.54907631161467,-92.67331411663736,68.24182441554902,-17.487267006375546,0
33,Yes,No,D,-22.77974282534003,A,A,67.11366197371359,23.436710953820203,-15.72410401420269,-113.63526850759096,E,E,B,C,C,-24.70042771962639,-12.69155709778599,-9.429868381989804,28.99532224744999,1
75,No,No,A,-3.6626197281958075,B,C,90.80668032440306,-35.981238507422226,-112.57529793276836,-46.82395096801823,A,A,B,D,E,-5.434778076094552,27.388079722534847,112.58634015797246,-157.8149547154975,1
64,Non-Veteran,None,C,38.04650988803588,B,B,41.82336545644949,181.28298705376625,92.69104828553802,39.95477189906387,D,A,E,E,B,137.7160094423511,239.5037898920857,166.8839890041491,68.1578991079141,0
46,Yes,Yes,D,-38.604836107666266,E,D,122.60231070949416,-54.14117308786868,-228.85283978680587,221.10715201865102,A,D,B,A,B,62.448603430444074,43.271528851213006,59.271119753510284,41.95835168217244,0
44,No,Mental,C,100.32057949858371,D,D,1.5620508243420117,-83.13597365123877,-28.809658995389743,148.10413536703714,B,A,D,D,B,105.85315556271925,-21.256783214974874,-118.95494300541338,4.090981642471533,1
26,Yes,Both,B,-87.46781346773888,B,A,191.53990584392366,-45.40921147387677,-27.227771138277795,78.72320901128013,D,A,E,B,D,-67.24542494094412,61.16634443272889,-144.2935806126271,38.07640070752015,1
46,Veteran,No,C,43.691024054169716,C,D,-80.55490832932196,-38.12891755884248,25.111884107705723,22.6726438295288,D,B,B,B,E,-11.42769287452428,138.06075344228884,91.43474797661726,-73.51490371455772,0
54,Yes,Mental,A,-89.96482618364573,D,D,50.492297777593066,91.65332257727846,2.9519032313557068,-111.78041776038867,C,E,D,A,A,10.068214301632556,-123.83452823484964,183.64074933678702,63.6327032924609,1
71,Non-Veteran,None,E,-208.75177023757777,E,E,29.866762780204937,-29.935729055644302,29.19371392760968,-262.320693844686,D,A,A,B,E,-154.19176734405988,107.70034499342212,-74.87045554231231,43.854139473769024,0
69,Yes,Both,E,-29.21642521286974,A,D,114.1233210421793,-28.79468819486287,51.65413911311928,-183.71366500117975,E,A,D,D,C,158.3738217635901,-218.8103018731294,144.44105924003483,52.65803179067331,0
65,Veteran,Both,B,172.45959800376818,D,B,75.64096247719077,-101.52598389012093,-129.74440996320882,144.82380801326076,E,A,C,C,A,83.69817288324506,-15.242208853170713,133.83433420827157,-57.20649586291881,0
64,No,None,C,0.9739540635373538,B,C,6.668990005038032,-10.811761721910822,252.7214595709149,106.15927623737306,E,A,D,B,A,-47.65188262614358,-227.22424640054527,68.92994327790684,-21.745623884407735,1
35,Non-Veteran,None,C,56.09720928166018,D,A,63.85354666999632,20.20646300680565,120.52897551403565,39.034842230133265,E,B,B,B,C,65.16397906880535,70.05192573943391,14.393922203572327,100.57760982126945,1
67,Veteran,Mental,C,86.2703457505236,C,E,-118.68957171882737,-57.36609496800338,-141.31571029444223,47.124405217126004,B,A,E,E,C,-185.87743279336956,85.01118463061297,-1.2370195623651994,68.50020074549724,0
47,Yes,Physical,D,-117.36894380831589,B,E,1.6192654595465847,75.54875206195638,6.993525836281321,82.63097267893804,C,A,A,E,B,158.67110285870496,-155.78143585518032,93.2642185393266,296.266917013074,0
68,No,Both,C,-149.48746328310705,B,C,-1.4294415919525054,-58.4728729090871,49.02219515453682,-102.35985238199869,D,E,A,D,C,20.203676664684753,-92.99484189738956,-1.4344802904016698,-1.4137007501122703,1
46,No,Mental,C,1.73595397532527,B,D,114.36335739892831,50.81649349176117,-181.30551566917302,-16.32422678295439,A,B,E,E,E,-105.51774684082318,-140.5633163175287,-67.41678564858857,56.644722007309575,0
71,Non-Veteran,None,A,-101.06139916290672,B,B,17.21219259507051,40.85240479908398,-139.35765112625856,37.04605187878417,B,E,E,D,C,87.67935498895275,-46.01850023909621,-171.0798182979113,-52.268616106164664,1
65,No,Yes,E,80.99318017906913,B,A,7.105594358908434,-2.27306730220406,-128.10181551824272,-13.413537589594762,C,C,B,A,B,-253.020493803615,-55.54970221533439,202.1319659003441,-302.99961608670054,0
29,Non-Veteran,Physical,A,-99.48887471594635,A,C,45.03940074816156,-90.79390004300666,27.36040334764665,-32.0962059087778,B,C,C,E,C,19.956966964404018,-153.48637944614393,-150.4414949331699,114.87774655920875,1
72,Yes,Yes,E,-82.61121629206994,E,B,-3.2218759078234163,-16.496785354547157,13.478766063940743,-87.58422367126208,C,B,D,C,C,-118.65901811250845,-49.6824283300802,-68.75732432835248,-191.13104784662093,1
33,Veteran,None,E,-300.12163958538196,E,A,-79.62880994450589,55.54362643304266,171.71328443332874,75.04632133504315,B,D,A,C,E,-185.28034094910123,36.380441381473275,-107.28920192101279,-182.855338350172,0
67,Veteran,Yes,C,-24.36491994241508,D,E,-18.804810144729224,71.78550716039614,1.599305747324226,-211.961228673245,E,A,B,B,E,65.35098137047966,149.31768552342263,78.36915058288916,40.64438484403522,1
66,No,Physical,B,-53.03967698165983,B,B,118.6384103010691,-33.82841716750249,-37.77649491663438,-118.57343718692812,C,A,C,C,D,-41.43234497380245,-250.73672716269652,-53.948892666019646,-34.744138869973504,0
54,Veteran,No,C,115.61093081002566,B,B,-17.690792403973415,-55.45052228604362,13.957193424005709,-106.83734716653166,A,C,B,A,C,117.92583534586612,-63.89830004132566,56.38506575307293,80.22285159912187,1
34,Veteran,Physical,B,-127.77129111524724,D,D,-44.92444853485595,97.69273820505113,-34.04623835039399,40.69489114239362,E,B,D,D,C,-10.330020917257434,-157.76320476189477,-151.74260987797481,-26.803849912352995,0
58,Non-Veteran,Both,D,-71.86628919799855,C,C,-25.99046101646029,59.07657030128072,-73.47149050991575,-62.69229230056945,C,E,B,B,D,32.75809330169693,-61.185018972699076,-12.074920764107437,150.10985802887078,1
58,Veteran,None,E,36.86901387161312,C,E,229.35326123760672,-187.32179527448784,-82.80420342013186,127.34236426084861,E,E,A,D,D,60.406391267312266,137.81274711861127,-100.98185652012062,-57.324540532541356,1
49,Yes,Mental,B,36.46050125229887,A,D,213.48025971933092,-27.989476411620508,-63.14940006259299,31.614275155739612,D,A,B,E,E,84.46364270054188,-134.66890558533842,-105.57304547601274,-97.18224468014432,1
22,Veteran,No,B,194.7271573583358,D,A,-69.70320543976374,14.273806626859683,23.857788791820163,25.728332247925728,B,A,B,C,B,-29.710810995696747,0.2847092516506498,132.98634624776315,-157.41027003666983,1
