AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
51-65,205.8941684423958,D,69.98808586359783,-55.17927659965197,6.33176437231588,-2.9991071443792996,-100.7844195261145,1
36-50,179.87301464136334,D,100.74406696003462,-145.63680766505433,-74.457803755882,-181.7769991024318,69.2313213145382,0
18-25,113.60751329101558,E,-77.4189277422298,-33.24703414463342,-56.872409881710084,-47.603465153374934,-162.18126700496808,0
36-50,-186.86610493990443,B,-40.574615942136724,63.455192879189006,103.68652964055877,75.32112847959668,183.02763393843466,0
51-65,-12.705332547931933,E,2.563757822031556,-156.05098656443838,123.05764019009177,44.688532727249566,9.977155532074887,1
51-65,41.85280930101099,E,-83.09673449833224,48.33274068165947,50.10948444156347,-64.53513337818906,71.24771410677131,1
65+,-39.144574593879355,B,15.907289508262581,-194.11615436031477,-15.963263897685398,66.85642721933428,-24.434461130950492,0
26-35,-11.084448051971009,A,-145.98508996162823,-168.17128877704317,277.09871540757024,-81.48192748984326,-167.67257504310916,0
36-50,-54.81563816891452,A,85.48991340089026,-204.80176697293078,-220.4257025630063,26.23403265799701,1.1788940761894973,1
36-50,-38.265942667843284,D,44.95937292901546,-74.15561017818204,-121.15626481790183,-85.41984147957106,-110.73641727924523,1
36-50,8.253078284668598,E,146.13777627974483,-86.5775736039816,141.77545113247405,-19.42657200541405,-58.997189297438204,1
51-65,100.24612768168713,B,-122.43716937997789,-48.18425788270051,121.40968387331179,-56.89155718584084,67.87402888535698,0
18-25,-72.17684460910694,C,82.91268421443873,45.85140197719619,-53.546673812470516,199.3510928223886,25.711346815859137,1
51-65,-228.37176584711787,C,127.84209742194552,-46.84204104951617,124.43452270623527,69.06499378857677,-17.629675138966697,0
51-65,67.90303699588985,C,32.47500194783146,151.51289785607705,-11.634831708597837,-56.71549057472305,-209.4272443189195,1
18-25,144.4624492621379,B,-176.13558977772578,37.46700757980857,56.65688860394018,-40.16014935669955,-71.06223601664507,1
36-50,73.74516461151941,B,-62.68143844683137,-144.5301707662984,129.5683623425458,7.906315607127548,-35.44737962540738,1
65+,29.200672826198616,C,68.7250017875012,-15.503230221928982,-98.32104704965803,-32.94299032128164,-3.609744500011107,0
51-65,6.229403620751203,A,46.083731427545864,110.28209000218536,-135.7025247645285,-6.1995038683976995,10.985071716829646,0
51-65,94.25900480842077,D,-123.77779247331677,-92.40497196625343,54.02186914600713,-128.79191680520353,134.21467103059058,0
36-50,64.81911131535355,D,218.75542208828466,-41.4794471109144,8.353202017757978,15.21289856437644,-14.606885653970236,1
36-50,-167.28068485683164,B,159.76287981492248,-102.72899298495284,96.42911535642793,-32.06392160590424,-112.2271790872978,0
36-50,55.67063642414163,C,-81.88150979489698,-79.71517966159767,-1.0430292416694302,59.54053761098624,50.491002761153545,0
51-65,-60.18912740837317,D,17.67233958833713,-81.99622620559792,-42.33987680253995,18.009797044691688,-133.87291332164554,0
26-35,177.47748940352693,A,-89.72375965648781,76.54138681263841,-103.58445381717804,-158.99736521908002,22.33565272525569,1
18-25,115.5732417722881,E,26.76715671899711,127.6274753079636,25.575832170694994,46.01253384361692,-61.32890882716152,1
51-65,6.308712804332078,D,-30.09040034270444,124.92469469937184,-63.60959480931507,96.17630221966569,-12.901313196092232,0
36-50,-128.55397359791527,C,-114.6224442411334,14.713764972697573,-32.375292052544665,190.76390650697365,-18.10648921719166,1
26-35,78.45609290955176,D,-46.55104974935729,-99.6341188216768,226.67224399219208,6.517847959237595,54.27509077233724,1
36-50,-87.45171784119897,A,-30.338727453768456,56.01106328582094,-93.93896154533931,-57.98202083270033,123.56968023482229,1
36-50,-11.282792385028621,B,55.02878318143464,-63.003125588541224,-85.9877040552417,-37.234148943441134,-49.827455662234485,1
36-50,25.987369794538672,B,-303.4604238567783,6.805662848841955,173.29951449521667,-19.076422265064604,19.28612946762057,1
65+,-6.418984628319303,E,-188.94161125769978,-144.96419352934714,-46.350135912975105,23.52443832052358,121.62610987989137,1
26-35,163.88780026214204,B,6.453598408527646,-123.62153990238673,137.0214500607484,188.86196152459846,-44.01067328657469,0
26-35,21.646631180948273,A,-70.79868820187409,-72.48562428313818,-120.69649844306657,-105.88966346743796,139.78553699681245,0
26-35,-67.79416910301842,D,-218.60567027457435,-212.66913317361832,-6.5562502081757925,-184.76881803129038,3.4231513399619518,0
26-35,36.41734937267418,D,-21.99803492398931,-150.59752658838266,-42.6234595239301,-24.284999892869482,-71.29008298228395,1
51-65,45.477556207881584,E,15.694933694124147,24.97932886140909,-64.27950236208837,92.95680155667971,-20.307669855038704,1
65+,-134.03395275586075,D,-68.60627667748258,61.7644397177467,139.313137193857,161.35646737742036,140.00631214393465,1
65+,76.02530404872222,B,-25.05509182942907,-207.91387634273627,15.06470959084448,-95.7363764361637,-13.725134246602883,0
