military,Disability,age_range,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
No,Yes,51-65,A,-27.261487867536736,D,124.69904073979328,101.60513757013281,-90.46526712040432,-157.13381887224253,A,91.11839762345475,D,1
Non-Veteran,Yes,36-50,E,-78.3052954035686,D,-35.38500038394206,-155.3360318246332,-89.49626488707543,-27.54382683737426,B,105.84277908233584,E,1
No,None,51-65,A,-123.05211664292976,B,71.58527506626785,-69.33711814282904,1.978555360068233,21.218151983745788,B,40.95500015585342,A,0
Non-Veteran,None,26-35,A,16.33406756497421,E,93.31593731787106,-14.938923477215646,45.03165867595987,85.59759416473538,E,-78.92547851248194,B,1
Yes,Both,26-35,E,170.15808123758228,E,-100.8470501869598,43.41086790601664,-67.78948989292032,-87.30703281436615,A,222.99934760319076,D,1
Veteran,Yes,18-25,D,-118.50971614183312,D,109.43518342915937,-19.77656331773325,202.64293327417153,240.80598579835996,C,-43.83994885127932,C,1
Veteran,Yes,26-35,D,35.60323406869042,D,77.85987412143605,43.842956510661644,-57.75615450765043,104.56601774402428,E,-86.88442643378926,A,1
Yes,Mental,18-25,B,69.62449019860074,C,31.23879082678363,-52.92949020698311,136.28874537217425,-2.413019996034493,D,83.06888847560415,B,0
Veteran,Physical,18-25,D,-13.158825294472749,C,-38.45979096861862,-20.862696663050382,71.91870349591163,-14.478442398510438,D,327.89284115077805,A,1
Veteran,None,18-25,A,-34.82705278926965,E,-10.078177934310414,169.6512296363758,78.7151913703169,21.33331776506703,A,-36.647500096491314,D,0
Non-Veteran,No,51-65,E,-82.03811327751114,C,16.30263347458396,-129.11591761819446,-81.09648951756768,52.505914885613144,A,-33.408317368605154,D,0
No,Both,65+,E,-26.853607222847923,E,61.35620995465712,-69.52718406673104,-210.7136703849375,235.98533368426538,E,-102.34083106033627,B,1
Yes,Both,36-50,D,42.86204502353458,E,-113.35666917766407,-55.66530216082537,154.70772872174652,142.45397502884956,A,91.0420992122073,B,0
Veteran,Physical,51-65,A,180.2092473986366,E,190.7842818553573,68.71522034922609,282.2576887763689,227.24825597337045,C,-136.00146673895324,E,0
Yes,Yes,18-25,B,-1.2014112507402408,C,-115.03442972163882,56.340807134093296,67.66581936655079,-12.770081860608112,B,-92.93615395954511,A,0
Non-Veteran,Both,18-25,C,-109.1004604113408,D,-216.88465473689814,-30.852865847339345,36.85008853443594,33.05530646640262,E,117.0296399580756,D,0
Yes,Yes,51-65,D,213.21483937901417,B,-144.55598269458915,-76.52779126305491,-61.576771539882444,-136.88438621850216,E,-31.975025763618493,C,1
