veteran,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
No,26-35,E,A,-102.12444105706501,27.005688373614916,A,134.7229789801934,-28.460973154489434,D,-66.24963089571519,8.921437815133334,-116.54115728504819,E,-131.4709820058604,1
Yes,26-35,C,E,75.17081463775622,-111.22481250555865,D,89.02824435298038,26.032693058842217,E,18.890495336898514,-29.472906918025565,-47.476133344685294,E,-95.82973934859722,0
Yes,65+,A,D,-75.79265808156767,79.7062728684456,D,87.28587936414498,-137.25004271325886,B,44.16045592637279,-54.487772147393,-10.743406012791853,E,-29.28012761873408,1
Non-Veteran,26-35,E,E,113.28409543460818,-11.557389250061933,B,95.97991638910162,-35.61999141355836,B,-68.3142464121093,38.17409061346627,-25.679713619123895,E,1.9355391879038155,1
Yes,36-50,B,A,43.565198052928324,-2.886020264583477,D,201.90851053555826,24.9783613258833,C,24.48224732304867,207.11168905652286,83.32124111011521,D,-40.3312716078441,1
Veteran,51-65,A,C,-180.24167673988168,82.52366357720638,E,-142.63039925909754,180.41383438085577,A,27.10402347358634,-39.65640856071226,4.251762185157317,E,89.15219172917311,0
Non-Veteran,51-65,B,E,11.503220806216845,64.10963188522028,B,8.480777212330764,-54.04719311489474,E,-67.01746944183242,-37.56974376291407,16.632208161614912,B,137.60632199858415,1
Yes,65+,D,C,-1.9485207907008824,-44.69998858367343,B,83.44427979591163,41.26620194417144,D,-85.7382885694486,-74.3142706356733,87.87669073365365,E,83.05850727209727,0
Veteran,51-65,A,A,-27.40141853070369,-5.690694858516042,E,-152.0362974953419,39.18368348214342,D,177.1659244545479,69.8178925427954,36.65999673590776,B,59.585025857726784,0
Veteran,65+,C,A,47.45448545364083,-106.74037825323364,A,-33.9439760056374,210.16281448865075,C,144.62466271969456,59.54225077637141,-108.78524009554825,A,-25.629427761718134,1
Non-Veteran,36-50,A,A,-31.567821166645405,-135.11454564552713,B,0.4523834980280316,-74.05985677525592,E,34.527336448438035,15.843798253829439,87.58312243585415,A,-103.27938381521686,0
Non-Veteran,65+,D,B,-45.381078919004366,3.0300046870807424,A,88.75201004108791,42.52215970830058,E,-59.345916094882114,-256.24686253234074,-0.028198546941207568,B,96.46209129259712,0
Yes,65+,B,B,-8.599234036382056,104.77441761387706,D,103.78887830873225,-48.08386050383969,E,31.64959102520999,-19.39591248495514,20.228792647332764,E,38.67607649850918,1
Non-Veteran,18-25,D,D,73.77578046131904,-127.8314030137744,E,-50.31519531259927,-1.9638894408141598,B,194.80268825851962,88.06297568009774,20.817141316596288,C,-142.03181646493684,0
No,65+,A,E,40.79328514390229,-86.79114584718464,D,48.15462175328648,133.83496827466894,A,75.23199013984467,107.2160960089863,73.82811684290753,A,-110.15450156349331,1
No,26-35,E,B,76.06268054020299,93.89590139082978,E,33.18346077320683,-3.8498011515515143,A,-197.06034553602606,63.88920493833218,48.3416708268243,D,-21.63986294379145,1
Veteran,26-35,B,B,37.79436642266422,89.85353774912465,B,8.422099593260493,128.60556336956327,D,243.4909398947228,17.160383827541676,-194.73300708703212,B,93.01602073191441,0
No,65+,C,A,55.46619522927916,-3.3830341725070476,A,-35.02443884072065,123.96755261336227,D,65.42901352421067,80.0010303542485,163.44802883920056,C,-136.09140356353265,0
No,36-50,D,D,-58.22352858313743,-33.00099473269154,D,25.099584029828538,-58.325471561235375,D,-147.52508536817777,46.803204421929955,-201.45992349679096,D,184.35358736607702,1
Yes,36-50,B,C,26.541063995808912,-47.992587520299885,D,163.12593103571203,74.3602090906124,D,32.41873926091963,-60.40460741006836,60.24368489253331,B,-48.512438710652425,0
Veteran,36-50,C,A,-32.75174082047912,142.81468517205747,A,-83.18839685783404,110.2348459532086,B,182.01025864950896,139.95561442736667,197.43777009374568,C,77.75149260484268,1
