Disability,SEX,religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Yes,Non-binary,Christian,-51.927170559291,B,D,18.151683983481902,E,B,72.57742904233986,B,D,5.615194505174555,E,-86.50079404122594,-26.01243829964785,29.43662388288246,-207.09918618531503,D,B,0
None,F,Hindu,104.77648850925709,C,A,-263.8559603763171,B,B,137.09940243587468,B,E,-78.30333176347898,C,98.94477561656073,235.46927614118513,28.596728995693095,68.02602921428232,E,E,1
Physical,F,Buddhist,103.9093971217917,B,B,-81.53143590800262,C,C,99.89549948237605,A,D,36.02762008634349,D,1.520515173101824,37.194266362187975,-25.299240379532158,-87.71313215657345,D,A,1
Both,Male,Buddhist,35.97424413235342,E,D,55.58552122552689,B,A,-8.909477192977295,B,B,1.6570900407902303,B,130.26913566802435,-67.5729954978263,97.31980862112212,-57.80779232570317,D,D,1
Physical,Male,Muslim,-11.547824875127425,E,E,-27.53582249157868,E,C,-99.02025549538004,E,D,5.323877584434778,C,-157.66453736143845,-12.772458997850672,-18.608109578178247,37.36713218766378,B,A,0
Mental,M,Christian,-17.926337942990855,D,B,189.64004944858493,A,D,3.022744117976423,A,C,-186.16841963204521,A,-24.519297654369648,-135.1753791131632,132.54661166287644,144.91897748323237,C,D,1
None,Female,Other,40.23362530805786,A,E,84.85263643287844,A,E,-40.62493787857871,E,B,-86.09037645349088,E,99.4227855802619,-24.763366827625706,-50.69075990290749,30.99104761854161,D,A,1
Mental,M,Muslim,112.59442300653714,E,C,148.31013881983148,A,A,123.36569837129903,D,A,23.918225396343594,A,-4.316352248062747,29.6001381863877,11.009737144042289,-52.24547520360105,D,B,1
No,F,Muslim,-126.82088766387282,D,E,120.08522342324743,C,B,-53.916353762632255,B,A,-88.7758653625607,A,-47.542662057377385,-199.98391108248157,-82.91900070070703,-91.67601764545927,C,C,0
Mental,Female,Christian,-104.5066055875762,D,B,-27.02251208666859,E,B,113.86834439173046,B,B,-146.11713020088234,A,30.43318309779822,-50.687432677151264,-101.97692464494934,45.783610879802964,B,A,0
Both,Non-binary,Hindu,127.90292495543913,A,B,51.15069837541436,D,D,-22.911305923369678,C,E,46.82950279264793,C,-24.618401322201443,1.1888796894146327,181.61026240176255,5.828492392325992,D,A,0
Mental,Female,Muslim,-110.03129055460774,D,A,-51.59783142780503,D,A,64.46332928065834,B,C,-11.049482012258595,E,-4.069423894418789,19.715285515772056,1.9892287319638917,42.69651285883428,A,D,0
No,Female,Christian,21.425644215920208,B,E,44.95617067941352,C,D,-49.98077153237701,D,D,-60.66391316144023,D,53.20851424181515,74.35704371362061,37.69081199586062,62.496184673252664,A,D,0
Both,Male,Buddhist,-56.01823277676537,D,C,-67.99921926379811,A,E,117.2258339460889,C,E,120.61398599302548,B,-11.518118372760657,29.651510004899734,-37.256033848718964,-8.42269217188977,D,A,0
None,M,Muslim,-46.58995904538211,B,D,-52.65949821049932,E,B,-87.15685384688193,A,D,11.420072765509367,D,188.8988471192058,270.02217916850634,-92.50575224224987,74.31652269107232,D,E,0
Mental,Other,Buddhist,104.71745686170333,A,C,-117.90489896068695,D,E,-30.89255377410786,E,D,-96.61285322589386,B,-63.16695128494778,-59.62691823284253,139.34561221254523,28.986733565964222,C,C,1
Mental,Non-binary,Christian,75.21399557279382,D,A,75.84298221735781,B,E,13.302747398707796,D,D,64.86468132023687,B,-58.20359919106664,-41.14016056987859,-90.1497612178955,7.622805749393373,E,B,0
Physical,Other,Hindu,-150.9293522635173,E,D,102.86914440095869,B,C,-39.63264285690484,D,D,191.60567812330106,E,-4.74938338266965,57.06427815204823,49.42187089065285,38.438446776035946,B,C,0
No,F,Christian,77.8220495240046,D,D,41.370746986190085,D,B,33.414325073333096,C,A,-37.29490152392857,D,-38.22347946177662,-100.74900266249693,-274.4354704479551,16.659593594643944,B,A,1
Yes,Other,Other,-21.790202367541763,C,E,45.43962728380541,B,A,-113.04329069307455,A,E,7.726758110179734,E,-67.07030715485655,-10.408916871780157,-33.32900532786989,29.06327728461476,C,B,0
None,Other,None,-83.87996819477243,B,B,136.11009053882952,A,A,-86.31857173149233,D,E,31.10702891062766,D,20.531163467081527,-211.55624669870704,103.20578899284685,-99.82989342007299,D,B,1
None,Non-binary,Christian,49.81394676581191,B,B,-23.18965079996428,A,B,44.1342303310282,E,C,0.3008971716209444,E,22.00746280018305,5.912384830735558,-84.29984082464166,170.2835943776915,D,A,1
Both,Other,Christian,-35.03655491467608,D,D,-191.3247562366337,E,A,142.69943126019305,E,C,-109.0752284017937,B,22.459742669777576,67.71543057032603,3.5598688580786595,145.26483062106252,D,C,0
Both,M,Muslim,54.85447758590786,D,B,-230.63259294124038,B,B,75.31584857229956,C,D,-20.782608383599737,E,-33.9818958099072,-48.53005731119198,-71.12990998056272,-46.22266640891133,C,C,0
No,F,Christian,70.50227152453724,C,D,64.25365814953791,B,A,-155.70133859946492,C,A,-70.55857349798266,C,-102.7287806711168,136.28357210339777,-85.25711772516175,198.7338447915705,A,B,0
None,M,Jewish,166.79705547637263,B,D,259.8080378091109,E,D,227.8148907065185,C,B,46.902243068332034,D,77.8106341327069,-24.03694614199957,13.10145448901729,103.11235088407724,E,A,1
Yes,Female,None,10.619079768735434,C,E,84.94347558440215,A,C,69.88893139319367,A,B,-16.78284220613729,D,-29.968502103935492,14.783298702879549,58.195239207177664,138.52948022844438,E,C,0
Yes,Male,Buddhist,-173.06491277516136,E,D,147.9909527094443,A,B,-228.556654738499,A,B,122.5730681521416,B,-56.48370036397961,173.27533417167658,86.70423790962867,-73.35250346497772,C,A,1
