Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Other,D,B,109.81273678527255,31.19709829802838,E,-19.00984590127039,-27.9303504744886,-32.776012379683124,64.25924008452635,88.42221071752823,-70.7819782325834,-45.88917959667044,E,A,1
Buddhist,C,D,79.17501761007743,49.34933757676323,D,164.54864650401004,63.81838702371131,-32.47255327836581,27.398368839214122,-22.57906855826646,90.04020075303383,-36.22862223238468,A,D,1
Christian,D,E,117.6459297855367,188.77311171924867,E,-49.86466788285656,-77.95472153870885,97.5274241267839,-3.705843257445122,44.575315264735906,-17.735783044030175,1.2168815488051,C,E,0
Christian,E,A,-5.243185367054147,-256.5627848741712,A,107.17422229780244,97.67726741128713,43.3875766841749,-43.67967528179852,47.02289934665785,-21.23009802393149,33.45716633544269,E,B,1
None,C,B,-32.61466162709119,-68.56797357608492,A,-1.2583021301239263,1.4844923657523221,50.20739418314282,-44.37626121668324,-14.616515010853833,22.481895038635116,45.57894693739322,D,E,0
Buddhist,A,B,61.89986080767784,-115.02007059500787,A,-179.2267001370291,-90.73940403737183,71.29732214448896,-72.01046107002243,28.015927195743007,154.8883176075531,-143.01777723704726,E,D,0
None,E,A,-45.718435936172455,-7.546918761316114,D,-23.976172280945566,-132.34377344165614,-156.75597746373055,-14.20451293748583,-155.5159560872281,-166.3945154786217,16.0171415101154,E,E,1
None,A,A,-26.69843522087666,65.92442777165417,D,-15.181565376466356,-100.58658434996049,-256.8189124007161,31.257018785716696,97.14522238169235,96.54841602210624,-65.0723167883221,A,B,1
None,C,B,-94.93396333918031,-0.635272129207438,E,65.70772603710952,158.94576768781624,33.35605822042561,145.4072368536884,-78.1328832751438,66.67329512962766,-70.19878515578624,C,B,0
None,A,E,-193.7090591524665,-85.02827778350841,B,-90.99793960196747,-99.08054334059237,-7.165904760946128,7.332065896730658,-51.18920697870891,66.53057621677522,42.21408840717798,D,E,0
Other,C,D,9.738137688822913,-48.383652927926406,D,-140.28392740387787,-91.48603012468688,-35.658227136348486,182.2339057390414,254.6681555196739,173.58521067334834,62.353961080093946,D,C,1
None,B,E,-42.9842638866141,67.75197123137029,B,13.821600565003559,66.99180715164367,59.6074667899812,-13.551874210510299,47.3759298081789,5.907827500918309,-21.809409654064016,E,A,1
Christian,D,B,64.21368095480778,70.46436479824824,D,156.22625528239428,61.9347200343894,-30.572258860068462,-83.16115155419119,8.61878381247478,20.917912295707584,-162.76552904771364,D,C,0
Muslim,E,C,62.35421536271299,230.6477984954598,E,122.05944059135736,172.54766025996256,81.48650890977807,4.444740477762481,76.65535352558358,363.3117457351118,42.36391066044902,B,D,1
Other,A,C,38.99943077406468,-18.388623661797617,A,55.08409549710292,8.678770634667458,68.5576992229543,-7.8897866468501725,15.615975110263875,69.69354702547325,74.07292988043996,E,C,0
Other,B,D,-35.57423404671677,21.49287989973586,E,-169.57564363817013,-77.93818447192348,56.19384356437626,-70.70260385433242,103.53727174699485,-51.643638149814876,56.77023495835709,C,D,1
Other,C,D,274.93717627793967,141.81324372694422,C,106.5494167510413,-176.41859257321192,-98.40403908924134,-118.53589538117446,-11.47102671212703,-43.18081438658186,-132.01703449549336,A,A,0
Buddhist,A,E,38.01732141434243,-10.825569297365549,C,-71.25390340843191,-87.83143622959913,214.4373844608333,11.7788548471989,-8.140363102055696,-10.828633389764393,180.31608960842794,C,B,1
Jewish,D,A,69.16075167614856,-44.82601888130166,B,-60.14586804203235,-126.61304379666045,-3.438947494916859,-34.507108984773836,-35.803148204806135,-90.77113726111718,-67.8814664466343,A,A,1
None,A,E,58.799241869412256,-83.65771672118187,B,-144.1991533933069,-37.02796416743202,16.45045246780315,-136.05307702793385,19.08972973153992,-4.062362645858387,-81.69075482469694,E,D,1
Muslim,B,C,-134.27764223280707,-109.74250630236844,D,78.50192228681686,-8.342632577531733,-133.43929570781427,115.86095799243436,144.33808887445397,220.56653407074393,94.50495788433645,B,C,0
Hindu,C,A,-81.16338403186415,-199.01213876788347,E,185.67407584961458,-106.84579579085552,-56.639126168398754,41.5577165712679,35.85813659265621,222.89920465494978,-110.88595412177209,E,B,0
Christian,D,B,-30.87675470834541,-86.1236972347956,A,29.96733027372056,-36.99203836087261,-56.578537315634215,95.16472001959197,-184.73744168628195,-91.76477426501556,-63.046968571511975,E,B,0
Hindu,B,C,-62.732057432565526,-12.518043414949261,A,-12.480137187241972,78.65569532614829,-33.04865760512079,83.17499941269936,19.777856752483743,13.981345017090549,165.13355999516511,A,E,0
Other,B,A,-8.732800214576516,-182.58902410156307,E,127.1142674438825,42.62607421877488,10.576206663155082,-162.81414014080036,-38.233455493268806,147.10112445706423,96.68781593357964,B,D,1
Christian,B,A,-2.7732632216395503,45.75919248756688,D,-6.376342911218905,-159.50132580320752,-131.01912292719211,128.88088341074751,-8.139238654079433,-59.927280320863375,-29.602427083055144,B,C,1
Jewish,D,B,-100.97351147012763,-63.38504402800884,A,20.469806326504518,97.83474212359975,16.419453332659938,-48.87283937349572,-61.53088020166712,118.06918639088283,-207.21156238506833,D,E,0
Other,B,E,34.25806132319809,-87.47671715504538,D,5.151291400958586,112.43936090740003,32.84061230012088,-82.23906772069714,63.70430848489779,47.80593138761505,-108.9570711135538,B,D,1
None,D,A,-14.427938467061924,-178.18815439902892,E,-220.7355114933911,-50.79498802119028,-23.19718360777305,8.134989538004826,122.88758340046675,-48.858559847605214,101.05023098961277,B,D,1
Muslim,A,A,113.94181807259116,-42.572089656230965,A,-24.569063054686765,2.8526279080439294,-105.65712871135293,75.29901130403115,118.45171672711345,-163.1327134733787,42.62074570116671,B,A,1
Other,A,C,122.51526645530146,-23.27942819426109,D,59.56693092717216,-96.21863375595736,-172.0668344895369,-232.89501783273008,14.999216454831538,-58.58628340737074,-38.38262148196277,C,E,1
Other,E,E,-35.08942157579921,-132.3601005839226,C,-84.29058382469722,13.529483474511924,62.55580234961017,39.018452631780654,-66.90565111928936,134.52132573898936,161.56881045660435,C,D,1
Hindu,B,D,115.26550274009794,117.28329755552585,D,26.88610336510627,-107.36315338141544,25.457849937265227,130.94152194031517,65.84166076319099,15.959769992365194,-39.051213353198136,D,D,0
Jewish,B,A,37.418092044285984,34.82938346027316,C,-145.6695040629277,75.00322652957985,-50.34796316097804,-127.40617973105299,99.66916510946481,47.91684090020182,72.57153675407896,B,E,0
Christian,A,C,91.67327410973303,8.635553529033855,B,33.98157695779862,-196.67376546741707,190.31593807765637,-99.8616259132789,111.84278927713768,32.71932196682209,-38.4279155788115,A,C,0
Buddhist,C,E,-94.11671910565528,-174.78874026510135,C,-137.29080621192935,-219.636724446074,-37.91190877013678,137.4627778378318,-149.02078030934155,-3.6257321028424614,-8.37761595385789,A,B,0
Other,A,C,122.99938042264966,-141.4404387493402,A,110.68371046805645,1.9669026775185894,47.249334347206,-83.21765784566611,36.71845143724856,-103.03977409555911,94.1221561574729,D,E,1
Muslim,B,E,-101.58779884249445,-2.768749952649362,B,-139.92761949436087,-74.8714305603932,-227.77179588836592,5.7240148628092635,10.382222818371119,-49.08059708438912,-101.36704663059295,A,C,1
Muslim,E,A,103.27901499003083,-126.28313050921301,B,-12.32880652170899,23.872912591596016,-83.61719108214773,63.644979054882164,76.13058572056893,-21.23345803076569,-69.79740696431699,C,C,0
Christian,B,C,-125.6789176888428,12.437247082371488,D,-40.08656938770238,-11.376636014304646,114.77475135838053,-21.133230950014156,49.86901374302174,-21.07929392959025,-68.82146760928649,E,E,0
Buddhist,D,A,-99.55158503657026,65.03458659346046,B,142.29733722876426,-10.615075636637739,-75.72283088893887,-45.49299902736216,-31.18393281243186,29.044126921678814,77.90689481532203,B,D,1
