Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Yes,D,E,A,D,126.37266327912944,77.59026892596016,E,1
No,A,A,B,A,32.55940845403834,37.209754585044045,B,1
Veteran,D,B,E,B,177.15856156437292,-100.16700350105523,D,1
Non-Veteran,E,E,B,A,97.8600617415893,59.73708469357541,A,0
Non-Veteran,A,C,D,D,-67.76072760678053,27.312015395395424,D,1
Non-Veteran,D,C,B,A,44.72204465950218,101.28363427982887,C,1
Non-Veteran,E,A,A,A,-81.36860848971824,7.206976019644153,D,0
Yes,B,C,B,D,118.16981475633777,-91.35341753004755,C,1
Veteran,D,D,C,C,70.4674194168176,74.41783697731513,B,0
Non-Veteran,E,D,B,A,204.38401564988487,-178.72603809906988,D,1
Yes,E,E,B,C,-35.53450228934255,-32.33102343127757,D,0
Yes,B,B,C,E,131.45930400269506,7.131928887697512,D,0
Veteran,A,D,B,D,-43.35588527103969,-53.13846099711282,C,1
Non-Veteran,B,D,B,D,197.1825958595388,19.11173176300719,B,0
Non-Veteran,B,A,E,E,11.778051255721047,-3.3502895067625333,A,0
Non-Veteran,D,E,E,C,-89.1101149099376,2.828762356858659,C,0
Veteran,C,C,B,C,-153.6050480425835,-43.86397566347869,C,1
Yes,B,B,D,A,-101.7447459254203,-136.9024852873531,D,1
Non-Veteran,C,B,B,E,-85.11860174537534,71.60454523735504,B,0
No,E,E,B,D,-135.5674876060238,37.456468441001995,C,1
Non-Veteran,C,A,E,D,-191.96150532660513,45.3090073005538,D,1
Yes,A,E,A,E,109.43891075787617,114.094249971995,D,0
Non-Veteran,E,A,D,E,-138.45560236041635,145.75358382018678,E,1
Yes,E,A,C,E,60.72866933958699,0.0729905887226332,D,1
No,A,C,E,C,87.56981284581012,168.14211404820347,A,1
Yes,D,C,B,B,-48.492768796237975,118.76535779442956,D,1
Yes,E,E,C,C,43.94318514841802,124.39526077916705,B,0
No,A,C,D,B,133.48753169332994,-149.75254264302944,E,1
No,B,C,E,C,-72.55793457452046,-47.90374822706014,E,0
Non-Veteran,E,D,E,A,-52.835538647555616,91.53133225351225,B,1
No,D,D,E,A,44.6168387476017,-58.71158357909887,A,0
Yes,A,A,D,B,4.015949091362006,17.685671773591526,A,0
No,A,A,E,C,-19.071283873192495,215.8708300500942,A,0
No,A,C,A,E,110.49683388521032,-0.7187479929470245,D,0
Veteran,A,D,D,B,-64.8312143768782,83.11327517717672,A,0
Non-Veteran,A,A,C,E,-56.45467676666146,-10.510672192242557,E,0
Non-Veteran,C,C,A,D,65.83033401484526,-43.18731377411138,B,0
No,C,D,A,A,-47.40240514415287,-71.938954171294,E,0
No,B,B,B,D,-40.538717771205135,-93.6260946600764,C,1
Yes,D,C,D,E,88.49221955336046,-43.2717913956545,D,1
Yes,D,A,C,B,53.806067804164655,32.87229215936696,D,1
Non-Veteran,B,A,E,D,-28.41259723985972,-26.26025551922046,B,0
Veteran,E,D,B,B,34.29849375104483,267.35415069611685,E,1
Veteran,A,A,B,E,188.94087351792868,106.14956817793895,E,1
Non-Veteran,C,E,D,C,48.52222407334419,-267.19095183384263,A,0
Veteran,E,C,E,E,-43.46122056926585,-158.65786351099766,C,1
Yes,E,C,B,D,-84.53934102958108,-134.44728684111797,B,0
Veteran,E,E,C,E,13.309397743693324,-62.20314313826929,C,1
No,C,D,C,A,-199.6652110637828,124.29228963726268,A,1
Non-Veteran,C,D,B,E,-4.607249533872935,4.94271642682104,D,0
No,A,C,B,B,-47.13008706537689,-175.36056826497895,C,1
No,A,E,D,C,-135.934406522642,-105.95861130999513,E,1
No,D,B,B,B,144.6980307244043,19.492107677977526,E,0
Non-Veteran,E,E,B,B,-142.38165340270962,-73.55377214860529,C,0
Veteran,D,E,A,B,41.56315392678736,-143.17780046502597,A,1
Non-Veteran,B,C,E,E,15.16886498011733,-39.6565264916111,D,0
Yes,D,A,B,D,-126.51912950208839,13.526878734550662,D,1
Veteran,C,B,A,D,-73.87513001362903,239.14588917789578,B,0
Veteran,B,A,A,B,93.9703410429095,55.10000836299618,A,0
Veteran,D,E,E,D,-0.5994988371619664,-17.232870509818675,D,0
Non-Veteran,E,E,A,D,76.03205854194421,-135.786736437795,E,0
Non-Veteran,D,D,B,B,27.459850196839753,76.74995916775839,E,1
No,A,A,D,E,107.050022686579,-169.3668445341044,D,0
No,B,D,C,D,-0.11350034197645385,-75.77620902321215,E,0
Yes,D,A,D,C,-139.22202927626694,268.1347804661805,C,0
Yes,E,B,B,D,93.36004990110744,-55.2571644431616,D,0
No,A,A,E,C,-81.30713419156088,-105.22551572500464,C,1
No,B,B,C,B,57.87811236684747,50.97111285450371,B,1
No,A,A,D,D,53.989230345153516,-62.43118936503339,B,0
No,E,A,C,C,-20.624550514174494,174.7871700403025,C,1
Yes,C,A,C,C,-149.90775899812866,-57.972586162306705,B,1
Veteran,A,D,C,C,45.875307059199926,39.67672021760721,C,0
Non-Veteran,A,C,C,D,121.00358428389133,40.23228941049015,E,1
Yes,B,E,C,D,95.42586847454817,140.93394273706912,E,1
Yes,C,E,D,E,-57.781445719185186,-66.09730082311587,D,0
No,A,C,D,A,147.07935560108433,-73.86802898660852,A,0
Non-Veteran,C,E,C,E,3.3862762012933,14.113959912551593,C,0
Yes,A,C,C,C,2.8802059205824135,-15.529733939022785,D,1
Yes,B,E,C,B,-34.30449026897763,-78.88692939118427,B,0
No,D,B,B,C,-107.16835213670473,-99.62905581542407,A,1
Veteran,C,E,C,A,105.37715963492604,133.00426538721192,B,1
Non-Veteran,C,B,D,C,-27.529709895146976,-90.98318738308386,E,1
Veteran,C,D,D,E,-37.21410372676526,-41.55740117725952,B,0
Yes,E,E,D,D,-241.89927912653536,-59.79873823422642,C,1
Veteran,E,D,A,E,-22.128686187784027,5.221677530383539,B,0
Non-Veteran,A,D,D,D,47.64838449205016,-39.79895727280892,C,1
No,E,A,D,E,22.040141063596607,-53.315389339258616,A,1
No,D,D,E,B,116.04911782170097,-104.53932504355652,B,0
Non-Veteran,E,B,D,C,60.932141290459185,6.941043032631983,E,1
Yes,D,A,C,A,-49.02858206072338,255.50171891432853,B,0
Veteran,D,A,E,B,87.25073532366675,13.049861851137972,B,0
Veteran,B,E,C,D,69.9933263123225,132.84555959773624,E,0
Veteran,A,D,E,C,86.61682133193277,40.72144997023363,C,0
No,D,D,D,A,-63.97302278784057,-115.58422127009695,D,0
Veteran,C,C,C,B,76.51871438518934,31.38223389376406,C,1
Yes,A,C,E,D,56.158858434151846,-17.05338285930603,B,0
Yes,A,A,C,D,-67.25400033539988,44.66085428605279,E,1
Veteran,E,E,C,E,-0.7419362036733894,23.439978708936074,E,1
Veteran,B,C,A,A,-49.47672890389404,8.46130675662158,B,0
Non-Veteran,C,B,D,E,109.90090987587288,193.28469798389406,E,0
No,B,D,C,E,-69.27130581976016,113.7041510643529,D,1
No,C,E,E,D,46.32928410632026,-69.58818156495266,C,1
Veteran,E,B,E,A,192.55753664349436,34.40216375358846,A,1
No,B,E,D,C,25.345405910264212,-93.24620682578676,E,1
No,B,B,D,B,142.47051180955305,-24.2191645126751,E,1
Non-Veteran,B,C,D,C,93.30237325847656,-4.113987237493394,D,1
No,A,C,C,A,69.8438680386235,207.73543217897932,E,1
Yes,A,C,B,B,94.69822077981682,-26.87413899128875,A,0
Non-Veteran,B,B,A,A,-16.50902390249144,97.3137822727246,B,0
Non-Veteran,D,E,C,A,3.458701017831293,84.51112576476054,E,1
Yes,C,B,A,C,32.263905340486026,28.378182233144017,E,1
No,A,A,E,A,-67.06600492489649,-176.79887353264223,C,1
Veteran,D,B,A,A,64.99502600101977,-86.49881356066246,C,0
Yes,A,D,B,E,29.484213514829506,18.39710711222291,B,0
Yes,D,A,B,E,-53.81206856769612,59.83145252002847,D,1
Veteran,A,B,C,B,-70.85683897122978,72.97214888983048,D,1
Yes,B,E,D,E,6.653610698308192,24.013031662923495,A,0
Yes,D,B,C,C,-138.8592075410005,-79.80773862343906,C,0
Non-Veteran,C,A,E,E,-128.02077319479494,-185.17896828414246,E,1
No,C,D,D,C,9.482534859066723,-73.6428595067526,B,1
Non-Veteran,C,A,B,E,-178.36790530486897,4.402014674907552,A,1
Yes,D,B,C,C,86.35222107864044,-24.849591317906285,B,1
Non-Veteran,A,A,D,A,57.78143477598502,-36.50163985248053,A,1
Non-Veteran,B,D,E,C,59.49773452222108,-37.41288421372375,E,0
No,B,B,A,B,-16.719224695896457,-13.281650954915161,A,1
No,D,C,A,B,58.783077906106485,-84.39265531600371,B,0
Veteran,D,B,D,E,76.12625988932271,-31.711259990511074,C,1
No,E,C,D,C,-101.61522787740265,-57.00090916434078,B,0
Non-Veteran,E,E,E,E,-111.21482488886852,-86.47813046561777,D,1
Veteran,A,E,E,B,174.57857956649255,-14.715367341957528,C,0
Veteran,D,B,E,D,-84.4094192212548,24.26244938771583,B,1
Yes,C,B,B,C,96.43025647940281,-85.25463163876928,D,0
No,C,E,E,B,-47.22981128838649,206.72765927631173,C,1
Yes,D,A,C,E,30.087269718036165,84.69990901247303,D,0
No,A,E,C,C,-21.72127117035304,-66.32873402448418,D,0
Non-Veteran,E,D,A,D,100.60553478407019,-169.36600097936537,E,1
No,E,B,D,D,-107.1428721509123,-104.66652859839914,B,0
No,D,D,C,A,25.1277208179298,-78.11436493078581,B,1
Non-Veteran,B,D,C,C,-97.24384961018829,-139.8390913602134,C,1
Veteran,A,A,B,D,104.99704483711838,166.63727145279316,E,1
Veteran,A,D,E,E,76.10408262422801,26.01982311307598,A,1
Non-Veteran,A,D,C,B,-176.44086950369976,-97.27677349535706,A,1
Non-Veteran,C,C,C,B,-80.72968857093201,75.31783598077577,A,0
No,B,D,C,E,-75.56967477125738,-39.635945981656086,D,1
Yes,E,C,A,D,-85.1967638101309,130.33158812855393,C,1
Veteran,A,B,E,D,65.36546198350048,-32.70800843949396,D,0
No,D,C,A,E,99.00249108818755,132.8523187347596,B,0
Non-Veteran,D,C,B,E,-179.2943202279533,-62.06778610164767,E,1
Non-Veteran,D,A,D,E,-69.31517305406688,-12.427889168561949,A,1
Veteran,D,C,D,E,-46.948900142590155,15.126612958052851,D,0
Non-Veteran,A,C,C,D,-289.10343829839667,-13.24333160651478,E,0
Non-Veteran,E,B,C,B,213.71417823142002,63.171000825666844,C,0
No,E,C,C,B,169.38147149340435,-93.29107680358166,D,1
Veteran,E,D,A,D,1.2303538480096354,121.13743226961753,E,0
Yes,C,B,B,E,33.995778539391104,45.793283898575126,A,1
No,B,B,A,C,66.29260702827304,3.364249916226862,C,1
Non-Veteran,D,E,A,E,-91.92945885451756,39.536892897840495,A,1
No,B,C,D,D,-141.9424638753978,-20.323547443914062,A,1
No,C,A,D,E,-144.27535726536135,124.25755986786969,C,1
Veteran,D,C,B,E,92.37318227338106,143.12850190792724,C,0
Yes,D,E,D,A,-9.062007706887048,-183.1917702740007,C,1
No,A,B,C,A,8.505211281873287,166.58480632445531,B,1
Veteran,A,B,C,B,-45.779554380707886,73.72778621132548,B,0
No,B,C,E,C,6.272960414171071,-182.41003406740538,A,1
Yes,B,A,C,B,-62.015357223965786,46.33776628513313,B,0
Yes,A,E,A,E,-187.53834505276873,49.8857127628331,B,0
Veteran,D,B,B,A,-54.57970289936945,-66.39899729797692,B,0
Non-Veteran,D,B,E,A,58.83121946269911,-44.38417680879052,C,1
Yes,E,E,D,E,-181.6093331089881,-41.97054233433392,A,0
No,C,B,E,B,-6.139716270500021,-18.06595055748473,C,0
Yes,B,B,D,E,-144.9756366803844,-82.52442453497534,A,1
No,B,A,C,E,-117.33782603174025,50.56071837689073,E,1
Veteran,A,B,E,E,55.5974492929581,165.4713508175254,B,0
Yes,C,C,E,A,-25.046290790412414,12.202130300794678,D,0
Veteran,A,A,B,E,132.48784862360944,162.11256144579488,E,0
Non-Veteran,A,C,C,D,33.811997101336,-7.033846324954078,B,0
Yes,D,E,C,E,-42.72012872697692,8.771044858503908,A,1
Non-Veteran,E,E,A,C,153.07575913922025,-47.175470470962104,C,0
Non-Veteran,B,D,C,B,-101.84272441421956,-84.4154773127908,C,1
Veteran,A,C,B,A,-54.30836148712685,25.45966075683121,E,1
Yes,A,B,A,E,-173.89276571150177,88.58321147224949,C,0
Yes,E,A,A,A,-108.34121879660508,71.80956467608107,E,0
Non-Veteran,C,C,A,C,68.75898874562321,-131.13607955491787,E,0
Non-Veteran,B,A,E,B,-66.33261318607718,130.3072745686315,A,0
No,D,A,E,D,82.60930372808232,-78.95226458313135,D,1
Non-Veteran,C,C,E,D,-98.72738065900423,-96.2353928958979,E,0
Veteran,B,C,C,A,52.56333948820527,18.162287192035777,D,1
Yes,B,B,C,B,-49.947948720275605,1.6497044994202303,A,1
Non-Veteran,A,B,E,D,-78.32732650259503,50.67483407584531,A,1
No,C,B,A,E,-45.7647164475809,-47.13249819796899,D,0
Yes,E,A,B,E,34.34513589630264,-17.48071425396533,C,1
Yes,D,D,B,A,-66.16926761115067,-71.62156260105947,C,1
Yes,D,E,C,D,72.43974533590468,1.2907888772501364,A,1
Yes,B,A,D,E,-22.1266534549429,10.668294324536221,E,0
Yes,D,C,C,A,37.368563574487816,83.18786267769353,D,0
Yes,C,A,C,E,-12.444341004792234,-24.235138230365415,D,1
Veteran,D,A,C,D,-12.486009578181502,66.59263993572611,B,1
No,A,A,A,D,-101.39040115013684,-38.63750649208018,D,0
Non-Veteran,B,D,D,D,47.91510365501175,179.42271853683584,D,0
No,B,A,A,A,166.64738363227704,76.73654180469805,B,1
Yes,D,A,A,C,-24.000171504517436,226.0298026310284,B,0
Non-Veteran,E,A,A,B,-53.32164115293085,14.33620084439362,D,0
Yes,A,A,B,C,176.37658609607865,-50.56802174996634,C,1
Non-Veteran,B,D,A,C,43.50283062594678,87.7192863475887,A,1
Veteran,B,C,C,E,-113.55916754820556,39.90754112223145,E,1
Yes,C,C,C,E,-87.9121318150227,22.59182157932253,E,0
No,A,E,C,C,105.43984845846627,-18.27467709861011,D,0
Veteran,E,D,C,E,10.929362664194,-162.24070760104595,D,0
Veteran,D,D,A,B,-107.79974175562792,67.56849778885902,A,1
Veteran,D,B,E,A,184.1979339459549,135.00110594975843,C,0
Yes,A,B,B,C,-29.67731584036234,-126.10212734701321,B,1
Non-Veteran,B,C,B,D,-161.24743486979608,77.13509180623684,A,0
Non-Veteran,D,B,B,B,4.512187410452545,-20.8406964368385,B,0
No,E,D,C,C,6.676712314251344,56.903462662768604,A,1
Non-Veteran,E,E,B,B,95.45531244086806,-192.1044647344703,A,0
Yes,C,C,D,B,-22.386584832187133,-108.53756995353785,B,0
No,E,A,D,B,-88.0103302446625,-103.0905351598511,C,0
No,D,A,C,A,-170.79010506739104,-52.8891655095311,D,0
Non-Veteran,A,A,C,D,-109.78791959890668,10.061849875473827,A,1
Veteran,D,E,C,B,34.254493370600855,136.00248795573157,B,1
Veteran,D,D,B,B,-49.98342059402895,128.72489690581847,D,1
Yes,B,E,A,A,147.49324385752948,-73.27489439999353,D,0
Veteran,B,A,B,A,-142.54191343540964,105.37356086514227,A,1
Non-Veteran,A,B,A,A,85.03195439995919,92.3254625409403,E,1
Veteran,B,B,D,A,52.976611584387115,63.36554378880839,D,1
Non-Veteran,C,A,D,A,-36.66238492038722,-52.765888188643586,A,0
