military,anos,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Non-Veteran,74,65+,D,57.84507587476584,48.28146987533747,C,B,A,-131.20350826683685,C,C,B,-113.75397088790571,C,C,1
Veteran,43,51-65,D,47.539723540427396,42.57361561121143,C,C,D,-90.68936194665605,E,E,C,-65.75861203028683,B,C,0
Yes,61,51-65,A,-33.05203740478854,64.69301784996017,C,A,E,-68.14903615076105,C,C,B,21.351400617945878,E,C,1
No,21,51-65,D,130.60367815319088,58.835068743080896,B,A,C,132.1587653124967,A,E,C,-94.58716396674436,E,D,1
Non-Veteran,57,65+,C,58.547075162014295,83.61201897365635,B,B,B,-167.91598943580343,D,E,C,44.85401655678499,E,A,0
No,48,65+,A,-14.339411957913258,-109.7178512578867,B,E,C,-60.04772617445377,D,D,E,44.3057390369093,B,B,1
Veteran,30,51-65,D,128.333903278076,182.04135977650043,E,E,A,20.922799389006933,D,D,A,-104.08791510540878,D,B,1
Non-Veteran,74,36-50,D,-21.924686717129475,-37.90585837550907,B,D,D,129.77294558413314,C,E,E,185.30656446587105,C,A,0
No,29,18-25,E,-43.10608514126524,13.55756035617721,A,C,E,169.19312240016257,A,E,D,-132.0521844515618,E,B,0
No,75,51-65,D,-154.41536086497135,-39.768529631193296,A,D,C,95.85207531027706,E,D,C,-67.23532595183788,E,A,1
No,51,26-35,A,118.63264055825005,104.17994947560987,E,C,E,-100.92628863301762,A,C,D,-9.82652815472055,E,B,0
Non-Veteran,26,36-50,A,35.43230120910777,1.3781826518730178,C,D,A,-86.76711343964885,A,B,E,78.05549132560992,E,B,0
No,48,26-35,A,-74.50566039280439,149.97840507134052,B,C,A,-30.67088915254994,B,A,C,32.44675757330939,B,A,0
Yes,31,36-50,A,-166.3793134914285,45.722929096407796,D,D,A,82.9447209501806,D,E,A,-23.797648691704502,B,A,1
Yes,19,51-65,B,-53.25579528112006,22.12210346958941,A,B,C,147.2017435043274,D,E,A,-39.76751480104539,B,E,0
No,19,65+,E,77.35805263427903,-94.76562104413826,E,A,A,1.6711344701901694,C,C,C,76.04914024228682,B,A,1
Non-Veteran,32,65+,C,-40.933545399212676,-48.74376711676576,C,E,A,128.4592476165906,E,B,C,-33.43172173305427,E,D,0
Non-Veteran,21,18-25,D,-130.8699877722776,-61.4336374594023,C,B,E,16.47109860787302,A,E,D,-82.67027108790253,B,B,0
Veteran,29,26-35,A,135.92214735353545,-37.14565908457861,D,E,A,113.35092097146261,E,B,D,64.86239283002242,B,C,0
No,34,36-50,C,73.5275588046281,8.885630296893176,A,E,D,30.0380797790814,A,E,A,12.056103239339073,C,C,0
Veteran,35,65+,A,-28.99512594041898,25.110406462525486,E,D,D,84.51846842203445,A,D,B,65.77684013503547,C,E,0
Veteran,18,36-50,E,53.09483906797748,26.89377131324625,E,B,E,-155.94220506167326,A,C,C,2.1902457229915946,B,B,0
Veteran,20,51-65,A,-66.1171055720421,59.34921608803138,D,E,E,86.58089207758285,D,B,A,36.178763114141624,D,A,1
No,28,26-35,D,-83.18121692042993,94.83619813226547,E,A,B,-59.55822837578625,C,E,E,83.85599514455208,E,A,1
Non-Veteran,71,26-35,C,-54.378898958841624,2.4986220490402355,E,B,C,90.27218697214772,B,E,C,90.37484807105538,B,B,1
Yes,32,36-50,C,-28.657018744464473,-151.37563988802998,B,E,D,-21.089295831315077,A,C,D,-96.35286546791875,A,D,0
Yes,40,65+,C,101.50186357040485,-5.444357911811622,D,C,B,53.79228064506292,B,B,E,30.182855742114413,C,E,1
Non-Veteran,75,26-35,D,133.48597489760442,31.178838809225194,C,D,C,107.57471837588206,C,C,C,129.55391104733914,B,B,0
Yes,79,65+,C,-120.854785793414,94.39415791278634,D,E,B,55.22974265310512,D,B,A,-55.66415827009844,C,E,0
Veteran,20,65+,B,121.6326285540021,2.905008210832615,A,D,B,53.85407550946072,B,B,B,130.02367432442716,D,C,0
Yes,38,26-35,C,-95.72355825402902,-134.95492727648158,A,A,B,2.148427075499368,E,D,A,-23.27049250118634,C,B,0
No,44,36-50,B,-98.73501065645158,-103.61892000282175,E,A,C,-70.20767877423717,B,C,A,-206.43697323261145,D,D,0
Veteran,42,18-25,E,-37.35945794553943,171.1984562721059,B,E,B,176.82128180330423,E,E,E,1.3131849159637765,D,D,1
Non-Veteran,60,65+,C,-109.52033246875143,-53.36713496503355,A,A,B,-75.11105376788912,C,D,E,-29.72049408326151,D,A,1
Yes,45,26-35,B,-26.322378863412503,20.023794764790992,A,E,C,111.20453489361435,C,D,E,29.199296411356006,D,D,1
Yes,18,51-65,B,33.60452819854069,-34.73346110400551,B,A,D,116.61091718030568,A,C,A,-72.0455915184645,E,E,0
No,28,51-65,E,-132.90716731957758,-23.471999420017344,D,C,E,-180.2153405954853,B,D,E,-3.4949908442929187,B,A,0
Yes,60,18-25,A,29.678722323754876,24.60415029076841,E,B,E,54.12129889521392,B,B,B,-153.14192049685212,A,E,1
Yes,78,18-25,D,44.578614037735356,76.59729162678954,C,A,B,19.140195048536114,D,A,D,115.29522934382778,C,D,1
Non-Veteran,29,18-25,A,131.60265062849862,58.19049717957001,C,D,D,-40.19930226212878,C,B,C,-37.73976045897005,B,C,0
Non-Veteran,71,18-25,B,64.93148167731255,-89.56240108988378,B,C,A,-204.94854214340862,C,A,E,-22.87950312649026,C,C,0
Yes,22,36-50,C,-157.342371456135,-26.92857496815051,D,A,B,-103.40644437656954,C,B,C,-67.25579243514501,C,A,0
Non-Veteran,76,18-25,A,83.54414983799484,27.080167834893874,D,E,E,-140.0484054626413,D,D,D,82.30095497917358,D,A,0
