marital_status,AgeGroup,handicap,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Married,18-25,None,-57.48806521523691,-151.22465660138587,152.21602716601785,C,B,116.39560400744789,0
Widowed,18-25,Yes,18.446552803958962,164.80978417532276,111.93394835971702,E,E,25.735266817979152,0
Married,36-50,Yes,153.27221697743076,13.172039536111091,-31.708348981615575,A,C,127.2776109753121,0
Divorced,26-35,Yes,-125.61996484777748,-57.21478461397594,54.73674634426503,C,C,89.35552222066998,1
Widowed,26-35,Both,-74.76397304293462,-316.694254419929,-114.59628905604286,B,B,-166.77709186927038,1
Widowed,26-35,Yes,8.160996162141265,-39.20194702506876,14.225658630058009,C,B,-46.76508424930957,1
Divorced,26-35,Both,-86.90311294412024,-51.12195810046809,-93.08611332474754,D,E,-75.4054722923859,1
Married,26-35,No,93.09550234433505,-51.594945545162616,-21.153615871654203,D,C,-33.396511334124185,1
Divorced,26-35,Yes,77.79549401070855,62.20310758267763,90.52330775489806,D,C,132.34087854298252,1
Single,26-35,Physical,52.466114126753716,7.384441451996721,-177.75956484315566,B,A,-132.45217369305135,1
Single,26-35,Physical,-15.889426285734121,18.00843625585862,-32.753659304645936,E,C,-77.7584540804401,0
Divorced,18-25,Physical,36.61869468865025,76.13218520909982,-48.0494993077276,D,B,-105.12281605823519,0
Widowed,51-65,Both,76.47105756151764,-1.1925988248973043,-21.566704008992087,E,D,-107.80634222159944,0
Divorced,18-25,Yes,58.60702816704714,73.6333696631306,-66.77733050821448,E,A,-76.11358958749219,0
Married,36-50,Both,-54.27082651771371,111.91103973521406,-125.81414108352196,D,A,109.99001576441148,0
Widowed,36-50,Yes,-188.57546002486166,101.9693696508517,7.115477826534428,D,D,1.3942202374700885,0
Divorced,65+,None,149.88431184577556,-162.11038913920072,2.399597661755143,C,B,21.842809858932767,1
Widowed,26-35,None,154.0798812572868,-129.8523309375395,56.77526889205017,B,D,24.68221146226279,1
Single,51-65,Yes,-102.54213877993888,1.8892405115914124,71.24883043085902,C,A,33.375771473948454,1
Single,36-50,None,-136.45068003310936,-29.952769253586105,97.24388351736671,C,B,0.5873903970010731,0
Widowed,65+,Mental,-44.91230733991377,-38.65423149675992,68.15945655232949,D,D,-41.64875134118703,1
Married,18-25,No,39.19237473279077,-92.38394389268343,78.3874022317416,C,A,25.508794133002755,1
Divorced,51-65,Mental,19.63405046113268,-81.41055767649374,7.890740244593432,B,D,86.49947658575256,1
Divorced,26-35,Both,92.97746166343683,-8.358326832212143,-32.80826105714991,D,E,138.90048769136817,0
Single,51-65,Both,61.50205441173877,-25.664832654616166,127.29297134215723,E,A,-9.145366103138809,1
Single,51-65,Physical,227.4490087343166,53.05919046436364,40.539383802736985,E,A,-25.72231988082913,1
Married,65+,Mental,-209.3500674590977,-122.5366626270206,95.88836838680582,C,E,115.47383679792298,0
Widowed,65+,Yes,89.25915306194116,-39.45136718526284,-88.43159182505633,D,D,-209.71009789999889,1
Single,18-25,None,-169.36253512934022,127.51004976433522,82.41338207034178,E,E,-79.79361022387563,0
Single,26-35,Mental,-173.72630447247664,-186.03697129513031,40.081701015315765,E,D,-85.99311345512167,0
Single,36-50,No,73.20412966552045,-22.188678511609517,-19.703472568104466,E,B,-125.32344687494887,0
Widowed,65+,Both,-16.90447737585254,-79.92656668177956,-126.29436544102334,D,B,84.66491702127136,0
Single,36-50,None,-78.4543982743444,-15.774814009134705,218.03331567577536,B,D,-76.47897080393328,1
Divorced,26-35,Yes,126.73897966122342,-209.04320767824674,225.52524442527962,E,D,-110.87656444204417,0
Married,51-65,Mental,-28.30016983263318,90.5364574140026,178.0500328119394,B,A,26.843632892373957,1
Married,36-50,Physical,-122.66302935083834,-38.53527148224337,-18.385735809549963,A,D,-54.614590985475985,0
Single,65+,Mental,55.620956589712144,16.75684849875773,183.4427174857365,B,B,-107.59628882523408,1
