genero,country,sexuality,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
F,US,Homosexual,51-65,B,A,B,B,44.06174367265343,A,-28.98052098059189,C,D,111.8971283700658,B,C,21.736079423082877,-92.31228617946205,E,B,-79.54972938422803,-13.127959629173116,0
Female,Brazil,Homosexual,26-35,D,A,B,B,25.380667773186126,D,66.55066933452774,C,D,-39.93526429524565,A,E,-74.32821871023727,291.9993013290056,E,B,111.4151617110813,-37.358863618287444,0
Non-binary,Mexico,Other,18-25,E,A,B,E,20.006660984427626,E,-33.833635428254915,A,B,-58.27196021957527,E,E,-28.3183253037681,-37.58660238719169,D,E,90.03118046854499,132.6482335136328,1
Non-binary,UK,Heterosexual,51-65,A,C,B,E,101.70202063887967,E,-110.4010154566762,B,B,-12.493313900276778,B,A,64.30773375238174,79.34889185588216,A,A,50.87896720424913,-45.078908849112096,0
Other,China,Bisexual,18-25,B,E,E,C,-28.747045970478126,E,-31.736754776894653,E,E,250.27912159776952,D,C,63.495551787087415,34.180385249631016,C,D,-45.03993993698482,-1.6839175188492677,0
Other,US,Homosexual,18-25,E,B,B,E,-89.81264764115491,E,33.40620841191892,D,E,91.81789501661008,E,A,96.11499572317327,263.1422727859444,B,D,-12.571410901999446,-113.2609768315634,0
Non-binary,Mexico,Bisexual,51-65,C,B,D,A,149.01449996154528,D,123.86451403995784,B,E,-4.639241466963938,D,C,25.62280518234213,174.73460656270484,A,E,46.6353114327413,20.7722321898782,1
Male,UK,Homosexual,51-65,B,B,E,B,80.17279885965611,E,-72.09442308006096,E,E,218.74096604221145,C,D,136.21684642335177,-101.28149054451458,C,E,56.791774520022834,-59.337791479947896,1
F,US,Other,36-50,C,A,B,E,-22.167078947261963,C,-99.93472811088509,A,B,124.83651903969957,B,C,-99.65786290774524,10.022463934126138,D,A,20.92479392601095,-88.58093354434786,0
Other,India,Homosexual,65+,B,D,A,A,-181.06520649250203,C,-22.701584335540883,E,B,34.81976502333058,E,C,89.86350361719883,45.339707847555886,A,A,-28.853850941994878,-25.383267010680132,1
