handicap,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
No,A,B,A,14.542266664830061,E,179.01604280953708,E,-111.94521101007093,13.669474225428365,A,258.0312815501177,19.034036443960993,E,D,24.11813425411614,C,136.0255017499162,B,221.46027083871255,0
Mental,E,C,D,-142.69539995592189,E,-114.80648167948398,E,25.546503968663192,-168.17209558795923,A,-97.82097449242752,47.62007277318922,A,C,-116.83638975014432,D,-86.65273441542074,A,25.155828201515508,1
Yes,B,E,D,-69.98186988680017,A,21.089010001065674,B,32.84772380604559,232.0890649548006,D,17.77280763113917,-41.94482149172809,E,A,-65.07088027423843,C,-40.11476713340187,B,187.42902072270954,1
No,E,B,D,121.8012876335144,B,32.63426392544689,D,204.56575183890604,-148.80208883782856,E,78.62911886024271,-40.18844522951226,B,E,35.50661551610403,B,-32.64159966091227,A,-37.47250463610937,1
No,C,A,E,10.336485649238671,A,-133.44461657805962,E,38.39262769653708,125.9355591821532,C,41.91995307441028,55.89856943769897,E,E,-68.53254568450862,C,112.97493460627261,C,65.25059205904127,0
None,E,C,B,-43.49375821189598,D,-20.339007473243587,D,-73.99157195696665,-63.41066608453813,E,14.081798014183825,236.51315976952367,E,C,-64.38773677233874,D,49.783061667374774,C,-229.2958906168435,0
Yes,D,A,D,-4.294389778226954,C,5.5300906182868035,B,58.91412266049354,-62.087254964095685,A,-104.5148727441844,70.9248197154196,B,C,79.61223425740563,B,79.1118583042649,D,-63.31344512859572,1
Yes,A,D,C,4.527824330928726,E,33.86968869452552,B,-32.956906349775835,-134.8377972759118,A,-2.765806302653486,98.99261629881555,C,A,-50.760080905731165,C,32.31605137904111,E,210.5616431114318,0
Physical,D,A,D,-15.602348980357997,B,-56.80673382306275,E,58.17209369785841,-98.62675198997671,E,42.915470469932956,7.260458125192897,D,D,-129.4130531649168,D,-74.75306115065618,E,67.58263581950654,0
Mental,C,D,D,-86.10653902444687,D,-33.64296453903064,B,-90.97302631461827,-37.652820743353885,E,80.41453750590904,204.8014968619614,E,E,120.33658118729254,B,54.29972049422334,D,-166.52296409568368,0
None,B,E,A,61.330120951542824,A,82.72877537184044,C,-24.751478868486757,111.57576852606033,C,-36.12276142777152,78.67135712629113,D,B,119.0818873238782,C,-2.1543693910655017,D,77.40146865329456,1
Yes,D,E,D,-29.207682309426495,E,-0.2136660542140126,B,-228.78660026072754,8.807087373235301,E,-198.5247425213658,51.0462138257893,B,D,44.33520785096936,D,19.087481392918917,A,59.70328659441574,1
Physical,A,D,A,214.76996548872128,B,238.3183563797467,E,-72.50900348664656,4.344363496002366,C,-50.52138482592197,-170.23950557206174,E,B,-33.268985899269374,A,-1.6224964923929484,D,-4.4802090961242,0
Mental,E,C,A,66.7216914801754,A,26.404958347580816,D,83.14064076977219,74.50490077760155,E,-57.71005382951287,125.64946167578954,E,E,-15.317782913029376,E,153.12361282998071,A,-139.50590161448778,0
Physical,A,C,E,160.08238510016744,D,-15.616106066865218,D,-163.97774819781898,-178.0047494230599,C,-20.990149860764546,170.23390752791167,C,E,168.50769963033875,A,-43.94544867045503,C,-144.75989459250616,0
Both,E,A,D,-47.403242619751026,E,3.573303447813651,D,14.015739626980247,23.538163261204506,D,-122.83384318168085,22.989273170862397,D,C,-20.813403402295535,E,-85.5842477482487,B,215.13576564832127,0
Mental,D,C,A,-180.03579196367784,D,87.07630290085466,B,74.12401481344241,158.26726997490047,A,-51.38716761535527,172.3952514126687,E,D,-95.99371899347378,B,42.278681957201485,B,-191.7138647199444,1
Both,A,D,C,-22.214534035967127,E,130.47471400703978,C,58.792742481532166,95.87997648164193,C,-7.403674595635243,-153.0238665446459,B,C,216.20750259959718,A,-215.33402998780554,A,-90.54608899299677,0
Mental,C,C,C,207.94903445626645,D,43.603502719573555,D,40.87391490475888,-152.56754444583697,A,121.84104647038147,-129.1464155750808,D,D,-56.990899874483816,D,-26.723947117096824,D,-65.5592938596715,1
Both,C,C,A,129.20473616904422,C,20.693495312182733,E,4.599701426567019,9.216058476006662,C,-153.94636149451233,-159.58582848112073,B,D,-35.99670714161738,B,111.58705263450572,D,23.99656806704369,0
Both,B,D,D,-93.39335324828086,D,-42.50677060487668,D,74.14556437945666,-71.53748750765732,D,107.08322527980592,4.290359425120638,A,E,-15.708348078642775,E,-5.07634190461378,C,64.64143263906568,0
Mental,E,C,D,21.056326039543567,C,7.103131571811611,B,-80.8565590421659,117.05637351147844,A,148.5828215396795,137.191510423639,A,A,-129.66898478910136,A,-69.61105258569089,B,87.97663014527201,0
None,B,A,D,50.56345948998585,C,103.9228877154159,B,112.1288670776466,159.5281341281643,B,48.79264974527381,-20.889150942364054,C,C,149.48926297991386,B,4.119643037221114,C,6.078431687239315,0
No,A,D,E,49.64410088426223,C,-107.8258400156539,B,-260.7616505838728,-50.39163569350149,A,-19.75596248564869,-41.867725953440555,C,B,0.918727805534171,D,-78.05621181487783,B,24.340836569767337,0
No,A,E,B,61.64476391301974,B,-112.0818501618859,A,-70.44882761746669,60.50485957458203,B,26.2443955149279,26.184551451399546,C,B,-51.202656089379,C,-69.2890818929267,D,85.23170966896791,0
No,A,C,D,-40.541554605289576,E,-52.5280776983063,A,165.3751082784088,-54.06756539353085,B,-183.05589175242534,-7.738063090416475,E,A,-18.71704367898082,A,1.7215003099681732,E,-71.73486203953283,1
Both,E,B,D,0.866864464747952,D,23.367000852424717,C,143.89127633444753,-107.729857131071,C,-80.69646847612411,9.988326053597083,D,E,34.84647679110675,D,-86.64881380424286,E,-144.57414395956087,1
Physical,B,D,D,20.556871389250933,A,172.34408394466462,E,-26.362449539537675,-133.19371938863424,B,58.80699841826501,-44.529656171797825,C,C,-61.88076854455634,D,-51.26266211836115,C,17.502883645571053,1
None,A,B,A,-19.067047551061965,C,-7.036432432478063,D,-24.685631866289835,120.44598367975965,B,-101.95900790268159,-107.37644607858601,A,D,13.87560237571025,D,42.431322197067175,E,62.79898267564575,0
