ethnic_group,AGE,feature_0,feature_1,feature_2,feature_3,feature_4,target
Hispanic,97,D,-104.75273856474212,B,-6.687077903651437,-106.76768623197341,0
Hispanic,42,B,55.75540318051884,D,-38.80374940358068,-169.57328001967403,1
Asian,25,D,89.84746395475412,B,6.22517783933354,73.58986245562797,1
Asian,50,C,-377.41898139912615,C,-60.80192577728929,1.5936043359525545,1
Hispanic,97,A,4.4323754093182295,B,-0.5426948847143215,-152.93868854935906,1
White,49,D,93.2500688151767,C,24.074430912546433,77.68157434589372,0
White,67,B,34.7855377668298,D,-7.023624622319061,-162.859721923859,1
White,98,A,-4.329334598684877,C,-12.054846595781408,260.2519316136357,0
African American,50,C,-12.00473006738498,A,35.505844144387304,-104.03494759484416,1
Hispanic,61,A,100.60652165337667,E,-43.730223383615915,236.43799686361774,1
Other,93,A,-13.428609100451725,A,150.70621071431086,-20.56982670778741,0
Hispanic,73,D,-170.5607609800462,E,2.2244511631791273,71.00282515389375,0
African American,44,E,-175.99622487065355,C,-53.42915043795793,-123.88131291546902,0
African American,19,E,-123.25916895064424,A,253.20357005290788,93.4913635935077,1
Asian,69,A,54.764818495819014,D,-3.0082421145649967,-35.66998717664302,1
Hispanic,85,D,-116.19602741665827,B,-104.84778629870819,113.37163382332396,1
White,91,C,4.934176202751095,B,7.4736312032311405,106.2923356239316,0
White,52,D,-20.64742483906771,C,31.634510027892794,138.24402585807752,1
Black,21,C,-84.72868844563155,E,118.02477977762793,-74.66713519463356,1
Asian,21,A,-85.97863985671144,C,43.11775556550396,172.54730272304937,0
Black,65,C,155.68146069409414,C,-210.6663243543677,-32.569123617334924,1
Other,18,A,80.28895838142508,C,-30.453569532599367,-23.844289612062227,0
Asian,25,E,-4.609733178849455,D,125.13790735888489,55.49094609539694,1
Hispanic,91,B,-49.50449274869783,B,-109.69848625590421,99.91611982676135,0
Black,42,C,-107.02393552483993,B,2.472407869760652,10.212762984786925,1
Hispanic,39,A,-95.98052294783167,E,58.46215436531841,-73.63205974064635,0
Hispanic,55,B,-106.02626109649391,A,-85.07082951727651,59.16225052482403,0
African American,32,B,-34.87576228447876,B,169.8661059753086,-75.71639450885624,0
Other,22,B,-130.31021175017926,A,78.23819542295216,79.38378340902773,1
Other,29,E,4.5079098403602735,D,205.92392434909593,110.12150650625239,1
Asian,22,C,-22.93998889225946,A,-79.47822749676438,75.4601187311886,1
Other,44,C,-55.178787391690584,B,-34.789554308922966,-56.03596749949209,0
Other,27,B,29.1540034674197,A,-23.664366463855227,-165.3991700133503,0
Black,72,B,75.68690768170536,E,-0.7194617953050917,4.993640689325141,0
Hispanic,65,E,-2.411830856696956,C,108.32876825229911,59.55039599043308,0
Asian,31,B,-32.384726185343546,C,-154.69376977053187,-69.10451708782873,0
White,80,E,58.192408541141695,D,-26.846789076749396,-62.96346686135894,0
Asian,52,E,4.5580398990948385,A,107.12884896467014,51.74373422196909,0
Asian,81,E,5.570704235995665,D,94.76217995220097,232.90081650239335,1
Asian,89,E,-54.37081570160933,A,166.89267330046286,31.96325150572463,1
African American,78,E,-193.37672204722898,D,8.41921525276216,2.693060937932822,1
Asian,98,D,38.41896076021871,C,112.01577758918526,-7.8257139304424905,1
Black,52,D,-62.53933796208594,E,-273.099534049932,217.30306644876046,1
Hispanic,99,C,-25.81829467845479,C,-162.4066292860033,-73.23561303907888,0
Black,39,D,2.4804417601215354,B,168.46015085054273,-3.690529369356929,1
Black,18,E,242.116887969019,A,-154.35714202268414,150.66172115762922,0
African American,44,D,93.14098407029122,A,-144.79847377811868,-100.72508834357146,1
Black,71,D,-24.740870964771545,B,77.74260531447035,-30.294391562888972,0
Asian,92,D,-142.56529359489917,B,-148.04131760074551,-192.94320750079618,0
Black,91,C,70.69437565992284,E,-79.54206321332425,-97.99507153315588,1
Black,32,B,14.861139268005088,C,212.71128257759543,101.63784081955353,0
African American,36,A,-164.3427991730735,B,-77.30510551747902,69.75783002946051,1
Other,62,C,10.35964648310438,D,-13.16761810427558,-43.69174738695536,1
Asian,60,A,52.819636092679,B,-121.9268933191415,31.68600960194477,0
Black,72,B,-129.73793104718217,A,-3.6386583836958497,196.43984247322012,1
White,71,E,-55.25801809715215,A,111.52141701715095,49.3053050432759,0
Asian,74,B,4.511372446550778,D,-180.63785019651942,124.0886932025744,0
Hispanic,24,B,-241.29536879092404,C,51.83954919127266,25.155798382402182,0
Black,83,E,-10.926051567841892,A,-69.29890216023217,-39.8065912420656,1
Asian,49,D,-48.09273265455472,C,226.4034324821468,-37.35173729284805,0
Hispanic,47,E,-112.84120701811482,D,-1.0123604879603751,-53.56290341085338,0
White,80,E,-38.73828474999936,D,-22.335300244070392,105.13939404099304,0
African American,89,C,-206.38211945870307,B,-18.968804494475417,-91.02846464569686,1
Hispanic,70,C,-36.66428947979471,B,-78.19902853303833,87.24378748536637,0
Asian,40,A,-109.9308369150489,A,-80.99642220732406,-178.54363320935644,1
Hispanic,25,E,48.84403420963619,E,-100.35286959267731,-144.44911889064414,1
African American,76,E,220.35903072992426,A,78.4653378298578,-28.83181083668434,0
Black,63,E,-171.69510896769606,A,-78.65397228259884,32.47976246128667,0
Black,95,D,-97.56569486860553,E,-61.93940447073195,20.062049116667072,1
African American,83,A,-23.913137566687638,A,-171.4794409982574,-36.727708543106544,1
White,74,D,69.29541020610543,A,29.126417691968097,-7.626916742124239,1
White,88,A,-50.17975002592179,A,3.4625036811624885,-52.25582944070097,1
Black,40,D,79.28495113772898,C,-28.42389816333692,-67.075593800618,0
Hispanic,81,A,-106.48448944108956,D,29.00684698900024,-57.56798847842286,0
Asian,77,A,81.9659221176619,E,34.30938351213292,-73.42367951032924,1
Hispanic,86,D,88.69752020376932,A,15.24617583488325,-112.17977145032481,0
Black,73,A,200.3659661138588,D,-112.51347152853306,29.44463997669866,1
Asian,68,B,193.41587288694575,E,-131.75737867160353,43.14665332452875,1
Asian,66,D,-97.68926883722092,A,95.72647996383849,31.71543766867753,1
Hispanic,50,A,-77.01681745679946,C,-61.775674827903394,216.77361892724565,1
Asian,65,C,27.551008537506732,D,51.6328734494225,-23.71430645285983,1
Other,42,C,57.03912775307898,C,-118.70811205536297,101.14712966178953,0
Other,84,A,117.4478132536684,D,273.51675284870527,48.93215253549221,1
Black,70,E,-13.422106973045848,A,146.34516966437323,-25.95012580962756,1
White,84,E,-15.455118735054654,B,85.20744221695499,26.097032811867344,0
Asian,90,C,-200.4737092319122,A,-132.27142595029085,53.63374159557487,0
Black,23,B,-220.65803966821082,E,-106.74426713606822,-170.69292783095068,1
Black,82,D,-80.6437983994002,E,-20.365581629868142,-81.92030675573649,0
Hispanic,90,B,-87.23601966455465,C,64.10893778041147,-52.48800320343451,0
