AgeGroup,Religion,civil_status,country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
18-25,Hindu,Married,China,E,-13.420440683129781,-101.90131362097638,32.93315352082223,-51.844833482762255,D,B,1
51-65,Christian,Widowed,US,D,-213.03318671475168,44.575079501532144,47.79012553494269,-28.51566340414175,C,D,0
18-25,Hindu,Widowed,Mexico,D,-29.81223386847362,-113.18664711708637,77.1137816541701,7.21951611383917,E,A,1
18-25,Christian,Widowed,UK,C,-75.48547391138119,-38.31667685189874,-47.904665306571694,3.596527300596117,A,B,1
18-25,Hindu,Divorced,Brazil,B,62.474475770739566,69.64160372724776,-98.21633601886825,114.56645284291336,C,C,0
65+,Hindu,Single,Mexico,E,61.83477804268149,-89.44889905720898,100.87445828916192,-3.5656286721008645,E,D,0
51-65,None,Widowed,Mexico,A,13.27220188147549,-9.72337961857239,-34.10535824455147,136.3001848463059,A,D,1
65+,Hindu,Single,UK,A,22.44305319246364,-103.05824189577288,26.791402192635744,-116.63046872464706,E,D,0
65+,None,Single,China,A,-97.05365537859714,-178.00267775871498,-102.93577062924126,-65.88485339535578,B,D,0
65+,Other,Single,Mexico,C,-25.75414242377526,-46.21232958248741,-180.5501080267594,-46.432924220886015,B,B,0
65+,Jewish,Divorced,Mexico,C,10.393305962085824,-73.21156436304187,26.862487315591068,15.872358293690167,D,D,0
51-65,Hindu,Single,India,C,-220.88308160389835,49.45093728568411,-160.14667617959338,-21.16119719947413,A,D,1
65+,Buddhist,Single,China,B,23.574414293994895,262.5833635337076,189.1502343454833,-164.96834367178042,D,A,1
65+,Jewish,Married,Mexico,E,256.47726164017394,-152.2707193528665,221.82118128518113,-85.33593524760873,B,C,1
65+,Christian,Widowed,Mexico,B,207.1324585939973,70.65857324149603,47.234505835824905,170.70740769272697,C,B,0
65+,Muslim,Divorced,UK,B,-12.457683521354571,-22.881732622820987,-66.67650427559518,-92.01114122797276,C,A,0
26-35,Other,Single,Germany,C,28.132678160440573,-20.850457599216217,24.1441420540053,29.264677698705512,B,B,1
36-50,Muslim,Married,China,D,18.127111467699113,-53.88329248253705,-134.76393686595887,-34.38943169190631,B,B,1
26-35,Christian,Widowed,US,A,35.39326748800072,188.99356819460016,113.84698412446895,-10.06952564005927,D,A,0
65+,None,Widowed,Germany,A,128.4035285591773,-43.6947471590527,-1.924007424930355,-7.7423028679468695,D,C,0
18-25,Christian,Married,Germany,A,41.31701732707575,38.84575197665692,109.1398477864328,-133.25899557056624,B,A,0
18-25,Other,Divorced,Brazil,D,-56.864030505659855,45.720543322673116,-30.501564209082506,87.51484316190991,E,D,1
51-65,Christian,Single,India,A,-14.392237334739209,-66.83933762229904,7.684962391480416,238.47413615686096,D,B,1
65+,Other,Married,China,C,119.65689949742317,-22.937494846383057,177.09656100458733,-254.89094925204546,D,C,0
18-25,Hindu,Married,Brazil,C,-146.83973220829787,-51.56503147283169,-165.4901191538402,56.078189520821454,B,C,0
18-25,Jewish,Widowed,Germany,D,-75.82044723160313,-245.21204143006815,-23.93040144572719,182.98251899544826,E,D,0
36-50,Jewish,Widowed,Germany,A,25.222216110132468,-219.06359864009195,-126.87663983459008,150.06758767748252,C,D,1
36-50,Jewish,Single,Brazil,E,162.5042200257907,-82.07725263866959,-184.9151722101028,-72.25518815076373,D,D,0
26-35,Other,Single,India,B,5.310568186226121,71.45623511317895,-26.127185352279376,6.904777316307675,B,E,0
36-50,Jewish,Widowed,Germany,B,-67.88755412693236,28.180866539392163,-132.13624011280265,-13.834403330993258,C,A,0
65+,Christian,Married,US,D,99.77986140522124,-75.33241397553964,-45.822165953247286,201.88689933559854,E,B,1
18-25,Jewish,Married,UK,B,7.81129462753036,68.33608110245916,58.81719389634428,-38.18159228864651,E,D,0
51-65,Christian,Divorced,China,A,-132.36142554884245,41.83060464308767,-357.0389188140691,73.64083340125725,C,C,0
51-65,None,Widowed,Other,D,90.3059357956293,141.3981389190337,176.10906575564022,54.045654393773226,C,E,0
26-35,Christian,Married,US,D,220.67116807323077,84.54019545824362,25.486259151531055,92.67791255167984,C,E,1
51-65,Buddhist,Married,Other,A,-36.21966504401921,27.683859085374195,-63.16203365030783,-5.70225491949482,D,B,0
51-65,Christian,Married,Brazil,E,5.193159816412159,-146.36907100892682,47.60767440857428,-96.5758008413701,E,C,0
51-65,Muslim,Widowed,UK,C,13.177670727792265,-63.54751307241223,-124.89444235128502,171.2629419045297,D,E,1
26-35,Jewish,Widowed,Mexico,A,-12.670736443663827,185.02405003363845,-160.32070008130702,-34.70993323754213,E,D,1
51-65,Jewish,Single,UK,C,-81.44938411463421,34.93133237456038,-74.5737286690928,174.35698923545087,C,D,0
36-50,Christian,Single,Germany,A,-7.617485792029428,31.39977539423725,71.7156586082904,-160.71505491770796,A,B,1
18-25,Christian,Single,Germany,C,-56.57086076992609,183.92154946098827,-113.78614630012713,-27.908572848153756,D,D,1
18-25,Other,Widowed,Germany,B,143.4865069817379,-49.32082629283209,26.810096228176228,144.55293076590647,B,C,1
65+,Christian,Divorced,China,D,110.43060691342647,87.38417724559456,188.47839775174796,162.48332214308033,C,B,0
26-35,Buddhist,Divorced,US,C,-193.66922682329567,38.75698681216353,-68.48770835260854,-32.79568358960404,B,B,0
18-25,Buddhist,Married,UK,D,159.9365383212956,8.532332241269264,48.79188951437398,141.62492310881885,B,C,0
51-65,Other,Single,UK,D,0.47822987742794076,-60.78900578487788,-133.30806620701995,-112.06693195786774,B,B,1
65+,Buddhist,Single,Brazil,E,59.378938401020584,-68.8617776082469,-33.564109062315104,57.57828462544747,D,D,1
18-25,Jewish,Widowed,Brazil,B,38.71389770351199,153.93747337066503,-55.77806048053559,-206.14383838284934,A,D,0
65+,Christian,Married,UK,D,51.975256995548804,51.75369904985284,-62.90033451450922,8.375575544469331,D,D,0
65+,None,Widowed,Germany,A,-176.693983140917,45.84952843513237,78.90912453156655,94.51095471657601,E,E,0
36-50,Buddhist,Married,Mexico,D,-72.65581487644992,137.91947626739213,-127.1899736297168,213.90228827355955,D,D,0
51-65,Jewish,Divorced,Brazil,C,58.44250894535479,32.53277679903102,47.36911437952918,-147.03993490756145,E,D,1
51-65,Christian,Divorced,India,D,69.85362467275908,-41.02060459772182,-23.088236683108118,-72.859056739073,B,C,0
26-35,None,Single,UK,B,39.682128841517745,-2.712781997819445,-5.265440818168622,144.44940217355574,E,E,0
18-25,Christian,Widowed,Mexico,E,26.85256854072931,-60.33051890239225,-124.38200659382571,29.76571418061125,E,E,1
18-25,Muslim,Widowed,India,E,-47.55538969850672,-61.8093718810528,-132.06854940382559,-11.518594710472032,E,B,1
51-65,Hindu,Widowed,Brazil,A,137.6728666941882,307.76610739405186,-54.70998229768741,-24.665461069726636,A,A,0
65+,None,Divorced,Other,E,-42.061947490087,-4.476668656895548,-58.488852147286295,178.9190263636709,D,B,0
26-35,Buddhist,Divorced,Mexico,B,156.2009648604595,-181.3573070191486,-62.04018126590528,-209.54645558736274,A,E,0
51-65,Hindu,Widowed,China,A,-41.654154038253594,176.46768609024386,33.251049424858245,-167.54689663422667,C,E,1
18-25,Hindu,Widowed,Brazil,B,-56.10421518923111,33.42684253254199,-27.213330268060176,10.996364371186024,E,C,0
18-25,Other,Widowed,UK,B,58.456207067573054,32.07679235473167,-118.31052571685707,-142.86625390244967,C,D,0
26-35,Muslim,Divorced,India,B,-44.954831311990354,-6.925027956077743,43.75768666600538,28.13875259632685,D,B,1
18-25,Jewish,Single,US,B,-85.71035343202144,-12.549140987156616,-75.33083181428272,-31.967169317119115,D,B,0
65+,Muslim,Single,India,D,-7.047532058691713,65.05115914095234,-68.38258350033699,201.45085577676346,E,D,0
18-25,Other,Widowed,Brazil,B,59.689462557029216,-34.1673305233408,-14.73677743178921,-49.28121628597742,B,E,1
65+,Other,Divorced,Brazil,A,-171.3211599467805,-124.15470693930332,-133.06941210236488,7.905118278881655,A,B,1
36-50,Christian,Married,Other,A,-37.78336116448215,76.12979114334986,-9.187071903058165,-3.834026534603843,D,A,0
65+,Christian,Widowed,US,D,-14.592567363445259,86.90115236971288,-32.38045188714628,-37.64267092285352,D,B,1
51-65,Other,Widowed,Mexico,A,-124.53896113190659,-34.01515014258839,120.14358275756835,163.95427818746563,E,D,0
26-35,Muslim,Married,Brazil,A,-38.13520753845106,116.88780626021853,97.50587704744974,13.231580197791803,C,D,0
65+,Hindu,Divorced,US,A,-20.54298796448208,51.928653473406364,-206.83595865127975,-117.41596220800045,C,D,1
