faith,handicap,Nationality,genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Muslim,Physical,UK,Non-binary,D,D,-37.516633881649966,D,A,11.314300254343724,-250.91858083711475,D,A,47.96508287209038,A,-224.4398516440731,B,-42.01125509067253,-145.05180636865683,D,D,1
Muslim,No,Germany,F,D,C,-79.44517285152955,C,C,114.1775524311224,49.94043051027899,E,B,-45.313980432851295,C,52.12603200907142,C,-17.291066252277474,-128.93443279211968,A,D,0
Muslim,Yes,India,Female,E,C,-15.652277808942621,E,A,85.95119918122532,-106.12368929966853,C,E,-161.73892034029635,D,-36.51716110070459,C,20.977397298336946,0.9554402073175124,D,A,1
Christian,Physical,US,F,A,D,-72.06297479134855,B,C,-10.223453577941115,184.48754617997065,E,B,23.43619752630331,E,-33.36982574891758,E,-24.43602066910547,22.000052511903277,D,E,0
Muslim,No,US,Other,A,E,89.54605958773521,A,D,-15.902448970880572,31.53934185783144,C,D,16.215521219857614,E,63.66904290968618,E,-99.48290225079623,40.33041057078543,E,E,0
None,Physical,US,F,E,C,-93.11890534975905,E,B,56.84427342836014,-25.57924857424459,D,C,-18.197086505072914,C,84.15067688867306,D,-147.63973603989712,-204.18922299232736,B,E,0
Hindu,None,China,Other,E,D,143.3047392531945,B,C,29.67136996232599,-54.02933786954643,E,D,107.39077251122646,A,6.83828880265155,D,-47.21961486843828,-71.15421932521414,D,E,0
Muslim,None,Germany,M,A,C,-302.73697020474356,D,C,-98.0379841930468,185.41675048464788,A,B,-18.713930091028953,D,39.59152589552041,B,17.218525834450926,-130.96123688087872,A,D,1
None,Both,Germany,Female,D,E,-37.0951144707851,E,A,80.69211436073834,-31.066321019789946,B,C,108.42998742791397,B,-158.1740167873681,D,-138.84373839228158,-121.00398409204003,B,B,0
Buddhist,Both,Brazil,Female,A,B,126.43840731629186,B,B,201.50356317017378,-89.27342748466474,C,E,-172.44221729994436,E,4.134525937205505,B,99.87838806945193,-71.59489518505666,E,D,1
Christian,Mental,India,Male,D,B,271.9272180253901,A,E,114.56817365664126,-0.7040199373732982,E,B,-36.87263140814638,A,18.2343286802692,A,187.7499346026169,8.939672708265393,E,A,0
None,None,China,Non-binary,D,A,148.55817173929478,C,E,-78.31817188944332,-48.14808119932335,A,A,17.624088726594678,D,-5.809942949237389,E,82.35585864276604,87.19723552439706,A,B,1
