religious_affiliation,Veteran,AgeGroup,orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
None,Yes,65+,Heterosexual,27.85228552539547,B,-84.26082961080402,B,-220.9818280341297,A,-10.818910996545588,83.75436313714098,C,E,-3.4584885358296664,E,D,1
Christian,Yes,26-35,Other,-28.557034757091397,D,-256.7948771296939,D,84.99825515001683,E,114.75997014969212,58.31572547862917,A,E,-161.77249106887643,C,D,1
Hindu,Veteran,18-25,Homosexual,57.77566838559757,D,88.2473417161228,E,-11.711684042904116,E,97.87753488181046,134.4893322912933,D,B,-95.0836169980036,D,C,0
Other,Veteran,26-35,Bisexual,4.7097942597774045,B,103.74990192610787,E,26.14008354968456,D,-134.1026723861546,-1.9123518001519741,B,C,11.432342337399414,D,A,0
Muslim,Yes,18-25,Bisexual,-4.243489840068138,C,10.061448524829036,D,-39.563073869962835,C,20.202262117022215,39.75033192973705,A,A,26.552362675162367,D,A,0
Muslim,Yes,36-50,Other,65.95320436967998,B,-199.03696190644064,A,-156.75256357464858,B,-248.42048981066617,85.95304881420091,C,C,51.44345451869711,B,C,0
Hindu,Yes,36-50,Bisexual,66.63426009042502,D,21.228193050502085,B,17.03934584843136,D,101.09674754247162,36.94046485297711,A,B,19.21228049405582,B,B,1
Hindu,Veteran,65+,Homosexual,192.84787283693646,A,-6.953567050441836,B,31.489258520491774,E,-54.702443614919815,-143.99593093634186,E,A,-178.69959682016548,D,A,0
Christian,Veteran,65+,Other,-15.488626858078641,B,-139.36152386760037,B,48.852153486733876,D,29.092745364676066,188.39910598044784,C,B,-79.77803834396387,B,B,1
Buddhist,Veteran,18-25,Heterosexual,-65.2312482359158,D,109.45559798852375,E,22.477278525632894,D,-68.64245672774663,148.54800641438965,A,B,-17.483051836781407,D,B,0
None,No,65+,Heterosexual,-101.27772792298528,C,83.02758947997197,A,18.906421732174056,C,-92.3517762108501,144.75169515692622,D,E,-149.86727383580015,A,E,0
Christian,Yes,18-25,Bisexual,-85.30124655637361,C,36.98660800293564,A,17.843128356508775,C,-31.992893340305972,-75.03715742094478,D,C,98.74752263505644,D,C,1
None,Non-Veteran,65+,Heterosexual,-24.560254424939142,E,191.9873073765351,A,-27.378910636177412,B,198.6122004071272,-51.73594753627822,D,D,99.59746613214607,D,A,1
Buddhist,Non-Veteran,65+,Other,-198.5905780196062,C,-37.20148981412649,D,59.47239401852609,B,-269.3778319489178,81.0594118595677,D,D,-39.280262783179396,B,A,1
Buddhist,Non-Veteran,26-35,Homosexual,-16.092130063161935,C,104.52892688210883,A,1.0124571691745052,D,-141.93431211255256,-101.28701042584287,B,A,-114.46944054949675,D,B,1
Christian,Veteran,36-50,Other,54.98158127321254,C,114.16333008097772,E,-196.00055968250305,A,21.73020018665909,17.074829121313726,A,B,95.0248905959868,C,B,1
