ethnicity,SEX,age_range,religion,feature_0,feature_1,feature_2,feature_3,feature_4,target
African American,M,65+,Other,16.870767745448394,6.055684317684782,D,B,D,0
Hispanic,Other,36-50,Other,-60.17666327465634,-52.890969634637244,A,C,C,0
White,M,65+,Christian,-34.41075513005942,17.537469583023615,D,E,C,0
Black,Male,26-35,Hindu,22.826501233209648,-110.75952413000714,D,E,A,1
Hispanic,F,18-25,Other,87.63418470601015,-20.54411959898631,E,D,E,0
Black,M,51-65,Jewish,56.817496734069074,190.6994765975647,E,B,E,0
Black,Other,26-35,Christian,-28.126695308168078,-93.64874143419405,B,E,B,1
Black,M,18-25,Buddhist,-22.497919634601484,-117.90089146694243,B,A,C,1
Asian,Female,18-25,Jewish,-96.73859681167323,-80.77744100537036,E,A,D,1
Asian,Non-binary,26-35,None,21.467807336072028,100.32881974808454,E,D,D,0
Other,Non-binary,51-65,Muslim,108.75207622864505,59.46967261978931,D,E,C,0
African American,F,36-50,Jewish,-13.933469962620443,-25.657620970334793,E,E,C,0
Black,Male,51-65,Other,-98.17263338857217,149.20896547473188,B,C,A,1
Asian,Male,65+,None,127.56743219408806,109.02259509947511,E,A,E,0
Asian,F,51-65,Muslim,124.70011493585953,48.98919832932497,B,C,E,1
Other,Female,18-25,Buddhist,150.55490159282832,150.2985830791105,D,D,D,1
Black,Non-binary,65+,Muslim,-88.86002942877995,-29.15518915771918,C,E,C,1
Asian,F,18-25,Other,-105.60922359700271,-116.01680895425808,A,D,A,1
African American,Female,51-65,Other,-67.39537129973861,-62.32696382225211,E,D,B,1
Asian,M,18-25,Muslim,62.05364041911579,-95.63679227727387,C,D,D,1
Other,Non-binary,65+,Christian,148.0472042917327,-22.232599561354267,C,C,A,0
White,F,18-25,Hindu,54.87183751678557,-47.456141735611126,D,D,D,0
African American,Female,18-25,Other,5.071249731730221,110.45043862085677,A,D,E,0
Other,F,36-50,None,100.8498449018004,56.86452017993228,E,B,D,0
Asian,M,65+,Hindu,-72.27460849422582,-18.690734833458777,E,E,D,1
Asian,M,36-50,Buddhist,150.7554157690394,-59.646314658484734,A,C,D,1
Asian,M,26-35,Other,29.634247142449745,-114.87012226554438,B,C,B,0
Hispanic,M,51-65,Muslim,118.21751992798382,-86.28160598504907,D,C,E,0
White,Other,36-50,Hindu,28.262009107833073,71.4219543194829,B,D,E,0
Other,M,26-35,Other,77.2168605281908,-29.745606898510875,D,C,B,1
Hispanic,M,26-35,Christian,128.03836578353048,-160.0314654955128,C,A,A,1
White,F,26-35,None,123.4534161101551,-78.2817814483576,D,D,C,1
White,Other,26-35,Muslim,36.67826966683921,2.5585967654747472,E,D,D,1
Other,Female,18-25,Hindu,-172.65054395054395,29.158719310262306,B,E,D,0
Hispanic,Other,36-50,None,-145.0793589424617,50.18707158778617,E,B,D,1
Other,Male,26-35,Christian,96.43685700157896,46.96021138287678,B,E,B,1
Asian,Other,51-65,Other,42.05408534152005,68.57654330751912,E,E,E,1
Black,Non-binary,36-50,Hindu,-38.642387181964395,37.239239930315975,B,E,D,1
Black,Female,26-35,Other,-233.51504288074287,160.54347721500756,A,B,E,0
White,Other,51-65,Christian,-285.94312810227154,-100.0601924392193,A,A,B,0
Hispanic,Male,18-25,Other,-30.538612190846155,151.71121624943916,C,E,C,0
African American,Female,36-50,Muslim,-54.395208774367845,-97.60842236478324,B,D,B,0
African American,Non-binary,51-65,Muslim,44.21465236078458,71.7666407827334,B,E,E,1
Other,Non-binary,51-65,Christian,80.32713896871766,123.35217896722325,E,B,B,1
