anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
75,B,A,B,113.55482592033846,92.313784145701,0.2649690089987237,22.367886162332944,A,C,E,-24.897164258236547,93.45638527741184,-13.296917530971733,45.41792628075787,C,0
65,A,E,A,37.37441319546143,110.69212061823046,-147.08403033675143,147.6120934701106,E,D,B,43.615154779144156,-81.83804632957218,-68.18221191860607,27.121967484687236,E,0
34,E,B,A,-3.5572625231901585,247.8828684589597,-55.97938366580134,0.2403975873045724,C,B,A,35.95244251126047,33.73885206059434,-79.90851860490326,83.78907420986722,C,0
70,D,B,C,245.21553199838286,135.7322421188928,-78.42880764936959,-5.621912589316228,A,C,C,189.53335837323561,179.4569909332344,82.26418200024507,-87.18745341048154,A,1
30,E,D,A,19.42109310929291,-46.73004914422126,-16.68960341263574,86.19825159831368,D,D,D,-197.89251138423296,60.50819843146047,58.107639769296135,-64.32002659139619,C,0
55,E,C,B,-28.507490595863942,-305.35177703812366,-76.97265552983357,-49.92494218808798,D,C,D,-247.61748899729398,77.13557429326673,161.75227163950464,-27.499823390346933,D,0
20,A,A,C,30.421987486295084,216.30277853146015,33.56314738974023,87.7842874516009,D,D,A,7.651943524964739,-49.149446621835786,-9.350154863646164,-41.04371105767496,A,1
25,C,E,C,-90.40580673579001,70.68275176287004,-77.3449263639057,-69.80704195398594,B,D,B,34.13769656190308,76.05115720769508,47.11452236018408,41.61160944598174,A,1
39,E,A,A,79.56885171477123,-12.468113188428317,-336.22780569364835,64.16921621176999,D,E,D,-159.0396018465725,151.81838702457918,-15.782740589923641,62.36389112623583,D,1
19,B,E,E,-144.03199180517166,-52.960479261883734,-79.69992176550078,63.18139813617937,E,A,C,235.3113865210179,86.53439177569237,22.209294080258204,38.95073661868213,E,0
70,C,A,B,-23.423556105057312,-99.29936428392138,-20.341639592344528,105.04825371527356,A,B,A,-2.4254894111940772,-115.97909859675175,0.4482098049516001,-157.65518846788063,D,1
24,E,E,B,-55.870303056287995,-43.52353186954351,105.07944164746637,-26.666544936350924,A,A,E,-9.947432517330308,36.9900783554377,42.42315901505505,-131.18259326758817,E,0
48,E,D,C,-7.703521996446716,13.808818744537191,-80.2474073533564,176.40129655957182,E,E,D,61.996926790902876,-129.92574246234363,62.79553111480397,24.76200341450842,D,1
19,A,E,E,-6.903311700083126,-60.537135369748064,124.08113047256255,24.038990151126242,A,E,B,57.30294240333457,-47.80711404516025,84.71993776612182,-34.1815480071878,B,0
34,A,B,E,64.82960884697529,176.56222625721983,1.2560310820028526,22.863756370552483,E,B,E,11.096268446529384,79.98649996136271,7.106533269627296,-18.314960220915562,E,1
47,D,A,C,-84.19775987099086,-149.14253149758147,-135.23539135343933,-115.50441301982471,E,C,D,-16.044653730294474,-71.68835525016635,116.26436542923126,35.69670756717464,A,1
19,A,E,C,150.29457448600726,-89.41687741991713,28.788917955253083,6.569159217073703,B,C,E,-64.67379177914746,93.69922604320938,-26.493089227823997,-160.18058663422275,B,0
67,E,A,E,1.4377615568298077,11.135727710831206,-121.47009166897875,39.15930711442461,D,A,D,241.62043043036175,17.67343102636717,23.857670247825805,69.51405827704963,E,0
75,B,E,B,61.18666394328943,11.200350114102172,-83.67766166874297,-108.89758611967737,C,C,C,-125.1402160965162,-69.77664008913497,-13.236229639468375,-9.400289516081784,A,0
48,B,B,E,181.84074823289035,-36.384735294630154,-3.556302315510736,98.34528751781806,B,D,C,21.45322282027976,-147.5010074751317,-42.943960975032944,-6.558139629089453,E,0
37,C,C,D,-116.7771074664984,-46.08041487375047,-104.77955058052235,154.94642537771287,B,A,B,12.37400211960391,-72.63599996141781,-174.7486870649802,150.39533221634292,B,1
55,E,D,C,-240.8259083156199,22.08343592681763,106.60456365404096,117.91056092042918,E,A,E,116.17391751906536,-4.02775463776899,129.90553834785396,109.2554507995792,E,0
67,A,D,E,-11.918872907918002,80.53540579161101,39.1428389712384,135.59974703392294,A,A,D,-12.361490588511895,-62.156385013261314,-181.73139233570637,47.398249263268475,C,1
61,D,D,A,-168.06790406393063,-53.98713215474484,97.82237758834583,8.956308319371228,D,B,D,75.93964661240521,3.613604452398853,132.9663549564009,115.0569575215999,E,1
26,B,A,C,144.9200731186483,-57.6733863089091,-80.27554930040104,64.76053878443297,D,A,A,26.423185988823228,-168.03992558544104,25.409640099080377,-66.47319862768487,A,0
58,B,D,C,17.90870065938548,-70.52203549205838,33.75975855552046,-19.812771378318537,A,D,B,-23.192644561738252,30.8768854677201,-4.604537986455911,-42.08713956606225,C,0
36,B,B,D,223.12239910671923,-166.53576969161747,190.9116941835404,-200.7973015358715,D,B,D,48.0336527668353,-25.645266924804012,119.77199732784854,3.856175894139672,A,0
44,D,C,E,80.39707587155414,101.61186746323563,-33.111906175661446,218.00360293753175,E,E,B,65.24635135656968,122.66410456440173,-102.38142597775735,-8.429703439240232,D,1
19,A,A,B,-40.72293861422104,-76.05427261234469,15.179519400272026,-178.57221845957224,C,B,E,22.284068768385374,-27.971268699768014,37.143559720767946,173.0384984949578,D,0
47,B,A,C,60.195126014867284,106.22005494240332,22.456562016253997,-206.08724507934656,A,D,E,-44.20165920632737,218.2399052608758,126.72512413041719,-28.692565282391158,A,1
66,B,C,D,87.70139105070518,111.1009325585871,171.00486004749916,68.31443932723283,E,A,D,-81.10025722433693,-59.73127186419004,53.74898631671377,-51.0295802160552,D,1
67,D,B,D,-0.3117001053543871,-221.44742283763446,85.94562123137966,-141.54099612766677,B,E,B,-164.23606542401768,74.69725517314882,-87.10028302408297,10.578504084798208,C,0
75,B,D,D,47.53182561547275,-25.314208450354748,6.2389657424978795,-31.050182021753137,E,E,A,-96.80676532182395,52.769045861124134,222.16062853607724,-45.784190588360886,A,1
77,A,D,B,-5.970706921448032,-152.46850084182347,15.709488679068814,-19.30499200674038,D,B,A,90.38958573556728,-70.69544961620132,93.44501180307921,-83.07370882523024,D,0
30,D,E,C,66.79316239800004,132.02798242004928,137.67610255648214,-193.4214340153695,B,E,E,90.85298410804563,-56.858403052021345,60.47145280286499,76.63628741383441,A,1
64,C,E,B,91.7562093625895,-44.80067144687438,-57.49978460552605,-180.72773523163121,D,D,C,-102.54433810316768,-53.82868374503769,50.45391228648698,-145.97577906905482,A,0
64,A,E,D,45.804439914848565,-47.62061431708972,42.27378868622333,-27.748974912035507,E,B,C,-3.180052049108062,12.490623279872967,-72.61477303604818,-1.5500472326497516,B,1
39,D,B,D,-69.46412937652589,-111.83653448552093,29.563704383426977,16.391224148134015,C,A,B,-75.98422549289666,82.88484238040125,94.77697537591806,-104.2541631726863,C,0
77,C,B,D,-25.13881044111151,-128.89497586299905,-57.156887960439086,-57.34044918306485,B,A,D,-79.69744387630323,89.83081737042849,78.86374301270004,-49.359431789258025,D,1
67,B,C,D,81.26405036944647,49.33347676874403,-158.16740971478015,-50.1847002934559,B,A,B,12.705330977029528,-147.47454311333723,306.83419688854576,-123.92923130535254,A,1
40,D,B,D,26.397427529811697,1.5646134145549533,-102.16564661617234,-97.15585351667143,A,D,D,72.27212612427466,146.3956463777092,-139.461729080712,7.098650872760634,B,0
70,D,B,B,-22.13584202004362,186.80059783146606,-140.77232980440294,109.20170370074291,C,A,D,61.73360132051101,-57.85222955933293,-107.06088702642624,121.08947259893415,C,0
65,B,E,D,-198.56804708440433,-62.86952582688622,-197.07560395620445,-14.510185244849175,C,C,B,125.29297265894695,-56.734698771824995,102.2131658199745,-128.44355555396405,C,0
77,A,D,C,48.23696751715947,66.35914934985708,63.92047623257925,159.54159498450514,C,E,D,-23.086844646947632,13.120248231699144,-36.82316972200264,-63.93124368894668,B,1
23,E,E,A,-159.95080943855058,30.16137908090572,205.78357546516827,-86.57031544504974,D,D,B,-121.79739391259206,17.900261759842174,-206.893933657968,33.56140552418177,A,1
53,D,C,E,3.7270497258431936,-233.6354936844632,-101.17665768844657,-187.06004981542245,A,B,B,60.94607847462429,-102.77309969229687,-11.290375100226825,96.37269243006924,E,0
73,E,A,E,236.8172927020059,-151.16951568923312,125.9445248174326,7.547974181715111,A,D,A,-25.254368574805124,19.675688272327836,53.26942910473183,-124.99081772026808,B,1
54,C,E,D,16.97921426608611,74.57059149299404,-157.73230384039243,-40.64512005723407,E,A,C,-1.2179501927956158,57.26664352985381,48.074697905416095,59.455770191109636,B,1
57,B,B,D,26.802269985694522,78.96731056686853,-0.2669176547109845,94.12493873242273,B,D,E,50.70546914020936,162.50278072940418,6.827256677552255,110.11359763111315,D,1
43,A,A,E,-36.645424216606386,-11.406765258108615,55.09395599814895,-96.41219209617302,A,D,D,81.49927592954647,37.658011896112136,-2.4165590529207455,-118.2816463743853,E,1
47,C,A,D,128.75421472858883,-63.05895326693426,28.98871766935067,-106.82509958717921,C,B,C,-185.20941518476656,17.485619787390426,9.07246089502759,-171.72097284903202,A,0
46,D,A,E,44.81721234663855,59.950169634623904,99.56607274970588,19.08610262359462,C,D,D,169.79776961476082,-7.541329911849852,144.01648369288083,89.69797194527311,D,1
70,E,B,B,19.173246703157094,121.92247273613674,42.15788607138782,-125.35540180984432,B,C,B,49.734083936829315,-67.26855670122097,145.57771583921894,55.92363797720703,B,0
75,A,E,E,31.286569039522306,-53.73860806847708,-49.720386770583474,-138.41594658250654,B,C,D,-16.93665334931551,118.77493150047866,39.490355172799525,9.395874517910112,B,0
72,A,A,B,-105.9301935466181,176.94350700902868,-19.64645281700671,10.310245047125653,B,D,E,-14.519913504295728,-28.266504883735987,24.986201023328057,-151.79774914278929,D,1
