age,country,religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
77,China,None,-31.269207423489938,106.95143362689043,E,C,B,53.283564629997905,216.97438139082342,D,-15.464260488084927,139.9918146375772,B,A,-8.166438889390246,B,72.16476394459997,D,C,C,1
38,Mexico,Jewish,101.40820335086403,26.678733597718214,C,B,D,-102.50940561420778,14.236707248607056,B,214.40818136159683,-82.90698876139598,E,D,81.39615822269988,A,-130.10419836718583,D,B,C,0
35,China,None,-213.66615034924385,-26.86525094408555,E,C,C,-50.9921336498223,-45.13654310876249,C,-95.36519785832986,-196.89682998491637,A,D,-29.52710229327365,D,-130.65272363059398,D,C,B,1
54,US,Hindu,44.93154130014243,-23.760463537284956,C,D,D,-60.9766733970607,-35.63486472387092,D,48.14059463808038,119.36508514130777,D,D,-93.4899863372864,D,-142.37756967171185,D,A,D,1
46,US,None,3.411110478257425,115.22588270981831,D,B,A,-73.38295401000876,-114.15313234419695,E,-17.840177522339093,77.4245539634358,B,B,75.37408550247685,A,-75.17733259714178,B,D,A,0
51,Mexico,Hindu,-113.56276759550825,70.42110596290149,A,D,C,1.510717375469882,31.385305517204653,A,-167.62448216260321,-93.29255722601152,E,D,-45.47494444830106,C,66.03561270071515,E,D,E,0
32,India,Muslim,-71.63233909448248,64.59618302681443,C,B,A,-105.59530125119925,105.08446183692806,C,-135.41453739868038,-6.4005752465407255,B,E,32.973058155756455,E,80.66488487601305,D,E,B,1
57,US,None,-83.36639911717302,-106.62755190287774,E,D,D,186.4871485882738,57.728825700100415,E,-40.50663261983096,-59.72476076465577,D,E,89.89891255449885,C,7.129085639895699,E,C,B,1
49,Other,Muslim,-0.46654654451724636,116.12342949728568,B,D,B,-120.00184489304526,66.47333478859571,D,32.16744027810293,-118.92661465354206,B,B,14.993239656898954,E,-76.52955212710458,C,A,D,0
70,China,Other,143.33462029150658,145.0495500867385,A,D,C,152.18995925731693,-141.31162840714944,A,166.27898242997173,46.15756228130756,A,E,-28.801340088951903,B,32.07972869546818,D,D,A,1
46,UK,Buddhist,183.28970430901728,50.040879392336635,A,C,D,26.874286695056032,14.275840237511112,A,-92.17584399959225,-29.558251524757654,B,B,-78.51399178854341,A,13.082232384386675,A,E,C,1
35,Germany,Jewish,79.3914900486693,-89.10205785474895,E,C,B,60.38264455141685,92.30952139961282,C,130.99605355153713,72.36344524598513,D,D,-69.9667292634502,D,163.29164701259327,B,E,E,0
59,Germany,Jewish,-60.9226646778737,-25.757826968377067,E,A,C,-95.03291973182696,-88.35470425284049,B,-69.68120945405765,89.07691398753829,D,C,-127.93374320851886,C,-53.34149999386022,A,E,C,1
71,China,Jewish,-7.898696788394926,-71.14754407940936,E,D,B,-47.57795091755319,133.16304483958297,B,166.32946668747482,56.932243557578325,A,B,93.35995882055039,A,26.12216034076734,E,A,A,0
34,US,Christian,2.9310806251538772,169.29229425701863,A,E,B,181.56896103297808,-32.21733111641841,E,-156.52499406625108,46.17899469780648,C,D,-57.81185691494457,D,57.01171041017622,B,D,E,1
73,Mexico,None,-185.82072430484337,166.4825099154914,A,A,D,-30.54870147784758,-48.05630166704215,D,41.7101574042593,162.20939761337044,C,E,-141.9361616288198,D,49.43269294784653,A,E,C,1
26,Other,Buddhist,182.83428082671782,-167.48258315835923,D,C,D,-79.12085590603553,-137.2943961169894,E,-114.00838038590753,-120.61262515351012,C,B,-2.633105426248487,E,27.580516885543,B,A,A,0
62,Other,Christian,-35.55705311334257,-163.42109888321056,C,D,B,-51.362673073983714,143.0311002477649,E,-8.940471877392753,1.739647616495513,E,D,-46.16149458405017,D,83.3030852898375,D,C,A,0
43,India,Other,-115.79776874934527,-46.32714008495378,D,E,E,23.92381234099288,37.1868110779244,A,130.66192060252882,131.15407948127086,B,D,-44.22665640529146,B,50.438357340771326,B,D,B,0
57,Other,Jewish,-114.4232356405662,-17.19119559077368,C,C,C,-57.604675518057945,32.662803983022506,B,-68.90733024045016,-81.90793697580739,E,D,186.684392912285,C,-29.748563883595835,B,C,C,1
67,Brazil,None,60.18096174219069,-55.14922531367119,C,C,A,246.12127424119925,-101.45265968434627,C,-43.927060106223706,15.616084644069222,A,E,152.30752969156504,D,-67.42320910177831,D,B,C,0
41,UK,Buddhist,18.9351649177016,58.38463600865814,A,D,E,100.64555636745294,29.099623567371236,C,-60.22750485561548,-106.49038251694482,E,B,-51.26073333345877,E,-52.23928208597394,C,B,C,0
36,Brazil,Muslim,18.419071520634915,-24.122441290130993,C,B,C,9.841310780264022,54.005264219611895,E,-173.0687753954974,92.65536825309613,D,A,141.6607951575119,D,183.08876430549316,B,E,E,0
22,UK,None,-44.14371231290124,5.585769639178902,C,E,A,26.24179921577639,-266.92316093504786,E,-23.947102951553095,105.46058422513855,D,D,-88.740420745072,B,5.298772001179085,D,E,B,1
49,Mexico,Jewish,132.00547815812826,-4.46420412927068,B,B,D,18.62046494623815,-1.9963232375148465,B,-183.61800219447974,205.52553356941834,A,A,163.1406289068864,D,25.958874392923047,C,B,C,0
75,India,None,68.30251647013633,-61.19939697019677,D,E,E,-24.406805018733273,183.64963500876019,E,-212.7949484149359,82.36506220548213,D,C,49.871068882615326,E,206.64212440864736,E,D,B,0
40,US,Hindu,97.56453661775541,38.87715989945456,A,D,C,114.84598924112437,-109.07420870647182,B,68.86304768884143,-2.153474462108583,C,D,61.57794534922968,C,-33.71823322572526,D,E,B,0
36,China,None,-33.84757418569745,-105.9703146040973,E,D,A,-135.82579003575327,-252.88409553362627,A,98.16113953360788,-112.61338817599209,C,D,67.74420017130491,A,-27.137440555472043,B,D,E,0
45,Germany,Christian,89.02715786635561,-147.16063399302786,C,A,C,-114.95719863727452,-15.960617197147469,B,-9.42933991622461,-19.047468850973416,B,C,-80.47809242034202,C,184.42398394748807,D,B,A,1
45,Other,Buddhist,28.9897679818939,158.79928401969997,C,A,E,3.09619912528082,-58.560532313960856,A,43.22498812542083,89.45330090846838,B,B,-51.967011997299096,B,-0.3742337926811768,E,E,B,1
22,Brazil,Hindu,284.6872149404607,-28.34693136071581,B,A,A,-75.84369735592004,49.44770220886652,D,182.63877728470402,-0.14265646629711567,E,E,67.32478442483789,D,-19.101845342631147,C,C,D,1
69,US,Jewish,-192.31460253187308,-204.9791379214208,A,A,D,-181.09161013670794,-91.1098211178797,D,15.606304362754026,-18.30704889740619,C,E,-121.39683191911561,A,131.36623038983234,D,A,B,1
60,Brazil,Christian,-94.26313098620132,-83.97524908022712,A,E,C,22.619688389943505,112.08601914361047,B,-63.37263781935655,-183.40701842482724,C,A,-2.995823306187296,B,145.1045523740769,A,E,B,1
29,China,Muslim,18.776722535457722,-39.694913984759474,E,C,D,84.8901493133023,-104.019262421685,B,15.807252725169924,-103.31808321350154,A,E,94.58852250727105,B,-34.03541696245026,A,A,D,0
32,UK,Jewish,-85.05309815524834,121.49900745453593,C,B,D,-38.217698926539335,59.26229090038264,B,-127.96069569471469,-164.21680858635443,D,C,-45.927140744962784,A,78.41271506632945,A,B,C,0
62,Mexico,Christian,257.6711854104022,-162.72616831807733,E,B,A,8.030346523440226,-89.58224217286961,B,-24.60424442467722,70.59079639472657,C,B,-98.24949264003764,C,74.62441757415174,A,E,E,1
40,US,Other,-197.67834714567542,-12.987531201042495,D,C,A,-126.66436250892656,-51.63657090720678,D,35.51465189867901,62.177601400153634,C,A,-56.22283141405434,C,243.15445149879386,A,C,C,1
26,Other,Buddhist,-25.74408473999423,-4.4957604759793846,E,C,B,16.92910279697163,135.2991391423071,B,-55.65211756397759,115.89846244836801,D,A,-110.69464174396121,E,-106.03864616002174,D,E,B,0
57,China,Hindu,-41.15250230751647,41.87720626465599,D,D,B,-62.47490470630343,-106.72988693069681,E,135.52560666640912,-83.89318305747777,E,E,31.31118737743812,C,67.11834552096389,C,C,C,1
45,Brazil,Other,-105.50908349427424,106.438951363212,A,C,C,-67.70153305985946,-76.547470866647,B,-116.92405917444523,-65.87062388126247,E,C,231.28507191231586,E,-56.16862437577957,D,D,C,0
26,UK,Muslim,-82.40441127379505,-98.68957704051758,E,B,D,-104.55961283498797,139.3318708888224,D,-41.14297886450752,136.62399049422837,B,C,1.2208563302436741,E,4.847166524441056,E,A,B,1
67,Other,Christian,44.71620238224704,6.628766762608857,A,C,E,-146.0093533905547,227.19901257215434,A,13.207663384842967,-138.44120068248859,A,C,36.22083116514754,B,19.84410957879164,A,A,B,1
34,US,Buddhist,-22.917979049981668,-17.80406762959882,B,C,E,-23.059495164330393,-61.23934161805262,D,68.54810231533321,33.452648354390845,E,D,122.79742479503284,D,0.25670644305150486,B,D,B,1
72,UK,Jewish,65.25572923020377,-50.376790913540006,A,C,C,30.152413968984177,91.2026740320492,A,70.9642854863729,-26.90649454600139,E,C,-50.81282035542285,B,-205.34046385739626,C,C,B,1
29,Germany,Muslim,-106.8366490593376,-157.79753162800304,D,D,B,59.67313278370173,90.65279281532366,D,148.58807424755392,-58.27108139879267,C,C,52.5250032358615,E,9.968692546499886,B,A,C,1
62,UK,Other,0.15381324493433127,-162.81277439128846,D,D,B,33.201446926202124,-144.53098604500246,E,108.39520893611187,-15.740490425127659,C,C,82.4413975626382,E,137.59677453585772,A,E,C,1
39,Mexico,None,116.73104206367178,11.05692685068395,E,E,E,92.83418514073465,-9.253500977330118,D,-229.82596856019256,-2.239139814286645,C,B,94.04188469226496,D,-55.45175769322308,D,D,C,1
58,Germany,Other,-55.668948106022164,-42.849839652872724,A,A,A,-48.90921235337517,-24.951843654276495,B,-52.50697322647907,-4.914842187772345,A,A,-261.0573401385395,B,74.12577207150261,A,D,D,0
