AgeGroup,ethnicity,military,religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
26-35,White,Non-Veteran,Hindu,C,A,C,D,-16.753793403009855,0.27575410091158603,E,-84.65621330313098,-40.786875582001244,A,B,0
36-50,African American,Non-Veteran,Jewish,C,D,C,D,-19.95157507656626,39.97045328291024,C,-46.4789522479318,110.40499578244652,B,A,1
51-65,African American,Yes,None,A,A,B,B,-112.5164148366168,73.36823659608035,E,-146.4293990056072,51.08677225663798,C,E,0
65+,Other,No,Hindu,B,A,D,D,-81.90586905905127,-154.00943440214363,B,43.39411462615355,-52.82355655686124,E,A,0
18-25,Other,Yes,None,D,D,B,D,-27.77635356594757,121.67742359608151,B,394.725703142917,148.67786984780636,B,E,0
26-35,Hispanic,Yes,None,B,B,A,A,14.23960577862043,-169.5828419592011,D,-118.21182654423407,-23.38972779222706,B,A,1
18-25,Asian,Veteran,Hindu,B,C,A,C,-38.63075470640041,39.87143762817135,C,-37.50714584530949,-35.56964171642107,E,D,0
18-25,Black,Non-Veteran,Christian,E,D,D,E,-116.80276245015071,56.64027646698509,E,-42.922303148023694,-39.60892468625129,E,D,0
36-50,Other,Non-Veteran,Buddhist,A,D,B,D,-101.14627891561423,89.08318255344683,A,33.33754545297921,149.10004224605186,E,E,1
18-25,Other,Non-Veteran,None,B,C,B,A,16.43333959485287,131.7693057264337,A,-118.60411972331005,-56.64798421944148,A,A,0
51-65,Asian,Yes,Hindu,A,D,C,C,-149.65236583127466,102.65092912217774,C,106.20865339363648,-36.60276746890396,E,B,0
65+,Hispanic,No,Other,B,C,E,B,-91.81987400839748,-184.6085560216328,B,-85.27746183000407,-75.71263941509287,E,A,1
65+,Asian,Veteran,Muslim,D,D,E,A,41.7845375266236,110.32358215615238,E,-27.286001012827914,119.21810924016152,B,D,0
18-25,Asian,No,Other,C,A,D,C,-71.81832909486685,-79.64125611452452,B,63.97950982308459,-58.1225264153448,A,A,0
36-50,Hispanic,Veteran,Other,C,E,C,C,9.492481596955567,-46.78219802276532,A,170.31291757886106,-124.56230260481536,D,B,1
18-25,Hispanic,Veteran,Muslim,E,B,D,E,150.32011440530678,-91.92771913728461,E,-11.511804517258884,32.45141179242329,B,A,0
18-25,Hispanic,No,Jewish,D,C,D,A,34.1650287821711,92.42720693442405,C,-103.27250140137866,53.11180349506767,D,C,1
51-65,African American,Non-Veteran,Jewish,B,C,B,E,102.94291225550094,-35.76893881136882,D,36.733586738956234,78.00266941446252,E,D,1
18-25,Hispanic,Veteran,Muslim,A,D,B,C,-110.23272624688477,22.39994811439033,D,-272.65463637864053,200.4462945950889,D,C,1
36-50,White,Non-Veteran,Buddhist,C,E,E,C,111.49848768348924,-42.4225573936923,D,30.390420885958303,17.02465051464748,D,C,0
18-25,Other,No,Muslim,A,B,C,A,204.68676281388193,136.52980331383492,A,-92.39883264616434,139.85722846065843,C,A,1
26-35,Hispanic,Yes,Buddhist,E,B,B,B,59.01165378315205,0.1419881142031777,A,47.084926419079935,-57.46752459273352,D,B,0
26-35,White,Non-Veteran,Buddhist,C,A,C,E,158.62044742078874,4.970715174757431,D,210.98809927510857,14.397416566315924,B,D,0
18-25,White,No,Christian,C,C,C,C,152.31724817619332,-53.03576007765801,B,-1.9382031306463168,-145.52050134968906,B,C,1
65+,Hispanic,No,Other,B,A,C,E,101.85714484130956,154.02456473780893,C,13.490772383901605,-219.97829152994325,D,B,1
65+,Other,Veteran,Hindu,B,E,E,A,82.72258008753016,-60.829712485200396,C,-16.323880135876376,-35.14498927995027,D,E,1
51-65,African American,Veteran,Jewish,D,B,C,E,104.80361375179083,13.174615137826093,E,3.1134591241022407,30.552822450423946,D,A,0
51-65,Other,Non-Veteran,Other,B,D,D,B,4.219523759191184,22.33350479506308,C,-37.96029067997665,-79.0114535861019,B,A,1
51-65,Other,Veteran,None,C,A,D,C,25.381221595169652,-83.71721591554666,A,-65.60925188798709,27.54743538128146,C,A,1
26-35,Other,Non-Veteran,Hindu,D,C,E,E,-44.705513813426954,7.093093196694657,E,-57.02992259258423,165.93017129431104,C,E,0
65+,Hispanic,Yes,None,C,C,D,D,98.02001439893499,-38.68712204854543,A,-52.066825405455674,-88.20739669669054,C,A,1
51-65,Black,Yes,Christian,D,D,B,B,145.56918379539349,141.29099873812282,E,-38.53219502602397,-59.77444406620182,A,B,1
65+,Black,Veteran,Buddhist,C,D,B,D,28.847356031596856,146.83169587271513,E,-157.22983753507145,-62.77200256379307,A,E,0
36-50,Asian,Non-Veteran,None,B,A,E,D,39.97790329380006,-28.67136913578997,B,-95.51469159397259,44.65452970793651,D,E,0
65+,African American,Veteran,Christian,C,D,E,E,21.496246925010855,-41.805070657664416,E,125.42728336464101,-180.91427780542747,B,B,0
36-50,Black,No,Christian,B,A,A,B,-69.59634161892706,-271.01356895927535,D,8.227596410950053,-12.603346328029877,B,B,1
65+,Other,Yes,Hindu,E,A,E,B,-52.72195424229721,130.56313712867674,C,145.04365523024637,-108.91204857998498,B,D,1
18-25,Hispanic,No,Muslim,B,D,B,C,-66.2040133330266,83.24926437853087,B,-43.7315733229551,79.92067598401204,B,E,0
26-35,White,Yes,Other,D,A,A,D,-113.03718923348765,-100.63828532524258,E,-33.070849474197686,-56.3836772494023,E,A,1
36-50,Hispanic,Veteran,Other,A,E,E,E,-29.115015733350585,-10.420900898591727,A,44.876659386741,-41.12315904653373,A,D,0
18-25,Asian,No,Christian,A,C,D,A,-17.880026096421886,-43.27333283098386,B,-140.24790737059996,21.03963570450301,D,B,1
18-25,Other,No,Muslim,A,B,D,E,-66.80494679817818,27.07273279280838,C,-38.29899527500546,-134.75714532426522,C,C,0
18-25,White,No,Muslim,A,D,E,E,81.94914398085372,118.10157987966159,B,66.2922642287247,-122.06560700292238,C,C,1
36-50,African American,No,Hindu,D,B,A,E,1.1605384762833033,-51.15625706317365,C,-23.35135543199498,57.117328424531536,A,A,0
36-50,Black,No,None,C,A,C,E,152.59658186826982,19.817356234253296,B,-57.52670235937721,261.4546974477417,B,C,1
36-50,Other,Veteran,Muslim,B,C,A,C,-98.08008428096151,16.99241873160663,D,-79.10382304414296,88.85073185593805,B,A,1
51-65,African American,Veteran,Muslim,B,E,B,A,-34.151492038005664,100.81269046273987,C,-11.860346169706286,87.32375321857585,C,E,0
36-50,African American,No,Jewish,C,D,B,C,-74.43349350366503,186.67594972239354,E,133.2429754091492,-140.9336975307759,A,E,1
65+,White,No,Muslim,D,D,C,B,-157.42065529501627,15.75644744219836,A,-108.05165078959433,147.46441659386102,C,D,0
65+,Other,No,Hindu,C,C,D,D,-74.611822487914,-152.92290366159392,B,134.7450418910488,89.05543856887824,B,D,0
51-65,White,No,Jewish,D,C,C,D,-1.826102832656823,-8.848339821194667,C,-111.62746939336844,24.064727087447235,B,B,0
36-50,Black,No,Hindu,A,C,A,D,32.50776007479819,93.68157716228222,E,183.67991415444052,-122.56019881160738,B,D,1
65+,White,No,Hindu,C,A,B,A,-94.09763950165846,-158.812968749465,B,-45.51779664230863,68.50496761587227,E,C,1
26-35,Other,Non-Veteran,Buddhist,B,D,C,C,-38.46532427770663,4.367852808300443,A,-44.00120362327791,15.592060448235726,E,B,0
26-35,African American,Veteran,Buddhist,E,C,C,A,-2.781273963379846,-164.8968750147602,B,-8.62659651525933,-19.675267819351532,D,A,0
51-65,White,No,Other,D,B,C,A,-3.3514306073395046,-53.63556567891648,B,103.54549063493464,-18.08500011236728,B,D,1
51-65,Black,Non-Veteran,Hindu,E,C,E,A,-29.60546765130995,-6.573381466745305,E,-160.80879973952176,112.0688921795107,D,C,0
36-50,Asian,Non-Veteran,Jewish,E,E,A,E,129.10019050576253,-40.7518298906349,E,-81.43893500869073,-2.3608779245452376,A,D,1
18-25,White,Non-Veteran,Hindu,D,D,C,B,-133.57692575674994,-105.02639173017427,B,7.876571195809615,-123.60276291986419,E,C,0
36-50,Other,No,Hindu,C,A,A,D,6.540324466670996,-98.42538220005432,A,-104.20852736176076,-11.151009328422852,B,B,1
36-50,African American,Non-Veteran,Other,C,E,C,A,-135.12031193752134,203.99739515884607,A,12.250953720222803,32.88198075270254,E,C,1
36-50,Black,No,Muslim,C,C,C,E,-32.52008052116834,-14.13776998999103,D,-56.82921315076729,110.11711779423617,A,A,0
18-25,Other,Non-Veteran,Buddhist,D,B,C,A,14.154311152178817,-158.3482488344151,C,-33.256568599009526,-155.50249323251205,A,D,1
65+,Black,No,Jewish,B,A,A,A,152.0986809229987,-105.73901197718942,D,85.14917578563332,120.59749704383229,D,C,1
65+,African American,Yes,Buddhist,D,E,E,D,54.75261491216118,-77.329173442455,B,-91.13114813516138,-185.72730679226373,C,C,1
51-65,Black,Yes,Jewish,A,E,B,E,-52.42285415754523,80.08006185953705,A,-121.77330389285397,-63.20057416453307,C,D,0
26-35,Other,No,Other,C,D,D,E,43.4900690785794,-9.575076749833963,B,82.23086377195187,20.26583885804374,A,A,1
51-65,White,Yes,Muslim,C,A,D,E,32.52314175337444,7.091165306787542,D,47.69723085049405,-130.6618193272481,C,C,1
26-35,African American,Veteran,Muslim,A,B,C,A,-24.484990547650177,34.48732791899278,A,-173.43061025082272,23.654375286925877,C,A,1
51-65,Black,No,Hindu,C,C,B,B,80.43947358948085,-79.19545212417243,C,-101.75455457696675,-38.26532320932566,B,E,0
51-65,African American,Yes,None,C,B,E,D,24.843064292004197,81.58550570405214,B,-288.3269076676794,223.7610035248059,A,A,1
51-65,African American,Yes,Other,B,B,D,A,212.28206956777677,-65.14699659713015,C,37.23242286903098,98.05374043159948,B,A,0
26-35,White,Yes,Christian,A,E,A,E,-46.62077365556658,-90.76093065918192,A,-9.642705383572522,-76.47862486425086,B,D,1
26-35,Hispanic,Veteran,None,B,B,D,C,27.87460616362505,-67.28723478281754,C,133.4567001845034,92.22473779567049,C,A,0
51-65,African American,Non-Veteran,Other,D,E,A,E,80.89871929595918,13.006976077461552,B,-109.57685261207375,56.046433619330486,D,D,0
65+,Other,Yes,Christian,A,A,B,D,-119.14172966293096,37.618558633428066,A,65.93865757174976,-28.936116442664428,B,B,1
51-65,African American,Non-Veteran,Muslim,D,A,E,E,105.56846765562344,-34.171061247029364,B,-107.6902929540191,56.29468990672165,A,C,1
51-65,Black,Veteran,Hindu,B,C,D,D,228.69203268083734,33.16114107477469,E,-44.231835013287075,-66.2368319320839,E,A,0
51-65,Asian,No,Jewish,E,E,D,E,-4.879706267571706,6.469751402841991,E,-3.1584689190255983,9.719282095697885,B,E,1
65+,Asian,Veteran,Hindu,A,B,D,D,12.7107398505845,0.687435233196265,C,-73.57922651272754,-6.39888524372383,C,B,1
26-35,Black,Yes,Other,A,C,B,E,-15.374339290235309,-97.21137068724133,C,-100.15967957998969,-7.635000501396272,E,D,1
26-35,Hispanic,Non-Veteran,Hindu,A,E,A,D,42.27307227888532,-16.801588274222357,C,12.259432013134026,-6.955855593265992,E,B,0
36-50,Other,Non-Veteran,Hindu,D,E,B,E,143.79219188647653,75.65796329442578,B,4.1780576100368,-69.28049366168015,C,A,1
18-25,Asian,Veteran,Christian,E,E,B,C,78.04331232026475,-17.334764600622496,B,-124.5895627252104,45.117253848335956,B,B,0
65+,Other,No,None,E,B,D,E,-23.281432290769324,19.302232305692986,A,75.00488826003874,-182.7199452884621,C,C,0
18-25,Asian,Yes,Christian,A,C,A,D,-4.89125015365275,-79.25859650134083,E,58.85178040982003,7.91904280133964,B,E,1
36-50,Black,Non-Veteran,Other,A,C,B,D,114.3956486932748,-23.509292934009736,C,-132.90632857236346,120.78377958646493,D,C,1
26-35,Asian,Non-Veteran,Buddhist,A,A,D,C,112.18296378059902,-191.76058857456206,D,-7.348211897821116,187.19534823156425,B,E,0
65+,White,Non-Veteran,Muslim,C,E,E,B,-8.27452913475223,266.3022444451946,B,-83.83734983329215,56.88565932693842,C,C,1
51-65,African American,Non-Veteran,Buddhist,A,D,D,E,4.980516669411465,-19.92579914773766,C,-53.025443470761914,231.41550931502914,B,A,1
36-50,Other,Veteran,Buddhist,A,A,D,E,21.0100513090146,-80.5588564143475,A,-9.268204910453754,266.5590027980736,E,B,1
26-35,Hispanic,Veteran,Buddhist,B,A,D,B,34.46751726196691,171.71261087229396,A,47.372807550395194,-58.542751996724995,E,D,0
18-25,Hispanic,Non-Veteran,Hindu,E,A,D,C,-114.45351085560993,-130.35565568266924,A,43.81363653617473,32.87964768532658,D,B,0
36-50,Black,Non-Veteran,Other,D,A,A,C,-44.93323060636498,21.607498357245333,B,6.035506908757963,80.50402479514386,B,C,1
26-35,Asian,Veteran,Muslim,D,D,C,E,26.684988504343053,156.39993801833305,A,-57.30197583157637,-56.65563709714678,D,E,0
18-25,Other,Non-Veteran,Christian,E,B,D,A,38.4736913951667,-116.08517423829032,E,-116.05003856550746,-48.689814192313534,B,A,1
26-35,Hispanic,No,Christian,A,E,B,A,-79.09708124490665,-43.279769691390534,E,-5.312179987488895,139.1162344157169,A,B,1
18-25,African American,Yes,Jewish,D,B,E,B,-164.78161482267936,-198.21603240637006,C,17.1406379570862,75.69959757663881,B,A,1
18-25,Asian,No,Jewish,A,C,C,B,-54.939656083854025,50.63382162916433,A,3.600715258947098,-98.58386937637353,C,E,0
26-35,Asian,Veteran,Muslim,C,E,C,E,50.94796431787017,23.51726564542594,C,7.301373194663475,60.922153310766625,E,E,1
65+,African American,Veteran,None,D,D,D,E,-76.14855438407525,22.416178478636528,D,57.309461845993425,-81.76175760751458,B,E,1
26-35,African American,No,Jewish,A,A,E,E,168.76347506782614,162.50461416908766,E,162.3931964473378,28.65510968618738,D,A,0
18-25,Hispanic,Veteran,Jewish,B,A,D,A,114.38474191540205,30.997171218884784,E,123.60579197918338,14.443222152735007,C,A,0
18-25,Other,No,Christian,B,C,E,A,102.66819782833115,11.738693696756473,C,-150.21727591291742,95.10272765328044,A,A,0
26-35,Black,No,Muslim,C,B,E,C,-63.33678265075681,5.699892092938776,E,-94.88681028463344,0.11110161691158295,C,E,0
51-65,White,Yes,Buddhist,C,E,B,E,-105.4496647399954,10.358104898292993,C,-20.415836792816812,-141.04298186607843,D,D,1
51-65,Hispanic,Yes,None,B,D,B,B,-169.50214916856856,-68.28797209631297,C,-3.0685343036077675,-98.17550910826131,C,C,0
51-65,Hispanic,Non-Veteran,Other,A,C,E,E,-267.905319483263,-90.42537246320464,C,35.32721136207685,-105.97478813896572,C,B,1
65+,Other,Veteran,Buddhist,E,A,E,D,129.48789719327064,232.28514873071015,A,56.164532988827496,-216.7281722641065,C,A,0
18-25,Other,Non-Veteran,Muslim,D,A,E,E,-37.759691031918855,-14.943509126443102,D,-109.27055122963152,-68.57520170649998,B,B,1
65+,Asian,No,Other,B,D,B,C,-3.578395177086227,35.14437977983292,C,47.99884600473122,-77.44202971472816,C,E,0
26-35,White,Veteran,None,B,C,A,B,-193.49126392847444,-58.795116773221444,B,144.50921382299467,-56.724270959090816,A,B,1
18-25,Hispanic,Yes,Buddhist,B,B,B,E,-25.405522585567493,114.00955810620002,E,63.80163485796201,10.881938866222164,D,A,1
36-50,African American,Non-Veteran,None,B,A,B,C,-42.31687002094599,-178.64847795089145,E,-111.04835306505348,20.592515851205885,D,D,0
18-25,Asian,Non-Veteran,Other,D,A,E,E,105.45035164243419,-135.23997158225532,A,-72.63275569906749,52.61928043204386,B,C,0
36-50,Hispanic,Non-Veteran,Buddhist,A,C,C,E,-90.0670061724799,47.342235662291976,D,-99.45165592790424,-68.04427784851302,A,E,1
65+,Black,Yes,Buddhist,C,E,C,C,-131.108203285117,29.08449255516118,B,46.12551557338679,29.439930113386286,B,A,1
36-50,Asian,No,Jewish,D,E,A,B,32.2210224194475,-134.09987829928156,B,34.050502782336004,1.775475801749423,B,C,1
65+,Hispanic,Yes,Jewish,D,C,B,E,10.771833724514195,-27.122171665097067,C,-69.67506691466552,37.811124126588965,A,B,0
36-50,Other,Yes,Other,C,C,C,B,12.608200203948467,-190.9778095071606,B,27.986369312659605,-7.518121482581111,D,E,0
18-25,Other,Non-Veteran,Hindu,E,B,B,C,99.35712183862772,119.45386603445746,B,-173.01671528102307,34.66251394148527,E,A,0
51-65,Black,Veteran,Jewish,B,E,B,D,-15.81016627733907,109.71161681512574,C,-135.63260590857018,-50.95625587259139,E,E,1
18-25,White,No,Jewish,B,E,B,D,-78.99934299134121,-174.26911001605455,D,-50.191349131546225,201.81652129749875,D,A,0
51-65,Hispanic,No,None,B,B,B,A,-29.318216833203813,-44.3689649344572,E,-58.30845198498955,-20.642407926375782,E,D,0
26-35,Hispanic,No,Other,B,D,D,B,-79.16897321820498,32.789324504735774,D,25.145512996299274,-49.68597300072942,D,B,1
65+,Asian,Veteran,Hindu,C,D,C,C,121.85580799227435,219.64962305122035,D,-3.634993079224037,-112.26216332795254,D,C,0
65+,Asian,Veteran,Christian,E,C,D,C,-71.37595641850001,-222.2142524100362,A,39.36204259223366,24.675291531859155,B,E,0
36-50,African American,No,Buddhist,E,D,E,C,54.769295111597025,-81.53253929305374,B,-52.565678096844046,30.69773893169852,D,D,1
18-25,Black,Veteran,Other,B,B,D,E,77.75556038913868,33.695585378527205,A,-68.3960167784227,-17.998657779035593,C,A,1
18-25,White,Yes,None,E,E,A,D,0.673473814494162,-72.5105284467214,D,-46.256548482913345,10.757242025033452,C,C,0
18-25,Black,No,Buddhist,E,D,E,C,-72.39547325398438,-23.344154581788445,D,109.73860662640212,-118.88015392372286,D,E,0
18-25,White,Non-Veteran,None,D,B,C,C,142.06595052396432,-127.00818171477492,D,-68.35944935518926,140.74237834875612,C,A,0
26-35,White,Veteran,Other,E,C,A,A,56.159451046458585,63.03074259535779,B,97.55684416104116,-136.52408322766962,B,A,1
