RACE,faith,Veteran,disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
White,None,Yes,Physical,B,-21.461675613951193,A,C,57.54299139449556,55.67467283844011,235.31788526421562,94.21701945189048,0
Hispanic,Buddhist,Non-Veteran,No,E,-98.4921599690385,E,B,-161.29740939579338,-121.81470192263957,-146.98833067317764,55.37949750771819,1
African American,Christian,Veteran,Physical,B,-37.64437302648796,A,A,-69.92181763526382,-42.283408262402745,19.546034580746017,76.54408616737885,1
African American,Other,Veteran,Yes,B,53.96964716934979,A,C,42.151947598297745,97.67073694344934,61.963462516545555,143.51294242598414,0
African American,Muslim,Yes,No,C,-69.86991635384713,A,E,-76.5881217487269,0.9697011792457497,203.54286332128405,125.66109414526312,1
Black,Christian,No,Yes,E,81.58898980097996,B,B,-0.03762160833749679,94.20585561647489,-66.34689503684214,-128.86548406910524,1
Asian,Muslim,Non-Veteran,No,B,56.461310240727734,E,C,-9.241489815486524,212.00688509706413,157.3705510563487,-12.388314876363841,1
Black,Buddhist,Veteran,Mental,A,-75.01670845115966,B,D,12.79192821159944,-89.270757827379,-161.0577460196408,-90.11217358332769,0
White,Christian,Non-Veteran,No,A,4.71119624634104,B,C,19.55249914606139,-40.4009191767674,279.99471909903787,-124.643987888139,0
Asian,Christian,Veteran,No,D,84.2072606150671,E,B,-21.003741405013233,18.628040481146254,115.55594985972846,-91.84227682491417,0
Black,Other,Non-Veteran,Physical,A,-138.05495013066533,E,D,-40.37233147701009,81.04787809928105,-224.1782928501197,76.3653585445784,1
African American,Hindu,Yes,Mental,E,156.3699654072655,C,A,-13.27987034005917,-183.85325939064649,2.7739041583363444,-69.64234509302783,0
Asian,Buddhist,Non-Veteran,No,D,87.01168320882692,C,E,153.3265891258149,-48.267947982057876,34.200737762991366,-42.13587360593301,0
Black,Hindu,Veteran,Yes,D,-3.552010554735526,D,C,-28.647261574723288,-30.42142439992532,55.272692546395994,45.0852822298615,1
Other,Christian,Yes,Physical,A,247.07415055136823,A,D,-8.713352775738926,106.13663994417648,-72.37670797098474,59.51433445320682,1
Other,Buddhist,No,Mental,C,12.471464575457885,B,B,-30.008950943929353,-20.066976091056546,-182.47487006169908,-86.55950444186932,1
Hispanic,Buddhist,Non-Veteran,No,D,-29.907948775907954,C,C,-99.88501748111159,-53.94391688485754,22.64752719874518,-24.42241166922855,1
Other,Buddhist,Yes,Physical,C,-117.11762874964782,B,A,-187.22911582537336,6.138144119968265,-181.3912136600677,-215.2019601380466,1
Black,Christian,Non-Veteran,Yes,E,-71.84731622399532,B,A,-35.958669606246275,83.42180868694055,-23.94847427723408,-30.35999610105619,1
White,Jewish,Non-Veteran,No,B,-60.30555733848602,C,A,155.889775945344,-40.43447782438533,57.55428384030663,69.70204455677738,1
Black,Muslim,Yes,Both,E,-349.5220527045515,A,E,-5.696805135022347,-1.356783580164548,-100.22523949637254,120.00193546504512,1
Hispanic,Jewish,Veteran,Physical,B,86.97121753256516,A,B,-192.09051446531635,-28.550548113137502,16.250066744812266,36.22585643326129,1
Other,Other,Veteran,Yes,B,-3.375131291547804,E,D,-69.0277068018892,-63.52414617384733,130.36170524880234,77.77354786282264,0
Asian,Muslim,No,Both,C,-177.035709786336,C,A,-92.44347096448871,60.08541469874099,-112.41279095665304,-55.02125036822718,1
Asian,Christian,Yes,Mental,D,172.78842212999047,E,E,-72.09648504523585,152.47144655255732,85.66924760452616,-154.66828692670566,1
Asian,None,Non-Veteran,Both,C,-62.36362083350625,D,E,115.56520343214831,90.94328362517606,34.56098655681447,84.27599236227464,1
Other,Hindu,Yes,Both,C,29.87654901006671,A,A,54.19967321844909,-27.540285068530164,-134.63235078091347,-102.28704248861777,0
Other,Hindu,Non-Veteran,Mental,E,11.82806426674547,E,D,69.7718900513865,-69.5180775956045,100.16068546077766,-159.52233161990162,0
White,Other,Non-Veteran,No,C,-54.07928004007536,A,A,57.89657363200913,-45.39869563102662,61.11063780282365,45.07023183065161,0
Black,Other,Non-Veteran,Yes,C,89.93126173721187,C,B,-106.62510691466964,105.83867786717282,-74.34097231777163,63.74908668472848,1
Other,Hindu,Non-Veteran,Physical,D,5.041717822516686,D,C,16.71490354753396,-13.94802168221187,-61.360590689304296,34.584129801986236,1
White,Christian,Non-Veteran,Physical,E,103.03247961989723,D,E,21.522068606974972,-13.106613060945966,18.779506787303898,-114.70180141540305,0
Hispanic,Jewish,Non-Veteran,Physical,C,-51.778520116824545,C,E,-60.481405410993986,-38.87038431445981,-107.74352069614925,27.252037246372673,0
Asian,Jewish,No,Yes,A,-9.832825613956798,A,D,-99.73744959801842,99.01261197425059,26.748615150687993,-9.30554765881551,0
African American,Other,Non-Veteran,Mental,D,160.87500309494348,D,B,15.75400552344766,-106.83266219113194,18.632793220501526,-70.43578164661378,1
African American,None,Veteran,No,B,28.877218122203075,C,A,65.93442144368339,-236.98719805232778,-130.67894766334996,-32.3714670260511,1
White,Christian,Non-Veteran,Both,A,119.38915894595465,E,D,16.642402537888014,-118.837933520679,124.89342488421609,94.19056974327434,1
Asian,None,Non-Veteran,None,B,56.51419708580847,A,A,75.94518743974152,-9.36836522318339,77.84597886488469,-109.59255495747425,0
Black,Muslim,Veteran,Mental,C,-138.71471362577782,E,A,-37.82738091992618,40.122195093092586,132.9850647116763,-26.355266751868005,0
Other,Hindu,Non-Veteran,No,A,-27.170132959943494,A,C,10.172925069378582,-99.88344912469034,-103.42961017591692,69.4313988139596,1
