disabled,civil_status,gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
None,Married,Non-binary,B,D,C,A,B,B,-30.868068401649996,20.795086426309,2.540255825964808,A,C,C,-12.844878798257863,-25.188352008014387,D,B,46.94366916024726,7.667392100186243,25.34454097852899,0
Physical,Widowed,Male,A,D,A,B,E,A,-10.742551960886017,-92.97838448478477,-63.7015674733741,C,E,B,7.440055302741971,-9.072575893165801,A,D,68.78545537661857,-176.13466276879976,56.086200216832204,1
No,Single,Other,D,B,A,A,B,A,-139.96225000218416,-83.37442050251134,113.75425640482484,E,C,A,-58.47618173282654,58.27906352517043,C,C,-145.90568312736093,-207.0015097778376,131.52383919213415,0
Physical,Single,F,E,B,A,C,E,C,-194.35564425057186,-4.926420741108614,-10.119816794311769,B,B,D,-98.00727563572771,24.166143420521603,D,A,-101.95260880462993,-26.654402513414354,185.08827349576367,1
Yes,Widowed,Female,D,D,D,D,E,D,13.584206304636973,-145.05645519418067,54.45307915596547,D,E,E,54.36495191610382,70.62846689767466,C,D,-46.0165950180541,-88.33096812437705,97.51256448688144,1
None,Married,Non-binary,A,B,B,A,C,B,100.01074153823362,-122.63643826238346,-2.35123957821167,E,B,B,7.428008761921923,64.86619599066105,E,B,111.67295928026353,-50.03022597773709,54.66616640680102,0
None,Married,Non-binary,A,A,E,E,A,E,172.00357256994567,-133.29056849236872,-102.13803397603134,C,E,A,-41.72472255412741,189.49782744240318,C,E,-91.98437350905212,-40.08258312867001,-2.37575689216871,1
None,Single,Female,D,A,C,D,A,E,-49.31712970852686,-178.04987176993703,135.8346385656786,A,E,A,103.19131430340897,-133.9888892461468,C,B,-22.477299742118653,131.55725179015798,14.731064694810392,1
Both,Divorced,Male,A,E,A,D,C,D,-71.45063703435864,40.94083773938962,33.23647791406586,E,E,C,304.3214560008787,-27.74538310060599,D,B,-89.50853978147555,-46.52607312636047,64.26272872795275,1
Mental,Married,Other,E,A,E,B,A,A,-120.35629361376358,-39.32955815317071,-78.01588645470052,A,E,A,27.42749459095373,-81.23133711009213,E,B,-91.2612116480344,24.33160049765175,61.59402462810348,1
No,Single,Non-binary,E,A,D,D,E,E,-24.74614709346754,118.08723347679597,48.91115838689636,A,C,D,93.70629670432933,21.4793045716889,A,A,36.560846873809965,78.91597531592716,-75.10017602463824,1
Mental,Single,Non-binary,B,A,E,C,C,E,10.750713108263325,58.427289200689984,89.94656835691273,E,C,B,24.27773208525929,49.84579991025053,B,A,192.05544862950194,79.0653555754278,-24.82166405689106,1
No,Single,Other,D,A,D,E,D,B,-5.405572696711268,2.085821239179655,91.90308431713424,C,D,C,153.4239690527903,-123.53884748653643,D,E,-52.280455234156996,0.06806153042948664,-31.344480139129082,0
Yes,Married,Male,E,C,B,A,C,D,-110.75077149778933,66.24202494153896,-51.73364081031756,E,B,B,-81.08089389509111,-203.1287474548867,C,D,-92.36090054641846,34.90181586228035,-126.71350199347955,0
Mental,Divorced,Other,A,C,A,B,C,B,64.53392453186916,-199.67729946068232,15.81555786441713,B,E,E,-48.136275298535836,19.84316547673043,D,B,67.6016460197818,-75.80029618950354,-55.981307961941084,0
Yes,Married,F,B,A,D,B,D,D,-109.93273079437162,-110.83542864527398,31.330548698035976,B,B,A,-124.63710513675316,49.92661176030601,E,E,74.82355056058461,256.01435077485587,84.43137750745322,0
None,Single,F,E,A,E,C,A,D,168.15938302188658,137.86676978500836,-74.1818355661645,D,C,B,184.28152267157841,-1.398163350847528,E,C,2.686023640317434,47.46946739924434,73.11688990249775,0
None,Single,Male,B,A,D,B,B,C,163.6349567925763,18.872981373650394,-108.09539608872075,B,B,B,-162.51166623704037,129.7406346967066,D,E,166.7076764520479,-27.275268412213165,-26.095326261793588,1
Both,Widowed,Female,B,E,D,B,B,B,16.614809394796165,-30.115803557413834,-29.964707441962208,D,A,C,27.175562923829126,72.34909004651804,B,C,20.267460852306822,-134.80956261538216,174.3703605063858,1
Physical,Divorced,Non-binary,C,E,D,E,D,A,73.54360075810877,208.2801312275564,192.2030130672457,D,D,B,76.95064901259964,34.58463999485332,B,B,13.462489767931704,-26.612169027499,92.83032062853809,1
None,Married,Other,A,E,D,D,B,C,-61.830030965753394,43.15003358381256,-71.5224896818936,C,A,B,-108.3388421511902,70.15548350219322,D,C,144.80994952370258,-197.92769123623557,86.48709866531871,1
No,Divorced,Other,C,C,B,C,E,B,43.384517286285664,53.13038335393784,20.35312392074142,E,A,E,-65.79782442620893,-24.13264881638213,B,E,26.407814768669073,115.15636239840302,-33.74903832152988,0
None,Single,Non-binary,B,E,D,C,D,A,122.02748854519159,-0.13141263002538858,-147.80745323213046,B,D,B,11.844709288072254,78.21806127433219,C,D,177.5054806927135,-36.02592701253701,9.325959972639557,1
None,Single,Other,D,D,E,D,D,C,95.17794085172963,-10.179514377068974,25.047150987698096,C,B,E,-38.26887209613944,-137.24847505632977,B,C,-22.192086773302368,98.46340143812135,4.3789084560555835,1
No,Single,Non-binary,E,B,D,E,A,D,55.74844687537811,28.816398815734516,125.98351282475136,C,B,A,67.6465810207033,81.9260598345805,C,A,34.86600345292994,-75.04152513985967,136.4953644160282,1
Physical,Divorced,F,A,D,E,C,B,D,-16.83995385513624,-213.88815238963065,34.34303416917428,D,B,C,-112.37364570847464,-10.54621945537266,B,A,2.4858345785293907,-161.84954672172898,-183.5097254478987,1
