marital_status,ethnicity,genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Divorced,Hispanic,M,70.27583696331587,B,87.1383250238849,D,E,-10.261453164854206,A,C,B,-145.07783315962934,1
Single,White,Male,127.11759577610651,D,208.13819242775003,D,D,6.0269355059539835,A,B,E,-50.52502344085882,1
Divorced,Asian,Female,-137.34278361880828,A,28.53019279500862,D,C,-115.58322578452926,C,A,C,-27.01802475704263,0
Divorced,Other,Other,-31.954822270921913,B,68.15715072050253,B,A,41.76044340120211,E,E,A,80.97698830211554,0
Divorced,White,F,97.10646694673251,C,40.688844930712904,B,D,-90.05828587083319,A,B,A,4.0863470698813,1
Divorced,Hispanic,Non-binary,159.75057948011198,A,-8.211013457844071,E,C,14.723790125265882,C,E,C,82.67070762335898,0
Widowed,African American,M,41.32480865670851,B,39.56081833628027,E,A,-225.05594814961515,C,B,B,47.70709874155861,1
Widowed,African American,F,136.26664822517066,C,-17.333100793277126,E,D,-227.40398383564826,E,A,D,188.2815015688328,0
Single,Other,F,1.4595049873709924,C,-46.12994187469388,C,B,112.75603167997205,C,E,E,-145.08880501930275,1
Divorced,Asian,Non-binary,-42.59823513351844,A,10.631696367634003,B,C,-152.8680299680193,B,C,E,-22.494476289654173,0
Single,Black,Other,-91.8368450718687,A,59.06898000529737,E,C,69.20175930113905,A,B,E,44.63211126106002,1
Divorced,Asian,M,49.80968318328426,A,25.49984608713042,C,C,-270.8059404717181,D,E,B,-173.09792819634973,0
Single,Other,Other,249.38550566859905,B,-94.32292219423498,B,D,176.02189628863516,A,A,A,115.67155171359671,1
Divorced,Black,Male,145.8896223118021,C,-115.3981800165657,A,C,122.953193635601,A,D,D,94.14614599783113,0
Married,White,Non-binary,-3.1984726810369972,C,5.035644562495383,D,A,-239.43459831515477,E,E,E,16.4046670456925,1
Married,Asian,Female,-171.53722173128926,D,-11.302019704824056,B,D,-16.332745832440633,B,D,D,-9.245376965379169,1
Divorced,Black,F,-91.27930310833335,A,-236.63902660087953,D,E,180.01771440754146,E,B,E,-35.46532537524552,1
Divorced,Other,Female,-40.119326351580206,E,19.926575094178524,C,B,130.77444887805112,E,E,D,-44.75623326032939,0
Married,African American,Non-binary,-297.32025260675476,E,35.86594000835424,C,D,-76.4077637738459,A,A,D,48.23046780669431,1
Divorced,White,Male,-27.222772946643843,D,-128.80006053950908,C,A,54.15874403580769,B,A,E,102.13895766203018,1
Widowed,Black,Female,-26.615823112601905,B,-1.8917585107040138,C,C,1.2073693971132151,A,C,A,82.51568459115255,1
Married,Asian,Other,-8.957487104376112,C,135.72950777704378,E,D,-150.18606808033888,D,B,E,-6.9427506106103,0
Single,African American,Non-binary,-23.632308002620466,D,119.03743149601071,B,A,-85.20215165342852,A,B,D,28.42128688651585,1
Married,Asian,F,-71.04534328182223,E,-71.1443295684719,A,C,-23.96481870804499,E,A,B,-78.91125606845542,1
Widowed,Hispanic,Other,-118.0838868028382,A,-146.20640531625503,D,D,8.385409760761025,A,A,D,-49.757227272230104,1
Widowed,Other,Female,31.374611004986257,B,-108.9330090432428,D,E,-13.002567442438126,B,E,C,-40.693838200790914,1
Divorced,African American,Non-binary,-70.94618609213718,C,-15.501149716929067,A,C,-106.82634580577175,E,E,A,-93.43908078389241,0
Widowed,African American,Other,51.02784607561218,B,147.41973926149507,E,C,201.50526509858855,E,B,D,-59.253089493837464,0
Married,African American,F,-97.38282675558804,C,100.95185294490483,D,D,-76.69283739730854,E,C,C,139.59720714492883,0
Married,White,Male,188.83654675445138,E,70.01257080679602,D,B,44.94258250107151,A,C,D,-87.82774100643131,1
Married,Black,Male,-38.58458207270423,B,103.50510945144747,A,A,20.985685117697077,B,B,E,167.36857194090848,0
Married,Black,Female,64.29594348505297,B,12.209210538938073,C,B,39.05917866681274,C,C,D,-119.76773992731029,0
Widowed,Black,Other,3.7657299664481156,B,133.45229785218453,C,D,45.14857561050234,B,B,C,60.69152805095824,0
Single,Black,Female,-24.256566383373837,C,100.14068950487831,C,B,17.94145130866262,A,D,D,284.39612854161544,0
Widowed,Black,M,-99.67771670633725,A,225.9426817202511,E,C,-23.0977731888417,A,A,B,155.0758295427507,0
Widowed,Black,Male,31.505157226216152,C,-10.315793633090282,C,D,43.81535714547356,D,B,E,69.26358887219298,0
Single,Hispanic,Male,64.79214478426782,E,48.46762450940538,B,E,-49.36396127980009,B,B,B,151.87392867264612,0
Married,Black,Female,43.90857782442995,D,-15.502788055552038,D,D,174.29860980225735,A,C,B,174.1860886818322,1
Married,Hispanic,Non-binary,181.46148513679245,E,127.60415907917707,E,A,-74.81160592120902,C,D,A,62.45179888893559,0
Married,Other,Non-binary,-16.956917675357605,E,14.772602964663225,D,E,-35.01041487913648,B,D,C,6.534041251089387,0
Widowed,Asian,M,30.404758963588634,B,-117.22154505744452,B,A,-111.84269133390652,D,E,A,91.40919037747716,0
Divorced,Hispanic,Non-binary,-2.9733456455835614,E,-28.466124300327643,D,E,-22.467667237475272,D,B,B,-18.16284821948948,0
Widowed,Other,M,-70.77278215667387,A,35.09956700306708,D,C,105.95364351413438,D,E,E,19.27470959070324,0
Married,Asian,Male,-157.56093139858268,D,-107.2017035875375,C,E,120.12887611473828,C,E,E,28.890522840957054,1
Married,Black,M,247.00644922187433,E,-30.9287690123936,E,A,-16.977244952250622,A,C,C,-136.5325805975495,0
Single,Black,Non-binary,179.80529405005052,A,-18.92516644494365,C,B,-226.9700605728121,C,B,E,116.14135355182145,0
Married,Asian,Female,-76.1811674452697,E,-22.43110895865903,A,D,10.142268872176318,B,E,D,-168.37931034720626,0
Widowed,Asian,Male,-50.38767157431715,B,48.17620390282153,C,B,38.91254224795593,C,B,D,-142.61884198118238,0
Divorced,White,Other,132.19457804835585,E,63.84723328629695,B,A,-57.131816016208234,C,A,B,-216.70168778244948,0
Single,Asian,M,240.2346214755271,D,-215.56162629896448,E,D,-11.658768997746009,B,C,A,20.152508371914113,1
Single,Asian,M,-16.18069261535488,C,132.59008142546543,B,A,21.756742093470844,D,A,B,-114.9637037389569,1
Single,Asian,Male,106.45712957449238,B,-9.946360629469797,A,C,-142.81510092869837,E,A,D,-48.09643750811885,1
Married,Hispanic,M,140.24207014191947,D,49.70135844691053,E,A,16.89638268993099,E,B,B,25.66016461982431,1
Single,Asian,F,-28.307764143787008,A,-124.1623844196206,B,D,-203.9122595275193,B,A,B,78.5021425720093,0
Married,Hispanic,Non-binary,143.39655137034487,E,-18.593648276349843,E,A,77.44114741737661,B,B,A,112.27661904255564,1
Married,Hispanic,M,-47.33486481046014,A,123.62072995622817,B,C,97.13763922403403,B,C,C,-135.74399137826362,1
Divorced,African American,Female,46.32743907540913,C,77.44554991819871,A,D,-28.411271756530383,A,A,D,-15.279851116974314,0
Widowed,Other,Other,86.53699749386303,D,13.068583688695162,E,E,-105.01996596287064,A,C,C,-101.51425946663318,0
Widowed,White,Male,46.943969729309245,C,-1.8637013107888825,B,E,-66.70223761379029,D,B,A,156.30739178305308,1
Single,Asian,Non-binary,-8.891419377536561,C,-175.579653861256,C,B,-31.71172705538181,D,C,C,-33.46540205684422,0
Married,White,Other,172.73877760510018,E,32.19339064845695,A,D,-11.360370344845148,E,B,D,71.06809141624146,0
Married,African American,Female,-49.99277049197844,B,166.52506533360273,C,B,-44.169476612039034,B,A,A,33.77004871711307,1
Divorced,White,Female,68.21402454271954,D,-110.33537273072047,D,E,-189.9324476564877,B,E,D,-88.26084430445515,0
Married,African American,M,45.282697648799626,D,-25.25651747196817,B,D,38.099441634026725,D,E,D,-180.6505622372808,1
Single,African American,Male,-0.8984553327397812,D,-7.186959952568274,D,C,130.26870341597916,E,B,C,-142.12777327124414,1
Married,Other,Non-binary,-37.818682653932015,A,-33.25573172505045,B,C,-82.83468989304158,C,A,A,76.40507562164582,0
Married,Hispanic,F,-108.15320521523344,C,-171.11069536080598,D,A,1.402210692129469,B,B,B,19.450397132550243,1
Single,Other,Male,93.64764718146674,B,-4.626230712045482,D,D,-173.94905720558097,A,B,E,56.00385143483507,0
Widowed,African American,Non-binary,121.3206941663348,B,126.64078155573723,E,C,135.75544209024451,E,B,C,41.10951148581688,0
Divorced,Other,F,-20.360415110651275,A,-72.82146971832199,A,B,-78.33289693352158,C,B,C,-58.8273340094117,1
Married,White,F,80.14666950649801,C,-113.82318706211416,B,D,2.9509479334692053,C,A,D,-108.96363421149167,1
Single,Asian,Female,178.88040962471516,C,33.031559423814386,D,E,-93.82480775336339,E,C,C,134.6890546019648,0
Married,Black,F,12.953406560330471,E,-21.81020640185027,E,E,-62.87001056993995,D,D,E,-30.719033012103015,0
Single,Black,F,-193.6123650840022,D,4.81299935163106,B,E,-62.099203033236975,D,C,B,-51.36625651642346,1
Divorced,African American,F,-203.81880018900443,A,53.38389350846464,C,E,-201.25476316034258,B,E,E,67.10506221015842,0
Widowed,Hispanic,Other,-25.40939773481527,C,112.92621857486826,D,D,102.44217633791337,E,A,D,-74.3137354016058,0
Widowed,Hispanic,Other,107.27811162225949,C,-25.61664475410104,E,B,17.333013595501797,D,B,A,93.85094173987855,1
Married,White,Other,-122.03088196158254,C,-28.292185312359752,C,A,-321.3550737107766,B,A,A,-59.02038865952392,1
Divorced,African American,Other,-0.7906596520523301,C,-62.7000359771291,A,A,132.50325435104722,D,E,C,169.05708842314172,0
Widowed,Hispanic,M,-8.147380035645128,C,-19.79182485018517,E,B,-17.64083366922101,B,C,C,-96.65578344647642,0
Divorced,Asian,Female,70.52403355446948,D,79.7531107910241,C,C,-40.270204286572195,B,A,C,128.2764042683779,0
Married,Asian,Non-binary,-8.098523440569148,D,-205.57443182214766,B,C,-25.130402077766533,E,E,D,-90.76769829762014,1
Widowed,Other,M,2.3175926891930763,A,-95.84289376293648,E,A,-37.74653089266144,D,B,B,-77.44732926013396,1
