age_group,anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
36-50,32,D,-98.05984201013706,-60.873052838685126,E,D,C,-1.3614595072260023,B,-187.0441386065331,126.74857076413008,-94.50964090547393,-43.48406160029816,-39.71272750094308,126.73113966923741,D,84.04544296080515,C,C,1
51-65,26,E,8.861416050334373,33.37412109843704,A,E,B,265.8362645735292,D,-259.64263677281537,6.48466236552645,-186.05883310129968,57.070023016539785,-8.003886112844425,61.84616803614421,A,68.6706971730292,E,D,1
51-65,18,C,92.95365661768368,-97.90623557384218,A,A,A,1.626659530211956,A,32.292055190749295,-122.01302253791708,22.470705202992754,115.2116086787552,-171.12959980071045,7.876068234432543,E,29.950033573493712,C,E,0
18-25,29,E,52.39801229611908,26.81098560338087,C,A,B,-100.61390776545689,B,-122.27309810074898,137.36079991497377,-45.2830252415414,140.05265012965563,-15.084348048189852,-111.77652931268531,E,-12.699954385446821,A,B,1
18-25,87,E,88.40109033898977,23.884105452446754,E,D,C,-9.5675336459432,D,168.18150694460783,22.242025844704294,45.034058867329904,-78.42441239122248,118.35978852297471,99.39326590913655,C,41.98986594294986,B,D,0
51-65,75,E,-148.8491366449149,-81.00188920758195,E,E,A,92.4597541961799,E,-136.31559947558358,-51.95111595199905,-96.27031009716927,1.6456417464650974,-42.71264274764592,60.24321574140919,E,107.96629957148491,B,B,0
36-50,19,E,-43.356925469831516,25.911970586895073,E,D,D,48.7016883981784,E,-92.0040868573015,28.124661245095783,-77.23713501854857,-120.11195889413248,50.15278517640894,-81.88734312879932,E,-58.51381730107923,C,D,0
65+,99,E,81.47752982404143,95.33860205722962,A,E,A,73.23729443194026,E,84.08890102570093,31.61805423316949,64.59703996301508,5.668833352449478,145.25569403138257,-77.13451690423295,B,-118.76143818208081,B,D,1
65+,83,A,-63.38234477202005,-3.116775769665727,A,A,D,39.919921337879174,A,-8.62074595543673,37.24264608801885,-5.157042827933694,-126.57315280823198,54.38021214175859,-343.4244846204946,D,-37.79580749618493,B,B,0
26-35,68,E,-49.52067798491798,8.328499829635941,C,A,D,122.57999069833194,B,48.34233234963665,135.45488299247495,-30.017961164085214,-50.555629831573015,-14.88508459707569,48.64162569175471,B,127.9109329813119,E,E,1
65+,57,A,-75.19164990677669,-112.93830352616322,E,A,D,-45.90750780893104,C,142.9878312916544,50.70069980337231,101.60888430213642,-173.49356325381956,-99.07712747839972,-69.28991622980527,E,-18.12190527819407,D,A,0
51-65,93,D,-16.013228731993298,-125.3612205808184,D,E,A,-45.31169896589046,E,-54.50913284811817,105.13954085549899,107.64828884763592,33.47568834575799,-114.55825681774192,-50.46341857932194,D,-97.07614762177393,E,D,0
36-50,80,C,-128.3924373354498,-65.23937574589331,C,D,E,-2.618483245709798,C,70.16596360291717,-4.683953889656891,11.302078069287994,130.55621284880064,178.99886561974435,51.35716496576504,C,-67.04360281929047,E,D,0
65+,65,A,-16.813751268714817,-68.30065290867043,C,B,B,43.857000853565545,A,-12.218295700611707,74.34831722920893,-18.082093062176646,217.42787263024604,-39.90689010880145,23.049545925391403,A,58.69141622307691,D,A,1
36-50,32,A,-166.18821765694517,-184.45890577770655,C,E,E,60.24148184350009,C,-20.931680606819768,35.549633432957336,77.20132371654954,-37.87184203442099,17.338553393340586,-27.63338371194654,B,-71.56616013537325,E,E,1
65+,84,E,204.2508770785584,-45.82600091296271,E,B,D,105.13773764386877,D,89.9913597349386,370.48034261342536,-88.21428222200156,-70.67090402921116,24.531213935173845,16.218282303409417,E,44.590909710366574,B,C,1
36-50,90,C,-34.2384768905158,-3.0034043853859034,B,B,E,283.3932275914479,E,-187.28912791738617,-76.48015761360459,-1.8467370503848366,-113.78752210100227,-19.448856843532074,-72.44967491081997,B,82.54057733734608,B,C,0
26-35,94,B,-50.253396680525064,134.6817497644046,C,B,C,-47.57077741413302,C,-107.5262963606508,-22.003376370274268,-20.129285791643557,96.60074646362968,172.4363495451484,46.205811867841874,D,105.01194016013658,A,B,1
65+,70,A,78.0976254835692,-19.951487744884385,B,D,B,38.45190130093773,B,-145.1036311422495,1.7158731496487796,-161.48880688793244,79.69379871016393,-22.415469862197515,-35.598645193974995,A,73.27830567408886,A,D,0
51-65,77,A,169.5482371649844,200.75454604912912,A,C,C,78.23951012221359,C,-172.94468193439212,148.20338925710382,-6.321224053526818,173.0759529722485,157.39519483427108,-187.61669265182726,D,-39.795362376465064,A,A,1
65+,49,C,127.41822198946797,85.47675397642132,C,E,E,96.98187033938962,D,11.849343989271405,-96.57075456708603,10.28903590388055,-239.9013924628924,-50.54896792154705,33.071367122345656,A,-71.41101622019693,B,E,0
26-35,93,D,159.02741133219635,-8.523186851060329,D,B,C,-72.97709513791274,A,-9.486364362564208,-21.465926438737267,-25.729573413252172,4.311365280452753,-244.27494324126107,-61.09284696138455,C,-2.8108530196632366,A,E,0
26-35,49,C,142.27140291177648,5.21762722012927,D,E,B,-81.88185144262003,B,71.14149718416562,-171.70500923902205,-37.19395690091852,-155.73544874365902,28.63575747092822,236.05618117387567,E,-23.85473336592742,E,E,1
36-50,92,B,-177.04934929762803,-114.9978582528551,C,A,D,168.4826815376502,C,130.27908218566859,228.6083034557683,-23.662898111849408,145.53059043663436,-0.08943695273406045,92.75304771917406,A,176.59613908986248,E,D,0
51-65,78,C,-117.48700557026265,-126.65733704976316,E,A,D,-79.63535581300617,C,17.19241239899085,84.02483770862828,4.701702571391862,9.637095705848882,44.644939323274116,-125.8703936262108,C,10.668113688999872,B,C,0
51-65,64,D,-90.50152908982092,10.637589614253287,C,D,E,46.81495351269843,E,56.70675534754863,-248.05887053402182,76.16917705230472,-37.47483629096069,-79.38744455043337,-178.65659430030462,C,120.93674654468984,A,A,0
65+,20,C,118.15610373886933,-149.7089489372026,D,B,E,-135.5118469102832,E,-49.09460857660889,36.98516264064536,13.402077770733309,7.774162324561043,91.52435904221105,-122.03365900654799,C,-62.95446888066476,A,C,0
26-35,96,A,-10.569599484660444,-25.90661888129872,E,A,B,-25.289950443915227,A,-52.630590167229585,79.19210271041763,-34.00263667677144,51.71337920232209,27.32030213965811,191.3176243274586,D,-136.96648359932493,C,C,1
18-25,39,E,-77.45099946464575,73.19995029386351,B,E,A,167.81176910909136,E,1.3883725523336774,-42.10511917196387,50.79624929434233,-214.67262111128832,118.94092466164317,8.241058555318508,E,67.69136327688202,D,A,1
18-25,72,B,52.76554196903095,80.81965637320829,A,E,E,-60.38531653791112,A,125.712181773931,76.1015174987709,-24.784753828637445,60.432547360542834,-56.49713036972284,-76.79030665397234,C,108.53574553674075,B,C,1
