country,disability,civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
UK,Yes,Single,77.39507663099278,167.0546679112892,18.863675943249767,E,D,A,78.11025846570548,-71.65542526281996,C,90.72476679251832,C,B,52.43118451465363,1
India,Yes,Widowed,-121.56764410536287,-121.5023257593299,16.858091142614178,A,A,C,-135.75188218723838,23.909350861232394,A,26.856218934864817,C,C,-7.104205263744778,0
Brazil,Yes,Widowed,121.00732800054308,-56.84146608157539,157.26250999890993,B,D,C,2.6092230059262356,-14.589123272286663,B,-125.9658999738428,E,B,8.646235440411616,1
India,Mental,Widowed,-105.244587552629,9.539999806750687,-141.10534547649743,C,B,C,54.90588141720062,4.869836907678211,D,76.13009705948568,B,A,-33.93770227402001,1
Germany,Mental,Married,-4.759680241054768,163.31864050105028,186.34426274866277,D,B,E,-22.661012359201155,23.527639816353386,D,-29.240554861440376,A,C,-135.41363504511816,1
Other,Yes,Married,-38.15257890254403,-239.134799465821,43.31980375725994,C,D,D,-73.8456905521665,-152.84940904493354,B,9.306308060861387,E,A,-58.43314345049892,0
China,No,Married,69.89818899988394,134.44598123847624,-2.655281739606998,B,C,E,119.26038493853027,-124.86455897066091,A,9.033619289672792,A,E,135.27637755204645,1
US,Yes,Married,-114.18065586129622,-55.425256493045275,148.49493841689488,D,C,C,-87.6126220761779,-140.1415447435204,E,67.89650357200404,E,A,-11.461003648313483,1
Brazil,None,Single,-63.10741171359457,-19.158152453550333,296.56501282880174,C,E,C,-30.91340981856458,49.70054480101442,D,-66.30048750323925,C,B,21.133035770671643,0
Other,Mental,Married,50.81788612345343,65.00806226338331,9.243896511993091,B,C,B,24.243474784739806,-26.767902260379884,A,-95.79879547613295,B,A,126.70456639077132,0
China,No,Widowed,55.3140937691143,29.617177921247812,82.33292942860555,E,E,B,-75.8129171470361,-148.74068093039165,E,-138.8494856531686,C,A,-20.63975378827176,1
Other,Yes,Widowed,-42.90295211971178,46.22802530903321,113.94460186177564,E,C,E,-25.056925966434335,-159.32494755065818,C,-35.194131373142724,E,D,82.94237530109747,0
Brazil,None,Married,148.28328529153777,79.64295408240694,-209.27325902012788,A,D,D,260.20250575767614,53.69297689061454,A,142.77519604834293,C,C,-101.32459428035435,1
China,Both,Married,-11.782550490933218,7.2154872067034415,-129.44457327115273,A,C,E,-156.5603261093519,154.79622574532516,B,-50.74828101057307,B,C,41.8911558523536,1
India,Both,Widowed,-49.508945791012344,98.64120480384463,-191.46518783868225,E,D,B,17.702870419520238,-79.61135330839217,B,55.416723727612414,C,B,-65.84287097788575,0
Other,Mental,Divorced,143.67825221632918,92.86561270340921,-81.41146171219957,E,B,C,99.01094185645705,16.16328912805505,E,88.85047100938128,E,A,-3.3729469878121336,0
Mexico,No,Married,-85.70626642456467,-17.00594446357081,-114.86419883870447,D,D,D,-52.71711703420752,-28.71003594791318,E,108.47652070037606,C,A,67.80660674826589,0
India,No,Married,183.55271585460392,50.65562016220764,20.057181052376137,E,B,E,167.47239207550558,-117.80658950012106,A,-149.887460514677,A,A,-98.08443327568355,0
Mexico,Physical,Widowed,-54.60164457593935,32.13904260726566,-168.69674042788802,A,A,B,109.9846628546226,176.9330162802008,A,94.74512179662298,C,A,-75.48557819705746,0
Mexico,Mental,Widowed,-37.73027017849869,16.10747161867594,173.50354749205832,A,A,B,75.87849031658273,44.452426727080834,C,204.07071729151062,B,A,-77.02807432340165,0
Other,No,Divorced,-6.214160758094596,14.060112419465327,23.770884313014157,D,D,E,13.148517814363462,21.576493763918055,B,64.72570330956043,D,D,-3.173680101932292,1
China,None,Widowed,-34.414325484649915,-40.82736157961313,-166.01267059346728,E,C,A,128.5817314024016,59.77078366660936,E,-180.2277886982227,D,C,-223.1134286746106,0
Brazil,Yes,Married,121.97521039038386,160.70605974221553,-123.79137483553203,C,A,E,-107.98052517858798,-182.08541042140462,A,-49.390087174840936,D,D,-9.053117947915583,1
India,Both,Divorced,133.71422518135984,100.73800151106869,112.03890114644446,B,E,E,-79.56694381996282,123.5511829257113,A,-58.4668295010745,D,B,72.3642270138924,1
Germany,Mental,Married,9.144081006137077,39.42266719191348,-169.98178588174844,D,A,B,-60.29861003796101,-60.750824765421065,A,10.089074326585616,D,D,27.675717708956167,1
Germany,No,Widowed,32.58244438420559,102.84998127528013,-29.104799098005742,A,D,E,-56.06942908587468,-14.865859228569326,C,117.88020228596892,C,C,-21.882160509134792,1
China,Physical,Divorced,-53.04277441255131,-27.279462747024226,-51.357750691748706,C,D,A,12.484224250842185,190.50203681525645,C,11.799108566221829,D,A,87.1470155843875,0
Mexico,Physical,Widowed,-116.613252531957,155.50129786325812,-20.36314287937666,B,C,D,-51.19484487262043,53.55021047359936,B,-19.25859074023731,C,A,-109.15501379621983,1
US,Physical,Single,-11.1645449542821,147.04013942728997,-11.265970053764093,A,C,B,87.64379069107633,85.03275723796013,E,37.22326433359363,A,C,20.97473577508231,0
China,Physical,Widowed,54.38220845768057,294.3334454272982,-82.01791131842025,B,C,E,-32.062822920039196,43.36130677871159,C,17.093149452528642,C,D,-84.8311684087794,1
Mexico,Yes,Divorced,-67.85946782455255,244.7029912676706,70.34161242526851,C,C,A,-19.551515541409508,42.324702872396756,E,28.744894000495584,A,C,18.491464184658255,1
US,Physical,Single,11.918489506897716,-85.49985630697438,28.891207542877183,A,D,A,51.63061424815032,145.34415903883598,A,-21.995712088561366,B,C,114.43153399806579,0
UK,Mental,Single,75.78708676301164,-87.03799440231717,43.570051944023504,D,C,D,241.0070023679265,210.02934026097884,A,-71.43951126669953,D,A,125.95315057076584,0
Germany,Mental,Married,-140.65543198764806,-108.978076962467,185.63052135359095,D,E,B,101.92609720583464,75.41631199985352,E,71.7426714082275,B,D,35.31744028062234,1
Other,Physical,Divorced,130.0338817900487,98.22326796624236,-279.35915733784844,C,C,D,-64.81713908007556,-6.210131993327215,B,-10.758481152879865,A,E,-83.81408631928747,0
Brazil,Physical,Widowed,117.51876793100327,-179.49724864454078,65.38993604391246,A,E,E,-54.75345755568527,144.6413507625486,C,-47.940499134251546,A,B,-40.36006846083824,1
India,Mental,Divorced,-4.519481181408498,-14.720307612909261,129.2274683662422,E,A,D,35.49828370957555,-16.869238420223056,E,77.85596372055859,C,B,-151.99899681964163,1
India,No,Single,33.23495835860679,-65.50291774695496,-161.17284995399393,C,D,E,-12.785139180167956,20.212136059664175,B,-71.49292546394884,A,C,62.452348718054964,0
UK,Yes,Married,-75.56686537912142,-235.11778087900797,5.02959700613494,B,B,E,-93.34994282803925,119.13566367810901,C,-191.6286667686429,C,E,-180.3853582924135,1
Brazil,Mental,Widowed,-13.584911229339635,140.418076299987,169.4476194405323,B,A,B,63.758036717308066,-31.994773102911346,C,89.27399997741644,A,D,7.280947600143206,1
US,Mental,Divorced,-16.722118962887517,48.94367319692142,5.7519703439818395,C,A,D,-59.727093337392176,99.09170308104555,D,-35.623453889953794,A,D,-28.206945618790257,0
UK,None,Widowed,75.36926780123649,139.99686813391153,24.746037893206132,D,B,E,50.647803188086456,-21.957823323985906,B,136.16092426161876,E,E,95.58966959905449,0
Brazil,No,Divorced,-15.374778708730505,-105.09421141180806,-67.32560490336533,A,C,C,57.963649501562976,234.58004514464835,D,174.08885753005492,C,B,-212.9492657991618,1
Germany,Physical,Widowed,-59.134467049105844,-125.87586656768622,72.10499741840641,A,C,A,-8.381438339882727,18.129673156034027,B,-49.64788059832804,D,B,-153.4539410614373,1
US,Yes,Single,18.98960988875121,-40.41792689794615,39.46891152055516,D,B,D,-28.66087433516638,157.2212100901752,D,-120.56083016825072,D,E,68.28820264744854,1
UK,Physical,Widowed,-79.21591646358857,54.710294538825025,-27.953367600992895,A,A,C,-9.109602840160356,104.85590039703429,C,10.024757968634342,A,B,-78.22405625036582,0
Mexico,Physical,Divorced,-4.765876233961191,-33.111706130061535,-107.11180878308122,E,E,B,-87.34337725247886,-24.35596773740387,D,5.547617413137336,E,A,-52.20563603533446,0
India,Physical,Single,41.40209462725989,90.14667080561523,94.73334815930743,D,D,A,151.48218250659266,-10.102855175318838,C,-90.10863045882628,E,B,-171.39629458679906,0
India,Both,Widowed,-75.57121460968229,38.41001852352479,171.91111113679426,D,A,A,48.65848748305435,-238.3843026293274,C,160.29224244166406,A,A,-140.15851161927233,0
US,Both,Married,127.8125278174196,118.16351800898603,46.713253974072636,B,B,A,-127.18735604432645,-126.5311105993949,B,8.476496101094446,D,B,8.67959051398697,1
