nation,ethnicity,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Germany,Asian,51-65,E,6.982476356296168,83.32855292541386,-5.017670564590322,C,B,A,E,A,90.15155445571018,0
Germany,Other,18-25,D,128.02329379551182,-153.49410640781645,117.62635570308524,E,A,C,D,C,8.927625299765237,0
Other,Black,51-65,E,-150.61234611979978,-104.1434687372797,-196.3093296816692,C,D,E,D,A,-2.058445138295613,1
Other,Asian,18-25,D,-9.03227668135423,-12.362180094890956,107.76479989693419,C,D,B,E,B,-175.8720923065393,0
Mexico,African American,18-25,A,-200.75314740105776,53.273356785628856,-26.402929116196187,C,E,B,C,A,-59.039962902699,1
India,African American,65+,B,82.40354019293056,-41.05080965515719,-71.03920418755578,C,B,C,A,A,22.88637830222617,0
US,Other,26-35,B,-98.72718608734233,84.59043248068632,137.84974778174134,E,B,C,C,D,-197.2839806594215,0
Brazil,White,26-35,B,-78.34044184412564,-127.5398703256954,11.572904965882001,A,B,D,B,E,80.14564130097452,0
Other,Asian,51-65,C,111.02197184708251,-84.98393962439273,30.738248723274836,A,B,D,A,A,-92.79899596877708,0
China,White,26-35,E,47.259259029681225,50.525537593162575,74.94169853447247,A,E,C,C,B,49.43529015563607,0
China,Black,26-35,C,29.145857721578334,-11.527044978156571,32.98869804468473,D,B,D,A,E,-31.026614903044514,1
Mexico,White,36-50,C,-65.91520064204984,80.16719302006193,-149.09685982132555,B,D,A,A,D,-60.74345068013209,1
Germany,Hispanic,36-50,A,36.92446545828344,-110.18289862001541,18.506592483936497,D,B,D,D,B,-33.90458709118689,0
India,Black,26-35,C,145.81983173814515,-78.27490076295922,-130.5666942461371,C,C,C,E,B,15.308074056755439,1
Other,Hispanic,65+,B,48.9362209771703,55.34681655659168,18.524842568082516,A,D,B,C,E,-120.31544929652598,1
Other,Hispanic,36-50,D,-125.4962617177066,33.877255464150544,-38.776306318612086,D,D,C,A,D,58.104852503781224,0
UK,African American,26-35,A,-27.774387243108233,93.55493312597707,140.32865824302897,B,A,D,B,C,-77.44705518068083,1
India,Black,65+,A,-2.4594823092120635,79.28810947200874,7.07660607659301,E,E,B,D,E,-110.93747605944802,1
Germany,Black,36-50,A,7.638216423070183,56.45008444206834,76.30456046037806,C,C,B,A,C,62.959678724672095,0
Brazil,Hispanic,51-65,B,-42.94981731949867,-54.23805307563244,89.93111086209836,A,C,C,E,D,-136.53491827839886,1
Germany,Other,26-35,A,8.044504498444683,71.77096831854259,-22.84093367894155,D,A,D,B,C,-25.860446894198436,1
China,Hispanic,26-35,B,-17.168790150729393,22.307667747970044,-164.91228090908757,A,A,C,A,C,-34.2749089784655,0
Mexico,Black,51-65,C,-34.37618207896885,200.80686192807414,23.89180868293101,C,C,B,E,D,-3.3224546303333677,1
Mexico,Other,65+,D,45.029806943563095,-82.06492321525837,67.48620003634771,B,E,C,B,A,4.358754520935598,1
Brazil,White,36-50,E,-54.278715171537506,-67.6824916611883,188.82154851998314,C,A,D,C,B,31.419017883008483,0
Germany,Black,26-35,D,207.69395640495904,8.059118108193507,-62.46155196706057,D,D,B,A,E,7.477008085888438,0
US,White,36-50,E,-48.67661523402624,-117.05673946356643,-48.086819630679834,A,A,C,D,A,-23.778374817085783,0
Germany,Other,26-35,C,-111.29144761008483,49.5034376938227,-86.2618894077487,A,E,D,C,E,47.30716643625688,1
UK,Asian,36-50,B,106.1892459777164,67.51170221505734,55.8816192703554,C,D,B,D,E,-113.81030941632811,1
Brazil,Other,18-25,E,114.3988971485006,-37.84617047560805,-138.05444992590307,E,A,E,B,A,32.78602503995561,0
US,African American,36-50,B,-87.24607579952006,-58.5647841976473,116.83600816357828,C,B,D,B,C,27.869639031334604,1
US,Other,51-65,D,106.85096413065833,91.18304408812067,-31.019516206830744,C,E,D,C,C,21.906386446943554,1
India,Hispanic,26-35,C,-95.571549700577,68.96339855612534,10.094316253115736,D,E,A,C,E,-20.71236561989613,0
Brazil,White,36-50,E,-120.24434260466667,126.3587018127134,34.00298449914437,A,B,B,C,C,101.19866899755621,1
Germany,White,36-50,D,-247.12552404122056,190.55344701667033,44.74154450206446,D,D,D,E,D,-76.31745345498427,0
China,Black,26-35,A,179.14504842026219,-88.72825174997529,89.18203842417314,E,D,D,E,B,174.94979629745836,1
US,Black,26-35,B,32.03922725828607,-113.36072303890212,5.916676876543198,A,C,C,A,C,111.89330866809914,1
China,Asian,26-35,C,181.48389277589413,-16.855854625724685,165.60554881479837,E,D,A,A,E,43.44231272188331,0
India,African American,26-35,A,53.491562586739384,-87.07363948192308,5.188738867094574,B,E,B,E,C,83.85743286090126,0
Germany,Black,65+,B,-3.962209956598147,97.41713197779715,-67.0516338381047,E,E,E,A,B,-135.30516234054787,1
Other,African American,36-50,A,-6.91984943551341,-47.53348899199458,-76.49067205821855,A,C,B,C,B,-47.85541775060159,0
