genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Other,B,-111.23591759230098,E,-90.18427179216896,D,C,C,-9.094105554367358,D,A,-197.28972488847788,25.830247448782405,B,-40.91987104733477,D,82.15499823607148,A,-48.18343198980407,C,1
M,A,-19.547101926633097,A,-28.4145914412406,B,A,C,76.41401883506221,B,D,35.65509435216858,149.24760054663017,C,-40.00441765717152,B,48.4100523377009,C,-125.5884197231738,E,0
Other,D,34.621238565394194,A,9.611466976146971,E,E,A,-73.36715542206173,B,C,-13.525405609348498,-112.99553051706374,C,-6.33684611683067,A,9.301005268328655,B,116.71548845631851,B,1
Other,A,69.1015889790749,E,178.81457482052653,D,E,E,51.476179104569376,C,D,122.72778480664476,212.95773776195523,E,-32.1452040315257,D,170.1022228357517,C,-118.8474795987905,A,0
Other,C,139.2783638159732,E,-54.222291034238914,B,A,A,115.62272623973722,B,C,16.32393217286393,239.36775124383755,B,-75.32366429980458,C,-6.282880631296742,B,-67.97887429006028,B,1
Non-binary,B,32.909380892064945,C,112.40753732758296,D,D,D,61.46455249390055,D,A,-167.73390958794002,5.538717569962656,C,26.662115204712183,B,-87.46074441783001,A,33.953958945619135,E,1
Non-binary,B,77.79589619863447,A,104.61504873665103,C,A,E,81.86268050919807,A,C,116.54017479246257,-153.0887411146282,B,-107.887337386814,A,38.537189876760195,E,46.529716247206146,A,1
Other,A,29.632654773844948,B,-121.48336386331198,A,C,D,89.90380045442937,C,B,213.67966500593784,64.36761765834893,E,-183.90399732812102,B,129.7938089527594,B,-4.078815214284546,D,0
F,A,3.997528738558155,D,-246.8412278890171,A,E,C,170.0200998040637,C,A,19.510357526762537,38.36005666596347,A,-42.73620514495822,C,118.02382787690992,C,-225.9699116997493,D,1
Non-binary,C,248.89620249015815,A,-20.392504260400663,D,C,D,-128.89275327257727,B,B,-24.14559272319461,32.79503044305122,B,52.544085285007036,A,-52.000418175926995,D,24.389527883469906,E,0
Other,D,14.644552261950928,D,-2.6885072201789746,E,B,C,48.848241904598936,A,A,81.37816265941487,-47.669438463187404,E,80.4150798200111,C,-62.976914812611604,D,-7.964729237795411,C,0
Other,C,-189.03827227094692,A,132.9154553350338,E,E,E,-123.51113701275958,E,C,-121.65643517865551,78.10245513322191,E,-70.54626130515602,E,-9.416016712153196,E,-107.17261108355187,B,1
Other,D,-90.41452100520215,C,72.8836493154839,C,E,D,147.33034943388992,A,B,-85.08278316898149,-11.262331254500467,B,-60.22130734603196,A,278.9160213958322,C,-40.96591822877089,E,0
Non-binary,A,99.15483800020755,B,-23.435780476792054,D,C,C,117.86628642476693,A,A,-42.06819679395086,10.496136904085999,A,132.66853366531188,A,66.43249350763942,A,92.46006997043146,E,0
Male,B,154.89447330127575,D,-112.77081694025857,C,C,B,-137.22817963309762,C,E,-208.43260798034615,-19.519759101283675,C,-37.62250308016057,E,92.09370639459743,D,38.502002056332735,B,1
M,E,-64.12886994444466,A,-76.18984010810449,D,D,E,-195.98147603841488,A,D,-71.23819356652203,2.444146449879488,C,19.409837263884015,B,31.94883262116322,A,72.59361024727754,C,1
Non-binary,B,10.040000726405651,C,-62.12352648907037,E,B,B,-85.8823761267922,B,A,-86.72444443798712,-7.790285687781276,D,-75.39017271171373,A,-226.00425685901607,A,-58.09589017201865,D,1
Female,E,-28.29606362715357,E,19.799111930548044,A,B,C,-138.5957734676665,C,B,80.9670760235649,-83.08583075709663,C,11.479693475649185,A,39.682909300815574,D,-8.600525009160883,A,0
Male,C,-13.31400374539988,B,3.5365040757734336,B,A,C,166.97681066523532,B,A,21.49029369999936,-33.26029951912589,A,-6.283876223631596,B,149.45016417107482,C,-113.2530287872654,A,0
Female,C,1.5157615960591915,E,136.30981566117012,A,C,A,29.446911774131983,C,B,91.45188602733103,-33.33081441034944,A,82.50471457471119,D,-26.116544123658226,E,1.0238529719818568,C,1
Male,E,18.07659676392023,D,-7.980258953926933,C,C,E,-95.17467056916179,D,D,49.05893223253535,-136.01283988271135,E,37.18976203954439,E,7.055004604873895,A,49.61950679485468,A,1
Female,A,-92.38586760536498,D,55.618731057807544,A,C,D,-19.39213597969633,A,D,24.700295960160197,-88.758864248406,D,-31.663386779102325,B,124.75474919841427,C,10.21092060272077,D,0
F,A,-20.315639163854623,A,133.22972391181668,C,C,E,129.04145170925398,C,C,41.19950587595153,-138.34620105921488,B,-41.51408274233924,C,54.14392802049446,E,-14.83491095426768,B,0
Other,D,-61.82688317148156,A,50.496364381469824,D,A,C,-139.1432195019486,B,D,-106.98177716484314,16.70881199441656,A,152.46545349564272,E,-97.29888094273954,E,131.3663327243126,A,1
F,C,-21.729235382279587,C,3.0621249526852434,B,B,A,162.3960492145924,A,C,87.4975344586983,-106.00346976662445,E,132.50611747019542,E,-84.47009629350454,E,92.56993473903869,D,0
Other,C,28.375433955043626,A,225.4469441792973,E,D,C,60.813804281314155,C,A,97.05077076133557,32.961230675153494,C,202.59594774462144,E,-105.86313648789347,C,25.70905841246533,B,0
M,E,-91.12347373211676,D,-150.46377703283437,A,D,C,139.80987621120363,D,B,51.240411751071605,-35.69525070822518,E,-34.67202662224981,E,-55.560545043441735,E,-218.17210179682317,E,1
Female,A,24.957804917489447,C,-15.249331081501664,A,E,B,1.4315889131239528,D,E,11.914976094657012,3.282188954093724,D,-388.65025314771924,E,37.34342110187202,C,-85.04117332476415,D,0
Female,E,-87.06661646224214,A,111.81587084508877,E,D,E,-66.84687050650099,C,D,-40.728071358020685,12.126565243999744,E,35.47170866504478,B,55.99559103477376,A,87.62280299371665,A,1
Male,D,132.99795193432558,D,93.64248269346824,A,A,C,20.080028765176777,B,A,106.9650665563508,-102.2260992500785,C,30.65964789778809,C,-116.1900029047773,A,72.49647162709473,D,1
Other,E,69.19424855877723,D,-87.3916928533461,B,D,C,-79.0054245328695,B,B,19.89458404247924,5.287284126564779,B,154.18403584689392,C,7.015667328612397,C,-3.1172538874668345,C,1
Non-binary,B,18.29938614738742,A,33.41241591521395,C,A,E,-41.67444823774916,D,C,2.4295843976260363,5.365713153294513,C,19.71033789775775,E,-4.087735068980122,E,-107.22404095912421,E,0
M,D,-224.07770556690488,E,-32.50063599457605,E,C,E,29.72288616069145,C,D,-129.59244639110602,33.02483597052272,A,-87.07989788905067,E,25.796310778906395,C,134.69519400061876,C,1
F,D,105.60872120666127,A,-55.47532991304504,E,B,B,-32.27295820785604,B,B,-35.84801865096528,45.49004926498736,A,-151.05179252455295,A,177.83293582519974,D,-56.375385497812005,B,1
M,A,92.68076719030076,C,198.07466112635953,A,E,B,-98.81051714507856,E,E,203.66517600017593,46.57219536207816,E,16.17540989222452,A,115.74276632918301,E,47.408512260348154,B,1
Male,B,-13.02548228871611,B,14.352570486024776,C,D,B,-145.91559254570686,B,D,-182.33304105619504,-188.95918480157087,E,-40.24138253760003,B,-121.9786334469604,D,-126.8006937454052,B,1
Male,E,33.49518543448455,D,135.87556536020293,C,C,A,98.57803937227615,E,E,147.2970368241517,72.17214903514505,B,100.91110510370298,B,98.22202009059842,D,47.05129411360711,B,1
Female,B,-45.306517053784404,A,39.576032905686596,A,D,B,11.05097860482696,C,D,168.70218377491875,59.063094449195574,E,29.323842114889377,E,-132.1248854060029,A,-177.4515599788213,B,0
Female,E,76.28762216336239,D,147.49455847566918,B,D,A,-29.97350964195568,E,C,-24.25523768518144,27.425169949651806,C,7.685823274761111,C,164.47111092456726,C,-5.217425103967455,E,0
Female,D,170.63187744610937,E,67.65673782412338,D,C,B,-218.77365154007725,A,B,84.04858549631822,267.0986632140298,A,37.090948585076205,C,4.05891400529403,A,-34.65074115349519,B,0
M,B,-55.436702935033836,A,-147.0684709961472,E,B,B,141.94059126341313,E,B,97.11407754525374,94.95624075931174,E,15.254197100140857,E,-70.3550926899851,C,-7.153603558070834,C,0
Female,C,12.458814300047658,B,26.16911056236257,C,E,B,-24.225656754777926,B,C,20.183170946513453,-28.1176937860798,D,-127.33205316949427,B,73.68276891633107,A,-84.17203776171498,A,1
M,E,51.44858375657755,E,119.45303040186137,A,A,A,-202.031322246554,E,B,146.67218477791636,-159.6198132977157,A,-51.256592369430386,C,78.158053920381,B,-67.86226746743785,A,1
Male,E,43.552951088371536,A,-168.81191530250382,B,E,B,98.86434171529955,B,A,-22.071334885739734,-129.3969567214835,E,27.35822637421817,A,-15.43382886934789,A,-87.10964143654441,A,1
Male,D,-36.345414040367345,D,-151.63559363092548,E,D,D,-276.44778361609474,A,E,1.6791906693024063,188.46567627566887,A,15.011468415146235,B,61.241527893337846,C,64.71944002664725,C,0
Non-binary,E,75.67238631728587,B,-40.74555154823351,D,B,D,-31.569166926272768,C,B,-93.45483785075416,21.116420093393465,C,-7.5658914556448496,B,222.0996523953349,B,9.479456081015181,D,0
Female,E,111.46302839445931,A,53.50709879147044,C,B,E,153.76696715148708,D,E,-62.96660066995624,-44.13533972346499,D,121.20056067971663,C,-8.02797032355801,C,-7.126097536250336,A,0
Non-binary,C,7.702023924315289,C,-160.75010060543065,D,C,E,-54.9694560443482,B,C,30.49969785954537,75.69856743176871,C,119.25414033389117,B,-97.70161727693583,E,5.28519710122428,D,0
