birth_year,disability,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
21,None,65+,E,A,-209.4149421767114,-37.73041309269687,0.12920330776433328,-35.95517883602678,B,49.17344604159546,C,75.32902942628755,E,B,D,1
77,Mental,36-50,C,A,-10.520593912201539,-6.081920349150932,0.2317416499312974,-114.68476278025118,D,-239.7319170803351,C,56.07326931948332,B,B,E,0
72,Physical,26-35,C,B,202.25296803174723,-42.19071499015433,-132.86470580715513,207.1657101701422,A,86.64081246023466,B,23.08635012847892,E,B,A,0
45,Mental,51-65,D,B,-118.32557703881483,150.259033232586,-99.87627162974069,-116.1423363921533,D,22.728684694736263,B,-199.18908802988076,A,D,B,0
44,None,51-65,E,B,79.32573227248554,125.27365924722847,-51.86172712148196,27.433471982498737,B,130.5234936136003,D,36.515591039310756,C,E,C,1
47,None,36-50,C,D,50.78271119220518,35.51443042088258,-96.79505471206586,151.48648477075483,A,122.6219202938539,E,-37.37911817766788,C,C,D,0
45,None,18-25,B,D,-242.43697473069815,-0.5228103662311984,-27.526799247553154,-59.70480961578832,E,5.634328266437237,E,-17.45074343860377,D,B,D,1
34,Physical,51-65,E,D,73.24658680186027,56.07044752245389,126.82899732271638,67.96327113813638,A,-70.97033448973038,C,70.70679626436034,B,A,C,0
75,Yes,51-65,E,A,7.341891723213906,51.07064894425611,193.8017216077351,-35.286334644300574,A,141.3468311615216,C,-85.46580153161952,D,A,C,0
38,Mental,26-35,D,B,10.358654734006436,31.71575630576949,-76.19342551783319,-95.07018323491711,A,-97.5952439531668,A,49.185865896605776,C,E,B,1
51,Both,26-35,C,A,-107.89958180652883,121.50834856696795,-104.09724877036206,-160.04947618927977,D,-27.741120042013506,A,137.33356287738994,D,A,A,1
58,No,36-50,E,A,96.10145681655459,176.80363220161084,-76.32398252959283,-90.52352403883948,C,121.20329876968012,D,10.339074217248086,C,C,A,1
52,Mental,36-50,A,E,-11.532143529692336,114.43150098230741,148.84399168658734,-15.361914622452852,E,-64.68058095156094,C,-108.46310955924288,C,D,E,0
40,Both,26-35,B,D,-29.366059914861438,16.475795946788587,-116.6656846188943,82.39207764762165,A,-86.53411877249816,B,11.458757536208523,E,D,E,0
37,Both,51-65,D,B,-206.57634290407137,-149.48745077835278,-94.62864396410522,-52.9884052347697,C,-96.2573110767423,E,-26.863844752071685,A,E,C,0
53,Physical,36-50,A,A,53.92298597445415,22.67228517370032,-21.81254581399417,-139.03258978704153,C,-31.300016474020225,A,-6.165893022159706,B,B,D,0
51,Yes,51-65,E,C,10.124381309490635,-106.11007263041219,-72.91853952243949,12.55606886822018,E,20.791521274161976,A,8.980014431827318,B,D,C,1
59,Yes,26-35,C,D,114.70736189481856,164.19040813856233,-13.892574235518227,-61.50720551634075,B,10.507407860585412,B,-97.2885931579216,A,D,D,0
62,Both,26-35,B,B,16.275006758681375,-10.379394683551597,74.34506594360586,185.6709360119294,C,-40.85639809857259,D,-17.735791615674472,B,E,D,0
49,Physical,65+,E,D,-179.27269692426938,-186.88853615779627,71.4958460606183,127.49940337819703,E,147.1973727941561,C,-118.75540788518953,A,A,B,0
42,Both,65+,B,B,44.753093792648095,-202.01933237851784,-68.45234539343711,-50.91866114995764,C,129.3957178615926,B,185.67328575412313,B,C,C,0
52,Yes,51-65,C,B,-94.4124464573019,-188.06342632635997,31.03443944656492,29.22707147667226,C,205.23820495465523,E,37.0314386194745,D,A,C,1
34,Mental,18-25,A,E,146.72897942801538,56.5884449015047,-68.43211036611959,-210.33838494530772,B,-17.496539321870557,D,-151.4706071557369,E,A,C,1
20,Both,26-35,E,E,-104.97588906980609,-184.86287130413575,-146.83148142461496,142.51595492424875,B,-182.67544218710665,D,15.597351205808227,A,B,D,0
43,No,51-65,C,B,101.90066058134084,-111.97672323955878,22.345364615224863,-85.30838272481304,C,8.25574058519062,D,-53.258004366641856,A,E,D,0
45,Physical,36-50,B,D,-72.65266550911194,41.14706900595132,-170.89005536597946,-188.38049617482432,B,89.88731353552491,A,94.330935501329,E,A,C,0
45,Physical,51-65,D,A,6.96022764928585,184.06159534222104,-106.73331247734143,147.45044293641655,D,-100.48320624699141,A,156.52859259516535,B,B,C,1
67,Both,26-35,A,A,-15.94930826177046,-72.23724779203732,154.4371135190567,39.91871260746496,B,-137.86737724631269,D,-87.32841330858597,E,D,D,1
62,Both,51-65,A,C,39.692040762720495,23.708834019697083,-18.33735351175235,96.17311351147941,A,74.83787605493008,E,5.033465069004441,D,A,E,1
73,Both,65+,B,A,-38.472982378937544,-287.9319720211028,-87.2913170509319,-26.790100157537957,C,-12.264435173964902,D,-155.81620038468034,C,A,C,1
46,Yes,26-35,B,A,0.49326849400942147,-80.57811429979799,276.6331794788507,24.109834926662565,C,-29.970007813016196,A,-89.70872457268148,A,B,D,0
78,None,51-65,E,C,-24.578020544915148,-44.005745395128365,-82.28009653505227,-76.86138568508605,E,172.97671390539074,E,192.01550719456526,A,D,D,0
53,Yes,26-35,C,B,-55.82566000044073,-72.69639712514677,30.864159934667008,-161.57722143577305,E,-47.08380460978316,A,27.903930433828826,B,E,C,1
36,Mental,36-50,E,C,-13.134929140562779,7.80534531961464,-86.03724612393022,112.49860230562787,D,76.89956284863472,E,150.5298285350144,C,B,A,0
61,No,18-25,B,A,56.849810766506046,96.41329926468464,-26.357426877422448,62.995618126297956,B,123.34874687594709,D,-294.59953856412125,B,D,D,1
30,Yes,26-35,D,C,29.238876489018367,-40.63304664003732,76.54103159362609,-107.14413306662694,D,-12.741026293919882,E,94.52794670992483,E,A,A,1
50,Both,18-25,B,E,180.28965627802168,-25.195443595929106,100.01537603422304,-130.26040344205066,A,54.42410185304476,C,-37.52575431203402,B,E,D,0
28,Yes,36-50,A,E,96.42494016284371,-102.5203203070831,146.1442022961735,18.258973078073204,C,6.917736514123263,E,74.42309787057394,E,B,A,0
29,Physical,65+,B,A,57.48317186911027,122.63008672456952,-50.926557905553494,2.8551062954953452,B,61.88115482979677,C,231.20480747229522,D,A,A,1
57,Physical,65+,A,B,127.73308788486959,15.00771504137087,33.73814080701188,42.28842624762681,E,-184.61139447043408,C,172.78025935750895,C,B,C,0
61,Both,18-25,E,D,59.99890808910434,72.58598967572767,154.77811590724252,41.00714844568174,D,-52.65841329451217,E,-16.5273769208049,D,E,C,0
