Race,religious_affiliation,age_range,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
African American,Jewish,26-35,C,E,B,-44.01950007815337,E,70.79723131368907,26.370335836219944,D,-20.73949513455455,A,E,E,11.89866433843742,1
African American,Muslim,65+,E,C,E,-11.931216470891515,C,35.33723483438679,5.863695867296175,E,59.927312217528794,E,E,B,-51.73259061283003,0
Other,None,18-25,C,B,C,48.021806073816364,C,36.150162921807585,-33.86992648578248,C,-84.72484304337983,E,C,D,-157.70311087297162,0
Black,Buddhist,36-50,B,B,E,18.21148050043472,C,81.19466339429495,106.48399152946763,D,64.49988069130164,D,E,E,58.102761253456194,1
White,Other,36-50,A,A,B,196.49136943325922,B,33.48469605503816,97.11911282385667,D,117.47183176810995,C,A,A,34.43442235814246,0
Hispanic,Muslim,51-65,E,D,E,-50.86148792321552,D,19.039228057504836,86.57450325407939,E,79.55776610553073,D,C,A,27.338075952356057,1
Asian,Buddhist,65+,A,D,E,69.69101067666514,A,-55.302747251237605,61.502961756188135,E,-101.30164811737342,E,D,D,45.50871670335597,0
White,Christian,36-50,B,D,D,32.24874429324238,C,1.6368390964412258,-160.2374081060141,C,-62.68228552853539,B,E,E,-24.82491728806326,1
Black,Jewish,26-35,C,E,B,156.75389641904707,E,-6.8866099678114185,49.88186691042147,B,-21.22657205602482,D,D,E,-70.75573801751041,1
African American,None,51-65,E,D,B,58.359677013070055,D,94.14827379110345,-19.495430930494766,D,-229.8917862477635,D,B,A,12.472129090060793,0
Hispanic,Christian,26-35,D,C,E,197.86287627138685,C,-36.8677131708439,-32.98582598712473,D,241.26444702754407,C,B,E,3.4321045993908132,1
White,Other,36-50,E,B,E,-181.918315731647,C,-8.493005935670588,151.10740887625113,D,136.5339729542319,C,E,D,-53.47104774583792,1
Other,Jewish,18-25,B,C,B,-70.59984944102466,C,113.09762756951858,46.527822937693415,C,-77.29053427825666,E,A,B,102.02341449174823,1
Asian,Other,51-65,D,B,B,-140.9457816621203,E,-99.60938667897666,185.32701765976088,E,-79.37500414091683,E,D,D,15.580508897988596,1
White,Hindu,51-65,E,B,B,-89.16750920434707,C,48.079787765536594,-80.37137652831504,C,22.02873891393663,E,B,C,-40.18435828742926,1
Black,Buddhist,26-35,C,C,E,133.98816504818885,A,-34.15504573775535,83.59794481907761,B,-126.7912104901939,D,C,E,-36.26734537225405,1
African American,Other,26-35,A,B,C,122.26684808200177,B,129.81974311097855,13.642476795920993,A,-82.56953273390853,C,E,C,10.10157467959902,1
African American,None,65+,A,A,C,-6.2265087224582665,A,103.4122343249533,13.278334517312857,D,-5.855487486162744,D,A,B,36.08516194071739,1
