nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Brazil,24.924290243689068,12.939839912510179,-109.47192319471499,-34.714746768121394,-130.47440433013114,-103.78160436275382,1.9312976538222777,-30.795943059494384,-160.6839958801461,A,0
Brazil,-159.38587406276838,154.5235076114717,152.73242181935663,-159.4124425326847,1.0779850256376475,-29.65212230364285,130.68750529792402,118.24305658448449,-179.349923783645,B,0
China,-34.410257804972666,-10.737669321410396,145.26283502455263,-4.609012043686023,-164.3863999517856,-172.5710315925214,-38.163604372872214,-206.64141300319594,38.91257232768414,E,0
Germany,-36.0308894257872,14.899581288085859,63.48141021374288,73.82069935149515,-98.61375477143396,31.634150664101234,-63.290133886466585,175.99739753313125,60.148567319102696,A,0
UK,58.169607763272936,-15.890939182783741,149.40547246922617,97.63755683422522,20.895410343208898,177.33877186078087,6.938768140560253,192.5973322822425,80.70114015552925,E,1
Brazil,-38.58291346929781,-78.26241461851701,-16.076517039319132,57.37268233880633,15.318540576963965,13.768915894192462,78.87863537691813,13.614750495973544,254.38360004670562,B,1
Mexico,4.615760178096771,-2.109796732352716,18.817926070976547,100.19539151050971,-83.43212060410106,-83.75715697720878,80.33549668209778,-63.70891197386808,48.369123813998556,B,1
Brazil,84.97883266222097,47.51314995977296,-13.746212704472786,-19.698214682559527,52.69771098835796,136.87418568051018,-57.630338833307526,74.6137353531276,-68.74570573750088,C,0
US,10.233761493535845,-24.689573839136074,-60.75442501003666,-70.26609213619554,-85.57695144290906,-68.56947902857334,-6.1847322518620444,-105.34137565646455,15.412408412519468,B,0
Mexico,-171.4547097997667,81.89893569031166,-112.85743794980412,-114.63336379995333,-44.57976493756716,-86.69577555451656,65.52496994789217,43.42397021914498,-59.759810959751405,E,1
China,24.616055209553366,105.54854068440076,33.62070818709959,60.019091589155714,-35.38563002267504,-17.238491848863262,0.9482974336044198,-98.354546009754,-62.45646347958781,D,0
Germany,-128.705298899422,39.438876714980026,-108.95756728069436,-98.42041408175562,56.933969688055384,39.43238310912756,-26.216516771250774,93.02601677823414,84.11906066777853,B,1
Germany,35.71050190145154,-88.61966575823884,-59.155766412738856,-23.322878844730603,-52.097743952482645,107.02747985152156,87.28577767014859,108.84263640457361,132.88922058737288,A,0
Mexico,-111.61739415041696,-86.95670992574284,64.97892456987199,8.211919201910826,-2.874539222996292,-97.37236014756814,-133.50955035752213,239.40344573882598,37.152066714780915,B,1
US,78.00167198011755,-85.09334913378096,-41.769301290563,9.491718760130658,-41.52746867601101,-168.5225160599265,-8.564327679933317,-81.76221814753653,-3.522750547488153,D,1
Mexico,-87.93970519547962,50.86766008300514,-153.32923446694855,63.10729310534189,-36.54578427370127,23.52183018235222,20.57040111171129,-38.06609420371226,16.27278249825903,C,0
Brazil,120.05219480853057,-65.56981227573802,149.25583819937776,118.63165833286902,-28.701389672658063,-103.94141440539977,54.749222687911534,-59.448567640599,32.55461525155218,D,0
Other,108.894055882484,117.89475394063477,-15.807042279549115,8.38022518885807,136.5102739336553,-133.1664398742414,-89.30082979010413,34.85381840879047,-150.08203306128337,E,1
Mexico,-84.91990329623825,-45.44090829749621,-116.02908766835438,155.18614791721393,20.3390886259511,-110.9503625580598,-61.33946861101251,-63.49776280721595,-94.95373548587816,D,1
Mexico,-203.29322458454152,47.52459933877064,51.55197188924927,-92.4083271135773,9.319905938800279,-144.1919989568933,116.19572028920314,113.62059481695752,109.10445817478956,A,1
US,-70.73728115779787,-59.105096143241944,82.07171101042347,279.32713427143426,-82.89331917477294,70.46441239180372,151.47969458169413,69.70481212551971,-78.98470003722497,B,1
Mexico,172.11879125749476,-38.53608445961122,-80.42531616804416,51.984345333535266,93.3228519439604,152.64132080973445,99.9785688480634,65.57974996884434,96.47636569822353,C,1
Brazil,19.288789247800537,165.10210133920725,-72.25658508611824,-39.43462762514843,133.86222032168104,-53.95551579039175,33.07510363344963,-14.515098752845443,-41.397762865379306,E,1
UK,-91.26725108643544,-16.41168276197988,-83.93837239815387,-54.52348770815042,172.59742095988614,-66.56391382388645,15.305077122479036,-75.57217374537726,-19.278363129167296,E,1
Germany,278.0169731653927,154.99276694401775,-100.82042919033844,117.82038280518688,16.279843819210228,165.45033014943814,-73.17736890449879,25.46939640564584,77.85852592480622,E,1
Mexico,35.078448930876775,-4.290905620511605,-165.40442305504789,55.697646997616765,30.364764145843555,-70.28587748992922,-98.48805371689306,82.37107630269485,-53.58565969545748,D,0
Other,-93.95467173336218,36.338872323165894,-57.5909132210179,189.28463209879786,99.7542508925947,-37.70451189598251,140.1170835721963,165.20986044846154,21.66735107511809,A,1
US,33.66073411325186,-72.15105292991244,104.74294065117921,-192.88779963865696,204.53774697954984,-7.279225835851812,53.52816537459041,69.76749638012471,50.960378070174364,E,0
India,5.018489182285684,-61.59927877032389,-6.909302033461047,64.70559372703025,-162.269109824831,38.97729000423127,-95.34489821890693,5.343489231267323,18.443411371262293,B,0
China,-91.420647155164,-137.13117020859005,17.818170683743798,-196.3046042530786,130.58383035062275,-33.25054700243855,-146.67025489259976,152.71482970926698,98.637893162705,A,1
UK,105.50713474850018,-55.54268758617662,-82.42493964197196,63.69294433923621,104.0027046800442,45.474234799264636,16.83746871787963,-29.52791381575603,-68.82980119319136,B,1
Mexico,31.523463467901525,110.86340182198168,228.36643674265719,-111.16741973069095,-165.60756678617324,-30.916295142983973,71.82977295047563,-37.986285680791696,136.35595987701097,B,0
Mexico,-90.13367271412798,-38.38919335498091,38.90244740903493,-40.36616394983306,40.363875327080414,-45.62358851623011,14.71933150677143,-157.22633058068166,27.77471749710078,D,1
UK,26.260990807134498,-4.182216536143514,13.957541496207762,100.93684474258939,-64.14938319211362,-143.1794069927362,153.34370279222514,-43.02794943881702,108.01500409678304,A,1
India,43.50399165599447,35.79989729332849,11.601311856863438,22.71158058333329,-56.81257674049809,97.03173187496203,66.04881179058391,-105.84339616421718,95.54722000940431,A,1
UK,-236.50849069247965,-3.8283011763314048,26.70596774740997,22.33393110692433,-73.48145119953553,-90.52653141196112,161.02397940815467,193.70726127185588,-62.65982176116823,E,1
Mexico,85.53782664054961,29.73334652796394,-199.95571497271396,-143.83914432411916,108.48405352524107,-150.30896516175773,-27.021335045499097,-198.81460682197766,-164.5508073190152,A,1
Germany,-115.3125229451919,-82.76955854583544,44.09272133742177,0.2800540623754607,117.88446479337868,83.09415067148004,38.509920287160455,-119.66452193422732,-108.48774702063619,A,1
UK,102.09118256634524,-39.904036899262145,-187.44426110669176,-155.30533876781604,-54.01953313793448,216.4533250907589,64.21714198971803,-112.75203089357629,-54.32678901894982,E,1
Germany,88.43996822180162,-2.8770242483356756,-34.252131578065985,-219.50015949768726,116.91230636123915,133.16486784697608,193.3672922849285,-122.06647778257876,-35.974205750388435,B,0
India,45.192891916417054,-56.324444166581856,-212.2778919486573,107.15796427135753,-202.56100385304575,-14.35087393197094,82.234940927522,71.31024280265198,-72.2860133746354,C,1
Mexico,-189.37203233161398,112.39089020627209,-33.001593905073996,250.48552258967032,-9.702045384203426,-54.24045041834391,-17.68356901277995,9.179398489770337,87.91578060008217,C,1
US,62.918827057142956,11.91812954080332,40.613004198161256,21.613990332968765,-63.732429800489854,-137.8904589875348,-42.24795452245322,-51.51315513416459,44.84134834082691,D,1
UK,-139.7721859817978,-26.955215818014732,-36.89879848995618,58.56129194741081,-42.1783252303664,-31.496525142165595,169.13938199906084,30.032330438763154,160.77008257097998,D,1
China,161.83646925840523,135.19284678824494,-96.54420014118472,-1.5267397536153837,-14.71862708720965,-0.7650168734063157,77.12445040289366,4.792177707096371,130.06320072603336,D,1
India,-116.41741603616596,-36.34340705277304,-19.897088145288325,-26.946838932244283,-107.84719902657187,-27.23893314892584,66.7182616882273,-28.2259243763113,47.84536023541009,A,1
China,62.53526082268765,25.764867014533717,20.865980643124786,85.35835845169548,-114.1661864395243,-64.2649131120636,113.12915270393415,61.566808693537034,83.51937688113354,B,0
Mexico,104.99477821974479,123.45210461236904,128.96636029840025,-61.960613453716675,-9.556208302158991,32.14392724950807,13.974523067852612,-120.91135294222693,18.204644442255677,E,1
China,-11.568922229761816,-53.670969482547214,-182.29736478528739,91.67628668411119,-33.445391688310835,-36.28494539530967,-81.54662168037407,-75.0533884545372,-67.77189564715758,B,1
Brazil,-144.30667289626632,-52.89346359281718,39.83628516089062,194.20316940104036,91.19635231054771,81.93716019376645,-34.43214732861225,-91.89838370590114,-17.050227987542137,B,0
UK,157.69996109233173,-190.5649333419012,26.689685872845608,39.6678837082997,92.08581580264139,130.59742117916375,-1.071838986156863,47.47392219053862,42.290024861849645,B,1
Other,4.777913950711059,24.51763334553738,-1.9175769517152816,64.44283370780742,-176.27373081651967,23.454342566903282,-29.14872268017693,-35.89674116459094,154.4120102693235,A,1
Other,38.89894785697746,82.21835061513548,-104.24648152534222,-33.61230813272218,54.81382407372717,8.677638449481409,-104.54120666489722,101.90243405206235,170.166515842111,B,1
US,11.612246372782115,-51.05451075328635,181.25140948881815,108.2158888311767,-59.457605303791006,184.64545332776532,119.34980283169622,-51.452663910338345,171.24465290305756,B,1
Brazil,-2.1186035829429093,10.968858976606462,57.232683454868614,116.10986569875377,-92.22760458328281,17.33456882234986,31.162548857820127,-75.87191152938726,176.63380613268575,D,1
India,-38.82541981835911,-124.70390616973349,193.43673578991417,13.354067000822715,-50.85376028870788,138.45167417297893,-76.22131248585453,-155.58250321345648,12.556258022059765,A,0
India,-23.961452850424227,208.325459229632,-64.37881137673696,-145.99017916697002,-12.469741590157833,-44.97410493396231,70.82816757787768,112.03491821970597,70.30414163402558,C,0
Other,38.333317811052744,43.8938617646191,27.724820216828693,-47.509241776804004,-28.617085010010136,-92.01501534543732,-5.171640276685058,38.88584167675347,4.973886917642714,A,0
Brazil,19.29909210996879,-32.50285005138295,77.94212237549777,12.739697943203385,-76.32618894932635,32.812810535119155,127.23610265626763,-20.15971353470026,17.578704553115678,B,0
Mexico,-160.1120931276512,18.224595385039997,-103.79850462473463,-34.30651089821982,-132.43066346713152,-6.879138215827043,-123.53677494066146,36.560354186255424,-3.4768549775601976,B,0
US,-147.78683216571685,-85.37366252355146,-69.79972524670274,9.590430804917153,-133.56850751905333,184.36740515586527,42.46517933877781,-103.77144552817512,-86.4366297276873,B,1
Germany,93.00710828735448,90.83447241650046,159.0168679780306,-25.470599600752625,14.712312998267862,28.06374929676395,-82.7217350652554,81.66198911815393,-195.75771609201925,A,0
UK,-90.36043789890039,-26.331240662544026,-17.583793894907995,9.874070543758544,-39.117280786271785,10.48880441731125,-49.28865588223242,32.57254967721921,-8.791522454982534,D,0
Mexico,-73.28243761624697,9.424730585218592,67.03552650902809,56.34835237146913,-134.58941284911697,78.26275161067042,-67.09700179777114,258.6627885662851,45.14269130083069,B,0
UK,46.2819953066019,-37.43784300881309,-130.26975309297927,11.223768816454289,21.72010525155917,-5.234755047578756,54.24330852811207,62.017814278119346,48.41041395052434,B,0
US,-118.17637419629163,-11.719027079298836,190.77300051063293,-219.16737260706287,82.81733863936526,-48.90420665103659,162.07764140025708,-50.09470470115359,104.45689599872723,E,1
UK,46.42255215354871,-148.74574615498344,-46.78007523762851,-177.54670189694477,39.87450624672256,123.67360519240793,107.10283534406895,-86.93089345049407,36.31527814583784,D,0
US,-39.721991260835225,110.14535792538646,25.926880307145534,69.27636545224728,10.577858351157191,137.30474769645605,-69.55900413692557,-15.25696209003341,78.28350486308868,D,0
India,31.529973687364944,-113.66872018882597,-56.71527437733691,48.29843893854151,-19.087081652245665,24.942814598108352,-193.17204617708194,130.63741534406668,251.78695273202027,A,1
India,-19.268824735438372,19.152907883976987,171.5543949520516,-65.14731586700528,-5.537445729143596,-55.99592900157093,-162.18582067693643,54.012821259294384,42.367185963289096,D,1
India,47.59932267929256,114.46406471408947,-79.6477159435303,55.13214656008055,38.96344193300448,-69.36352421752625,-110.86391347308732,1.7059225908861613,25.19000984310663,D,0
Other,-47.399412246507005,-3.513608612149435,29.505380179247837,63.10078884954306,81.26676612574508,-59.55173889111527,126.04015800727592,-105.01824162984936,-91.46402777645787,D,0
Mexico,89.15111071221452,-59.83162090424924,-240.51626598720014,24.488805540013807,-63.458016098660586,193.8733128395957,133.83863691658857,-32.49144382132423,82.36355890204854,C,0
Brazil,-294.4990227693461,-60.627638747814906,59.00820272585513,-25.195441990801076,47.88701152345526,103.49499083055176,-112.68799296503317,132.66681423334467,107.18074616732152,D,0
Mexico,-179.79090414654834,-86.79505941290674,-32.08746380293916,-56.4392783813457,-12.324369083703589,-117.21256064703431,-128.81816078914278,-71.9657760514248,34.46782233527211,C,1
Other,-89.8626482680503,44.40647370700194,166.14204931527772,0.24328813171097946,53.732806659927626,37.55758269273804,36.44328184965235,11.304146484780112,56.612586171603105,B,0
Mexico,83.14355749381168,6.686559552926203,17.059117578687903,76.13771432770488,-72.32585104136541,-226.93942041707996,58.154989399896515,110.64210914809578,140.46162426519786,A,0
UK,-4.473244582739667,-25.489153430746033,39.11679181203077,179.92967726551655,156.75423627022045,144.23896491592555,-178.91108885482393,135.9263072805462,-264.3343336686843,A,0
US,-14.60086669745711,23.902351081897972,37.21209678969718,56.14214927800835,140.6528928101627,54.10493159716704,-47.6684174872985,-12.557058929225901,-53.124149385698296,A,0
Mexico,0.31002295773817656,-39.897364541846066,172.69439475979692,-26.39195533373545,49.237849808506,149.3361362211768,-48.12539920677228,-34.29244769890193,-39.40209126203108,E,1
Mexico,-81.86760045756753,50.146187197343664,95.670171390111,26.605897304174853,-68.7030264533892,-92.3712743866091,107.90731798566016,48.69005009768638,-43.24652791571285,D,1
US,-173.6964572352739,-17.612627420236418,-20.11960118652421,-108.80880837860624,123.16119197623226,41.194586848033445,-12.29723414962543,35.397423615362975,-33.447695961895555,C,0
Germany,-139.4214571568319,-152.49852780118695,80.89509012481834,-102.46924432552558,48.77872385047276,53.559811131502464,25.880710530782764,119.58188151424332,-122.46637682674826,A,1
Mexico,14.414738422488629,97.71218956389838,-26.801403303386873,-45.33482353184677,17.736505216057623,-119.79122594534172,-12.69026057719748,-23.519976260459387,-70.0410268099336,A,0
Brazil,-115.15929481196628,54.22624190411659,-111.9604720346814,-121.49418189510833,-152.8762762980005,-41.41193074122915,29.795412169439565,-144.8007710089232,1.876623614098423,D,1
India,86.84824681738293,-72.70704676718455,80.55561722518992,-25.732226736031937,-3.0757967903958225,-144.0285593560601,-11.706264997295689,111.98831132183031,-28.03145932935045,E,0
India,-139.3135576554801,-81.26209397119996,-60.53158552775727,131.09928559144163,-152.5000126862455,-120.85579337585293,-79.77012222784028,107.87453163307215,123.026841114185,A,1
China,-97.14601477285782,-33.894201940102484,-85.84886334876497,-206.9724770384619,166.88689029242738,-53.22947920661378,-18.8746323079178,-132.70375311688,-74.80073600028402,D,1
China,-18.569113455365454,-30.980107805871754,36.361557467628835,-69.3090514732321,9.480949284494788,-92.0997404836563,70.99865655035119,-13.646699230697262,70.49592160911226,C,0
Brazil,-34.12405876684686,147.24677897956434,34.90864490095485,-17.504706140061487,66.32934580022608,33.70788818074495,-129.67633116057397,-0.5624089250626826,-59.40111716321164,D,0
Mexico,-10.585246447773619,-39.46228205933749,96.18360424919614,309.64399877781864,-100.25348280029458,-83.15747639199313,2.9951396150614618,-36.60789148522235,83.56611817535541,A,0
Germany,52.1944110823788,30.318939660738142,-24.652459612902934,101.54635583834354,10.193411882592374,72.17345265435866,31.2810063646004,115.9394688731671,-3.31332153950454,C,1
Other,-27.32919011111831,71.65176143700076,-221.12181264004786,41.8445386442753,-105.97931464076842,-82.60181461702093,34.19389383689614,3.8284122215226835,-266.73396564328493,A,0
US,-5.336770318356918,17.07775566559261,-13.488635748762123,74.6529185930627,-77.90622899317123,-178.90930631245746,228.2916566685236,66.82171148245614,62.32225037071024,E,0
Mexico,101.36920811454286,103.71662778745947,62.93491807466193,-11.650445056275966,11.253024940799015,122.84286550828114,-67.07519323739209,-6.373601932666455,274.32405297683806,E,1
Brazil,-27.346707043477824,67.78590534440534,-67.27616682906731,59.13930330679543,36.1913945818315,1.9306300811557868,-42.72127123417348,134.39063443919395,9.955107257135985,E,0
Mexico,85.81908136385721,-70.85943002134937,-89.65692826843768,147.77873857663252,-112.19115947040983,149.02634115580858,-153.0721848542689,-34.18351523793383,-113.15237785166413,D,0
China,94.45422379141529,86.5569454782568,-104.8657754925865,-100.39605807995096,-122.48035149317732,113.08242680298105,-8.502189882925443,-15.260217607152434,94.76784144263448,E,0
