orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Other,C,-14.369627399923981,36.34643427017116,-39.86106112645608,D,-334.68087722213164,A,-57.732628484462964,A,A,5.859036720097037,A,C,97.85713522921597,105.88555942270983,73.8144230984482,-6.984164582950347,124.7431609112701,B,0
Homosexual,D,99.01674903070749,142.49910736781902,-104.27078306227091,E,67.97643837613083,E,-164.39725214773546,A,B,-9.015070652685312,B,A,93.74358050598455,-78.57164385862622,-15.886786414727002,-115.7559382041048,23.710834027812762,E,1
Heterosexual,E,-19.626177134814686,-99.25995734671754,49.364645550811694,D,-128.49381921859236,D,-78.60668387715802,B,B,-108.48696729780885,D,E,180.479803750953,112.39343457869411,-13.084353368924354,-32.10475707236069,-74.87052922882958,E,0
Heterosexual,B,70.49323036600174,-71.62855456804199,-74.12953584591696,B,16.357501307486437,B,45.32944222935373,D,A,-122.11767408353428,A,D,-162.42263465152286,22.836252035513567,77.42841353160102,11.078885320392613,173.8115974607488,A,0
Homosexual,E,140.70215687926552,-112.77236146001866,-22.358788946987815,B,-124.41536084393438,B,116.22358570240749,B,C,-62.4725449182869,E,D,74.61222040531126,16.244794378401775,9.079987645084673,-28.82100275164611,-49.49386031525712,C,0
Homosexual,B,104.22883849394412,-89.57202925309218,-47.394587516483405,B,59.618154332405446,A,-33.92196141077745,A,E,141.49454400469216,B,D,-79.52358177874103,126.45348844853403,147.4457472621501,45.07654649121262,-38.56816198626029,D,0
Bisexual,D,39.57970819727549,56.36999662396283,223.21365889031037,A,82.79901270189946,D,-77.50654938835508,B,C,-21.465999649144077,E,B,-107.54867282805888,-55.45014901018887,15.794288492106986,-102.88950859381478,-54.49750398275069,C,1
Heterosexual,E,-30.102473282168773,-26.20793233937369,-233.3949483460237,A,17.98734785478443,B,-127.59662014828434,C,E,112.62683243153853,C,D,32.528163893519434,61.37000129413895,106.06147331240791,8.781329600361596,97.97235684039816,D,0
Bisexual,D,-97.14446461990262,105.47843703566022,-89.48161880977898,E,120.98302370090401,E,8.179535546508692,D,E,-0.7502954879573129,D,C,-93.64876026285762,-14.903045559689973,-6.232144859416143,53.64312401756214,123.42756666297359,D,0
Heterosexual,C,-49.35672744865852,156.7380606246688,-70.87824466732224,D,104.3900491837132,D,-38.29187357384537,C,A,12.228678336061492,B,A,54.43283382087105,-118.07559708887918,-36.601116203536215,37.39171496917979,-219.7342655929952,A,1
Bisexual,A,22.872929954796323,63.321384356906854,-16.184370165126776,D,-80.37029010396701,E,45.959456690624236,A,E,-128.9318055219085,C,E,-43.82205359879098,-211.68328997290337,65.8371048515873,-10.682236434631728,-21.640049492102573,D,1
Other,A,-160.2701316042269,195.52713257374063,-9.958726655499728,B,146.79564785961927,A,-41.41673561987033,D,A,261.98560995527663,C,E,-89.8550456510723,-59.689509553699146,58.23318736092881,-165.88650004394538,-118.13435207392318,C,0
Heterosexual,A,-95.37884317915235,94.17663819628804,12.640516997798981,B,-48.91464843398378,E,19.50935916687757,A,C,-88.58948270229877,E,A,15.743219449958005,112.20508083151532,-254.6870718963806,-49.98236972043383,-124.30595341836248,A,1
Bisexual,C,-97.87731208055364,58.83091746978363,-48.552677830236476,A,-51.962555866383234,A,-26.865577212689008,D,E,-116.60545132515611,D,A,-119.19566927893415,-61.55613456131317,66.43214434824009,-103.97408138608397,24.795770148516233,C,0
Heterosexual,C,96.92996699705196,-59.384354278367624,244.64108465274333,A,0.7418732975372943,B,-170.15220208102048,E,A,-17.23958842836093,C,A,-134.88774113128758,-15.069547235606434,-29.605993940015118,-107.40859471782747,-26.57675522455061,B,0
Homosexual,A,110.89719176038946,3.74606905370067,102.09947279694518,A,-61.038537444433,A,-155.84713609383786,E,E,244.48585752386757,C,E,64.79264953415438,69.49515989483382,126.69172108778848,56.87591870725812,56.22781334755895,C,0
Heterosexual,A,-199.5695043003401,-200.5214883840611,64.77685699610119,E,34.095525985804954,A,133.10462588714176,A,D,43.39600198414128,B,A,21.47643417383612,-38.60206586392398,165.37450388388427,45.80051971114472,-293.103704723983,E,1
Bisexual,B,-96.32860104250062,129.91918625969265,-54.1773042924116,D,-106.94565219968688,B,16.379587943517997,E,C,183.76161726144957,D,E,47.84888248695489,52.512899011518066,-85.1915202944562,14.480014943863976,50.69771352518955,B,1
Heterosexual,C,59.27771382898589,174.9213743184992,50.445172869365365,E,54.883520341085024,C,-6.228575255884446,D,E,-14.792949489650647,B,C,-16.434946199488696,34.218766135270194,4.6594913661077,-70.40344837942818,-157.12447425426095,A,1
Heterosexual,D,-110.7358086618888,86.34301251356095,39.7224806116141,E,31.925345784168464,E,38.36001202916429,A,A,-54.4740351544419,C,E,-17.651831839690313,-52.33261134350191,35.865650567328785,-9.060328894776449,58.24592012518656,A,1
Other,A,82.15004682655362,-68.28122951134617,17.64904645059609,A,63.49050960894418,A,-1.3088314259756388,C,A,-22.28163042377618,B,E,-108.06121562884519,120.65869092162846,-150.5426547159825,-149.01203476704796,8.803054020112743,E,0
Other,E,-94.26507495571276,-37.003352417317295,147.41058209770358,A,-53.9405167491026,A,-237.00039325159682,B,E,-52.83786170170382,B,A,218.94959456848562,109.84035891530179,-60.043756049523154,73.52256009317702,86.9885523580037,E,1
Other,B,-71.32867899820039,112.96191207736072,-18.159879977958152,A,-101.51075729360718,C,92.19340463438952,E,C,78.43264500989197,C,D,-58.14308287780084,142.46848668985547,-57.603260701596525,60.22531799614581,307.64297417836514,D,1
Heterosexual,A,88.76653534057587,127.44477831949499,208.66608742900928,A,-129.95261746543287,B,80.65842144928646,C,C,79.49966294256464,C,A,-173.58562484601427,-153.94417008891267,119.70805382090128,31.020988505409374,43.239197398400705,E,1
Heterosexual,D,88.22887300788857,120.19653580699074,57.847293138696955,D,97.3036075129341,A,84.92489312112392,D,D,1.0663103339813105,D,A,-57.07801818138457,-82.09956751770196,128.95874747295645,92.36657714551819,3.913997333425244,D,1
Heterosexual,A,-108.23221785629859,-54.48749521743845,48.80579521099434,D,-168.2846108670292,E,-5.21197507401107,A,C,174.05823424330157,A,E,-14.098148525593421,1.500047825910951,-110.36804336510554,-51.62561906544213,28.144949784436022,A,1
Bisexual,D,55.563795903720845,-64.06283141444489,-251.32986877163205,A,-89.04525067391572,D,-123.81443484875273,D,E,-9.4333029896908,A,A,55.207691573598595,-151.4902935062714,-94.39691538845429,88.44869312895113,-41.7913251321332,A,0
Other,C,96.91768208210932,-66.2083846204756,107.28312385531875,B,-2.6915520886854076,B,-223.00449269551405,A,B,-81.65847167668315,D,C,114.51177333956333,-91.98022251410708,30.310587925030912,-93.34335943479297,61.4487643419803,D,1
Homosexual,C,-147.16198446776866,-155.74620176537059,80.81585422816269,C,-106.16572449665627,A,38.71832740377637,A,A,-0.6382041305327615,A,D,12.003114363012033,-34.90124145558326,-12.270642206850063,176.8369094331855,-128.5003047870471,A,0
Other,A,162.74005692112263,111.60381175723461,-35.71491313368592,B,26.596565787291166,C,-92.00634690369172,E,B,83.60629883951542,A,C,-23.754674165007607,-199.0154886065858,-167.10688851523588,67.27060361604082,-240.7626214831959,C,0
Bisexual,B,-64.06938222558759,-123.84540119240943,-125.053117699557,D,-8.621669235214938,A,8.956699843004362,A,C,20.20616644800805,A,E,-136.8416901598393,67.17218154665797,-5.201741760339132,63.54528602472881,29.733836728134012,C,1
Other,C,75.37377586655725,145.2195382200054,-154.65517401594406,D,-40.70902956429818,D,-1.5376737216479501,B,C,-53.80247225228818,B,B,73.23221369354964,-3.549056734827753,123.143830586511,53.92022129036525,-119.8818107299982,A,0
Homosexual,A,-59.18748314371308,-1.4712951024875367,1.4637878089206118,C,-10.291043618424288,C,-30.41231465787758,B,B,-28.725644789247955,D,D,155.64864513482212,-67.99888944936514,39.929816308050356,-106.46006257493626,74.48518010397672,B,0
Heterosexual,B,-13.839342037079497,-37.31772009988254,13.687241340126166,D,33.06913249335542,D,160.6563183343751,A,A,-118.8980334397409,B,C,-106.84082359912306,-110.6416561959303,-39.9509556911033,59.551815605794644,-77.7295524716383,D,1
Other,E,190.5017328662286,6.303770339500617,-17.265874998386,D,0.40987512651391966,E,-60.26628563786321,C,C,89.58344357361864,A,C,149.42045584347855,1.1628528934834657,-10.417087076836545,-13.749004988809514,24.918625353861295,D,1
Other,E,3.2278591372438834,8.67321486369387,-50.50256422892614,A,-117.9744672434042,A,-163.18067272579208,B,D,-18.122046656677306,C,B,-50.84042097096945,87.21450893247375,17.441972919469716,-132.76135288479477,-24.48280885170898,E,0
Bisexual,C,61.63381276456451,85.79985442416438,-91.54278056376522,D,0.8032173519708381,D,62.42429611544207,C,E,-82.55135190514534,E,B,30.113809450906736,65.96891382323781,157.5877793483002,-36.85866415196317,-149.8988687494214,D,1
Bisexual,D,-237.0566185462791,-89.45984047964147,-181.01139922261788,A,181.73183174146263,E,-150.21700393255358,A,C,-82.55391426524898,C,D,-86.9674202101847,315.4609625426384,1.98395714206507,-63.591559347110326,-34.871133111751355,C,0
Heterosexual,B,-115.5792848141807,-121.58222091788129,58.82721993615589,B,-44.45164161686714,A,36.63516708672203,C,D,-25.19290244296297,E,D,-77.82560395989428,49.06828816686183,160.77996470524775,181.92521341160878,103.22969998790998,C,0
Other,B,80.64756439011308,-93.93504423792047,155.09699127697115,E,-34.225048993165395,B,252.30278476478486,D,B,78.48253678850061,B,C,143.87666988248955,26.27304983989879,232.6873443751289,25.803505057216775,49.67738676841433,C,1
Heterosexual,D,159.43749380454537,-34.8535415340822,-74.32552592200425,A,71.99369034934756,E,-45.58704148373545,A,C,-102.4948421672147,B,B,145.38082165630993,-90.85374128440684,49.137899502142645,-51.31868524090864,-163.76610926115796,E,0
Bisexual,A,94.88506202334129,72.1743168512988,180.40372419288477,E,-100.64523735777955,D,-115.84161866447123,D,D,-25.674246566344934,C,B,-163.76306025854427,222.34666782473406,-189.9869498140847,101.74475840373789,104.49661863046515,E,0
Other,A,-14.764116242895753,7.36897542497586,-277.41091949928966,C,-88.5596977962609,D,2.4148354239708647,B,A,-7.123406074985747,D,A,-21.748812866803345,67.09240928220044,25.519953575604877,21.113822742971603,25.894390588219036,A,1
Other,E,85.10502641680192,-269.8090230161985,70.46228808264019,A,141.35460195436337,D,-32.38021348617862,E,E,-0.2500814011787545,E,D,85.91903835738107,114.3644483544065,-78.0440488144312,-4.928253344441984,-106.6785142653797,A,1
Other,B,151.38321242096137,-34.13860985645453,104.23598459164525,C,-79.52784353787187,D,39.10273062195717,A,D,-47.9998835237609,A,E,0.09484332529056302,81.12414323581547,182.9449684420351,53.80217033260776,-87.75556547617296,D,1
Other,C,126.59553808207282,49.0669871640269,-55.13326136863458,A,13.573031101614328,A,-99.76474530585793,B,E,0.4719811149003306,A,D,-141.61983458005537,26.757301956049123,91.26542248050765,274.18360197834255,6.618431928335696,E,0
