ethnic_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Asian,37.235933130230585,-54.73156996971692,39.38995133217608,E,A,B,-21.36642638029123,D,B,E,D,-105.87847892353439,-69.62081523878653,65.44446077051815,0
Other,-134.97727262477719,-35.384188102692136,-102.50623615418175,C,D,A,-5.467869647557629,A,E,C,B,8.037687752279906,113.21377296309443,-118.83479352905684,1
Other,-3.2027886721986274,45.07892021170638,111.12976423359298,B,E,A,-192.70726720551622,B,A,A,E,-188.71628579236625,78.25360492036666,-38.95925203482561,1
Asian,46.86921447634678,-58.07333767419421,-143.64681124039066,B,B,C,-101.7333618217041,A,E,B,D,-74.89714668016533,65.01205862801147,-35.10315117778774,1
Other,-39.38300639413459,-149.40597814440113,61.12113353098286,A,D,E,-128.49487205805914,A,C,C,B,77.28488953590556,-66.24788083476756,10.880298519153031,1
Black,109.79037370755564,-207.93948197107412,23.584441910841118,A,C,E,-74.88464390541998,D,C,A,C,33.18529710074216,107.7721257783282,72.00697603157025,1
Asian,300.3574243292127,75.0074707160448,38.06057413454294,A,D,C,-32.61659923762038,A,C,C,E,-75.57787796180719,93.88547300014707,-42.89507177613467,1
African American,43.32617566436064,24.395907476390498,40.07294519635913,D,E,D,-91.23313547293422,A,A,A,D,-70.73595744532358,-191.82764091824126,92.17159504173867,1
Other,-61.009307716587756,-7.130844545066522,-73.77722222650638,B,C,A,-14.633886012207043,A,C,B,B,30.160401262107545,-24.298591640327174,-143.4791311547785,0
African American,-143.96578124289377,116.57153193624883,-136.74198926162535,D,B,B,83.85073889597776,D,E,E,B,80.34835654661532,48.514338035204716,67.0049542768463,1
Black,-61.33564225867348,-125.79488647845372,232.13970276213144,B,D,D,36.05058134420627,C,A,E,C,-135.25749567082454,-45.1997196336789,62.82300500766924,0
Other,116.24888958694919,-17.833002925594748,151.89452491756668,B,D,D,-239.33428142679523,A,A,C,E,28.067048701835358,-23.005980193304715,-85.7024573525511,0
Hispanic,19.649818626106622,100.86859803750289,-2.609259348489797,A,E,E,23.84506133966483,C,B,A,E,147.73468554550843,-146.48434003952931,0.836535606174942,1
Black,-26.588969754417,-70.32473647287628,81.97458366726357,E,A,B,-157.479092326945,A,B,B,A,57.70172907164051,-89.70467075983773,-6.546756518262714,0
Asian,-39.66338166813855,-31.6778885271643,-70.5548936322784,A,A,D,-125.7450171364153,A,D,C,A,-78.85677598676847,10.059734534560691,31.591967737104877,1
Asian,-14.975064215508752,76.20582867751958,-31.87647176971019,E,C,C,31.992455171028126,B,D,A,A,27.036337045604242,139.08571120446746,158.66300963478065,1
African American,-102.99849084839016,-40.090543839271206,70.83216119887645,A,D,E,-17.07890463691428,A,E,D,D,-115.26382561041308,-50.129017498165766,99.15269670936753,1
Asian,-53.03178396535279,-133.05769744996277,56.40732029638429,A,D,A,31.45474503524189,A,D,D,D,-41.58143063332869,46.17609220739117,-68.48288293172817,0
White,-49.81594122578322,80.94185092726069,16.842537870416546,A,A,C,-66.98994374387168,A,D,D,B,-41.54259244216046,34.22677028138373,-73.25148581717606,0
White,-86.46062141834007,122.68071948685586,83.29436911701076,A,E,E,104.46143242765879,B,E,E,D,-32.432149886613715,-239.4311701357089,10.19189982528129,1
White,-91.49437560843982,224.73574082038886,-27.888641197317288,A,D,B,35.527587486561714,D,E,A,A,-30.224371199384354,69.67879756230818,-11.35794711440628,1
Asian,-113.77706695727645,19.386063605613295,160.83847690677467,B,D,E,8.714480373319203,A,D,E,B,83.7117384857907,81.9798775004774,-34.915106141131716,0
Asian,63.846808189255846,37.763379120081396,-128.43342812132954,C,B,B,9.450622848104569,C,E,C,B,-61.73561885337209,66.67168806413433,23.744034946139486,1
Hispanic,-85.49501945109968,-147.11101715050006,-43.823840090355475,A,D,A,163.85898564993812,A,D,E,B,-37.243580992881206,-2.9004435998182903,13.682902136243689,1
African American,1.6614941563984225,-2.806763244252895,96.0878994453957,E,A,B,-58.81088906810894,C,C,B,D,-16.287400100664335,-13.444307683198426,26.538611228156423,1
Hispanic,92.70201831442283,117.24837327970137,-81.3591018495386,E,D,C,17.727780092214186,C,B,D,B,-0.05024178050908161,42.292227101726425,102.93943664384864,0
Other,153.59824967978818,118.91910498999148,29.87933643211167,A,E,A,-61.824060455286165,B,C,A,C,-86.9342870367802,3.211472365846412,-43.9867365202167,0
White,-27.854310556054973,-196.50342125584027,25.76500595908053,E,C,C,-51.40507057225933,D,D,C,C,69.4733937175235,-142.1020002345877,-64.7533089760517,1
Black,43.30138556483355,32.778806782367376,-9.298777079282281,B,B,B,-21.037604050911295,D,C,C,A,23.763209474924306,-57.54372992772425,53.05494278738506,0
Asian,-163.4770835007623,-24.18200939474747,99.62977827777772,E,C,A,-123.91063454878312,D,A,C,D,110.03324667152556,24.770046094454774,-36.5887518633781,0
White,-40.78251917727878,56.41912257663174,135.4723527718888,A,E,D,-61.315168997729806,E,D,E,E,-43.2903511472765,12.179689881773585,-197.08613285831603,1
Asian,12.812443169532688,278.0525938989267,175.35975485327234,E,B,A,152.61780076390664,D,C,A,C,-7.329965478440843,175.9853453196569,189.49748383701157,0
Other,-61.11206502473303,-171.44864372429603,-31.466809685898863,B,B,C,-318.1079949982585,A,B,D,B,-143.073503290924,-60.620025019843794,143.72491948412755,1
Black,-26.33890375173661,-209.93012418034377,62.34386910559713,B,C,E,75.83598194865455,C,B,D,C,14.39168045339774,-56.94124037995828,157.74197975392227,0
African American,62.01473860951641,-27.436965057076122,-24.95919369104441,C,E,E,215.68633596677117,B,C,A,E,71.07165002168297,-18.506710135369737,97.54603380099653,0
Asian,43.618118962639215,-60.97537053422292,-99.85677207706972,D,B,B,102.96335384623066,C,E,D,B,40.24016670001802,-54.97230518281492,-37.49013627522314,0
White,192.85103808877597,32.97414341039668,43.40244455240159,D,B,B,-37.15564272626678,D,E,A,B,121.37967064552903,-15.533439774612253,-8.27422012634714,1
Asian,-72.40287204992985,-91.01276275780428,-147.23196203597007,A,C,A,66.41214679928751,D,C,B,A,-303.56613015729414,82.65111902851704,-74.63349194916547,1
African American,-110.91623726674726,197.00733707294057,-152.72215091366894,E,B,C,28.479336266499473,D,A,D,E,-1.3481120256977774,-77.1448630267256,-92.50861088776605,0
White,24.00288519277243,56.87795562238127,79.71730222542772,C,B,C,-141.11598030682197,A,C,A,A,-56.29678861888233,-32.70174399003025,-2.941120802230799,0
African American,79.3078521238274,-40.04963419508161,-19.979197187625594,C,D,D,-114.88336210079662,E,C,D,E,72.35287890457877,24.948861490454004,-118.57334661327363,1
White,-27.69730140615996,-167.9128975215739,48.06129379034616,C,A,B,-38.392480655897295,E,E,B,C,34.56223380175549,-38.29821015577975,-157.72076359334685,0
Hispanic,31.497687912643112,22.081772110171897,-26.49482004254542,A,D,B,51.52907462094134,E,B,D,B,0.2570536962825831,318.2221236909573,-64.69228322667271,1
African American,-60.213104272461656,-210.79935745437402,-43.33316752415193,D,A,E,179.06731741653752,A,B,B,D,-83.03333344752154,-12.096117810127614,-80.53349165915749,0
Hispanic,61.940756761943824,-20.637027773765958,-2.8550972385052584,B,E,C,21.194697847953154,B,B,D,B,-11.328423882971272,167.123453051813,83.67355683442777,0
Black,-116.71536514482557,-75.83718050413687,51.40177902319585,B,E,E,44.89032271508797,C,E,A,B,55.162159204808056,140.4067524818992,-189.3622801057885,0
Hispanic,-32.1008162069588,27.54624963054595,115.35496183313853,B,E,A,-239.69429444744193,D,E,C,D,20.814661496820413,-75.16618517164517,24.57071661265368,0
Asian,-67.90603549526423,-4.437657905258394,6.958241012522224,E,E,D,9.562175928410287,B,A,C,A,-135.51820136004505,66.15930710981795,65.80076263279804,0
African American,-78.80962485194851,-2.0340031884888523,-151.19855143290835,A,B,B,192.60739446615966,D,A,C,E,-23.31193906950749,70.55778222536716,177.28090131502879,0
White,43.11592173401308,-14.068034898349499,-150.53365308824337,B,A,C,-163.63290431634496,C,B,C,D,81.76418571807693,-128.32400031561795,-4.0410974499969745,0
Asian,58.81764280166916,-165.7542083068672,-2.887712958521156,D,D,B,24.16014592214901,C,C,D,C,146.21014667637834,115.6264202626257,57.455027917037846,1
Black,-38.26054337454682,-90.75252662380187,-22.19509326470345,D,B,C,24.31106420599474,A,A,B,A,-53.831706472093984,41.78543459042261,-84.34325216976859,0
Asian,-49.05016172838097,-138.7078986395749,27.58003579750195,B,B,A,26.028218014874184,B,B,D,B,90.70905997871763,63.311350122779245,31.835682503828078,0
Asian,-44.542103859474985,58.392589966354656,-134.5352678657169,B,D,D,103.28257127673253,B,B,E,D,-84.27695239426232,-45.4463482847379,-23.557464904656175,1
Hispanic,129.51872023343853,32.9185433233607,-192.28534681986932,B,B,D,123.61408666822058,A,A,D,D,143.53211737037486,76.22342138171297,16.368108707413764,0
Black,-6.046371270930764,46.3556035683135,13.72563136456851,C,E,E,-194.3260941823053,E,D,C,A,-126.56976298647163,45.5101934259739,-17.5484185707585,1
Black,-1.8060671939720563,-59.77422439764567,-39.29220770926973,D,C,B,-0.5626360412247027,E,A,D,E,160.26601737780558,-3.3071697531236004,314.4177534299243,0
Hispanic,-139.48192711065846,5.272603597953079,190.91725631846097,B,E,B,-90.00434148660986,C,C,D,A,-181.2451865477544,-59.51342749686545,-77.88035507627409,0
African American,-108.37860931591494,-14.881279151677248,-37.4146633225386,C,A,E,-7.4191334694812285,C,E,A,C,-51.08024182257448,247.66021004439068,-37.40271422952341,0
Asian,-33.10738039867785,118.41843825610894,18.792109731656943,A,A,D,35.81449570534109,A,B,A,E,-228.64916355612598,83.42638877489122,259.0449845566807,0
Black,8.677631647651552,16.98800390809109,-7.3462464359976725,C,E,C,-12.021655353686208,C,C,E,B,-26.866144688165395,73.32920943476161,11.20573353101486,1
Asian,1.6389418476587696,99.58029692602602,60.71487611904015,A,B,A,-37.55965115284059,D,B,B,C,224.0099934555849,-180.31132873440967,46.469285006071814,0
White,-148.57124361083737,10.220915502108461,119.13521966349975,B,B,C,-223.67303672063463,C,B,A,C,140.89362719797748,8.022609088386579,204.08738723283122,1
Black,42.61670502796949,-76.22819402530962,64.6140566246139,B,E,D,-72.59979116061024,A,B,C,E,95.80222016939459,-11.011811563095062,-99.56518492500716,1
Black,54.03354863934844,-81.11588684728841,-161.3919820897167,B,E,D,4.67226244895087,B,C,C,A,1.528497101110495,-131.55157116672925,-55.87490030190835,1
White,34.63384732653785,-227.7815085088868,98.49706328288403,A,C,B,195.85480716640456,D,E,E,B,13.677890033442536,-169.21559341029925,-21.43942765612818,0
Hispanic,85.30029180880338,-67.14104591558527,72.82118750408247,E,B,A,-105.35181676152341,A,A,E,A,-48.327107662358046,109.44720387875412,-206.9577868780097,1
African American,-24.507463276215766,35.9536589403204,-18.825479112924782,B,D,E,154.45365045211858,A,D,A,A,-2.6524923398084916,48.26250654938548,-62.41411269467265,1
African American,-55.86737320718594,22.504410564316558,-0.2770225895773979,D,D,A,-185.24839221861987,D,E,B,E,62.31460382820197,194.04915295038398,49.570294925973386,1
Hispanic,-148.43046397768748,-120.59981593661571,-139.7032688731922,A,E,E,33.15427107997648,D,E,B,A,166.76592500866383,29.069101330256032,19.6840792002694,0
Black,104.20474116055884,147.40676769165063,-113.99981101802597,D,E,E,88.17114892722441,B,E,D,D,-56.36237428907459,4.092176437386991,64.82157602105562,1
Asian,61.94063997633802,-5.466004015526766,178.74856425637583,D,A,A,-141.29435043941513,B,C,E,D,12.340529910233938,-48.36850285764614,4.883585114513359,0
White,-97.00139581426748,142.89111134638256,-35.77383006160987,A,A,E,-225.11709205182999,C,A,A,B,-26.64236653409696,-56.48780928113941,-88.9435293265844,1
Other,89.10503068406037,-101.23484240233242,10.488785064303137,E,A,B,-32.473271943521176,D,C,B,C,-35.57188460343505,116.66025507151197,166.84573499858865,0
Other,-46.65957231341196,70.88763838781206,59.75363748318956,C,C,D,114.9198568361058,E,B,B,D,91.94243226496467,173.77056459795125,130.02399431720056,1
Black,1.5567267658578916,-23.107027670626582,6.983485869663624,D,A,C,-17.256202358831878,E,E,D,A,45.70464015477672,-41.73686134628579,-24.191419847926376,0
Other,-36.0290110359528,-137.6950892113546,-190.77762114292437,E,C,D,114.03306770588726,A,D,D,C,-52.95193243904458,-176.56070296107293,-182.7064305800646,1
White,-20.6746304510195,-213.4074814004385,-184.00482822165253,B,C,D,33.8415695786636,C,B,E,C,36.47899569711989,350.38789519126414,118.54420876953998,1
