nationality,civil_status,Veteran,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
India,Single,Veteran,Other,1.3565453113037793,B,C,A,A,118.50053799842732,92.02971916516067,142.27539680430306,0
US,Single,No,Heterosexual,-47.62743336381847,B,E,C,D,105.44818661084977,1.6210941211192005,-96.87359081407294,0
US,Married,Yes,Bisexual,-97.30076285373302,D,D,B,C,-104.23510348529972,-15.484766541068911,-57.57222171832538,1
China,Single,Non-Veteran,Homosexual,81.01900294064536,E,A,A,D,82.72146502465532,-230.142498151229,-67.25106415097,1
Mexico,Divorced,No,Other,107.782712383132,D,B,C,E,-14.201738150267227,47.463584416968665,-80.4794600490936,0
UK,Married,Veteran,Heterosexual,-190.87111649176876,D,E,D,E,197.79007634910474,63.227608697342895,109.0170815785173,1
Other,Divorced,Veteran,Homosexual,172.46335662380753,C,E,D,E,133.62638874883567,-68.56021304631633,-115.34827692909491,1
US,Widowed,Veteran,Homosexual,-89.33069150631829,B,B,A,C,61.51125117236088,-109.30023529586525,-66.72688311097117,1
Other,Single,Yes,Bisexual,-149.33832008689586,C,C,D,D,27.337633454510467,-79.27218012880694,-219.85105359373415,0
China,Married,No,Heterosexual,-235.3726629575455,E,B,A,B,82.88036320463621,-73.56213998039144,98.78502614738389,1
Brazil,Divorced,Yes,Bisexual,-149.68606066726147,D,A,E,A,65.58031876159217,69.71519501407364,-105.8953323962918,1
India,Divorced,Yes,Other,100.80218635631499,C,D,C,A,8.866164887795058,-44.085095437478024,74.2877169651907,0
Mexico,Divorced,Veteran,Heterosexual,-33.68236740260731,A,B,E,B,18.377155251000868,-104.45079352227901,-199.68048005125044,1
China,Single,Non-Veteran,Bisexual,-116.17845090571193,B,B,D,C,30.364422783597217,71.38264523258954,37.3707193451106,0
Brazil,Divorced,Yes,Heterosexual,82.19804262621814,B,A,D,C,2.767863366718154,253.4497484461218,-185.54184007893807,1
Brazil,Widowed,Veteran,Bisexual,85.46313880301739,E,B,A,B,-215.4411611960359,-21.908252855391282,-105.65924650237261,0
China,Single,Veteran,Homosexual,158.3159545879401,C,C,E,B,-110.88503359048158,41.26651294293989,116.82639767479941,1
UK,Widowed,Non-Veteran,Bisexual,31.366482611553298,B,E,C,D,45.25691100773365,-109.30743662715774,13.193868469355472,0
China,Single,Yes,Heterosexual,124.53831249676806,A,C,B,C,-68.18040447027997,-51.00099055013687,3.0027533846833507,1
UK,Married,Veteran,Heterosexual,46.598778595898075,E,C,C,A,1.6443854728462544,90.66152994260122,141.60879437952494,0
US,Widowed,No,Bisexual,-36.312731621079266,C,B,D,E,-185.61567964229417,-90.2872309299245,48.16273939337673,0
Mexico,Single,Yes,Heterosexual,122.81856036611283,D,C,A,A,3.526115208855857,-121.12898457989276,128.68459325586733,0
UK,Divorced,No,Bisexual,169.66507556200625,B,A,C,D,-83.21178360797124,94.62674235529559,0.7943219059194293,0
Germany,Divorced,Veteran,Bisexual,-16.357704153699068,D,D,C,D,-164.68440546006832,57.1574147919249,-37.27898704695694,0
Brazil,Single,Yes,Bisexual,-128.3393976487161,C,E,A,C,57.39741348353502,-124.19068868843901,-76.20865807658221,1
India,Widowed,Non-Veteran,Other,-71.09105574075599,B,C,E,B,70.89901548710571,-20.674730807480653,3.2546812724100924,1
Brazil,Widowed,Non-Veteran,Bisexual,-58.29210619675145,D,C,D,A,143.8888586341335,-108.72462166912445,-3.1376108307088812,1
