age_range,military,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
65+,Yes,-15.37570534516329,-6.507815357594024,-5.279263762105105,91.60317636357482,73.98866647849155,E,D,10.352916894015388,76.3394109808256,E,235.70181232014744,25.396967554338108,4.305539290716888,-33.58270175356102,-108.42634130342704,-32.77496403228495,D,C,-91.45720013637603,1
36-50,No,14.160838103389848,76.94475009670408,-151.367622474465,-5.45450326469511,-53.84969712583316,D,A,82.25825389664665,57.906173444507125,B,196.44609447782315,-87.42660454965096,109.34028257332547,64.66158990924782,138.44304017521688,-131.86139803903527,E,C,-121.55723889066141,0
65+,Yes,28.945913677628422,16.639950675084553,7.714697567791655,-91.11584635188525,-198.64784721595413,D,C,-64.22556280185597,-31.543406037907,A,-71.8235730089291,2.2153470562295428,95.9426650190875,79.2144622004187,158.32297575553895,45.03409783556823,B,A,158.48211118349974,0
65+,No,-207.5482658644638,-35.515988181355375,72.2826793815615,39.81515853002187,59.37227359133157,E,C,62.91135654964073,-57.33636846116451,B,77.11855198158672,-60.42565078953802,188.7478393241541,-15.827873945671039,128.73771132860355,285.2097432007069,A,C,-23.15056885519226,0
26-35,No,-97.49974741503044,-33.26752114551981,95.20076822116303,-102.5743068907575,-38.686316436903354,C,B,40.571764963988755,-64.58635929350626,B,-15.20220195648684,161.83434364641266,33.16595899685045,-123.88696278156652,78.6680171400011,23.05970726326927,E,B,-25.343654779223375,0
26-35,Veteran,-24.293395042881937,-4.86922128503051,28.890377743054913,-114.2579820285527,44.01199371655783,D,B,-96.60350534573303,93.6948964162629,D,7.861786121228185,32.47807225688092,2.1481178623743253,-127.21119917841557,102.62647977358623,98.12051315423571,E,B,-24.790358442173073,0
51-65,Yes,-127.74656824217459,153.14252012463592,86.74600543313487,32.71174934536699,136.34159389937065,B,E,-30.540588091514447,181.5034053933877,B,29.993024486532388,-52.85067322449963,100.83823655732465,-123.29814484919213,135.74861649908087,89.58969160205739,A,E,31.850074540538547,1
26-35,Veteran,9.214907666306882,-14.716797683450702,155.22983751233716,-73.73686625601057,6.962178246591674,E,D,71.53287045623367,-39.781730970517636,E,7.126830217545645,-162.16795530066747,-51.07638200627939,2.8134810193175497,215.11896641533838,-45.223081579223255,C,B,46.537222772499916,0
18-25,No,47.649199899283374,-87.14344707283497,168.49941717885054,1.1803127660530321,-179.5837318875006,E,D,8.08834780761813,36.39708944983448,E,34.36283483201766,56.44199122422153,114.19128673942112,28.890389374571352,5.07122505608634,-62.830409031708534,B,D,-1.0514692047376473,1
51-65,Non-Veteran,109.47268656399172,26.048248591502833,195.38332593249444,-0.5344414164193249,-18.19277167650333,E,D,83.66871249835606,40.73298180507787,B,-189.86901060748153,0.759432081291884,-23.113770301063187,129.71730691449602,126.22375305217139,104.88019297431448,B,D,8.012859948910684,1
