Nationality,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
US,Divorced,D,B,44.02372529286794,A,A,137.3243214579664,-143.5898236344536,B,0
China,Widowed,C,B,6.176415533035788,A,A,162.4186826023179,-106.29227907558598,B,1
US,Divorced,D,E,-89.03165193623697,B,A,-67.0936959279387,-148.34072598684097,B,1
Other,Married,C,D,-53.02516755212603,C,E,-7.143355335602345,-12.724723469303756,E,1
Other,Married,C,B,69.40944666484876,B,E,103.80711360107728,-133.89358333349765,B,1
Germany,Married,B,A,-175.89894432759257,E,B,163.6961317274855,-50.213426204776326,C,1
Germany,Married,D,A,4.464156115893322,D,A,-47.566746487540414,-162.9371095088283,B,0
Brazil,Divorced,E,B,-101.15139316591186,A,C,-26.304422550560798,-232.1996321687717,C,0
US,Married,B,A,-61.8087809740125,A,B,35.84291518260362,85.0500495993265,D,1
Brazil,Married,E,D,72.36201916253798,E,D,18.00865553384966,-218.3477032824984,A,0
Mexico,Divorced,E,B,-40.827603143352256,C,B,-67.26953662556477,89.46164552135946,C,0
Germany,Divorced,D,E,-71.22709983347937,B,E,-149.78489333457193,-2.8726241817507803,E,1
Brazil,Widowed,B,B,130.17711056733725,B,D,159.10503914997977,25.90351927358194,E,0
UK,Widowed,B,E,113.68926472552675,D,A,-4.497715549582344,90.0528016721206,D,0
Mexico,Married,B,D,-56.35264939002978,B,E,-225.22194893391307,100.55170894193286,D,0
Brazil,Widowed,C,D,54.23363319529878,A,E,-93.6923585512668,73.0655649223668,B,1
US,Single,C,E,-137.10564048447557,E,C,101.99180072798582,-79.33027426116736,C,0
China,Widowed,C,D,-177.79227577383253,E,E,-39.69517663469958,53.93653980649551,B,1
Other,Widowed,E,A,-2.207566854297274,C,B,109.79503804520327,-59.36423042991604,B,0
US,Divorced,D,A,-80.63219971534346,C,E,-28.49977746556348,-96.41117002656661,C,1
India,Single,E,C,-13.131756741679029,A,D,20.464686367858253,-49.02840178060664,B,0
India,Married,C,C,87.21041879754938,B,A,-101.32861127849158,-49.15028410966291,B,1
Brazil,Divorced,B,E,56.76567209854,E,A,61.53500139413581,29.28992198347325,A,0
UK,Single,B,D,92.5094483892645,D,C,-17.385738919958058,-135.4000154056394,A,1
US,Widowed,B,E,-129.10810857746398,D,C,0.09225960514064703,89.99173175333802,D,1
Germany,Married,E,B,6.43942575405452,A,D,62.04217124412903,167.5257613707147,B,0
Brazil,Divorced,D,A,-78.17201194132956,A,A,20.00885108104089,164.19843188808164,D,0
Mexico,Divorced,A,B,-61.19282884647272,D,E,2.7070946884571656,135.1486786537027,B,0
Other,Divorced,C,E,-50.79485212628665,B,D,-31.1153393751416,90.82229075237893,E,0
US,Widowed,D,C,94.27590977049664,C,E,-83.79972370719209,-14.38235606099511,A,1
India,Widowed,B,A,-65.67364547631492,B,B,-99.12025910865265,94.79610905957165,A,0
Brazil,Divorced,A,E,93.51544662993572,E,E,-60.25602075094989,-128.86958355785973,C,0
US,Widowed,C,C,-191.96891136895832,D,C,9.803019988879603,31.654164764795116,A,1
China,Single,B,B,-94.64143117678668,A,A,47.45141403736815,-44.72492467233545,E,1
China,Married,C,D,-27.29921441502406,A,C,31.289078153250426,109.32166685125142,E,0
US,Widowed,E,E,-65.0224105789698,A,E,110.99674182270947,20.686330604187212,D,0
Brazil,Widowed,A,B,-77.08920635020291,D,A,62.10826824068801,66.11979820333448,C,0
Brazil,Married,E,D,-64.52718161513549,B,C,-192.83613882935487,-198.97445800917112,B,0
India,Married,D,D,4.734453886549643,E,A,51.784529730275885,-44.457174806322385,C,0
China,Married,A,C,-73.71908570848483,D,D,216.30068778215383,-44.34169129757038,C,0
Other,Single,A,C,-160.77443477848198,B,B,-12.288906605645627,-62.99906992021739,A,1
India,Single,E,B,-81.96154793576407,C,C,15.418804488284026,140.2941225241268,D,1
US,Single,E,B,-48.74318722588831,E,A,-128.29686499972655,-180.09575877825463,A,1
China,Widowed,B,D,-94.67060811118682,D,B,-25.15257796946641,7.279487905068022,E,1
Germany,Single,E,D,-17.451195788340577,A,B,-81.62048552105985,-130.03054457710297,E,1
India,Married,A,E,297.61102686116425,C,A,284.65096005296783,-83.02591160179061,E,0
US,Divorced,C,B,-117.9852958974814,D,B,68.31089693305236,-158.1989466884937,A,1
Mexico,Divorced,D,B,-18.147363245745872,B,E,3.2117552398290052,-128.71715529019522,C,1
Brazil,Single,E,C,-37.022930090754116,B,C,57.733980518684355,-111.53680980126637,A,0
UK,Widowed,D,A,-233.86365870460085,B,C,194.74951278589648,0.7897801990840857,D,1
Germany,Widowed,A,B,-135.08804336721573,B,A,23.688210346060977,158.89225994962385,A,1
UK,Single,B,C,60.020640767272816,A,C,-22.907499843937387,-3.8651924198861605,A,1
Germany,Widowed,C,C,-15.855668833080053,C,E,139.50774891747253,147.48840115574203,B,1
Germany,Single,D,D,63.90830808486423,E,D,-25.370968846924686,94.54951252963662,E,0
US,Divorced,B,C,-36.032424193869375,E,E,-142.207697125826,50.94002336015052,D,0
India,Married,B,D,176.07984785241464,D,D,50.136440208554944,-76.91140981282942,B,0
Mexico,Widowed,C,D,-47.590550978686814,C,C,-109.39384237830494,-101.30206254405319,E,0
China,Married,E,D,53.52044990862439,B,A,-89.43507610839882,3.4031403602256782,E,0
Germany,Widowed,C,B,136.05560986778852,D,A,-42.56195803086386,42.67656848388754,A,0
Mexico,Single,B,D,32.206994669948735,A,A,-95.86476650543833,5.326109650867077,D,0
China,Widowed,B,E,21.435959322213854,E,C,-22.11960332204164,103.86141043974617,B,1
Mexico,Divorced,C,B,43.41055428470783,B,D,-34.09656217775088,30.61135773135719,E,0
Mexico,Married,A,B,1.013692965096822,C,E,46.894042746925464,-7.5245352300553705,D,1
US,Divorced,A,C,66.29513429344122,A,B,-44.76305952412735,47.87727964479257,C,1
Brazil,Married,A,E,-61.393555336688486,C,B,144.89958386584365,-89.75080274902906,C,0
US,Divorced,D,C,-16.74194645195527,A,D,-43.45329654544338,59.37440607834073,A,0
China,Single,E,E,-30.79559830899971,B,A,-32.448544767612056,124.54562808049687,C,1
Brazil,Single,C,C,56.518719717441876,C,B,160.8568161668818,28.64939210863898,E,0
Other,Single,A,A,-20.118900436662926,C,A,225.8150433434505,5.005112623712442,B,0
Other,Single,A,E,170.06716109321565,E,A,-94.20332807940287,132.08908780369995,B,0
Mexico,Widowed,C,A,-140.16779075770452,D,B,44.375458549722865,-11.118808089469617,A,0
Brazil,Single,E,B,-83.6928148895439,C,D,122.80988961117258,-186.3596011851547,E,0
Mexico,Married,E,A,7.061541488033653,E,C,46.0574482383867,47.441849399900164,A,1
US,Divorced,B,A,73.23870419423342,B,B,20.776665787021077,-140.73346030202282,B,1
Brazil,Divorced,A,E,121.48310326280341,D,A,8.056022303643772,-18.024734791393133,B,0
Mexico,Divorced,E,E,52.61334617800178,B,C,22.38804355242858,59.416029873578346,B,1
India,Married,E,E,25.34265285350771,D,E,96.88541436911594,152.434656854143,B,0
China,Single,B,D,-52.62763587745327,D,E,-82.77932365783539,-15.682023728136532,D,0
UK,Widowed,C,E,-74.51115182701558,D,C,16.636062721515387,349.1675933195871,B,1
UK,Married,C,E,-93.07446532501137,C,E,165.3042616937666,-6.973598728068551,B,1
Germany,Single,B,D,104.40678329191368,C,C,-130.06458392077616,-10.079708939030253,D,0
India,Single,A,D,-31.803876553290124,E,B,9.206423521995031,-135.46866392723936,A,1
US,Married,E,D,26.22605060397123,D,A,-7.696733106329642,-114.64412096414141,D,1
Brazil,Widowed,A,A,10.724143743137354,C,B,-2.0712498004912168,-14.457520061477814,C,1
Other,Single,E,B,61.98114115746639,C,B,66.17918431205972,-21.14375077714073,E,0
Germany,Single,B,E,178.21921192041125,E,D,-7.0575208679570345,4.5992893197954405,E,1
US,Widowed,B,E,26.926289982835527,A,C,-147.5432655445146,34.049201336316855,A,0
US,Divorced,B,C,71.61124400262278,D,A,-52.5551068710916,-102.00939429668423,D,1
UK,Widowed,E,D,-60.57428504968478,A,B,81.84969530708379,-191.08271169388104,D,1
India,Married,B,D,58.48444760616297,C,A,-0.7088976213425081,-61.69855163568193,D,1
Mexico,Married,C,D,-111.61468732514095,D,C,-55.83719172544591,-114.60367809238119,D,0
Other,Divorced,E,E,-19.355727612051727,A,E,21.17766146976966,-118.69742757225123,E,1
UK,Single,D,C,-81.28593676612581,C,E,-67.45003101438238,-211.21676429848134,D,0
Germany,Single,E,B,-11.8873086435531,B,A,42.64694896042089,81.2087846626149,E,0
