AgeGroup,veteran,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
36-50,No,Bisexual,E,A,267.9381451388757,E,-13.402572624646588,-63.64541533450318,108.3440815816873,E,0
26-35,Yes,Homosexual,A,A,-71.04844315981602,E,271.54979524486515,13.053701181747252,-123.1742876737367,A,0
51-65,Non-Veteran,Other,A,D,45.61033928672366,A,2.0498992448342355,68.00085061786142,-14.2028064576247,C,0
18-25,Yes,Other,A,A,34.19259618101475,D,-10.508178324307405,-106.36795351349892,-134.98658243652739,D,1
26-35,Veteran,Other,A,A,99.47885792822815,B,-40.41704025841204,7.745558137517647,-41.41559611001129,D,0
18-25,No,Heterosexual,A,A,95.11462758759912,A,-62.824165764099504,-127.45248299545464,-114.02099876486974,A,1
26-35,Non-Veteran,Heterosexual,C,A,-48.812501234863795,A,-111.68582906462096,164.7617704748212,-116.59098479916483,A,0
51-65,Non-Veteran,Bisexual,B,B,-36.05741053839226,B,-1.5538707409679722,87.4556920666811,29.37801382841855,A,0
18-25,Yes,Other,B,A,-128.74082248039255,B,96.99677807522241,-165.67750885882404,-91.58985999453866,D,1
65+,Non-Veteran,Other,C,A,-162.14848242382652,B,-14.307953904068366,-132.94222988872647,-128.08535101101256,C,1
36-50,No,Bisexual,D,E,168.61377512356833,C,126.72333775241569,85.84669252603445,91.74716761155601,B,1
18-25,Non-Veteran,Bisexual,E,D,-63.01923266904312,C,50.64309713940517,179.31860483855877,-222.71117761372855,B,0
26-35,Yes,Heterosexual,E,E,21.288595053411026,B,-87.16969579679858,62.24668499666076,-61.94972766146702,B,0
26-35,Non-Veteran,Bisexual,E,D,-82.944659327162,B,-30.063421499096982,-86.34808072019703,-22.705600068774835,E,0
18-25,No,Heterosexual,A,A,-77.75746978215653,B,-48.602950597334925,2.7427291808380065,1.0856247085228183,D,0
65+,Yes,Other,B,B,-37.20156132361164,C,-16.825332139358135,-27.2839051408107,132.66398713523807,D,0
51-65,Veteran,Other,A,E,-60.62443267920781,E,34.153688846954765,-154.16055758491237,41.056722263912484,D,0
51-65,No,Other,E,A,64.83936612975427,A,-31.194624162599837,113.9435728581962,-117.14276289960435,A,0
26-35,Yes,Bisexual,A,A,-165.8019413886536,D,-29.282120130099702,316.3229639308189,-13.449052214215909,D,1
26-35,No,Bisexual,C,A,154.77501302057738,C,-121.57447231416603,-39.97964398084414,-11.939007868683904,D,1
36-50,Non-Veteran,Bisexual,A,B,-53.73652530240649,E,214.28444961283319,-6.034620852506123,46.73234521966917,D,0
51-65,Yes,Homosexual,E,A,42.909362815324656,C,-3.106624241231286,-57.838285734931446,100.22398188293712,B,0
36-50,Veteran,Other,B,E,193.77776175946482,E,22.64850235187928,124.80008298723479,21.026962004435983,A,0
36-50,Veteran,Other,D,B,-75.12584226694734,E,23.291819247521804,25.63464245000935,58.406460720127825,C,1
36-50,No,Bisexual,E,C,18.872241851390612,E,-132.9450166474406,118.9533242915661,46.527999017828684,B,1
36-50,No,Bisexual,D,C,30.34851260373092,D,88.99419098805008,-41.25937782512659,21.58046082769736,C,1
36-50,Veteran,Heterosexual,D,A,91.22142906270176,C,18.144908687939548,77.86409779818952,43.54544401299651,D,0
26-35,Non-Veteran,Heterosexual,E,E,109.23260308865565,E,-218.9998162794514,10.0433887317792,-60.841473412748094,D,1
51-65,Non-Veteran,Bisexual,A,C,-34.335342556570055,B,-173.53251561775053,32.65177314560889,-111.25733311439421,C,0
65+,Yes,Homosexual,B,C,90.19789112108703,E,-10.970518019591228,-5.520712425161565,23.699761301343774,A,0
26-35,Veteran,Other,D,E,-5.55429053524431,D,124.17899099676546,-126.41197912024144,11.127239672020965,B,1
18-25,Yes,Homosexual,B,A,77.00644408112373,A,133.63866012120675,83.25710876348971,81.94689719563313,B,1
65+,Yes,Homosexual,A,B,-37.96046521974807,B,59.76697741532847,-20.159284115051737,28.365210252305236,C,0
26-35,No,Bisexual,A,A,-111.32377030019668,E,-99.3834422316843,-96.74060779691472,-25.983306046756283,C,0
65+,No,Homosexual,C,D,50.37220165809336,D,-115.76151139498639,40.47247537360267,51.60203422391439,E,1
65+,Veteran,Homosexual,C,E,-73.94399982665753,A,122.45651298754984,-39.64309619753577,48.95671073175798,E,0
65+,Veteran,Homosexual,B,E,-51.11451971588523,E,40.79566028254006,-6.972445409490717,-66.37249495380955,D,0
51-65,No,Heterosexual,D,A,113.05715115845831,A,90.92250099196298,182.06991271363074,74.8127107584429,A,0
26-35,Veteran,Heterosexual,A,A,144.01095035250876,D,159.74582558291561,-18.228907582174795,-9.108546430767623,D,1
18-25,Non-Veteran,Bisexual,C,B,-0.39072076350119417,B,-43.84223521052103,131.15258750449124,120.25330333119535,A,1
65+,No,Homosexual,D,A,-116.85977278440767,A,-37.81008138629377,-133.23778645464003,166.6226820666158,A,0
