religious_affiliation,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Buddhist,Married,46.07422768157976,D,E,61.41035034213287,37.64928412866212,22.22288895147214,E,156.99917695730633,-49.28019008232251,D,C,-181.7841351627688,-4.171649190388356,D,C,0
Other,Married,-102.29070688323468,A,C,-54.81057032061187,-154.14545718311297,-3.189821804818551,B,-78.11484138549977,61.90464032652099,A,C,-217.57804836582704,155.14459378163298,E,D,1
None,Divorced,147.00237707789913,B,D,-18.837266012685856,18.940960244617784,-31.849486320584948,E,76.95722126845659,-0.22873122711798483,B,B,43.93089825146742,35.30223640492749,B,B,1
Jewish,Divorced,-69.3243203585145,B,E,30.27523246708801,17.088013852534672,29.459148914728534,D,7.541646325556569,-7.10369317085924,D,A,89.60184531124737,-128.16774452419253,C,B,1
Jewish,Married,68.68683460946838,D,D,-38.39228257755863,-7.011916090372397,162.55650166485432,B,32.81065174120696,15.605051470002632,E,B,-60.74662640082374,101.85068159487507,B,C,1
Buddhist,Married,89.41676946562944,E,E,85.70800059142387,10.506374611774374,-49.69294681427992,E,-74.7005150728053,4.852118307272259,E,D,67.62158153882136,155.56200546940684,B,D,1
Muslim,Widowed,-109.17302659579519,A,D,-98.79393338828989,-45.11253161618265,-20.40115354820926,C,-151.91638474503935,-95.03497312078554,B,E,-38.85565251431735,-47.4464772316744,E,B,0
Muslim,Divorced,129.6517745403233,D,E,55.76025157702142,-3.959020251033075,161.22420015788467,A,-17.280012728220917,-53.10349601198522,D,B,169.64177025240573,147.85068778422516,D,C,1
Jewish,Married,-11.327062111298162,B,D,33.534847587940064,62.06802611702459,16.64968057899186,D,33.32680207039658,-45.306316732051855,B,C,-101.93919060592778,-288.58564003676844,B,C,0
None,Married,-49.399442054381346,D,B,-95.46278838163913,123.42843102129667,15.889734501040865,A,31.062232951067887,-117.23332631710939,B,B,-158.11819047540462,26.16756388752217,B,D,1
Jewish,Married,122.05618076696412,D,E,112.05897287704107,12.534109507234032,234.6021462476025,A,-7.430819222077877,-175.74207567228973,B,A,22.24373196632451,-17.35355764738921,B,D,1
Other,Divorced,-81.35253927875826,D,A,-105.21046411768795,-16.881982775297963,199.62643254917768,B,-25.34205354928472,-107.93574926192207,C,C,-87.98557567900174,-3.107733603622451,D,B,0
Jewish,Divorced,62.702831040277104,D,E,-50.51447276466619,-51.75846891351329,219.9267295844671,E,-3.151900998742261,79.72789653456283,C,A,-160.50199054355022,40.987979688724984,E,D,0
None,Married,-37.26265050823089,C,E,-24.12259034111977,31.198646981059785,54.70945105797826,C,4.504928027715451,53.66240793617033,A,D,95.6277746316384,5.384759587879618,E,A,0
Hindu,Married,-58.178159636925805,E,B,-20.715795209694424,-9.051784495303556,-188.37767656762182,A,-93.02433805090251,6.405427162520502,E,C,114.9301249027407,-122.78053339968685,B,E,0
Buddhist,Widowed,-53.88189705613894,B,B,94.11514085012278,-6.182192212871771,-121.49341262129904,A,-170.88928557636473,-74.89463787706978,A,D,10.659885177620094,1.5658450387148586,A,A,0
Muslim,Single,-11.205396983889312,C,B,41.7835306494222,74.47898444141153,-93.36984824441595,E,-20.549730941381572,5.048004906282464,C,B,200.3029867661887,231.13744653641098,A,C,0
Other,Single,-160.29108497929474,E,E,-92.71492458415992,-106.46305273582992,28.54182545262694,E,-195.6894837177275,136.89126437771324,D,E,-68.56278017661717,-93.75737667838541,B,B,1
