age_range,country,Veteran,sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
26-35,Mexico,Non-Veteran,Other,228.2806885813125,D,C,64.06906047977104,-78.22159591317686,A,40.9587334720279,D,-51.60290980292862,E,A,A,-25.72643173173845,B,34.329892160165585,B,D,0
51-65,Other,Veteran,Heterosexual,-54.26988596421209,A,B,-71.51325184063111,165.44274475942947,B,35.098380231222656,C,-59.76584281207147,E,A,A,-129.71925366142995,E,-48.60833136267729,C,E,1
18-25,Germany,Yes,Other,-172.9522466476542,D,D,-5.974391176416303,13.883031198200923,D,-57.2578101036015,E,-101.74091909599845,B,D,E,-40.110867228696364,C,91.42805455114438,A,B,0
26-35,China,Veteran,Other,-83.55425196673733,D,B,236.82014203087144,-160.88451434802795,D,-31.075873847142383,C,-36.52794550063619,B,D,B,62.855503845709336,D,-5.870515320270394,D,E,0
65+,Other,Veteran,Bisexual,109.48268113813415,D,E,33.48095859535854,54.193992917968856,D,-71.06788377502087,A,-62.828605983509945,C,A,B,107.89316804068805,E,8.017589332715668,D,C,0
18-25,India,Veteran,Homosexual,42.263952827189605,E,C,-25.453077437390213,-45.09888958545367,B,-5.570601203415183,E,263.0720561568693,A,D,C,-103.5258175107882,A,-115.83289859880972,B,D,1
65+,China,Non-Veteran,Bisexual,5.167995881252916,C,A,-46.2430508977203,90.94392440751018,B,11.824105005384347,D,-23.644251586380175,B,A,A,-34.929132154190626,D,-22.229371814770026,E,D,1
65+,UK,Veteran,Heterosexual,-35.61761757266062,A,A,91.80227428956823,128.91941964745638,D,-105.35563866700977,D,-182.39938103211094,A,B,A,-161.4498712422507,E,3.395778001613075,D,E,0
26-35,Brazil,Non-Veteran,Bisexual,-149.88054729736163,B,D,-43.39728116476576,108.58759641068731,B,-102.53032781854878,B,159.87746727356262,B,A,A,-15.118178380247183,D,0.6319089230787606,B,A,0
65+,India,Yes,Heterosexual,-31.189142670370966,B,C,-62.40597742100002,-68.83939429974349,B,38.83762729016094,C,-22.7634345970504,B,A,C,-14.101889612586248,E,156.96756606123415,E,C,0
36-50,US,Non-Veteran,Bisexual,-26.20925738446592,D,B,30.792790380760838,-76.50846592189117,C,-37.61629191301525,C,84.04795010930661,C,A,A,33.974605166008246,C,96.01669014443527,A,B,0
36-50,UK,Veteran,Other,-179.53526892028464,A,A,111.0994714529012,212.8341363638974,A,-86.97494264659268,D,-11.358713787806431,C,E,E,-173.81511735122132,D,28.722337105133423,D,E,0
65+,US,Veteran,Bisexual,126.07028720814783,A,E,9.828742490015694,106.81433356649464,E,-125.1465420366192,E,42.09214512682022,D,D,B,48.828339291979745,D,-78.83631382737562,C,E,1
18-25,India,No,Other,-0.3853291534694801,A,B,20.848457796478883,22.904103012775117,A,-95.82545003398097,A,16.658518851234618,E,E,E,-102.85365225794847,B,192.20999865978345,C,C,0
18-25,US,Veteran,Homosexual,-125.9703035922586,B,A,-26.54228460438525,-82.82777075420663,E,61.3245854270843,E,147.38476197558842,D,B,E,59.18571553961072,B,-150.05241023431844,D,D,1
36-50,US,Non-Veteran,Homosexual,-39.907706241129645,E,D,92.98908413732887,-61.193443322253394,B,-117.92276072927899,C,-58.54475835063961,C,D,D,-117.27150208321164,B,-123.24804960493958,A,B,1
36-50,UK,No,Bisexual,2.7616724854528885,A,E,202.9227877275895,-52.68954556596561,B,54.604561344286694,C,20.210343935011633,C,C,A,-101.67163039809762,D,32.893039470597984,C,E,1
26-35,Germany,Veteran,Bisexual,14.258085337256421,D,C,-230.84925372267068,-119.43066024183138,E,62.45979543833283,B,50.61055010151535,D,E,E,117.6752874794454,B,98.83154151184752,E,D,1
36-50,US,Veteran,Bisexual,63.09290135345046,E,A,43.24768091406641,-8.427988942668579,B,122.05618131384225,D,-74.22342808899131,E,E,A,94.62406437792932,A,-26.634376358493572,E,B,1
18-25,Brazil,No,Other,-89.91826800285207,A,A,-60.83950102545449,-127.12076591793291,A,-30.992309837777725,E,38.45199542759138,C,B,C,62.74109022157357,E,-111.88334599268958,E,A,0
36-50,China,Yes,Other,49.39129909929377,A,D,-22.718032656333346,-13.09387428466427,D,-85.83598642125916,B,-151.46201626116365,D,B,C,175.70613336638593,C,7.650610990971331,A,B,1
36-50,India,No,Heterosexual,128.7352563275349,E,E,28.355229276029164,-102.23152556057946,B,87.57614659926307,B,186.78749961039534,D,B,A,74.25506927779091,C,32.224052047275926,C,B,1
18-25,Germany,Non-Veteran,Heterosexual,-22.189357985353364,E,B,-4.531899819096543,-42.50262460008924,E,-39.385909977156125,B,-96.86549656204298,C,C,E,9.72941056929578,D,29.214366750369646,E,E,1
26-35,Germany,Yes,Other,-45.59054954475619,C,C,108.24963795855487,-95.92143670552214,D,-148.07889692382972,D,-195.3409736289857,C,A,B,-25.82917425129868,D,82.64726707829911,B,A,1
51-65,UK,Veteran,Other,8.296387952268221,B,A,-56.175107896217966,14.948614148600257,C,-33.847446951364866,A,-32.94651480038592,A,D,B,112.43244173764029,D,176.3404564400313,D,E,1
18-25,Germany,No,Homosexual,-9.916848874973173,B,C,-63.43817941726769,-118.80718598887587,E,66.1205141628533,D,-34.5157626823625,D,B,E,-38.70975877551404,C,77.06835715156299,B,D,0
51-65,China,No,Homosexual,95.495167069271,A,C,-214.30837715305162,-139.44052701386167,D,58.23125302923112,E,-72.68420508176379,C,E,C,55.290814229582395,B,-32.526693394444884,C,B,1
51-65,Brazil,Veteran,Other,-27.79215149649456,A,C,-103.3607690236286,203.34803195850992,C,82.47742229704575,E,-197.2867719506106,C,A,C,-55.403188368799526,E,25.89153604563384,A,A,0
26-35,Other,No,Heterosexual,-44.19829545715839,B,E,-121.96895073966434,123.31792340066521,D,152.08073596326298,C,-113.93631477212142,C,A,A,-71.38770659486515,E,83.50628533555397,D,B,1
26-35,UK,Non-Veteran,Bisexual,-139.29545497288177,E,C,-78.19706400601011,-106.53336907740703,D,-56.62777362400152,C,-73.10059096446318,D,B,E,-113.35663867197276,E,-44.533359866422764,B,E,0
36-50,Germany,No,Heterosexual,33.14745291327707,C,B,-27.691366170465848,-28.64876825315258,A,76.17655547556801,C,24.28348415177573,B,D,E,7.0435690811849625,C,-11.738852677663447,D,E,0
65+,Germany,No,Other,36.98115158772196,D,E,10.172942430114649,-34.12542134825658,A,120.0304310490008,C,-8.005994656255359,E,E,D,111.84484820826566,E,131.45233880307362,C,A,0
36-50,Germany,No,Other,-37.5288808611718,B,A,13.737927455861826,5.133805296219424,A,108.57424557510905,A,173.85031235265097,D,E,D,24.693271462032598,E,62.96525890832633,E,B,0
36-50,UK,Yes,Homosexual,-120.60653230371925,D,B,-104.92457377775695,-142.14140657300206,E,-42.49107778712056,D,-42.25632456724256,C,E,D,-117.3203036276774,B,117.38789789839532,A,C,1
36-50,Mexico,No,Homosexual,107.30076822777121,D,D,139.65551464352566,41.050429565708384,A,-0.6712017269383497,E,96.2066604364683,B,B,D,-213.17712524933762,B,-4.0165637638878495,C,D,0
51-65,Germany,No,Heterosexual,296.970963614842,B,E,-11.194321860238912,-152.3981300779397,C,-139.7275274269332,B,0.3199106537350314,A,E,D,13.701050219196837,E,62.33430729809521,B,C,0
65+,UK,Veteran,Bisexual,-10.573563241690271,E,C,-126.31094107327266,21.549991644384384,B,-25.71716472460357,E,-52.27530635933125,D,C,E,-104.29741776563841,E,-80.55743315205908,A,D,0
