disabled,age,religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Mental,42,Other,-8.78532818136336,-37.85781017830449,E,D,134.00316095090156,37.63347337088918,C,D,B,A,0
Yes,92,Hindu,-125.78307128109736,-105.3342109528693,D,C,-45.13662551153573,-124.72291493834982,A,A,E,A,0
None,20,Jewish,27.972224747579638,19.60018768439405,D,B,77.82970889924499,-30.381439564526612,C,B,C,A,1
No,70,Jewish,53.91022305526203,-86.24211287593579,A,D,-15.585186983387397,44.114307990118775,B,A,D,B,1
Both,48,Other,89.40673587100339,29.714390816157827,E,D,4.308523043499073,-38.37263230616813,E,A,C,A,0
Yes,54,Other,231.99704413752252,74.10713090869636,B,C,-6.721794615172351,92.14227999301804,B,A,E,A,1
Yes,54,None,-91.90049734058834,76.01288873325443,C,E,89.2682370723131,17.433419024898196,C,A,D,B,1
No,49,Muslim,131.72773959239484,56.688643081821574,B,B,-58.303990175002816,182.03305915461695,D,E,C,E,1
None,19,Hindu,54.959684968372905,-71.82317530683136,C,D,-159.79259363574099,32.21111089565657,D,D,E,C,0
Both,76,Other,-14.338063081040039,18.220295377735766,E,A,-72.54884216926804,-59.33913386068683,E,C,A,C,1
Both,95,None,163.0511804748147,-129.64233748469783,E,E,-4.288461782999853,59.314982224356946,B,C,B,D,1
No,69,None,160.69345560210232,34.171028762802514,D,D,152.2281665368373,-12.655238776743516,A,A,E,E,1
Yes,35,None,89.18266730207972,-56.193588719482875,C,D,183.83105636293226,1.3329942212927426,B,D,A,D,1
Both,59,Other,101.41174307485616,-122.07853999952722,E,D,127.2027339399816,-124.06291415284427,C,D,D,A,1
Physical,40,Jewish,-100.78178034810152,-65.08308884612127,C,B,-28.945905770125485,18.897099176749204,C,D,E,D,1
No,18,Jewish,101.34890031910156,24.181071703420095,B,A,36.08687458773854,-50.42458071287109,D,D,C,E,0
Physical,20,Christian,84.40692496801489,40.43966938144341,D,A,-2.483042427845614,23.711923950559218,D,E,D,B,1
None,86,Buddhist,70.23236238999189,-40.93829958771927,B,D,-23.79224294491263,2.4580965578286316,C,A,A,C,1
