age_group,AGE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
36-50,50,-17.937465277857452,37.07770821725095,C,B,D,97.65190448328576,A,90.22453745874795,E,E,98.51789533431398,B,1
18-25,49,13.096651849938631,-34.51119231301804,D,E,C,-88.37910387537313,E,8.961245306530753,B,D,61.87183724474606,E,1
18-25,71,78.65240692240846,101.49323307184011,C,D,A,108.65417012070341,C,-75.89558577939425,B,D,-21.509690671412056,E,1
26-35,45,23.72897034541404,57.536294730983904,E,B,B,70.57030855622703,A,-0.5583491998747494,C,A,-93.33070124387523,D,1
51-65,23,-81.52656609302619,-12.225493266193336,A,E,E,-41.302722057346614,E,85.89147531007534,C,E,64.60850938023968,A,0
36-50,66,52.37499598682875,-37.17265894497596,D,D,B,62.325682749186214,C,-221.22370413743684,C,C,-99.83072443161679,B,0
26-35,76,210.9679978341919,16.040794030680004,C,E,B,321.7535104813746,D,-99.60257133661001,C,C,89.34854618587636,A,1
18-25,74,-1.223546720453852,174.71833336801393,D,D,A,-86.13696560813786,A,127.71220592131864,A,D,102.26297821658844,D,0
65+,45,82.82198967355183,-102.53894934223757,B,D,A,63.194031604250064,E,229.33369308444802,B,A,70.24529325138903,E,0
26-35,78,64.63105390345412,-32.9883050953132,D,D,C,-20.684779578044214,A,134.08494111689546,B,C,-214.16437568680263,C,0
26-35,31,50.72101144332285,46.16884182896144,A,D,A,274.6431241047158,D,-56.11944404624485,C,C,12.546081160064407,C,1
26-35,33,-113.49487226014605,128.12305835346496,E,D,B,75.47412452918756,D,-66.38293175532459,A,A,34.73126952297717,B,1
51-65,66,15.169204754149638,33.43971580383145,E,E,B,3.7310754974715663,B,83.55508666161677,D,D,121.99795412584177,C,1
36-50,86,-49.98369474618305,79.72806813647834,C,C,A,30.556273638207248,B,107.47319411273375,A,C,126.08771252256462,A,0
18-25,58,-35.10017926325169,-40.20327332074007,A,D,D,-35.30934218632183,B,27.1096937417627,E,B,-52.1714106629408,E,1
26-35,54,102.77468676841602,37.01054619516192,A,A,A,116.81631716988592,E,0.19630594762966347,A,E,59.77503388142215,A,1
51-65,30,277.1220815555668,180.89256218544463,E,A,B,-27.26114630300267,B,42.518442990755666,A,B,115.193598888167,D,1
18-25,20,-210.45784618707378,10.053259296279933,C,D,A,49.45843494340728,B,-112.64849487212287,D,E,-74.88520283848997,D,1
18-25,31,-3.3699002428229776,-6.318334609989858,B,B,D,-11.293564632653903,D,-46.94849415642543,E,A,268.9482805667824,A,0
65+,94,-96.33377094224875,30.204026202997685,E,A,C,-63.926974899819,C,-16.55987546555125,B,A,-65.09188310565796,B,1
51-65,72,187.79256532951447,-166.63311994558342,D,A,D,-48.76266544077112,E,-35.93591836630181,E,D,175.17853369497797,D,1
51-65,33,-41.3322368278635,43.860306191492434,B,E,B,49.307060753856156,D,115.80871138062405,C,D,-118.92140265968585,E,0
36-50,73,39.35513393767375,-35.13947047763235,C,B,B,62.758255288168606,A,45.22685442383672,E,B,71.96645711997527,A,1
26-35,45,113.34969828094263,101.55028779973145,A,A,A,-118.35274223167154,A,-86.79192520024269,B,A,-98.35069463710371,E,1
65+,40,-48.98270167358322,212.99086704927407,C,B,E,121.90436681859464,A,-26.786699035758005,B,E,154.35266120073734,C,0
65+,33,241.41759241693114,-250.73479247403574,A,C,D,-148.69627224244078,E,38.05419520610303,A,D,45.368217358590755,D,0
51-65,73,20.784440115537993,33.78518675300873,B,B,D,-6.156648561711149,D,43.978346429341734,C,E,-12.588226871217545,E,1
26-35,66,137.3216210448079,-49.97356975399242,A,E,A,-238.74918118864898,B,6.644617180494452,A,A,98.59546076197596,D,0
51-65,28,27.47333267942549,-169.00328045537253,B,B,B,-65.14795227411054,A,12.622343220862811,D,C,-73.30286091298926,B,0
36-50,43,-161.73275372314566,97.706353528386,B,D,A,-15.420853872885232,D,-63.62879443606445,E,B,-8.248008187095632,B,1
18-25,73,-36.744263269474466,-45.417352428067865,B,C,C,-5.493851712553969,E,-2.972726643284665,C,E,-102.42912925991521,B,1
18-25,97,44.939250999066005,-97.41065511948457,B,A,D,18.900530991263256,B,-38.50047269217504,D,A,59.21232654421848,E,0
26-35,41,106.1367109222352,-69.36569598252326,E,A,D,-186.1822021740397,A,-60.474862624892154,B,D,-88.20584572082528,E,1
36-50,57,-8.687367487749151,-48.950396409568405,A,A,C,-197.7652061839934,B,104.82088348041891,E,C,94.59546352748086,A,1
18-25,96,43.755370458542316,-126.35747310782108,E,C,B,-158.3842578602406,E,33.59325356464712,C,B,-115.1849897286373,E,0
36-50,87,-109.90057343771555,-16.44998579019941,B,C,E,146.61356903277897,A,140.63016666072764,C,D,58.52433595429033,A,1
26-35,36,56.13901323527139,-61.29990599759738,A,C,C,-12.99106043306589,B,45.972858405790696,E,B,67.53433523847184,E,1
18-25,30,-35.730691622678314,-1.1293983521379487,D,A,A,252.34785083140926,B,-106.09450240488245,D,A,25.43508122823379,B,1
65+,88,-52.68632561302454,64.5302544899953,C,A,B,36.478489131717154,D,-77.5385238514839,C,A,31.69548141004968,D,0
18-25,24,71.91092300658916,-57.55593714444925,C,D,D,-72.94875112234503,D,-22.454482003096242,A,E,-2.8664480021937115,A,1
26-35,37,88.12624183522593,165.19864045520512,B,A,E,-27.513654690211304,A,-93.84616681716948,C,A,13.778417255717274,D,1
26-35,82,-49.5996282836176,6.910785574450244,D,A,C,-8.016208607162019,B,-43.145758685543676,D,C,-55.28861675430995,D,1
18-25,28,99.97019654680808,216.6199564645228,D,B,A,65.34052907277193,D,-37.830162618518735,A,A,10.203456403535792,E,0
65+,82,121.65534781269236,-19.244495609655726,E,C,A,-76.102704725975,C,53.993301195234466,E,B,-145.32708126956283,D,1
65+,25,10.373961972639089,-94.98230214549314,E,C,D,60.21643202136134,B,120.73328363048842,C,E,92.13740704037849,E,1
26-35,85,344.3100513421081,-87.03010152261797,B,E,E,118.94884254848736,A,-70.7170954061355,B,C,-52.411486338739635,B,0
65+,97,20.77937350039712,-38.335780424214036,A,B,A,-14.162486512664705,B,93.03641606201377,C,E,-160.42045984591414,A,1
26-35,85,113.17339982448169,10.952420968759236,E,B,C,-191.783329301223,B,131.1046791026746,C,B,-49.43975085314445,D,0
26-35,20,-79.62177363198657,-146.67474952317104,E,B,A,18.107927134028042,C,70.22858394691467,A,B,-43.079510277278416,B,0
18-25,46,52.16647800537518,-151.90768720011945,D,A,A,94.72031247242766,C,87.44736031238962,A,A,194.30728389193794,A,0
51-65,84,63.699254454034815,8.565392658425608,A,E,A,-117.8842420787012,E,-119.99532393587313,C,C,-70.48947187655433,A,0
18-25,63,14.100693183983843,53.885822114825245,B,B,C,88.72542234240053,B,92.72466124616633,D,D,14.2741676304456,B,0
51-65,91,70.62240075722279,-5.763364376211635,E,C,D,198.5462958533761,B,32.175078453737775,B,E,-167.1318821833733,B,0
65+,44,-51.910553207274134,-59.563233908902035,A,D,C,-3.223040591850426,C,10.730610358958085,C,E,82.37409831065689,D,1
26-35,50,-69.47214100391932,77.63231852793834,D,E,D,-174.30162750957814,B,-167.42338485240444,A,C,-95.00201509201626,A,0
51-65,94,41.84156098635442,-25.329043711367554,B,C,E,194.0436404494831,C,-71.39488063286012,A,A,149.29571513510854,A,1
18-25,42,-0.9446244017291732,-178.54305344282696,E,A,B,-202.3759747197495,A,-213.5725979690508,A,B,25.483912469652548,D,0
65+,75,-117.14610870103729,19.40452548365299,C,A,A,75.01814790701614,B,-107.90626543338067,D,B,-82.0787714847798,C,0
36-50,89,85.092607477779,8.808105883522433,D,C,E,-10.78589600015595,B,13.801711164193565,B,B,-32.70354505364385,E,1
36-50,27,-46.51110844826824,136.74835567780212,A,B,A,-9.556449778608457,E,-172.63020122535033,C,B,-31.78542933558178,A,0
65+,40,-128.49588149945768,66.1083597949413,A,A,D,-109.28870638200033,A,-69.90660340251124,C,D,139.31058766247477,C,0
65+,65,-53.83737369975326,-66.6166614742495,C,A,E,53.55526385399044,D,109.06233664790655,C,A,-4.002388465951394,D,0
65+,86,-54.47686384699592,161.75420727985392,A,C,A,-50.97428727161659,E,16.14286346484177,C,A,55.00616537681471,B,0
18-25,39,-320.83849397107343,-42.70289984583396,E,C,B,175.033433972776,A,-249.51097545208364,C,E,60.66736265528449,B,0
51-65,65,76.40758753682509,-64.26642517287623,E,A,E,107.99151180732073,C,-7.396915233828048,C,E,-19.173973040565773,E,0
