veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
No,-96.62640241998106,-139.22184284761482,-203.08456993933456,-75.2546345792689,D,B,E,A,-57.28642338707529,D,121.3454740301479,C,1
Non-Veteran,-27.018897605190382,-28.947857449577935,-49.35476841781309,126.51595164664067,A,C,E,A,-42.05845601450701,E,-17.551816073043895,E,0
No,-23.84122559107179,-92.3094018245172,12.375189850151838,131.42903466919512,A,B,E,C,16.90642901386564,A,18.196888201941018,A,1
Non-Veteran,-51.48801986206652,46.095454080101966,19.917995741832325,14.354339872508628,A,A,D,A,39.67964522307436,E,93.89337953143682,D,0
Non-Veteran,-4.1144905902122115,76.14620646940293,40.7251998756343,18.835280015054344,D,A,D,D,146.17497344071054,A,-28.884721509517462,E,1
No,-160.22370111002965,-44.29215529884114,146.60066717305483,13.60277684368516,D,A,C,E,44.68623245810818,B,-142.63980726781742,D,0
Non-Veteran,-7.707050623187168,-78.26571496384892,22.686114222527866,-185.66582654953464,D,B,E,C,-235.08036536639545,D,-44.88982939413996,E,0
No,-28.29546348879403,212.75887343775776,-49.30740159733802,-113.83721226035732,A,E,E,B,9.592192822952802,D,-102.90547817459978,D,1
Non-Veteran,136.6774979599033,-110.87109468450316,-159.9488927877075,143.9060965876027,C,E,A,E,-122.2584719149214,D,-181.70129504650075,B,1
Veteran,23.719473377996756,121.43793543359858,19.448188305889122,-6.155038817099401,B,A,A,B,88.11254567428492,C,-67.49819280523444,C,0
No,-16.773813341909797,-160.57934887020605,24.934875552549947,-34.96909824531953,B,B,D,B,31.66835420811823,A,55.0275799330178,E,0
Yes,55.65683644334653,-151.07534249490965,261.13460004326225,-33.40086698037562,E,A,A,D,106.17922918774458,B,-170.33659926815892,B,0
No,-96.27722469084773,-123.90369192084324,44.26243984790905,-90.2971066985814,D,E,B,B,124.36600509814018,D,1.9092219051769173,A,1
Veteran,-72.8737018709277,174.72396145571108,-133.54614280426318,-53.95143095709718,C,E,D,A,-59.40314111300927,C,-104.78126355723354,B,0
Yes,-242.97410039011945,125.50151095803098,-57.419860940999236,-129.9282225929921,E,B,D,A,-87.29449960710308,B,-70.85077023237027,A,0
Veteran,3.067327647133437,-45.785163598506614,171.72954931188477,-139.2788147500306,D,A,E,E,15.803497546437834,A,-69.63830142449193,B,1
No,-35.598034295891686,28.364138457526238,108.34766857317962,1.3287876732328072,E,C,D,B,-9.379941468267084,A,-32.76349674621662,C,1
Veteran,41.84352331817326,148.43574628305151,-103.22030307347477,-12.201693130528264,D,D,B,C,62.081887992137105,A,22.453926173917775,A,0
