Veteran,Disability,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Veteran,Mental,Divorced,-43.6370617387907,88.89246406653912,B,E,-232.31873435899394,93.44046303488666,148.79387650189088,-9.745833536196374,C,A,52.19610106039426,E,158.59972403226993,-151.89187594382597,E,-63.71998323778097,1
Non-Veteran,Yes,Single,185.845672847946,-159.02965574058663,C,D,-42.31921537126313,47.30104053815368,199.90363022945994,-153.1117110975679,E,A,42.81399585510162,C,-52.35054946155165,-155.16221088470263,E,2.8661121822786795,1
Non-Veteran,Physical,Widowed,77.65247697161264,160.65860265194448,A,E,159.74024129589256,-41.74072358947776,8.040429154651612,135.9594534057552,E,B,39.60245595411326,D,-3.0081564405595715,58.04874996564875,B,-31.48608528523134,0
Yes,Mental,Divorced,61.97416029586733,171.0969492124107,A,A,101.97942734026846,56.27279492636554,135.93436065882216,78.53998625411539,A,C,-142.39320010754062,A,-0.8063395363870667,-19.95760828449941,E,48.66479766868284,1
No,Mental,Single,93.00933816278697,-101.76514990989891,B,A,-45.60888611523362,-12.719071817088762,184.91314127941922,-32.48124109138485,C,E,183.19570205375558,E,-10.215879585082005,-0.16580935080657966,C,73.22917116402184,1
Veteran,Physical,Divorced,78.12158724424191,3.109070557050378,C,D,60.3889254508875,135.37708554025468,38.358821173553125,14.004128446767128,D,B,84.3271522911253,E,-29.510124541073353,-133.8131667718375,D,153.97630968516134,1
Non-Veteran,None,Single,-56.87224087041908,-47.660611807127125,D,E,105.60330856613065,-115.06422815091912,-71.95357772335146,-249.52579384873707,E,A,42.45767309594055,B,-33.7214159900566,-45.23776764966358,E,27.318568946470634,1
No,None,Married,9.071172740775811,113.42752128323588,C,E,244.17094878629285,25.517794524563538,69.5124424395916,-14.403305961269295,C,B,-153.27691475593835,A,-80.13031358543287,-125.09309216331931,B,-62.57569409463948,1
Veteran,Both,Widowed,19.838507534802343,60.38310722008671,E,B,-52.25516011239425,-101.04634812543726,-120.02239937187827,-33.30802884138176,E,E,-28.73601618229112,B,-32.85118632623771,178.41715059921273,B,42.741605768408725,0
Non-Veteran,Physical,Married,-78.91254176220626,-12.647662979470914,D,A,14.697190815652538,-77.05097384971945,-28.61006315839757,-64.11291547081666,A,C,59.15782537901554,D,189.011405247501,-90.43697456675434,E,-52.24736183053008,1
Yes,Physical,Single,30.50688444155379,-229.686368027008,B,D,-59.15045456553638,-5.297187744244923,29.586115395080775,-43.445591768740904,E,E,-60.0823998729045,C,-9.378242440731844,-161.93282720286774,A,23.96725839660872,0
Non-Veteran,None,Married,216.58124636385975,-103.2212094869756,D,D,14.614747686989569,58.42011908314013,67.97942938939092,79.43965711757052,A,C,3.4116137779339146,A,137.80897823949329,-6.072664569108216,A,-40.267265116417924,0
Veteran,No,Married,-23.086952810285105,73.30889700190089,A,D,8.888448337039765,88.96749631516168,138.07327374334727,-90.67191573435987,A,C,88.70256992999926,B,28.974944205300545,20.632721798483463,A,-42.65229499736642,1
Veteran,Mental,Single,22.836319230638985,-107.67973704454886,D,E,32.60597273855321,-58.459816881165835,35.968086883855754,-186.12072684132477,C,D,-82.129680738368,E,9.006590946408346,-58.85900464201763,C,-70.07488990168783,1
Non-Veteran,Yes,Married,46.35613125488096,-52.0387808222122,C,E,-142.2607373609746,-106.84253380866164,84.37332283933642,-55.2905826725688,C,A,-72.26240719192728,A,-9.973595128286679,45.815464191834046,B,-83.51248870933283,1
No,Both,Widowed,-320.6745640597388,37.70807826843263,B,C,27.111748766021105,91.89848354069022,-32.67023673474663,-95.46631772664414,B,C,154.58477978237607,E,-28.911144770259376,-82.35200465930576,D,34.29875292780045,0
Non-Veteran,Physical,Married,-91.15001194509121,-62.560946225571435,D,A,4.806984889330545,-26.938147859410012,-35.175341913981605,82.63406862756979,E,B,97.86885263658819,C,66.29582535912473,-81.8595017687051,E,193.5170072611666,0
Non-Veteran,Both,Divorced,123.41340816150112,59.05494444960722,E,E,13.039910626922675,-102.2718093413608,-14.05852917485828,-72.81990893965003,A,A,-59.54427646185739,B,18.34585500295033,84.53996608405218,D,298.12240500139495,0
Yes,None,Widowed,-73.24988902507525,-23.883403641162005,E,E,-191.9832876337498,-43.40391840875934,-68.17887292925344,61.854665928348105,C,A,-17.75710522795071,A,18.288037298904563,74.67691720919123,C,-18.885497741901684,1
Yes,Both,Widowed,-177.19058858052242,5.2564195879335,D,B,-16.839332213287857,-78.10042229275857,45.19821228004785,22.285502486718574,E,A,159.09838736479074,D,-2.7475577209074697,-87.10172833406934,A,-30.18554713150684,0
Veteran,No,Married,44.160024439566804,-12.187148214495679,A,E,-40.486272365192185,-178.08835518705,-31.346554571218565,-13.894277044614926,B,B,-74.48000396170777,D,-39.2140390029197,76.72189252464912,B,219.55019611314012,0
