faith,Disability,age_range,gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Jewish,Physical,26-35,Other,D,D,A,C,10.782989511842555,-126.33348510198772,71.6116991259341,-28.780503513694654,-183.4494479381179,B,-111.68655016669302,E,1
None,None,18-25,M,D,A,D,D,303.19803808801936,-21.582823681923546,47.601758201726675,-2.691417006307485,113.70714532383863,D,179.94065041818743,A,1
Buddhist,Mental,18-25,Female,C,C,D,B,-160.34335899261933,-91.67711615946176,12.288813224561803,-32.48243876145411,7.560572152840319,C,8.351515997812308,D,1
Muslim,Yes,26-35,Non-binary,D,E,E,D,-114.27096930020501,26.116622396109662,-125.26492671946812,-5.452970972209346,-72.14560697666461,B,-6.788249422876451,B,1
Christian,Physical,36-50,Other,B,B,C,B,38.661010280349004,136.8732802360829,99.60206663228523,-71.16954393890592,-40.234931661370545,D,-79.09521161343915,E,0
None,No,26-35,Other,E,B,C,B,109.85566962212991,73.78170583407405,-242.75741844331122,133.10789450044535,163.25027381728032,C,93.64538615119469,B,0
Christian,None,26-35,Male,B,E,A,D,132.7764106035443,84.80959209349585,11.344075473397428,102.25177588295847,-25.9982231224146,D,143.77624159531123,A,0
None,Both,26-35,Non-binary,C,C,D,D,-146.7730355592879,-11.381075232041344,178.91528169386945,203.72811050033383,-49.191881594037966,E,29.486787939050785,E,0
Christian,Both,18-25,Male,B,D,D,A,-54.96943102757298,111.9528418817365,-74.14107064703411,-9.74701921923448,208.30486503683622,B,-44.52994829123354,C,0
Muslim,No,51-65,Other,D,D,E,D,106.621853999589,102.91126873273146,76.0771630015106,130.2638518479374,128.50710224827716,E,61.37947401835769,E,0
Jewish,No,18-25,Male,E,A,D,D,-119.0415696237121,-207.4355008280187,20.428977297623952,-68.22890512209048,167.03923505048346,B,177.00873108588326,D,0
Buddhist,Physical,51-65,Non-binary,A,D,A,A,-45.612552253343466,-139.7155618410283,66.34508463740397,-127.74878677883648,-39.47393563499926,E,32.77697585407645,A,0
Buddhist,Mental,36-50,F,A,D,E,D,-75.19979227180245,-55.16655533793914,-15.495105322214522,-17.67876476676636,38.017043788801594,D,39.44121603396818,C,1
Hindu,None,36-50,Female,E,E,D,A,53.08991475812308,-230.22755619173313,50.791822161524536,-5.297087447303424,5.974869622045132,A,11.579118397987495,E,1
Christian,No,18-25,Other,D,E,A,A,-135.91395924762116,-40.07619654096876,-82.35745610364465,27.887001406203105,133.54815683752622,B,94.07482250007692,D,0
Other,Physical,26-35,Non-binary,E,B,B,D,-22.05184032721129,-68.99061136885507,0.5213112039969423,-64.05121137001419,94.9757912154872,D,-104.86231076284123,B,0
Christian,None,26-35,Male,C,B,B,C,-114.72098734601599,-18.82599606902076,39.80081549827312,41.0532803626551,58.71888321171773,C,76.81439467247289,C,1
Christian,Both,65+,Other,A,B,D,C,-2.4177272968847725,113.32103418624435,-43.12083369448815,30.645623374722852,228.69084790849078,D,21.890538549788,C,1
Buddhist,Mental,18-25,M,B,C,E,D,17.769429825231335,38.39308116438644,-67.46640102482921,23.745702437616366,-56.82543571343582,C,-150.4326570316027,B,1
Muslim,Yes,36-50,Non-binary,E,C,E,A,88.30150531820398,-93.50351360963623,56.83107106546584,116.49746232643562,21.766307820140483,B,-105.38037350318854,B,1
Christian,Mental,65+,Other,E,E,A,A,24.95105064536687,-59.17513124985493,20.143339207471143,15.491228628346542,15.92074163484648,C,-15.820218619807658,D,0
Muslim,None,65+,Female,B,A,A,E,162.12735043263098,-95.06381722011365,197.36353271845198,42.70020860225288,52.228332408674284,A,59.51728333485627,A,1
Christian,Mental,18-25,F,E,E,B,D,104.21270700783867,-85.64149749561415,-30.671689490856373,-278.4002184701423,-35.849003724518184,D,-163.12114311204843,E,1
Jewish,No,18-25,Non-binary,C,B,A,B,41.13567601695598,-44.233842729587266,65.8048532402148,105.75968052873199,167.54989578379954,D,-21.784364479052485,B,1
Buddhist,Yes,18-25,Male,E,E,A,B,104.68337708473719,-31.159332925824636,174.7817722502486,113.78766775016274,-58.402684585954624,D,260.3079088558223,B,1
Muslim,No,51-65,M,E,C,B,B,229.0946308776074,-53.54668692569726,26.626827024633528,-99.37548091506363,236.11420755726513,E,221.96291407112355,B,0
Buddhist,Yes,36-50,M,D,D,A,D,-170.18086283360833,-21.796043529534348,-28.515524583038037,-0.8478115042194064,12.354651355249574,A,60.48207022965546,C,0
Buddhist,Physical,26-35,Other,A,D,B,E,-88.57793658468321,-35.85497663338822,109.66932201119779,122.0818249164878,71.21113867676713,B,124.01913801764543,A,1
Christian,Both,65+,F,C,C,E,D,87.51186860350873,-81.58377157353225,47.447359945731336,-162.60105635160588,-77.1895035005571,E,-133.9843743962313,D,1
Jewish,Physical,36-50,Non-binary,C,C,B,B,102.90334214842566,-124.21077456017422,-124.38623615147404,-133.68301746088832,-82.60018452288794,A,-17.177213708553044,C,0
Other,None,65+,Other,A,A,E,D,-63.96267230259113,62.79587247529144,-117.63876357627628,65.06028395039804,-15.845884267013984,B,-20.451812787431468,D,0
Muslim,Physical,36-50,Other,D,D,A,D,70.07523652201093,-98.1240222212568,220.21430501739894,3.1576116141659933,33.843320452016265,B,-62.04208484892122,E,0
Other,Physical,18-25,M,B,E,C,D,108.54922354053475,196.80965587197778,-47.69059069460852,129.05148299274074,-94.42833810391743,D,-45.065461482239115,A,1
Jewish,No,36-50,F,B,D,A,B,167.8107163953379,160.1976444244968,-133.11419483975362,-3.360226971840694,-218.4367591587591,E,-94.11577779658164,E,1
None,Yes,18-25,Male,C,E,A,E,4.705236596937974,-35.8544255039013,-117.10146838820528,-182.76556856979332,10.602162075188811,B,42.40392248448525,C,0
Hindu,No,65+,Female,D,D,E,B,58.62683969229283,218.22870062402998,165.16799469777817,17.795569161589615,-63.031117878959805,D,111.31171000937896,D,0
Muslim,Both,36-50,Male,A,E,C,A,93.18946945958311,25.64342425930764,-221.53411285541208,-16.454436099627838,-34.97336756251014,E,149.7784632223942,D,0
Christian,Both,18-25,M,C,D,B,A,-23.833805180674755,34.90694117553715,153.69016810589906,-17.553232465189396,100.90302024000277,E,-125.92052282847806,A,1
None,None,36-50,Female,D,C,C,A,128.04506109148025,44.27424592462981,-27.641736313462022,116.51311504086573,83.9057233886887,A,-68.82755350941623,A,1
None,None,65+,Other,C,B,E,C,-84.58030010775154,113.82634639014539,-167.16522497488472,279.4606431746531,-163.3249077688604,C,-84.41329363121163,C,1
Other,Physical,36-50,Male,A,E,D,E,8.295145120621953,147.49732902585168,82.05297357608819,78.06749761209642,-94.05731441837335,E,174.65716100926363,C,0
Christian,None,26-35,Non-binary,B,D,A,A,-116.78173294893153,99.92945108018334,37.15576089107808,-45.05726265200679,30.21369727075043,D,8.216792340083359,B,0
Christian,Physical,26-35,Other,A,E,B,C,170.0490946442423,-93.00622080213681,-133.02259442070664,-116.71664878737332,-53.78064703290618,D,-102.34014486630758,B,1
Hindu,Both,18-25,F,D,E,A,D,-183.91814349908674,66.38020646820998,109.95154362810541,34.36066838195112,16.606562902556853,D,46.55623584972502,E,0
Buddhist,None,18-25,Non-binary,A,C,E,B,-99.44960321115335,147.86277919228127,-63.121268176682456,-0.2829312756789679,83.22403933973926,C,-33.87776481922685,D,0
Christian,Mental,36-50,Other,E,B,C,D,61.63036739328306,122.47497434265273,-40.78792115740987,109.22851208507223,-87.14791109327987,C,150.021542468979,E,0
Other,None,36-50,M,A,A,E,E,-59.13107762918951,-39.64860255075707,-2.622767517908925,100.42992022780273,45.71351319158346,D,-144.36011429070663,D,1
None,Mental,26-35,Other,A,B,A,E,166.79612373701127,-99.68611397708801,-144.28532872827955,-43.72501010541777,92.98029480780374,D,-13.95080866225474,D,0
Buddhist,No,26-35,Other,D,A,A,A,6.375979895734366,14.46139949841571,-58.16554424132222,-7.435266663028487,-78.8009784825738,A,-53.381168118414735,C,0
Jewish,None,36-50,F,B,D,D,D,-70.2715277628208,41.9012664732979,-54.38067768818248,-32.094726347414884,72.08404086042664,D,0.20665486876150094,D,1
None,Yes,65+,M,E,A,A,D,-14.857711788238806,3.50955137844055,43.142372209377385,-73.34060105623597,31.790987294450172,B,-115.30258731570042,D,0
Jewish,No,26-35,Female,D,E,D,A,77.41024688027697,-23.95003773826462,1.0668742522340486,67.8163709812805,-20.203009846697505,E,-168.0441619338497,C,0
Jewish,Both,65+,Other,A,A,C,B,-157.3324668796115,149.69068073747948,-95.37669876484362,262.92118177518023,-73.7345998382659,D,51.2366418110316,D,1
None,Yes,36-50,Female,E,B,C,D,39.284611652124134,-74.25207976087333,-94.97780731005768,-14.871830347684345,-227.36112397432993,A,62.208228117193585,D,1
Hindu,Physical,18-25,M,E,A,A,D,-176.54906709579734,6.651473593761098,151.89140610436326,-80.51382848525743,-114.65049462237644,D,176.98362646952557,E,1
None,Mental,36-50,M,C,B,C,A,32.25283352664727,112.66732199113687,-197.22079077056597,125.70409682530281,-55.68618055012777,E,-122.05555191937496,C,1
Jewish,Physical,18-25,Female,D,C,D,D,-118.11532236823872,16.46056295039887,26.607181574178295,-65.4437661395673,-62.665817923432456,C,-200.67890431484537,D,0
Other,Mental,36-50,Non-binary,E,E,B,A,-63.56172895684878,-19.692981955185797,-7.158669999827053,201.57260721226598,62.6978914845186,E,-106.39756075773714,A,1
Hindu,Mental,51-65,F,A,B,B,D,94.03794117017704,80.3471227590358,-59.34064013380812,1.7349873549973978,71.84749901658158,D,102.34431317259032,B,0
Jewish,Mental,26-35,Non-binary,B,A,A,A,204.76571004737133,-71.81642878606607,42.18681247291484,-77.30758448541427,96.75600894719784,A,192.94946530183762,D,1
Hindu,Yes,18-25,Non-binary,C,C,A,E,-13.315340922692743,-183.0096954922982,-3.6218937539968383,-48.11659852976611,146.90998151450282,D,-33.34903409079951,B,0
Christian,None,26-35,M,D,D,E,A,102.10667425232627,166.76856575390465,-36.21615905421343,-10.445868153682811,14.023949033632551,B,-117.04814241284267,B,1
None,No,51-65,F,E,A,D,C,-69.35553598930832,-26.65096636907533,63.738205923380775,137.55671843679215,41.14585098619912,A,56.7254251080317,A,1
Other,Mental,51-65,M,C,D,A,A,-32.6313409582424,6.303929831321807,39.22932512463805,61.11123251883638,60.31575089691338,D,113.97317757827838,D,1
Hindu,No,26-35,Male,B,E,D,A,80.60166986528414,100.46928396616197,8.83564195343874,-70.09662722382463,80.41059790231479,D,-159.04237737077332,D,0
Buddhist,Yes,65+,Non-binary,C,B,B,A,2.0624083928418164,-252.48653637123903,35.533943713110624,5.566703608187233,-155.81506053031265,A,171.61960838930233,E,1
None,Yes,65+,Other,A,B,E,D,116.09712925367465,9.89411825825642,16.92928449532636,-58.72978311516997,33.177235867979725,A,41.96304125927989,B,0
Jewish,Mental,51-65,Female,E,E,E,E,137.3665389467505,-56.716902427239745,-19.02898747999239,29.37550466900426,214.54149019017964,C,-26.465364721111946,B,1
Other,Both,65+,Other,C,E,C,B,157.98245993752604,-152.4724603804581,-7.59555031188466,-64.0018720177669,-28.245464842230156,D,71.22302635151205,B,0
