disability,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Both,Non-Veteran,D,B,-28.18141934722243,E,65.13968846820633,45.36377262868198,2.935387854976202,-38.39779350065581,A,A,-28.98983006430636,B,139.9957580309292,D,65.86473302738077,C,A,-58.94440839625812,C,1
Physical,Veteran,D,A,-240.05829007433047,C,46.22406767083241,-196.18171707602875,57.587093193798545,-67.26185146823732,E,A,142.79427967330358,B,-11.528116621128955,B,-122.43684929804442,A,E,141.95403302560692,C,1
Yes,No,D,B,104.73544469595998,C,196.47439037503216,18.81125488822749,52.628605952169885,-67.44032326063049,E,B,-132.98230326377444,C,-120.02765646187001,B,67.84512211095698,D,D,-86.64282427714063,B,1
No,No,C,E,5.557335388846182,B,135.93136497727946,54.779338272464926,-178.1359331708175,-5.684432713121258,D,D,55.27642983116732,E,-49.97623304639461,A,-74.64862242948111,E,B,-67.16026569163839,E,0
Both,Non-Veteran,D,C,51.89399817446859,D,-143.96432797330058,303.6249053576374,-62.703163539059034,79.16652842419735,A,B,32.207650302408055,E,-126.0772922331198,B,169.0989257039664,C,B,170.4138864011764,B,1
Physical,Veteran,A,C,9.120943526658724,D,-14.654782981779649,44.3668822748805,5.014833954972997,-35.59431830643583,D,D,-158.31375154902852,B,76.48159456422304,E,137.8651590828536,C,C,-66.37229168903856,B,1
Yes,Non-Veteran,C,E,91.60562528297679,B,-124.37556572288688,39.919903684017946,-94.13821187535841,42.393544312771624,B,A,-116.62146649539729,E,-33.39263379326221,C,-126.61195891637236,E,C,-13.798784745363504,B,0
Physical,Yes,D,D,39.26110005882974,B,54.14520770609107,-57.37326499687414,57.82596595535955,-147.6375511122137,C,D,-19.24848482099928,D,-36.74734807385681,C,98.9206406080417,E,A,-26.413245718478745,A,0
Mental,Non-Veteran,B,C,91.02449248130416,B,161.9529105355919,43.47408056608409,-120.99134609276932,-64.34347979625853,D,B,74.10005170519436,B,49.77802904851382,B,193.4317656026956,D,D,12.119178259562517,B,0
None,No,E,D,-12.545358275988416,E,23.937665162899876,309.7799623430393,-78.70400378515629,-100.23929379065109,C,B,-89.60223279135673,D,26.82153234744597,C,59.39047520622673,E,B,-59.00115670424076,E,1
Yes,Yes,D,C,-42.68483687873139,B,-143.06511526951712,15.54728952209303,-35.98453700951041,105.6577766703859,C,B,-3.006185508108914,C,112.77466277324642,E,-150.57210602802996,C,E,108.56206472118299,C,0
Yes,Veteran,A,A,-25.241493910945152,E,93.7947477400935,26.219213075365055,65.46369654826303,-32.263039651214086,B,B,-16.953146678648142,A,158.80762531026556,E,-21.42087614318507,E,A,116.1995843830771,A,1
No,Yes,A,A,-35.00046966621995,D,55.568403145913756,-14.220050817501459,7.238880648518579,19.65037596616828,E,C,-73.74320589127865,E,29.91389666224542,C,28.818868823326007,C,A,-40.17366953166551,E,0
No,No,E,A,-44.03276326121194,C,68.03697314077127,58.63881585662413,85.86245246943942,36.328578971467536,A,C,24.58394375165917,E,15.684134792054039,B,-255.1631586880506,C,D,-82.18134356444703,E,0
No,Yes,E,E,-67.14563164396267,A,-9.65449393505325,-114.27157093214493,193.03830658954593,-92.0036244969918,D,E,27.818497834923683,D,-97.32010558438141,C,98.78388703055234,D,C,-59.224472898954076,E,1
No,Non-Veteran,A,C,35.82603358073915,A,-21.575477815746407,78.39379749285834,-94.30086684138095,-12.035253964129744,E,C,-246.74490946089156,A,-48.01043036037589,E,-135.54968412816956,C,E,-77.19009114825353,C,0
None,No,D,C,98.69144084050426,B,0.05052271718412442,-88.55888165168815,97.8327165012231,-12.056858421752716,E,B,61.217732658134075,C,-40.87756251360946,E,5.062331604887661,C,A,-36.85711769975979,C,1
Yes,Non-Veteran,B,E,6.705815956077641,C,140.58217518894048,3.9910806666729512,-19.675626264357565,-118.60419491331487,A,E,-178.37013093289033,B,14.272098639659573,C,100.96040849273946,C,E,-41.47425575211462,E,1
None,Veteran,D,C,266.7601723861502,A,-57.197215203789774,-3.15683265909949,-48.7717807071933,-44.45658582654142,C,A,50.51728656679014,C,-64.63000842656979,D,-40.17529901236445,A,C,-80.64933851575418,D,1
Yes,No,B,E,58.34366263271982,B,155.54538268199173,38.90022840479676,-41.30988477528979,59.84077762482393,C,C,-232.34717510169088,A,-274.1271883796743,C,-51.78018906329807,A,D,102.3001344520009,C,0
Yes,Veteran,D,C,-72.9211054710993,B,30.408606389714894,-72.96567861550733,-140.88090528987064,-69.0738729244966,B,D,210.89975697106814,E,8.478301835047668,A,-240.53080672694014,E,D,-18.96079624253954,C,0
Yes,No,E,B,158.26508174820003,E,151.79715977450053,52.788416751139486,-97.95046811702302,75.27506177094938,C,D,-107.84115688962355,E,-34.64173262619959,E,250.3699165403918,B,C,133.5608235649168,A,0
Yes,Yes,E,D,65.62233852962662,E,-114.67243605779078,41.88121185254507,-34.91275907469794,-31.156649038371455,C,A,74.99457800641149,E,-114.57548064405812,A,-74.48129236995399,C,C,66.43925307222341,B,0
None,Non-Veteran,B,A,148.13885744176417,B,-18.12266103798197,-3.9533694490208564,-47.76627039587287,-40.42184107970929,E,C,-239.82886359494722,A,47.28539512168517,B,-108.0734396572898,E,B,-82.4186537950288,D,0
Yes,Non-Veteran,C,E,4.2358352726077095,D,133.84389835513878,-99.34176049722886,98.98277025048921,-100.45295259946934,A,D,-74.45736392373877,C,-49.11406606032839,C,-20.96631008014095,E,D,64.32590331424338,E,1
Both,No,A,B,-77.20859617153674,A,-64.38058842133941,291.74123083719104,-19.902187946990992,-30.12925036057942,C,A,-65.65233228804811,E,-15.218842189185372,A,53.038936064057495,E,C,-88.57209547707824,C,1
No,Yes,A,C,90.02273657825953,D,33.256825963248325,72.5307915131027,-78.87010940367284,204.4564359849974,B,D,125.95641681818562,B,32.92668757150362,A,8.29520672964162,A,E,-43.86348523371975,C,0
Yes,Yes,B,E,-67.99344628288313,C,6.077787498934811,175.56553769835432,-12.24873133380898,11.958675123874734,E,D,32.971105927968715,A,53.2647513303066,E,-85.21748810226771,D,B,71.64073893986999,D,0
No,Yes,B,E,-79.04614447410273,C,156.78122896996004,-50.42031130013126,-53.60191394899736,-84.25630035164622,E,C,36.49716977377815,B,17.97656282088754,A,-30.2740633778713,C,C,-59.15366526904401,B,0
Physical,Yes,D,C,27.31786626783294,B,36.48681616989429,62.514467507826446,6.281274844267975,102.5754679194118,A,D,23.218415058843448,B,-152.57007374734744,D,67.29309002748948,A,A,-34.8324703856656,B,0
Yes,Non-Veteran,A,C,-98.8246955906641,B,61.54788729209309,7.957289087630401,-194.0397355640109,83.31111385237912,C,D,-93.82620343592917,D,55.88453393129339,B,-88.96379263151391,C,C,41.04025907528013,C,1
Yes,Veteran,A,D,-26.828650494945432,C,87.91721996405516,68.0061334576575,-231.06579652386387,29.37931991364972,D,C,156.63579412375108,D,-20.291483583634022,D,-47.876086701498295,C,A,37.096224589145706,C,0
Mental,Yes,C,B,-163.20492968002384,D,-135.58296458608072,-50.66013857648927,52.455163204589006,-82.79937531507194,E,E,-31.629366472767025,D,-10.707483216198696,A,-58.62915616379615,A,A,-162.54359685993506,E,1
Mental,Veteran,A,C,-44.29506562873723,C,-146.07551512903714,-33.97024166884475,135.26471876819332,25.958763945078474,D,E,118.43472951128311,D,27.986412798153324,A,45.97136581257978,B,C,-1.5326301845722157,C,0
None,Yes,A,A,-80.5875223475625,E,-42.29405433923416,-27.89050417311921,42.78666013396511,-45.81848726583244,D,D,48.57970067892612,D,-134.74177654008085,C,45.45957648448523,E,D,-77.5779507448062,D,0
No,No,D,E,11.208002723994372,B,82.06620770690795,84.28838853393127,-39.754095475441886,4.625865294822779,D,A,16.399612882048697,E,-126.1409774518696,C,61.42834381386504,C,D,43.60737949430724,A,0
Yes,Non-Veteran,B,E,-11.596668030534175,B,214.62213137552465,-52.65371859712937,-18.835969984219563,-0.24466174349891448,C,E,-23.372947648399293,C,135.85295231089037,C,58.474683234476224,D,D,67.31564319295471,A,1
No,No,E,E,-73.25898629618702,A,131.76790494747814,-22.270258127152616,22.27244017379436,-49.23191871819117,E,D,-55.909105789166205,E,-54.24650569932541,A,-170.07578621252975,D,B,178.5762793596499,D,1
Physical,Non-Veteran,C,D,-13.385088878280413,D,32.866506824390754,-154.68973993865703,77.9279130992348,-174.4975599571032,E,C,227.91109962440487,B,6.60319905368053,A,-115.39763136120071,E,A,-58.733519925477665,C,1
Yes,Veteran,A,A,-30.39544077800627,E,-14.684539412730288,31.02163749785685,-113.73846456798698,65.14562537110217,A,C,56.61640072934739,B,-99.77318835031309,C,293.4089826061695,A,C,241.65575445225252,C,1
None,Yes,B,C,69.37204660381808,B,-34.057193191323286,164.11216424904075,56.67268231065834,8.125304319739602,D,E,-49.869098634507,E,-147.67640010366458,B,-176.0189444964046,D,B,32.03747097676433,E,1
Yes,Non-Veteran,A,E,-73.83907980863994,A,-47.37690213412478,-166.5178781562094,33.30826488415531,34.41162521744071,D,E,130.87751991943978,D,112.02027047671383,B,213.75447358772828,C,B,-124.57822887966668,E,0
None,Yes,B,E,14.824515515997033,B,59.38851869091242,0.7509094070104932,11.403383491349937,-99.2986017297145,C,B,39.969690680411155,D,68.60061803132606,E,-44.84560138470177,A,D,-44.48479023153883,C,1
Physical,Veteran,C,E,-76.61143312419534,B,104.34257183264315,46.77855497215161,56.15701523255192,47.62973740124314,D,A,32.81676221519134,D,-110.85678760401514,A,-29.50386674965281,D,E,-7.851073619829041,C,1
Both,Non-Veteran,B,A,39.97311190248507,A,27.849688771139576,-47.94945437793381,154.07274411321427,-103.05342258192769,D,A,-75.77834806029401,A,-33.19159117584992,A,45.40238553485941,E,D,96.67006228702361,C,0
No,No,A,B,8.803271192486708,A,-121.11402612886486,-115.7316944394614,235.7145028481374,41.06835591163838,E,B,-86.86923708284752,B,33.34143072247453,E,1.7473281112377268,D,A,-32.43119082554139,D,1
None,Veteran,C,C,99.27108241192039,C,110.12619034427826,-7.643138684853132,-44.86227358537426,42.537324192386855,E,E,-150.64449697313674,E,-47.88312979884527,D,119.46890088688843,B,A,-192.14982926451233,B,1
Physical,Non-Veteran,C,D,62.52454036315734,D,46.953880564905795,160.5549656357386,-77.18007198651566,-0.23208998959670024,D,A,-4.313312176111666,D,104.4312274923126,B,152.11499705233004,C,C,12.540548550024845,D,1
No,Veteran,B,E,-183.50365953522447,C,-2.7137645318436387,-85.7876361944678,-113.48882995932736,-174.93007123846118,E,B,23.25266000698915,A,-13.178512203378972,D,61.95251449861904,A,B,-5.5033277838318035,B,1
No,No,B,A,152.06117593759072,B,-23.077103298955652,23.641617736013153,102.5463471898934,7.115173193277741,D,B,-62.887175020719056,E,79.6667086695896,C,-52.74296024595275,E,B,-45.93826696666463,D,0
No,Veteran,A,B,95.6010791487938,D,105.04626085212327,-110.80193464280529,68.69936329773569,21.977764560528236,E,B,230.0158044976691,D,206.40610513318643,E,-52.42319258585967,B,D,-53.07822317015086,C,1
No,Non-Veteran,D,C,-123.43358128054112,E,60.74818744425463,-40.91795677244247,154.83488369915568,-63.60632247783609,C,E,-113.79396140049252,C,-0.3954989321850282,C,-70.49838984337907,A,B,-80.26287547966284,E,0
Physical,No,D,C,27.105086249658978,E,-82.49793731200425,114.3026714750805,49.3100000205125,-196.10835464187474,B,E,151.87966666005585,E,-49.5380235249399,B,-76.39327535276006,C,D,-35.96217387858124,A,0
None,Veteran,D,A,-237.99929514772242,A,13.170778509659831,46.499266916116675,-100.36189988511575,-35.34816762567516,B,D,43.810487311831494,B,151.49706552916334,E,-149.9193764584867,D,C,112.7492441149407,C,1
Yes,Veteran,D,C,-22.841562406776063,E,73.37444176876612,-2.8954017365169156,11.151725509346704,-16.681784562688645,A,E,-141.85152195078746,A,-39.4133969708106,C,-97.64774524857818,E,C,-114.74840784835018,B,1
Yes,Yes,B,A,59.693680285603634,C,-6.005891421060866,67.05862720940881,-42.23267375132646,-91.52141556069415,A,B,98.52389073745425,A,117.83499894463505,E,-51.25865324102675,E,A,-70.56562900306294,C,1
None,Yes,B,C,-145.1647280984945,E,-16.18723619740665,-111.29886544985214,223.8692052647801,-69.06077451900194,C,E,-100.08981426074335,E,-156.41064828217563,E,35.50305925848207,D,B,-3.0962635719970057,B,1
Both,Non-Veteran,C,B,-12.793027814134842,D,-82.0325105476095,-116.1522376742984,-176.54915700076162,-39.66066246709378,E,D,260.4725025914138,B,-110.24380314739435,A,15.141373466351082,B,A,-3.619650744477021,C,1
Yes,Veteran,D,C,48.64522231293664,D,-135.67508577364825,-160.03069982247456,85.21771177224161,-27.290448977529486,D,C,-38.08483312642203,B,-53.31128659311407,D,-68.39999841043253,E,A,97.73185922515056,E,1
Both,Veteran,A,A,75.10611605460201,E,-7.971321529858535,-69.29845769376703,37.613415339281126,-63.31778744002917,B,E,-17.1371590173781,B,15.370349406037393,D,-98.3738895339683,B,C,107.6637324660258,A,1
Both,No,D,D,94.84600036592337,C,187.1395064026032,169.49693876512498,156.18342512430615,69.99554617130414,D,C,120.86170072635451,D,-30.49161615281409,D,10.149266334636922,E,A,-86.37180929574248,D,0
Yes,Veteran,E,E,-60.87040213139768,E,39.659605858765026,-224.93514854684355,172.6900255781215,288.25359329692867,D,B,-78.98059784380203,E,-169.52020562016205,B,37.692887283757,D,E,-25.22710315417807,B,1
Physical,No,E,C,177.89997848512752,A,10.267245862504348,-80.68350037751321,-59.685101217667416,-108.86387696042942,B,B,-64.95087032437719,E,-179.51565265324012,A,-14.58345530684579,C,A,-83.28238803114641,E,1
No,Veteran,D,A,-55.63606008181304,A,-115.13529950172216,-135.72074739199243,-56.48912000623714,189.77233811114033,C,B,-94.88336569710884,A,-101.59462174919594,B,-77.81133109579831,A,E,227.22415567599782,D,0
None,Yes,D,E,127.69197758206887,C,-33.456566177526994,-75.93403642204038,-7.938836290128826,92.78320802624756,D,E,-52.08505440481479,B,-92.95457213098213,A,21.166249846615308,D,C,165.03036927300937,A,0
Yes,No,B,B,65.98310140339905,A,0.9409022290968657,-70.78618196646146,-32.18727699070837,-7.452011496489634,C,E,-135.3135579658104,D,47.45851621865432,D,154.1467470012361,D,A,26.74144900201498,C,1
Both,No,D,B,294.31053595742895,E,-91.4892046589501,29.92534898912184,-100.29569231005826,40.8179251949224,E,A,130.4615772262236,C,-11.701098197575718,C,-93.37974949384672,D,B,30.900257453339258,B,0
Mental,Non-Veteran,A,D,87.52136527645372,C,44.90524800276193,-132.92085734114755,-41.89622954492783,-184.50776999745247,E,A,22.588358599395367,C,-91.15053064655784,D,-138.21440299664266,A,B,-72.2137724098955,B,1
Mental,No,B,E,23.39348528849523,B,11.93505130447424,-164.76971734517417,-79.90323438586692,-20.37423509792226,A,C,-38.201888105143546,C,4.776338757036445,A,-1.0331236941493445,A,B,-18.653957525420346,D,1
Physical,No,C,E,-136.24941410819306,E,125.55557108277038,231.04405650089365,-10.502160211781177,-98.58439094038427,E,B,-42.2038437503668,D,-87.73942333613945,C,71.80700423957062,A,C,-70.5164452386373,A,0
Physical,Yes,D,E,48.21066245425627,D,-126.27744188754279,-141.24777915444076,22.996598218327836,106.56378134882726,D,E,-32.220876655831496,A,153.30259928382586,E,89.28791315563531,C,E,33.51740431021286,E,0
Physical,Yes,D,E,30.02104214458744,D,-17.200602136123912,191.2593114949191,96.57339829250186,30.324922626126966,D,B,-72.23617133617573,C,174.390550337029,A,-94.29351077044898,E,B,-26.5778646097006,E,1
Mental,Non-Veteran,E,A,-32.992125090725324,A,-67.18953762698646,-35.07171962095101,201.37938103451586,13.206527242149471,D,B,-30.476014007190265,E,-155.39052156561272,B,3.375918522969554,D,B,-85.76255041987714,B,0
Mental,Non-Veteran,E,B,-127.44994096413134,C,4.032378413707683,148.6298325599893,-23.347464486457774,-114.08364235677162,E,C,28.024415784373552,E,-23.131590513969275,E,-148.23108429214997,E,E,175.8031167648008,A,0
Physical,Yes,A,D,109.08775810790488,E,61.742155649559514,21.328285586915026,170.264028504632,-71.1572815034555,A,B,6.5263277235194925,B,-102.58473711284049,E,-103.30252401875435,A,D,189.72656930537192,D,0
Yes,Veteran,A,D,-104.10771411149729,C,-7.557443468196147,50.31328748483765,60.81125576694828,-59.608970192507904,B,D,-84.65433912215545,E,81.30543878527747,A,178.62206862188282,C,C,-5.794938389936046,A,0
Mental,Non-Veteran,C,C,-69.62446649022785,C,75.20273065355234,94.23773777490798,-30.355959837471197,4.2474258152838065,A,B,-76.69196827049777,D,-48.55789537656069,A,121.04455619161098,E,B,185.64267212841145,E,0
Yes,No,C,B,120.08714634982734,C,98.22219013660795,-4.66166448420685,20.394107255607334,41.127617662461994,A,E,31.118132050515683,A,-83.52490513946677,E,9.522104090602381,D,D,-51.024805454041974,A,1
Physical,Veteran,B,B,82.41789779865259,C,149.9752685051108,27.518315611482414,36.93166314564762,108.91830372158593,C,A,12.901857324595559,B,33.33055124323499,E,23.024115462097733,E,D,100.69204001748133,B,0
Yes,Non-Veteran,D,B,-8.01825330656399,E,-59.4364900079661,12.653575379257346,-96.62407011354148,86.61054791359548,B,C,48.45409781354961,D,-106.22949157895667,E,-29.137180270885178,B,C,-47.164059057247556,C,0
Both,Veteran,A,A,87.68431866044834,B,8.347865674199431,55.87663451642497,-126.87226418439099,23.133488722889375,E,A,49.4688495512739,E,-48.92315006845328,A,34.86997065453627,C,B,29.633243746956637,C,1
None,No,D,C,-82.2191349697834,E,-34.50475468494956,40.6873767298832,-106.82379083784738,174.51045146022506,E,E,0.9222350002312099,E,37.66709391165721,E,139.56633693533163,A,E,-139.63911820168815,A,1
Mental,No,C,B,-86.57981431389331,D,-172.6693479812492,-64.34824222163648,153.81523719295524,154.06804009959,A,D,37.27755407183284,D,-80.13053203892886,C,92.23626059085542,E,E,5.996789892861005,A,1
None,Yes,E,D,95.75307296605348,B,-8.875050424984432,-65.89203971306756,-98.4604036081298,173.89112067048788,C,C,30.967841132333966,D,8.187592081414097,E,179.66611903768737,B,E,-13.068373342942813,C,1
Yes,Yes,C,A,-48.58163166111436,C,-81.87448342677696,-49.40640286024742,-7.0030801068022,26.586210394932948,C,D,-138.93311871808166,C,-12.206008819439687,D,-110.58839629443102,B,C,-0.5762685084304358,E,1
No,Yes,E,D,-13.795208736000308,B,-91.79795476594637,-5.192860666113966,-61.90192015782326,-76.82468705206568,D,E,-117.07523135402494,E,-143.73095739644447,E,-86.69149229165906,B,A,35.73065890491988,E,0
Yes,No,B,B,-32.00839477425681,A,24.826627309574356,204.30930337193095,-102.45303652766029,26.745097892541246,B,C,211.36350981770508,E,18.719823033663122,A,131.61854606657434,A,C,82.7124860484706,D,0
Mental,Veteran,D,B,191.3416216600005,A,-57.453407162444606,-124.86402471011719,16.621643862385813,-40.42858416470403,C,A,-144.45328608558424,B,-38.43251097889882,E,50.02457804847926,A,C,17.388287822563612,A,0
None,Non-Veteran,D,E,-46.57642790569778,B,-199.7667365046765,142.38999562102515,-79.8772049064024,40.615542429205476,C,B,142.2433611322787,E,-55.78457293845127,D,-145.2028260560893,A,C,-61.4725524638578,D,1
