ethnic_group,age_range,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Hispanic,65+,E,E,A,-70.67518089441981,E,D,219.514208419974,47.92750827155078,-32.33164995103376,1
Hispanic,36-50,E,B,B,104.70190256694025,A,D,197.14261010051666,59.78808470974032,-26.81001056408041,1
Asian,36-50,B,B,A,-34.540955228541904,A,B,164.7101242140955,-98.13986707158683,57.478461616112895,0
White,36-50,C,B,B,-68.59736445629757,A,B,12.174534463477151,-84.96766368966364,42.31183711073207,0
African American,18-25,B,D,D,-22.009610097879335,C,B,6.967979911501352,-71.56030198858151,-85.02501282860084,1
White,26-35,E,E,E,39.35384073211498,E,A,29.111231391860752,-52.34336202976433,208.71610346714215,0
White,18-25,C,D,A,-59.01946270401813,A,E,-62.70544501613035,152.10717759517505,-67.61664537203801,0
Black,26-35,E,E,E,220.98871307728402,D,B,47.72719267701119,40.469972696658644,-123.5254949160932,1
White,36-50,E,B,E,1.9355785977939164,B,E,52.44686234003561,70.45726493238816,49.84628345324634,1
Hispanic,18-25,B,D,A,-108.28430373889152,C,E,-135.81451993183347,86.6154794821771,83.15382804511707,1
Other,65+,D,E,E,152.62052632227787,C,D,61.37612248343681,-72.14516276410482,-21.93696821352238,1
Asian,26-35,D,A,A,1.695476765841479,B,A,49.37368312883134,-43.52172736724461,-44.615935536618004,0
Other,65+,C,D,C,19.429172338327984,E,D,73.05852913565323,-10.743480540068992,-14.611691541729746,0
Hispanic,36-50,D,B,E,-60.2408764751033,C,A,13.51385081266305,-132.2156997177189,-164.18716438805072,0
African American,26-35,B,C,E,-137.31649613307022,A,C,-30.96351881927503,-61.988345728477675,-158.7120035266506,1
Other,26-35,E,B,B,-120.78200915381929,E,D,57.36033766332211,74.85654352117359,46.28875839713989,0
Asian,36-50,E,B,B,-121.69567502096616,E,E,11.233687080360397,37.99338042837828,30.900572391649895,1
Black,26-35,B,E,A,4.979199050837494,C,B,-133.8565094881355,-71.92665281507573,-65.50542879322278,0
Hispanic,65+,C,C,C,78.44384281027173,C,D,54.95906949375479,81.04808627384764,44.90585384307344,1
White,65+,C,B,D,-31.750274642669783,D,C,3.2931213700804416,-27.7286481689018,8.79453290656842,1
African American,26-35,E,D,D,-103.71972793879661,A,E,-56.647157834995866,49.37401720429232,-126.71159660319296,1
Black,51-65,B,E,D,-23.51876445796114,A,A,-6.384192283875792,22.21921702955089,-102.8989707090746,1
Hispanic,51-65,A,A,C,130.75819963381116,E,C,144.15629360975825,-66.56480825050517,-85.83098129349902,1
African American,51-65,B,D,A,31.29343173999977,A,C,84.06641352105876,31.962972401735108,8.144913752964252,1
Asian,26-35,D,E,A,-16.701886109340432,A,B,163.4387407609,111.67351536774139,-72.97584587827991,1
Other,26-35,A,D,D,44.05245052633981,B,B,-100.8370913057554,44.68240815132657,-76.6897681794978,0
African American,51-65,E,B,E,-103.50456180802092,E,A,-140.8397711834854,-156.45256367162634,43.45532154195335,0
Asian,18-25,C,C,D,-144.3739056678158,D,C,-56.436238460378064,-298.59844100147154,79.6416659019768,1
Other,51-65,E,B,E,-76.87940538711294,C,D,50.76786664688968,95.98776191526301,15.036364494665241,0
Black,26-35,D,A,D,68.078863423758,C,C,-33.94694915404373,30.12019090528746,90.65568236494818,1
African American,36-50,C,E,A,15.524596992025849,E,D,-139.15964165590665,37.8816446334973,-168.01792018805455,0
Hispanic,18-25,B,A,B,-201.87814105109808,D,C,45.48066795127702,-104.78491052637257,93.89779146330237,1
Other,26-35,B,C,C,-50.6189531767276,C,E,-166.38995252586653,-38.84123575349904,-22.582248618844346,1
Hispanic,26-35,B,B,C,47.584169723557764,E,B,-58.3209379137329,-114.0683307601855,147.7355627178343,0
White,51-65,E,A,C,-10.508686354722684,B,D,-40.533665297759825,-57.538281380809686,76.12745371732326,0
African American,51-65,D,C,A,-23.757648342652953,A,A,52.35272619797482,69.3345072023934,-109.88863603546572,1
Hispanic,65+,D,A,B,-95.61325920509381,D,E,-57.534198420070396,75.46915281733949,125.30473927324306,1
Black,36-50,D,D,C,95.79692525633185,B,A,-53.72059547854007,-39.04007790269184,19.611681755682035,1
African American,18-25,B,C,B,-33.86754338798571,D,B,-99.45133620410928,-276.02074438921886,245.14677689777088,0
Hispanic,18-25,E,D,B,82.8442697200994,A,B,-87.37445645956105,-100.86293773515193,83.15538275497089,1
White,65+,D,E,A,-0.548421613648446,D,B,54.9029805459473,-51.71044736365773,125.46777516343465,0
White,26-35,A,D,E,-223.67112248533746,B,E,39.921436038426094,289.0190016940239,-28.79779327869324,1
Hispanic,65+,E,A,C,62.402661986473554,A,A,59.8982822894263,-4.456281018697982,-35.05638893977909,0
Black,26-35,A,C,C,60.62039756126079,B,D,165.1117736915925,-51.10431143156997,-1.5592352668745342,0
Black,18-25,A,A,B,-96.74257730720075,D,A,-39.335788667213215,-88.39601253263048,49.583971439921335,0
White,36-50,C,D,B,14.766206856305883,D,B,-117.77581919572646,116.75032743521014,163.49242547240968,0
African American,26-35,C,B,A,-56.879477800619995,D,B,-79.52892588396904,74.95714626077601,-104.07609671028489,0
White,18-25,D,E,B,125.38510121349566,E,D,-38.96311237746756,-126.81280708054132,18.550356799526348,1
Other,36-50,A,A,D,151.16929533857507,E,E,-87.10230602788187,-66.82093282835582,104.22000707697659,0
Other,26-35,A,E,B,-78.89776329931647,E,D,46.932105527947236,215.10170185774064,-71.2846082188042,0
Hispanic,51-65,B,C,A,-162.3982662437468,C,D,26.670757497830312,6.321523808527585,-72.69218635800354,0
Other,18-25,A,E,D,-66.70485354589981,C,D,86.21119956274538,73.7373569443324,-32.414258859126136,0
Asian,18-25,A,A,A,-107.7291304257324,E,E,146.411648939463,-91.79576906309075,6.17654979136028,0
Asian,51-65,B,B,D,57.772528891427655,B,D,-95.02771917221781,-30.025922834011816,-2.213768861741698,1
Hispanic,18-25,C,E,B,78.66786697771573,A,E,-67.9286509058864,106.63608055930291,26.75588501373837,0
Other,36-50,E,E,D,3.3206240644176876,A,D,-204.92407789555628,-93.09886270806759,-39.840830014160986,0
African American,26-35,C,A,E,-227.50029320220398,A,C,-4.983097770943293,55.783958275402476,-105.8880941557004,0
African American,65+,B,C,A,9.835506666416403,A,A,46.115620085857614,-165.75730202353523,-28.637225796217898,1
Other,51-65,C,E,E,-27.84699160875735,E,B,-29.496337351865122,-0.2028054252457136,-9.692561058857605,0
African American,65+,A,A,A,-18.379073654561907,C,B,95.38608413943037,59.2927436489417,-196.83814564296435,0
Other,51-65,E,D,A,110.2779089162539,C,B,-167.26361585534713,109.19665570304322,-99.0401903994573,0
Black,26-35,E,E,B,5.916703753627573,C,D,-85.50315900395769,-13.842966928950592,50.76860005267455,0
Asian,65+,E,D,E,-45.65844609014268,E,B,-22.48885230871137,183.9664842658175,-96.23984491128822,0
Hispanic,65+,C,D,C,8.788159921705759,D,D,-4.151899634663674,-48.07524982567688,91.96325941606581,1
Hispanic,65+,C,A,E,-13.226916808175016,E,D,-49.42760866284619,-124.45682050979168,-88.08808802858098,1
Hispanic,26-35,B,E,C,-126.85850332534596,B,D,28.978977523575118,-4.145711939584954,-83.93685581409773,1
Black,26-35,C,C,D,36.18985941661237,B,D,77.50610582506928,22.858521559781117,-127.48507117366168,0
African American,51-65,B,E,D,-106.49422056714532,C,E,-110.80883699052184,-31.8301994790532,-18.160718906621575,1
Black,36-50,E,B,B,21.80304637760709,C,A,95.2565791832543,-25.038225855436995,-68.7407812125537,0
Black,51-65,C,E,A,176.80132937190766,D,D,-46.37347085134544,-50.656415831127354,-21.41090950087365,0
Black,36-50,A,C,D,-3.588334280280519,E,B,142.98962520041826,-105.31924547486575,-75.35018850904096,0
Black,65+,C,D,D,117.00694300783358,C,C,-34.793879198493784,-60.44185709098273,-208.4867408330558,0
Hispanic,51-65,E,B,A,158.46433151641799,E,B,136.7481058183379,69.86450784275931,-122.3375995271345,1
African American,18-25,A,D,A,72.43761876244008,E,A,-110.4220130929819,-155.69831173314392,-134.93819315382666,1
African American,51-65,A,E,E,-34.87643152299661,B,E,-68.78313559541218,-70.09510563819475,161.63671144455972,0
African American,26-35,A,B,E,-37.51611277806873,C,A,-1.0994102702819522,-134.01179839746092,-103.24147663117841,0
African American,65+,E,E,E,89.44309070475302,B,C,-30.487767896703065,28.00875588723133,-9.61023658396331,1
Hispanic,65+,E,D,B,-127.31789977253155,D,D,67.88154403586441,-13.341589471031018,-61.244138668591134,1
Hispanic,18-25,E,E,D,29.750603351039768,B,E,-13.714712976919996,-160.36187789393443,59.92274783446698,1
African American,65+,E,D,A,-156.71021626867355,D,C,-139.33477483787567,97.07123320221706,3.6651428123170953,0
Black,36-50,E,A,B,-87.1995926378533,D,D,101.74983557548249,123.66625839454377,191.6859130656175,0
White,51-65,A,A,E,-164.96273134916416,A,A,-136.71172588354483,132.64516200454008,3.586356467320778,0
Hispanic,65+,B,D,C,-80.01443030624735,E,C,-33.34462381713254,-31.917511950520627,-40.550755772686095,1
