military,feature_0,feature_1,feature_2,feature_3,feature_4,target
Non-Veteran,D,-38.10926507094834,B,-122.32475213218879,58.42262084346965,0
No,E,-9.229050666031743,D,5.775041189078428,-12.171650443105518,0
Non-Veteran,E,-25.168617457409443,A,-58.50221411244546,-1.8255740999528152,1
Yes,D,47.30406687268725,E,31.528578938993014,-10.944195534691811,0
Yes,C,21.40075862559153,D,125.75384636226397,21.856186003498994,1
Yes,E,114.55024774559386,B,15.331001732618436,-101.33073561662391,0
Yes,B,224.1204156700628,C,110.22816939978154,-58.42086594611773,0
Non-Veteran,C,202.93041234671935,D,-60.494074188051826,54.65363305607725,1
Veteran,E,-15.95036715291051,A,70.56855615215798,144.9842644537967,0
Non-Veteran,A,-85.49227146831264,A,-22.46188949778608,63.41687293343215,0
No,B,104.99707718798766,D,190.09161824452022,10.07346941545055,1
No,C,-90.74566477768323,C,-14.08318726601243,-53.13530532604547,1
No,E,13.263899989070868,E,13.528521138375266,-103.78292372127885,0
Non-Veteran,C,-165.101410572517,C,91.59419804575496,10.062543545128083,1
Veteran,E,-39.94172453316268,D,-43.73333751806473,-32.91849609477084,0
Non-Veteran,C,-76.52563016998621,C,-76.60110310801416,149.58675606168046,0
No,A,-117.06614802452995,B,60.96742780698522,5.688129393636616,0
Yes,A,0.3687370680766034,B,11.975558816590825,-7.389067299461313,1
Yes,E,-11.05295757663148,A,-135.0325674930705,29.391822629400544,0
Yes,A,-34.8200957834625,B,212.91170919012453,-162.29936814020883,1
Yes,D,5.734608391497079,A,-66.46396340462974,105.73308425083509,0
No,D,-63.841542310642616,E,-24.758659015958234,-155.82809326471238,0
No,B,81.47599989587792,E,-97.57807985798334,-100.19174711577405,0
Yes,D,-0.8386221685773034,B,-50.16775271086741,0.29097635497014673,0
Non-Veteran,B,36.330575350448484,A,-66.80375309897723,-107.13792315869917,1
Veteran,D,-68.9824760420874,E,66.61071465893139,67.02582994897814,1
Yes,D,-224.81127469951616,B,-132.66733818089975,-203.70449709989094,0
Non-Veteran,A,66.6555540104599,C,111.36704002592417,43.850507681467214,1
Yes,C,89.98300195360292,C,-6.665168124232738,34.48712116836708,0
Veteran,E,-27.965884593461805,E,71.80618964353944,61.69791359177997,1
