age_group,AGE,Disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
18-25,40,None,D,307.4530606604678,A,A,-6.186134386046334,-8.835338396037448,C,1
65+,56,Mental,A,54.551554509021614,A,D,-84.94241440809222,5.508809408536717,D,1
18-25,38,No,E,129.11065214353826,C,E,-113.03405925960155,-47.26572153144565,C,1
18-25,66,None,D,-14.90836103978475,B,C,-23.770863560627202,111.80300586132228,E,0
51-65,75,Physical,A,26.586644332843345,E,A,57.55385339976784,80.06195481574775,B,1
36-50,39,Both,D,-48.07283036699179,B,B,-108.24192459566339,75.0460029785051,B,1
36-50,38,Yes,B,-66.37024999918967,D,C,79.77222190475902,24.851583751150706,A,0
18-25,37,Both,A,-51.028888283727284,C,D,-33.52466408899158,141.88914733517606,C,1
36-50,72,Yes,D,-69.58710171894357,D,D,-63.7866637732784,-80.7108203215252,C,0
18-25,73,None,A,-37.01695336231876,D,E,-118.87872330738097,133.26237426886604,B,1
65+,30,None,B,61.16562635207996,D,D,-125.68314676731407,-35.239478737877114,A,0
51-65,22,Both,E,4.32809821209998,A,A,-126.75812643355795,-150.1690384879715,D,1
36-50,25,Both,C,-66.4326784525244,A,A,14.370307374894637,-148.30961905431,D,1
51-65,76,No,A,-140.4774193425196,B,C,-118.61237644942149,54.8528872362745,B,0
51-65,38,No,D,71.08673919966063,D,B,-137.41204019386734,-131.9484414469361,E,1
26-35,31,None,E,33.30177837555275,B,D,12.273969643459656,-190.69010018648646,A,0
36-50,24,No,C,-227.15346991306106,A,D,-15.910631689067522,28.687908931598255,D,0
26-35,73,Mental,A,103.91153275124876,C,B,-151.33917871119266,-148.00556865717758,C,0
18-25,62,Yes,B,82.6418881862584,A,C,103.43910044395305,3.651584976568277,D,0
18-25,45,Both,E,90.3819149751739,B,C,-50.96912989507434,-111.90142317644901,B,1
51-65,35,No,A,-11.915988707147683,D,D,49.2056821795017,-9.415639030109034,A,0
26-35,38,Physical,B,31.937515999185035,C,E,31.477415656540614,-107.05834137196763,E,0
18-25,76,Mental,B,56.67989771357394,C,A,80.39993673963983,-171.22777673645479,A,1
26-35,37,Both,A,-151.54165448859234,B,E,-60.40839227449995,-50.28915519092168,D,1
51-65,35,Mental,B,-106.501895084915,E,A,-9.310870818179641,138.78694064954664,B,0
18-25,64,Physical,A,44.032429402069596,E,A,283.6211044951122,-73.45318403260396,D,1
18-25,52,Yes,C,-95.78600263225208,B,D,80.71264132291486,82.86366491153429,D,1
65+,55,No,D,24.46456450511808,E,C,-47.0418132274884,212.7463059363833,D,1
18-25,45,Physical,D,-83.44580307425606,B,C,29.59633800338743,53.08983384227509,B,1
26-35,26,No,E,29.858108914892405,E,B,191.84374494427584,-150.25518272842058,D,0
51-65,56,Physical,C,149.86107203636058,A,D,29.336724953344106,157.85711941027373,B,0
18-25,46,None,D,-101.26225583808635,C,B,95.50315601899551,156.28200808692446,B,1
18-25,66,Both,C,15.32981715949974,D,C,-21.859458224810748,-14.9251796096639,C,1
18-25,41,No,E,-41.44197482935025,B,D,155.60319702813058,-49.15834847266392,A,0
65+,24,No,B,-85.86257909594815,D,C,29.95443727444841,54.097315247515844,B,1
65+,31,Mental,A,-52.46454549678514,C,B,-61.58683989906489,-282.19454468853564,B,1
18-25,68,Both,B,-53.21353130917459,E,C,-133.4147105064562,153.17900748635188,D,0
