civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Divorced,A,D,120.5985262135798,-91.90577108192369,-55.986512198410786,-116.64809344489684,C,B,103.35054206025961,32.9303640723012,A,D,50.090229063489055,A,-104.26233324293494,B,1
Divorced,B,C,-22.142307172190847,102.8025000651331,61.64685245587419,36.45432293032814,E,C,113.37524790468802,-78.00485095507571,B,C,104.28401533401342,B,-30.936574024077533,E,1
Married,E,B,185.5004729191689,158.737363101266,-112.82495493192295,-60.34585902963258,B,E,-88.89114742524656,-30.76912508034782,D,E,120.98385471822218,B,135.36024963268923,A,0
Married,E,A,-119.57768374870325,115.4870104355586,-68.38407162589712,-94.65139665525263,C,D,-26.255970032595634,-3.0677204736834307,C,B,79.75038296837108,A,65.55620394347896,E,1
Widowed,B,D,27.09448737274615,94.03443774283629,52.25424066780692,-76.67277567307613,E,D,-30.573308055940934,65.56659619519107,A,C,97.86930013662764,B,-39.98114113844182,D,1
Divorced,B,E,-116.79502727938802,310.20000312131214,-15.18255823183049,-71.96371010886271,C,C,-39.328725987446845,90.82842929775518,B,E,200.2992700254858,D,-96.00566604198664,A,0
Widowed,E,C,-12.216409581693737,-113.61317513690035,-89.53963834030067,-12.776625404910838,C,D,178.20215574159323,64.34853907578866,D,B,83.61698510740919,E,-5.653669212816423,D,1
Single,E,B,-55.04250595548976,58.94683026499492,42.03534677325323,-67.00732521935898,C,C,157.79658522455318,150.77503034357477,D,B,-185.94681333919206,A,20.355104796600425,B,1
Married,C,E,-96.51603268183402,-151.48297367377842,-49.25147962718806,-10.170761399098248,A,E,-110.73461047931461,-94.72344658797968,E,E,16.203566360081734,C,138.01813009672185,D,1
Widowed,D,A,-12.672164929863882,-32.49694263138288,-86.30713305115908,54.45654805673834,E,D,48.74772247098428,10.311906297083889,A,A,-131.08598260183774,C,-28.037895067639795,C,0
Married,B,B,170.69810825380102,-17.788425555993467,129.62341227671575,91.67216308264162,E,A,-106.94348862012397,1.6409838467487892,E,C,29.972385128825273,C,23.658338073060133,D,0
Married,C,C,33.80986233036957,37.05160411223336,-49.267984923740926,-186.54892543112766,B,E,132.11452808803674,-128.46393017456873,B,B,28.04250602377391,A,52.24041733730181,A,0
Widowed,C,C,93.76197112715397,131.70921538298768,72.35820339388272,-99.1394835825088,B,D,-20.468049808486423,7.071046812901723,E,A,61.28902379536413,D,-42.71307143698807,C,0
Widowed,C,E,95.00288487050753,157.553658919682,90.93531072958683,8.29265371289935,C,D,-63.14511311209511,28.035806911511113,C,A,-10.490905896975185,D,158.77566930971943,C,1
Married,B,B,31.006251965268294,160.3089849489609,-26.899459800435793,1.8701582977481066,D,C,-47.76555225402505,45.99672695401596,A,C,74.99009192587987,D,95.3563469118318,B,1
Widowed,D,D,-39.18372591924282,32.345932975648026,-42.26422669065319,44.603493175836164,E,C,-125.14356640853599,-105.3580827912505,D,D,-117.24150518600605,C,-74.29722086360904,A,1
Married,A,B,165.15146012811903,-144.28269010270986,-88.48697210622906,-26.203668551151726,A,E,-3.8724182263757587,1.536055933390554,C,D,10.166373168377357,E,75.51731282178528,C,1
Divorced,E,C,245.84961447495,34.588868512765586,146.88907513783147,137.53246514160648,C,E,-30.72803655816664,-19.22681869546586,E,E,1.1180694838772536,D,24.92438099294432,A,0
Single,B,A,56.057425069580226,-42.72605216496901,130.18219507789817,-22.560032139347953,C,D,-115.7758751803294,128.8934888893558,E,D,17.13602527364328,A,-43.141528367774406,B,1
Widowed,C,C,-89.17746947102412,-61.910448673707045,66.18044549908097,-45.7145273706286,C,B,-29.489899731914026,-101.02129732648855,C,E,57.92913260187387,B,132.19794712332214,D,0
Divorced,E,B,117.69991916947686,-245.42812153763066,-36.34218881801418,4.138096985474831,D,B,132.45490871839885,-28.01484173530814,E,D,105.02197252823223,E,184.87839495976039,A,0
Married,A,C,-36.32630484823868,-51.95010228325636,84.9043585992223,-101.812520602798,D,C,-37.52689197626893,98.77307122301637,E,A,-2.737642807789656,C,7.445885519779344,D,0
Single,A,E,50.726909002127094,121.00222887268872,-22.574547751949478,-5.96129865159574,E,C,-40.86829132341692,-99.83187511537096,B,E,-44.83893837402068,E,-24.578416910165558,D,0
Divorced,B,E,62.4544614317636,27.31243151896592,-10.378837976023268,-67.02523249251709,A,B,-5.1633087910240025,226.48811645603382,C,B,-141.79912956369262,C,-34.64415814303039,C,1
Widowed,D,E,-147.75141629795638,38.256941295151506,93.24890786710284,-87.17979511086158,E,C,-39.36056290458056,-16.1613158387958,A,C,175.50907250145534,B,-114.64024959636609,B,1
Divorced,B,A,129.80523781587394,81.85370213324532,-69.45011227085031,105.30271812153305,E,D,51.03791824844449,-12.745695540896012,C,E,87.79325264131187,E,106.06100136823899,B,0
Single,A,E,77.7209967424726,107.81050109577512,12.433355261636237,172.86639920629702,D,D,-120.66663201680943,116.33259749634273,A,A,-94.79196945933074,D,-194.1746999987952,E,0
Married,E,C,-89.10481290959912,10.666052825485025,-80.98226867706015,-11.580865919167438,A,B,139.77691709200914,-141.15809364208496,C,B,146.376530324311,D,66.93601020003084,C,1
Single,B,B,132.6825942683748,-70.65348154356556,119.14684097040438,-70.62775948347101,B,E,128.444782350961,52.11110418589525,E,A,-49.81742745451849,A,-131.45417541643945,B,1
Married,B,C,103.23658343109676,-170.39609742020386,26.740376358320418,76.05154484354163,B,B,154.2610112091952,-26.84454838608022,D,B,54.031071418204654,B,-21.793317115573256,A,1
Married,C,B,42.95733261192708,-110.00793437484602,14.867745459341778,-214.13133788412046,E,C,158.25460693622517,-219.13912475443604,B,A,-39.26529392443344,D,67.77932229055837,D,1
Divorced,E,E,-42.35561620772167,-4.167376525801043,-302.0233141046528,-29.07965935420608,E,E,126.26199596322347,67.75608235596803,B,C,-21.74956391115843,A,189.33680676369679,C,1
Divorced,E,D,-105.31532397908481,-63.15843040841727,75.78608575202853,30.12953830709739,C,B,-48.62515212798023,117.06481588025134,C,A,68.42258919268674,A,43.524405679384834,D,1
Divorced,C,B,189.7263320471759,118.69218081082187,76.49265699846717,-77.65284619004169,B,A,87.84592314728306,-27.969342844591193,A,B,-1.2650968329122765,E,71.06766672926128,C,1
Married,D,C,-42.16775863667465,46.528785784006864,-68.61752105448579,-96.02332093963,E,A,101.16600431065208,15.062134254913689,E,A,-66.27738248580413,C,-85.38293903550931,A,1
Widowed,C,C,-66.98434724820814,2.1718973703438977,118.86276543773285,-11.140092817213196,D,C,97.5932687997248,63.36006899831482,A,B,21.10476153116004,D,-37.44721111487455,D,1
Single,D,D,-41.680211579801565,-63.68583650813812,-22.25997354670472,7.722691383272001,E,D,-71.48700179122659,-21.827360498817935,D,D,150.19942703332862,D,-54.53583940515008,C,1
Single,B,B,-37.35893851039944,-180.55162288842712,56.62063938104732,130.8968997770523,B,D,-53.288669201077695,68.75587883543652,C,D,-143.00185249187751,E,117.11217957293468,A,0
Divorced,B,A,162.96012642393157,-32.43756141694845,146.07912460201302,26.803867190412255,D,A,95.32508279502547,-62.262790952505775,E,B,-172.26592973859277,D,64.47663049688668,D,1
Divorced,A,B,30.764962571029585,16.33149581854811,14.966312785707455,76.95200275262037,B,D,16.093277731611046,80.53384675465162,E,C,-63.287435743462275,E,23.528147577302548,B,0
Widowed,A,B,-37.13406787839945,68.51546203740575,211.28011420099676,123.28548566735304,C,D,-81.80765347832806,-35.87674993726841,D,E,123.28881682045372,E,2.356608370849956,B,0
Married,A,E,-71.4699423344833,78.8776041941244,-5.536712500406628,119.38780204941608,E,A,131.0539792822193,-82.28119824949233,E,B,88.11572248427144,E,-0.07204079442250064,A,1
Married,D,E,-109.05586512531889,-17.105216286762193,58.10873869508306,113.29069554181186,D,B,4.1717744295937,-142.19656490158684,A,A,111.53801170502472,B,-50.98382565796158,A,1
Single,C,C,-158.57125500557967,-83.13829888181041,31.566792225057412,-10.367646993262,B,E,124.43647729114001,127.83205320540799,C,E,-4.379112313479861,E,117.49832706020644,E,0
Widowed,B,A,82.46661785529729,-9.988337225699208,-103.80175949899156,-1.261126139027354,C,A,111.18498029900907,-22.745472530240132,C,C,100.02435982373177,E,36.70128646767525,B,1
Widowed,C,A,7.1378618026301535,24.398333080764736,-260.34258796002626,-40.67942204385334,A,C,16.113778552208665,12.337612958998404,C,C,127.76929069094989,B,-36.49147696296677,E,1
