married,country,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,target
Widowed,Brazil,26-35,D,C,-45.49384258932282,C,E,0
Single,Germany,65+,B,B,-44.505762956978465,B,A,0
Single,Other,26-35,E,C,39.04817834834552,D,D,0
Married,US,36-50,A,C,-65.5924293528696,A,D,1
Divorced,UK,65+,E,C,123.25931998048453,E,A,1
Married,China,51-65,A,C,221.3249417125065,E,B,1
Single,UK,26-35,B,C,-7.7137329910983485,E,E,0
Divorced,US,51-65,A,A,-10.800336831167474,D,D,0
Married,Mexico,51-65,E,B,-82.70099635583769,A,C,0
Married,India,36-50,A,E,-20.238793501223793,B,A,0
Widowed,Mexico,26-35,C,D,87.92305333902969,D,A,1
Divorced,Germany,26-35,A,D,18.2662430391342,D,D,0
Widowed,Mexico,26-35,B,C,-17.31923845983862,D,C,1
Widowed,India,51-65,D,A,218.51105798032134,D,D,0
Single,UK,36-50,A,A,85.12417745464298,B,B,0
Widowed,Mexico,51-65,D,C,151.3954063857582,E,B,0
Married,Other,26-35,C,A,-55.11554036565689,B,C,0
Widowed,Other,26-35,C,B,79.25446383441263,D,E,0
Married,India,26-35,C,B,144.18643493827318,B,A,0
Widowed,UK,18-25,C,A,103.12555131166252,C,D,1
Single,Mexico,36-50,C,D,37.46623725079472,A,B,1
Married,Brazil,18-25,A,C,-45.91152428887321,E,A,1
Married,UK,51-65,B,E,124.30843254500685,A,B,1
Married,India,51-65,B,A,118.40978813303676,B,B,0
Divorced,India,26-35,D,A,-108.56704974038134,E,A,1
Divorced,Mexico,26-35,A,A,-26.91414157478313,C,C,1
Married,India,18-25,E,E,-68.88140319172994,A,B,0
Divorced,US,26-35,B,B,-111.85171630596497,D,E,1
Divorced,India,26-35,A,D,101.45168008695933,C,B,1
Divorced,Mexico,36-50,E,D,13.562419040863013,C,E,1
Married,China,51-65,A,A,-33.57129509135723,C,A,0
Divorced,Mexico,65+,C,A,-43.95813127021492,C,E,1
Widowed,Germany,26-35,B,E,-99.68417990740694,B,D,1
Divorced,Other,36-50,D,E,-39.985392266961846,C,C,0
Widowed,US,65+,D,A,-252.02809938375336,C,B,0
Divorced,US,18-25,D,A,-25.81247225508162,B,C,0
Widowed,Other,18-25,C,C,181.5620207200176,C,C,0
Single,Germany,26-35,A,E,-48.67441461386662,A,A,0
Divorced,India,65+,C,D,56.45246801135082,D,A,0
Widowed,Brazil,18-25,B,C,70.63991551792857,A,D,1
Married,Germany,51-65,C,A,63.76300668868057,A,C,1
Widowed,UK,26-35,D,E,-7.405239578302295,D,B,0
Divorced,Brazil,18-25,A,A,24.586095396319184,E,E,1
Single,UK,26-35,A,C,102.69828080951781,D,E,0
Divorced,China,18-25,E,A,-37.75850030762367,B,D,0
Married,US,65+,C,D,-52.56588930583532,A,C,0
Married,US,26-35,B,A,-2.2824967654905546,A,C,0
Married,India,65+,A,C,-74.83764756819139,B,E,1
Married,Mexico,26-35,B,D,189.1747047090715,B,D,0
Widowed,China,36-50,B,B,14.466281158666513,A,C,1
Widowed,UK,36-50,A,D,43.60515747803853,A,E,1
Widowed,China,36-50,B,D,50.242848776490376,B,D,1
Married,Germany,51-65,A,C,12.576684324260889,B,B,1
Widowed,Germany,26-35,D,E,64.97435613063585,A,A,0
Married,UK,36-50,E,C,6.640739606721341,E,E,1
Married,China,51-65,D,E,-89.72793809333969,A,B,1
Married,Other,51-65,B,A,121.30474482478995,A,C,1
Married,China,51-65,E,A,127.72785141498031,B,E,0
Married,US,65+,B,B,110.09988977587703,C,A,1
Widowed,US,26-35,D,E,-94.59634424564008,B,B,0
Widowed,Brazil,65+,D,A,127.17230511490875,D,D,0
Single,Brazil,26-35,C,C,-55.003666390871686,B,A,0
Widowed,Other,26-35,A,D,78.17676079598613,D,B,1
Widowed,India,51-65,E,D,43.44400254685762,E,C,1
Widowed,China,65+,B,D,57.73346192917512,A,D,0
Divorced,China,51-65,C,C,-23.47993050855113,A,D,1
Married,Germany,51-65,A,B,-41.0205301302591,E,A,1
Married,Other,65+,B,B,-8.172583131741613,D,C,1
Single,UK,18-25,C,E,-149.5929344704259,D,E,1
Single,Brazil,51-65,C,A,80.19893306657448,E,D,0
Married,UK,51-65,E,C,-86.40564427799838,B,A,1
Single,Brazil,65+,C,C,0.8916752496491734,C,D,0
Single,Mexico,36-50,C,E,49.50741399350891,C,A,1
Divorced,UK,65+,D,A,82.52226204660181,D,B,0
Widowed,Mexico,36-50,A,A,-129.16109797323006,B,E,0
Married,Germany,51-65,B,E,69.85781011138045,C,E,0
Divorced,US,65+,D,C,21.452577292431485,D,A,1
Widowed,Other,18-25,A,A,-92.82608181175473,D,A,0
Widowed,UK,65+,A,D,-82.07672825436141,D,C,1
Married,US,36-50,B,A,-39.68049390232563,D,A,1
Married,Other,36-50,D,B,-111.39606416791443,E,E,0
Widowed,India,51-65,B,C,-176.83507166040852,E,C,1
Single,US,36-50,C,C,-53.82321452418386,C,D,0
Single,US,65+,E,B,-65.52250692162276,C,B,0
Married,Other,18-25,C,B,-3.0892408239499756,B,B,0
Single,Brazil,51-65,B,B,56.22633307795654,B,C,1
Divorced,Other,26-35,D,C,121.49561304146297,D,D,1
Widowed,Brazil,36-50,D,A,86.55011027530475,A,C,1
Married,UK,18-25,C,A,16.742026783658083,E,D,0
Single,Germany,36-50,C,D,-8.041532569491618,C,D,0
Divorced,India,36-50,A,E,115.09862477985027,A,E,1
Widowed,Other,26-35,D,B,195.71943021942687,B,A,1
Widowed,Brazil,26-35,E,D,-72.14501534257121,B,C,1
Single,UK,26-35,B,E,59.06062188788067,E,E,0
Divorced,China,18-25,E,C,-75.28634629518693,E,C,0
Divorced,China,65+,E,B,-53.18510979784436,C,C,0
Divorced,Mexico,18-25,E,B,26.076466763964685,C,D,0
Single,India,65+,C,D,-89.08525402029586,A,D,1
Divorced,Brazil,36-50,D,D,72.27440277479954,B,D,0
Single,India,36-50,C,E,-150.7168225646193,B,A,0
Widowed,Other,65+,B,C,-45.87785908684385,A,A,0
Widowed,China,26-35,D,E,131.9202593492779,C,C,0
Widowed,Other,36-50,E,B,-214.04366364854877,B,B,0
Widowed,Germany,26-35,B,C,-33.47922291501804,D,C,0
Single,Other,51-65,D,E,193.62737561043164,C,C,0
Divorced,Mexico,36-50,C,A,-107.79154042552265,A,C,0
Divorced,Mexico,18-25,C,A,-73.90341460495183,D,C,0
Married,India,51-65,A,D,21.09384362145132,D,B,0
Divorced,China,18-25,A,E,-5.184236571415807,D,C,0
Divorced,China,18-25,E,C,235.53090874422304,E,E,1
Widowed,UK,36-50,E,A,64.12598365422639,D,C,0
Divorced,China,51-65,D,C,-73.53724608081296,C,A,1
Widowed,Brazil,65+,A,E,12.723902075653982,E,C,1
Divorced,Germany,36-50,C,A,-187.21641431349408,C,D,0
Single,US,26-35,B,D,191.8026580543547,A,A,0
Widowed,UK,26-35,A,A,159.6882212629318,C,C,1
Widowed,India,26-35,B,E,18.94867468002301,D,C,1
Single,Mexico,51-65,B,D,1.887129281354908,A,C,0
Widowed,Germany,26-35,D,B,82.97889163167648,D,A,1
Widowed,China,18-25,C,D,195.19328565299696,A,C,1
Single,India,51-65,C,A,-74.44257573262396,A,C,0
