disabled,nationality,anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
None,US,61,-42.763033812286,E,1.2914710954569937,C,-15.657270988310515,A,-19.166386087220555,B,191.85930119156532,-44.00280933963228,0
Physical,US,60,-129.7938830116572,D,8.746835509245532,B,185.99957690367114,D,-184.71397370419987,E,42.72833094069311,-16.492718628685115,0
None,Brazil,27,74.99596179570274,E,-182.14119800362602,D,60.21014652881359,A,-61.7766672076537,A,314.79870356054226,194.2127078059144,1
None,India,81,99.96343074202088,A,108.88511192393553,E,164.7655177578078,C,-162.34664062771836,B,172.65449691484395,35.94803860524094,0
No,Other,58,-138.6110575481871,C,123.35013543291475,A,82.02819634761013,A,-188.89498968076794,E,-21.11688809649904,14.731629959719061,0
No,China,19,-88.20260401911514,E,-71.58378934839644,C,47.25576819000011,B,96.25795075246606,B,-50.20454955924368,55.59034011232297,0
Both,US,45,202.0652997120347,E,23.21231732116273,A,30.318102317699896,C,-11.075456693691745,B,205.39726220296433,67.10301777283586,0
None,Other,58,-37.7906698460777,A,-12.380502206751075,D,-166.2320545705883,A,97.62126633010453,A,-67.16399497627232,169.46980426180696,0
Both,UK,76,151.47910263157425,D,59.974749769810224,E,-55.06399078266379,B,206.4855935809103,C,-128.3454708249273,35.057878403621615,1
Mental,Germany,81,84.16952191761592,C,-97.15508406059709,E,-11.775598333433908,D,41.10628847543827,D,-16.1891478427613,87.87897795694884,0
Mental,China,92,-186.9874653162261,D,-71.40463181841153,A,33.53373566932589,A,33.86099644324125,C,58.259200995318054,-0.3659997507499221,0
Both,Germany,55,6.755738094846866,B,78.95515286322124,E,-56.978055579485634,E,-140.7874722879363,E,-13.343875268312697,96.4317502210408,1
Yes,China,48,81.14864173972111,B,-37.92298005292287,D,41.458940392785884,E,43.85916785451251,C,-73.00841924409734,-29.19349101177118,1
Mental,Mexico,71,35.50838525433596,D,58.71132588866429,B,-109.42072327830718,D,92.16547953463875,E,-22.905709425537303,149.73818298612312,0
Physical,India,20,-81.13903573164959,B,18.640418372083207,C,78.4988889368876,B,-185.25698534322024,C,-44.571929517561735,-94.89622258362712,1
None,Other,55,41.937897748881234,D,23.82376297149932,E,13.176425626980807,C,-63.12496368910432,E,128.9305147915326,176.32937154400503,0
No,Other,56,138.52644307579868,C,49.406188870459964,B,-193.1549440440357,E,-63.61218233147705,D,304.5187132051903,-63.1562707050632,0
Physical,Mexico,59,-69.03426615873771,D,-141.90285488810707,E,38.31962098787197,B,107.75849672032616,C,49.24090272359298,-91.20824528083969,1
None,US,87,-96.05578969958103,E,46.64570681063733,D,-148.67478517391976,C,14.064447751652882,B,285.87807886195645,-55.16309951250729,0
No,Other,71,-56.319639282777864,C,15.528483162736443,C,-112.54700388432286,D,-5.446774832316355,C,19.709559974449416,68.09268523324307,1
Physical,China,88,-113.23769521128256,C,-80.05511045904153,B,-79.64935765645934,C,122.51212172255875,E,-29.566781496889732,-162.56758663441278,0
