age,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
57,41.09805556706953,-17.231887575683885,A,E,E,A,B,-78.6471486347833,E,146.45143082628078,C,A,E,B,55.31354434705877,-92.45807382453638,0
73,67.11808506973792,-130.5592772304899,A,A,C,B,D,-155.90499591409974,E,-253.0997259001413,B,D,A,C,14.893197470145846,-40.380928275351344,0
26,-184.18756334056772,-222.9753645672954,A,B,C,A,C,110.87372681681227,D,-29.23822047981347,D,B,A,E,-32.04275487523481,200.05225711690807,0
69,-122.89426177375367,-118.47211813612056,D,A,D,C,B,50.33312636479098,B,-82.5160627544908,E,A,D,E,-161.70253144071708,-217.46756338239373,1
44,68.29780909045854,-3.3043084023885374,C,D,B,E,A,-20.462194417398045,A,17.602852464861304,A,E,D,C,-110.56483855511927,-3.105289786922714,0
38,-66.64939138106001,-193.63860340097057,B,C,C,E,E,155.3841896714607,D,-58.266143010737615,D,B,C,D,-141.42260074842272,-111.22784033589572,1
64,100.91583844962521,104.84249893846686,C,B,B,B,C,151.56580335303542,E,-53.708097332962666,B,C,D,E,54.997424190518494,-119.46543295952443,1
62,-186.72368400006337,-152.40288509372587,E,C,E,D,E,-135.70919111096367,D,-97.09094227187236,B,A,D,A,18.465712237636183,22.63918312728465,0
55,-60.89140871633734,218.71622195235975,E,B,E,D,D,-49.945499540935025,C,-37.1985032925047,D,C,B,B,-14.94054622996767,111.87502721036768,0
29,58.99417597409082,-80.22025486926017,E,C,C,E,C,48.01115302630046,B,-31.336019928104264,B,C,E,C,-155.65246932018496,24.143209447544848,0
72,-150.23316937378078,3.5054561865603464,C,B,A,E,B,-78.35886726769283,A,-58.41855740539821,B,D,B,C,-62.8365861473537,108.69868413344285,1
43,-84.62256564602957,48.26787559711508,E,B,D,E,D,11.771315604840616,C,101.93079667324444,E,D,A,D,-36.596796126158644,7.776072317987779,0
79,28.024820305422075,161.2825582129782,B,C,B,C,B,19.57694456353033,B,-39.21486111422223,B,B,E,B,-25.729595673857737,-11.344784867429114,1
67,17.66194051154571,-83.06933898097239,B,C,C,D,E,162.9641981107283,E,-55.272204706314824,C,D,C,A,190.9727917229726,85.21745601830996,0
49,-41.11527528365757,65.928074471403,D,B,B,C,E,134.43694672717945,A,102.08837647300749,A,C,A,C,-35.52751328445663,21.68028970677939,0
49,122.97221096511535,10.961587102962005,E,E,A,C,D,-52.831041623975196,A,102.1373991891799,D,A,B,E,-6.445629839354548,99.88568506089354,1
35,-52.27679330670165,20.619807604755103,E,C,A,D,B,28.43475615662604,A,-29.261454733902493,E,C,D,E,-20.17931292478792,-199.90941473500502,1
42,187.9165728442162,-121.43343751502074,B,C,B,B,B,-21.53050643266643,A,50.89218294066764,E,E,D,D,223.6520641605752,120.21731255375533,1
45,34.13986971760401,137.34500652341285,E,E,B,A,C,65.15858242547577,C,129.3885163609735,B,E,D,A,-113.5988507812724,-99.16057764588501,1
74,-33.6817748455064,28.93364197098613,D,D,B,C,D,-22.914664008252426,E,-108.11312655451808,B,A,B,C,8.914352922981788,-41.824984747645296,1
50,64.34763901258493,11.420257120607715,A,B,D,E,D,-177.85181614063225,C,-99.18438714402491,A,E,E,D,-11.325039754841166,-6.034969430378583,0
51,84.87989586075028,233.81915043800947,E,B,B,C,E,-54.2929147767327,A,-95.31469922999696,E,E,E,B,89.9579877010544,-101.7818202280254,1
75,-82.69768117222183,1.3716952547818206,C,A,B,A,A,285.97611881968294,B,75.48600224040402,D,E,B,D,226.1010309703413,-189.318936135321,0
