handicap,religious_affiliation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Physical,None,-5.518865660277247,D,D,-52.558927804757296,C,A,-51.16296574195876,-75.04511491750591,-0.128402472869068,1
Mental,Hindu,225.74597850954117,E,B,4.141029737455231,A,A,-22.509743346532293,187.45907030269174,105.26286018425152,1
Yes,Muslim,-15.893525954996598,E,E,126.96353212402924,C,C,51.00155281399515,-4.328166335162269,88.35784618731927,1
Mental,Hindu,95.59543637069086,C,A,-142.1267855634525,E,C,-44.891214515970134,-35.58507257155104,3.337821819376337,0
None,Other,182.1369281220509,D,C,89.380596098847,E,A,-127.85020708946327,47.276230056177006,-19.001779390299454,1
No,Hindu,101.81489265313543,B,D,-63.71546675179327,C,E,167.1029800973925,-33.27162538384936,-85.81770544257462,1
Mental,None,54.33065543048159,C,C,-6.300587043103303,D,E,89.85117413708333,-121.82450186325646,-111.87481225352789,1
None,Hindu,-4.105842598915011,D,E,231.6351695730527,B,A,152.30750828179484,-20.25148559077054,79.35472468958838,0
Mental,Buddhist,83.1545895129465,D,D,-162.7197924056181,E,B,-39.802949289181875,64.6519513307268,-17.977274721414393,0
Both,Muslim,16.099023932827965,A,D,-103.023804631009,B,B,-187.29450172089267,68.8906270671711,210.98264067650797,1
Physical,Buddhist,68.77218271409185,E,E,5.660922409617845,B,D,-46.23348320694818,29.65984538595043,99.52971190906777,1
Mental,Jewish,35.38016138336991,E,D,-31.76284713443986,B,D,117.92914055349956,-17.95076192343084,228.72765234653346,0
No,Buddhist,-3.4799572966029735,B,B,113.41667979201848,E,A,-87.65076480004788,-84.89005117561335,47.686488470988415,1
Yes,Buddhist,54.3255287190181,B,C,15.974036469067196,D,B,-138.43820976637375,182.89159075754216,-97.89678434973632,1
None,Buddhist,-229.46973926520496,D,D,-126.44265933394088,C,E,111.48615273238424,-79.45004865897496,-189.67857091959718,0
Physical,None,-145.19138388298674,E,A,124.6401939148514,C,C,-126.48264051647644,-85.9825430497586,56.23779252340532,0
None,Christian,-84.96279584040477,E,E,53.09482560498242,E,A,102.70989168895616,33.99137485758155,-360.8708690379758,1
Both,Jewish,-53.78078302826966,C,E,187.30484031967003,D,D,-124.33183715532124,92.55524175871678,93.78091511966306,1
Yes,None,210.19149077899226,D,E,49.157426595373195,E,C,-10.311844058385725,-24.08005903745157,170.47781548783374,0
None,Other,184.93457492645825,E,B,-58.17398914333335,E,E,58.77257159196787,86.40177513127102,70.08318265503772,1
None,Other,10.672884941014374,D,B,-66.03232721244083,C,C,52.08616756522431,115.08393567187642,13.770882605851567,0
Physical,Buddhist,-9.50440405154632,E,D,50.47996757432146,E,C,-154.3101250494707,-144.52204570003286,74.49624865641078,0
Both,Hindu,-86.71991443082577,C,D,5.3870002218193385,E,C,-47.82247577217809,-65.65542075197283,-210.4387123547968,1
No,Christian,-233.3768697247916,E,C,12.150932490760143,A,A,31.962271929202558,69.71747177870795,106.29226299915011,1
Mental,Other,-17.069786746299613,A,C,71.67363342535795,A,B,46.83638465102362,43.92929024850014,54.971233252127526,1
Both,Christian,-122.61593184698643,D,A,101.56618887964947,D,C,52.24356965270637,-80.27679490229096,-132.31842469697858,0
None,Buddhist,-93.27409593239979,E,E,93.76238404734887,E,E,93.07156128960015,-66.53624856058869,-39.74814555834844,0
Yes,Hindu,27.393301999668378,D,D,59.73943664371439,E,D,-184.14404258455372,-74.70828037173631,86.08673717265097,1
Both,Christian,-1.3080414229755755,C,C,32.25737181494454,C,A,-86.08370001588756,43.209222060330454,71.39830198475337,1
No,Muslim,-70.80253699390492,A,C,-66.20023908614293,E,A,-65.03803136869001,-56.12368301698817,-16.34230583320015,0
No,Other,213.23870400248316,B,C,-145.68789288443398,D,E,-240.86094789984585,12.908255907280285,-79.71445408948384,0
No,Other,12.502609894633979,D,E,144.35853887380568,C,E,184.81654705630328,-40.350778698691805,-101.28373398691846,0
No,Christian,-172.12560847430044,D,D,25.482940171764056,D,E,-43.28019422992696,99.77264891841816,80.74129437153726,0
Mental,Christian,-36.52394368879352,B,B,27.140513984261645,B,E,-22.385060649429672,79.16448422628866,-76.58363959597172,0
Yes,Buddhist,-13.642558721381493,D,A,-32.56950223109216,C,D,-70.04974001383816,-49.660721233929436,-147.30637329769652,0
