Veteran,ethnicity,sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Yes,African American,Heterosexual,114.63295273799328,C,B,C,54.43751484323418,81.32595000556529,B,36.44213687919422,-116.65131411391796,0
Non-Veteran,Hispanic,Homosexual,-88.46973766348627,A,C,C,-131.80794126537447,74.02697670843725,D,152.2042256542157,-55.59359308034059,0
Non-Veteran,Asian,Homosexual,-105.32924334475217,A,D,D,50.82906304574345,-111.49635151041804,B,8.927288424734744,13.23915952949297,1
Yes,African American,Heterosexual,-37.92890892853443,A,C,E,29.98019474650036,-143.933514894831,B,99.39644198664442,79.84518124318956,1
Yes,White,Bisexual,120.76194756090648,A,D,D,45.81410817184365,69.95113432517246,D,-174.65918645490189,-92.4627661206796,0
No,Other,Homosexual,15.085917698724312,B,A,E,-86.45314955057738,16.976633756031532,C,-236.14940712636218,130.0096751025026,1
Yes,African American,Bisexual,54.76729957013049,B,E,E,-0.7984802643656554,-48.08803891422964,A,137.77526135651706,-68.52762299927694,1
Veteran,White,Heterosexual,164.27008567034693,B,C,B,-28.62527711066963,32.534978903933116,A,44.15828212833674,-34.961111326683444,1
No,Black,Heterosexual,106.47507238341636,C,E,C,-42.81121178801731,67.48500027004386,B,-50.951629824587975,-79.38138817107271,0
Yes,African American,Other,102.58726292222366,D,C,D,51.00898124585852,-78.36572255144237,E,-84.36163180123548,91.86617199765978,1
No,Black,Heterosexual,157.0191483674537,D,B,E,114.2198358924543,-26.976688878558036,C,66.91705522490591,108.92642878719543,0
No,Black,Other,-6.538242924687325,E,C,C,-293.9434441351304,-67.92097381058653,D,-136.31819513659465,-146.81890800094587,1
Non-Veteran,Hispanic,Other,37.594749222964445,E,B,C,50.492202360292836,90.07469240400758,C,19.50781660136611,80.89291782651948,1
Veteran,White,Other,-5.940391926779195,D,E,C,77.9553108885166,-18.374141512737186,D,-18.254285468762937,-23.133638956782377,1
Yes,Asian,Heterosexual,-4.032626923115135,E,D,B,72.58569798734885,-8.011425568829612,D,92.28566010443147,-105.85489641169204,0
No,White,Other,-97.99095142357885,C,D,E,-182.09867020908996,32.77814944601371,A,112.77530641840185,-4.258293030813261,0
Yes,White,Heterosexual,12.511681920763678,E,B,B,90.14620755723149,1.6276715566918813,C,-167.0339201708599,-130.28545402094244,0
Veteran,Other,Homosexual,-120.65678175560015,E,D,C,133.77452622189148,89.91317590288645,D,188.53567386938553,-6.7169046978912945,1
Non-Veteran,African American,Heterosexual,-52.031607127998036,D,D,E,93.44849539501065,120.33288104725976,C,84.383032242968,-4.184552373645583,1
Yes,Hispanic,Bisexual,-329.1382885964335,E,C,C,19.253928456401546,-89.48037177486165,C,-64.98704281439583,-9.76250665774807,0
Non-Veteran,Black,Heterosexual,11.4697977240791,B,C,E,-36.22747132451109,-152.71074999245852,B,19.63654699919697,-62.435910175179934,1
No,Hispanic,Other,-140.56006798639754,B,B,D,113.08307339299103,-117.16981115187272,E,113.39575734460638,-43.57328288639336,1
Non-Veteran,Black,Homosexual,208.8182709869128,A,C,C,69.02658447385387,62.0572162377925,A,114.80340281596777,42.963188891219225,0
Veteran,African American,Bisexual,-49.78717354862464,E,B,A,60.55930742554985,169.41140927380368,C,-26.763721223877646,-90.04814281846524,0
Yes,Asian,Heterosexual,-121.67874275098491,A,C,A,2.2520842502671936,294.59663231283577,B,-108.68528691858161,-206.77897568772994,0
Yes,Black,Bisexual,15.876282941867462,D,A,E,96.83340958120486,206.1782681077964,A,42.59317541126852,-44.84679647192147,1
Non-Veteran,Hispanic,Heterosexual,-115.26861916219457,A,B,C,35.04295766524332,67.3184968793015,E,-10.262980497396452,29.70329006369924,1
No,Black,Heterosexual,-121.11639595362469,B,C,C,60.83024913716163,-167.5038017937682,A,129.8705455299588,-127.28081251487615,1
Veteran,Hispanic,Bisexual,-1.746111097755516,A,A,B,52.91868063434393,-163.18113305273283,C,101.09849011164054,78.43130662345784,1
Yes,Other,Other,15.112516061457718,C,B,E,100.74240820048385,131.5250630872778,B,67.04934289409206,-79.73697601448362,0
Non-Veteran,African American,Homosexual,52.52584032104144,B,A,E,-16.327391145311456,12.551893601199538,C,-2.393973184981384,-170.80904725201324,0
Yes,White,Other,219.35531710683915,B,C,D,50.411435627894875,-82.57738506819786,B,179.83122406902288,-140.43788413118173,1
Veteran,African American,Homosexual,151.60801201569322,C,A,C,106.05052402332613,58.58574302137188,C,90.49269438116568,287.3877702821408,1
Yes,White,Other,-81.33587595366065,E,A,C,217.58019845636477,23.293038493818642,B,124.58469308285147,34.9122598881383,0
Veteran,African American,Other,19.269204698216242,A,A,C,-13.429235883180175,158.98441705051653,D,-257.42070160046865,27.586023906747425,1
Yes,White,Bisexual,172.13521409461114,D,D,D,-9.018852972410741,18.10817254712174,D,100.23313084523382,70.99088035411602,0
Veteran,Hispanic,Bisexual,186.9073806329789,A,A,B,18.766980864051586,-20.501750592754657,A,52.88832082558497,150.80274928697727,0
Yes,Asian,Bisexual,-129.55099838257075,B,B,D,78.23692936749335,103.561994160003,B,-168.97502726637205,7.950101218676843,0
Yes,Other,Bisexual,-66.34625659835166,A,E,D,57.150323357691605,117.91289156780537,B,16.549469052579553,48.193434201008664,1
No,Other,Heterosexual,-51.07488668355783,C,B,A,-13.580375860072946,146.58914712315226,A,117.09923993595082,-160.1058824480671,0
Yes,Black,Homosexual,7.664160780804165,E,A,D,22.040753055801673,95.0769451351291,B,185.9459190955748,55.88204208454288,0
Non-Veteran,Black,Bisexual,186.4958645994384,D,D,C,-156.77130969539624,51.54544847977274,D,44.337220525414814,-64.5064041087515,0
Non-Veteran,White,Heterosexual,18.852625514883687,A,A,B,-151.15299509515313,-84.78405844252148,A,-90.5697202539079,170.8661276580088,0
Yes,Other,Heterosexual,-41.58146234027986,A,B,D,-213.1346289297904,57.777494349033866,D,-46.10161650158876,62.17140885424234,1
Non-Veteran,Asian,Bisexual,-131.0132489670532,B,E,B,-108.10003172285411,-144.54061709787953,D,62.548115881382294,34.89871338793128,0
Veteran,Asian,Bisexual,173.49994719327546,A,A,B,-4.61137115311991,206.49473442267677,B,-67.80565512955305,-63.50874775161719,1
No,White,Heterosexual,-0.7055967847835217,E,D,E,83.43234873677915,102.61192238617818,E,65.4342648548814,31.886518180696477,0
Veteran,Hispanic,Other,26.43342183377281,A,D,C,20.667052696136494,41.77676924974961,D,7.719964308838585,-35.80642308945533,1
Veteran,Black,Heterosexual,1.7917402593628513,B,B,C,102.50166918681964,-40.194089251560214,B,46.92584767643475,129.75950192545668,1
Non-Veteran,Black,Other,48.63650039198205,C,E,B,-52.979204364663644,-108.77798150034465,B,-58.18546009532769,4.304259382360803,0
No,African American,Homosexual,-76.24657820696142,D,C,A,163.34738178561392,-3.3484916322579794,D,-205.73867083533662,-40.075915041705954,0
Veteran,White,Homosexual,-180.3498947117721,C,A,D,-11.427140467665865,-87.81466513843468,D,17.88373136693724,-29.614090353446613,0
Veteran,Hispanic,Other,-56.33139974703344,C,C,E,2.7446399157492816,105.91106368061168,B,14.588502964540954,212.47992618482243,0
Non-Veteran,Black,Homosexual,78.29130946736366,E,D,A,131.77981856171414,84.55105197541931,C,181.9765071769206,118.74401769910823,1
Yes,African American,Homosexual,93.5115033714694,B,A,D,55.903027260805786,52.56485476164858,D,80.5095275350322,-9.335662332832978,0
No,Black,Bisexual,101.47462109978778,A,C,A,91.69410921837972,-59.78478284383746,C,-149.93952704246533,88.71908385218967,1
No,White,Other,30.85928003187278,C,D,C,154.66408242591797,73.49340058665652,A,-126.10248861394933,-27.70610801391718,1
Non-Veteran,White,Heterosexual,262.82682541405944,C,D,E,35.46383472079065,108.80000129695784,A,-94.8621160379506,54.12495544119679,0
Yes,Other,Heterosexual,313.8185507217669,C,A,A,3.450231062097904,-12.679802813746488,D,-102.94391208713006,1.7334392556469644,1
Yes,White,Heterosexual,56.29598838823126,D,D,B,17.871214861186104,34.17600688272084,C,-172.57284292184727,-159.87477015783384,0
Yes,White,Other,154.17107810822947,E,B,C,171.8506279118171,11.254098573685582,C,-108.51918106896758,31.689898055380734,0
Veteran,Asian,Heterosexual,81.90259310226207,D,E,C,49.442659864212835,31.022806629569853,C,167.14433746994447,-14.124142348752903,0
Non-Veteran,White,Heterosexual,-52.34277499281329,C,A,B,-60.340752724918865,-69.90759168436571,E,87.4862532319809,183.96831801769434,0
Veteran,White,Homosexual,193.52850967270044,D,E,B,167.785285833727,178.2213095406752,E,69.23936926105657,-78.08598230335451,1
Yes,Hispanic,Homosexual,67.03057909507005,B,A,E,-63.03266105361812,34.53835199443413,C,-11.312063527044764,-64.19165744630911,1
No,African American,Bisexual,-62.08279890273921,C,B,C,-15.453410977513077,-52.435965626168645,E,13.692879707260477,-108.5759466119294,1
Yes,African American,Bisexual,-37.26555337450337,D,C,C,-107.66919692309757,-67.66866726531089,C,-92.99139643185019,74.61707191712779,1
Veteran,Hispanic,Homosexual,181.95796941947543,C,B,C,-102.35970498253735,-4.935836626453835,C,14.82433350182846,-0.21923663593490847,0
